,Musicas,Acordes
0,trem-das-onze,D7
1,trem-das-onze,Dm
2,trem-das-onze,Gm
3,trem-das-onze,G#º
4,trem-das-onze,Dm
5,trem-das-onze,Dm/C
6,trem-das-onze,E7
7,trem-das-onze,A7
8,trem-das-onze,D7
9,trem-das-onze,Gm
10,trem-das-onze,G#º
11,trem-das-onze,Dm
12,trem-das-onze,Dm/C
13,trem-das-onze,E7
14,trem-das-onze,A7
15,trem-das-onze,D7
16,trem-das-onze,Dm
17,trem-das-onze,Bb7
18,trem-das-onze,A7
19,trem-das-onze,Eb7
20,trem-das-onze,D7
21,trem-das-onze,Gm
22,trem-das-onze,A7
23,trem-das-onze,Dm
24,trem-das-onze,Bb7
25,trem-das-onze,A7
26,trem-das-onze,Dm
27,trem-das-onze,D7
28,trem-das-onze,Gm
29,trem-das-onze,Bb7
30,trem-das-onze,A7
31,trem-das-onze,Gm
32,trem-das-onze,G#º
33,trem-das-onze,Dm
34,trem-das-onze,Dm/C
35,trem-das-onze,E7
36,trem-das-onze,A7
37,trem-das-onze,Dm
38,trem-das-onze,Eb7(9)
39,trem-das-onze,Dm
40,trem-das-onze,Eb7(9)
111,tiro-ao-alvaro,Bb7M
112,tiro-ao-alvaro,Bb6/G
113,tiro-ao-alvaro,Cm
114,tiro-ao-alvaro,Am/F
115,tiro-ao-alvaro,F7
116,tiro-ao-alvaro,F#º
117,tiro-ao-alvaro,Bb7M
118,tiro-ao-alvaro,Bb7
119,tiro-ao-alvaro,Eb
120,tiro-ao-alvaro,Ebm
121,tiro-ao-alvaro,F7
122,tiro-ao-alvaro,Dm
123,tiro-ao-alvaro,G7
124,tiro-ao-alvaro,Cm
125,tiro-ao-alvaro,F7
126,tiro-ao-alvaro,Bb
127,tiro-ao-alvaro,F7
128,tiro-ao-alvaro,Bb
129,tiro-ao-alvaro,Fm
130,tiro-ao-alvaro,Bb7
131,tiro-ao-alvaro,Eb7M
132,tiro-ao-alvaro,F7
133,tiro-ao-alvaro,Bb
134,tiro-ao-alvaro,G7
135,tiro-ao-alvaro,Cm
136,tiro-ao-alvaro,F7
137,tiro-ao-alvaro,Bb
138,tiro-ao-alvaro,Eb
139,tiro-ao-alvaro,Eb/G
140,tiro-ao-alvaro,Dm
141,tiro-ao-alvaro,G7
142,tiro-ao-alvaro,Cm
143,tiro-ao-alvaro,F7
144,tiro-ao-alvaro,Bb
145,tiro-ao-alvaro,Eb
146,tiro-ao-alvaro,Ebm
147,tiro-ao-alvaro,G7
148,tiro-ao-alvaro,Cm
149,tiro-ao-alvaro,F7
150,tiro-ao-alvaro,Bb
151,tiro-ao-alvaro,Bb7
222,saudosa-maloca,Am
223,saudosa-maloca,Dm
224,saudosa-maloca,Am
225,saudosa-maloca,F
226,saudosa-maloca,E
227,saudosa-maloca,Am
228,saudosa-maloca,G
229,saudosa-maloca,F
230,saudosa-maloca,E
231,saudosa-maloca,Am
232,saudosa-maloca,E
233,saudosa-maloca,Am
234,saudosa-maloca,E7
235,saudosa-maloca,Am
236,saudosa-maloca,E7
237,saudosa-maloca,Am
238,saudosa-maloca,A7
239,saudosa-maloca,Em7(5-)
240,saudosa-maloca,A7
241,saudosa-maloca,Em7(5-)
242,saudosa-maloca,A7
243,saudosa-maloca,Em7(5-)
244,saudosa-maloca,A7
245,saudosa-maloca,Dm
246,saudosa-maloca,Am
247,saudosa-maloca,B7
248,saudosa-maloca,E7
249,saudosa-maloca,A7
250,saudosa-maloca,Dm
251,saudosa-maloca,Am
252,saudosa-maloca,E7
253,saudosa-maloca,Am
254,saudosa-maloca,E7
255,saudosa-maloca,Am
256,saudosa-maloca,A7
257,saudosa-maloca,Dm
258,saudosa-maloca,Am
259,saudosa-maloca,B7
260,saudosa-maloca,E7
261,saudosa-maloca,Dm
262,saudosa-maloca,Am
263,saudosa-maloca,A7
264,saudosa-maloca,Dm
265,saudosa-maloca,Am
266,saudosa-maloca,B7
267,saudosa-maloca,E7
268,saudosa-maloca,Dm
269,saudosa-maloca,Am
270,saudosa-maloca,B7
271,saudosa-maloca,E7
272,saudosa-maloca,Am
273,saudosa-maloca,Dm
274,saudosa-maloca,Am
275,saudosa-maloca,F
276,saudosa-maloca,E
277,saudosa-maloca,Am
333,iracema,Bm
334,iracema,F#7
335,iracema,Bm
336,iracema,B7
337,iracema,Em
338,iracema,F#7
339,iracema,Bm
340,iracema,F#m6
341,iracema,F#7
342,iracema,Bm
343,iracema,F#7
344,iracema,Bm
345,iracema,F#7
346,iracema,Bm
347,iracema,B7
348,iracema,F#m7(5-)
349,iracema,B7
350,iracema,Em
351,iracema,F#7
352,iracema,Bm
353,iracema,F#m6
354,iracema,F#7
355,iracema,Bm
356,iracema,B7
357,iracema,Em
358,iracema,Bm
359,iracema,F#7
360,iracema,F#m7(5-)
361,iracema,B7
362,iracema,Em
363,iracema,F#m6
364,iracema,Bm
365,iracema,G7
366,iracema,F#7
367,iracema,F#m7(5-)
368,iracema,Bm
369,iracema,B7
370,iracema,Em
371,iracema,Bm
372,iracema,G7
373,iracema,F#7
374,iracema,Bm
375,iracema,F#7
376,iracema,Bm
377,iracema,F#7
378,iracema,F#m7(5-)
379,iracema,B7
380,iracema,Em
381,iracema,F#m6
382,iracema,Bm
383,iracema,G7
384,iracema,F#7
385,iracema,Bm
386,iracema,Em
387,iracema,Bm
388,iracema,F#7
389,iracema,Bm
390,iracema,B7
444,samba-do-arnesto,Bb
445,samba-do-arnesto,Eb7/G
446,samba-do-arnesto,Am7
447,samba-do-arnesto,D7
448,samba-do-arnesto,G7
449,samba-do-arnesto,C7
450,samba-do-arnesto,F
451,samba-do-arnesto,C7
452,samba-do-arnesto,F
453,samba-do-arnesto,Bb
454,samba-do-arnesto,F
455,samba-do-arnesto,Bb
456,samba-do-arnesto,F
457,samba-do-arnesto,D
458,samba-do-arnesto,Gm
459,samba-do-arnesto,D7
460,samba-do-arnesto,Gm
461,samba-do-arnesto,C7
462,samba-do-arnesto,F
463,samba-do-arnesto,E7
464,samba-do-arnesto,Eb7
465,samba-do-arnesto,D7
466,samba-do-arnesto,G7
467,samba-do-arnesto,C7
468,samba-do-arnesto,F
469,samba-do-arnesto,C7
470,samba-do-arnesto,C7
471,samba-do-arnesto,F
472,samba-do-arnesto,Gm
473,samba-do-arnesto,C7
474,samba-do-arnesto,F
475,samba-do-arnesto,D7
476,samba-do-arnesto,Gm
477,samba-do-arnesto,C7
478,samba-do-arnesto,F
479,samba-do-arnesto,D7
480,samba-do-arnesto,Gm
481,samba-do-arnesto,C7
482,samba-do-arnesto,F
555,bom-dia-tristeza,Em7(9)
556,bom-dia-tristeza,G7
557,bom-dia-tristeza,C#4(7)
558,bom-dia-tristeza,F#7
559,bom-dia-tristeza,Bm
560,bom-dia-tristeza,Bm
561,bom-dia-tristeza,Em7(9)
562,bom-dia-tristeza,Bm
563,bom-dia-tristeza,Bm/A
564,bom-dia-tristeza,G7
565,bom-dia-tristeza,C#4(7)
566,bom-dia-tristeza,G7
567,bom-dia-tristeza,F#7
568,bom-dia-tristeza,G7
569,bom-dia-tristeza,Em7(9)
570,bom-dia-tristeza,F#7
571,bom-dia-tristeza,Bm
572,bom-dia-tristeza,B7/Eb
573,bom-dia-tristeza,Em7
574,bom-dia-tristeza,A7
575,bom-dia-tristeza,D7M
576,bom-dia-tristeza,G7
577,bom-dia-tristeza,F#7
578,bom-dia-tristeza,B7/Eb
579,bom-dia-tristeza,Em7(9)
580,bom-dia-tristeza,F#7
581,bom-dia-tristeza,Bm
582,bom-dia-tristeza,Bm/A
583,bom-dia-tristeza,G7
584,bom-dia-tristeza,C#4(7)
585,bom-dia-tristeza,F#7
586,bom-dia-tristeza,G7
587,bom-dia-tristeza,F#7
588,bom-dia-tristeza,Bm
666,prova-de-carinho,Dm
667,prova-de-carinho,Am
668,prova-de-carinho,F
669,prova-de-carinho,E7
670,prova-de-carinho,Am
671,prova-de-carinho,A7
672,prova-de-carinho,Dm
673,prova-de-carinho,E7
674,prova-de-carinho,Am
675,prova-de-carinho,A7
676,prova-de-carinho,Dm
677,prova-de-carinho,G7
678,prova-de-carinho,C
679,prova-de-carinho,Am
680,prova-de-carinho,Dm6
681,prova-de-carinho,F
682,prova-de-carinho,E7
683,prova-de-carinho,Am
777,despejo-na-favela,Bm
778,despejo-na-favela,F#7
779,despejo-na-favela,Bm
780,despejo-na-favela,F#7
781,despejo-na-favela,Em
782,despejo-na-favela,F#7
783,despejo-na-favela,Bm
784,despejo-na-favela,F#7
785,despejo-na-favela,Bm
786,despejo-na-favela,B7
787,despejo-na-favela,Em
788,despejo-na-favela,F#7
789,despejo-na-favela,Bm
790,despejo-na-favela,G
791,despejo-na-favela,F#7
792,despejo-na-favela,Bm
793,despejo-na-favela,F#7
794,despejo-na-favela,Bm
795,despejo-na-favela,B7
796,despejo-na-favela,Em
797,despejo-na-favela,Bm
798,despejo-na-favela,Em
799,despejo-na-favela,F#7
800,despejo-na-favela,D7
801,despejo-na-favela,B7
802,despejo-na-favela,Em
803,despejo-na-favela,Bm
804,despejo-na-favela,Em
805,despejo-na-favela,F#7
806,despejo-na-favela,Bm
807,despejo-na-favela,Bm
808,despejo-na-favela,Em
809,despejo-na-favela,F#7
810,despejo-na-favela,Bm
811,despejo-na-favela,F#7
812,despejo-na-favela,D7
813,despejo-na-favela,B7
814,despejo-na-favela,Em
815,despejo-na-favela,F#7
816,despejo-na-favela,Bm
817,despejo-na-favela,G7
818,despejo-na-favela,F#7
819,despejo-na-favela,Bm
820,despejo-na-favela,B7
821,despejo-na-favela,Em
822,despejo-na-favela,F#7
823,despejo-na-favela,Bm
824,despejo-na-favela,F#7
825,despejo-na-favela,D7
826,despejo-na-favela,B7
827,despejo-na-favela,Em
828,despejo-na-favela,Bm
829,despejo-na-favela,F#7
830,despejo-na-favela,Bm
831,despejo-na-favela,F#7
832,despejo-na-favela,Bm
833,despejo-na-favela,B7
834,despejo-na-favela,Em
835,despejo-na-favela,F#7
836,despejo-na-favela,Bm
837,despejo-na-favela,F#7
838,despejo-na-favela,Bm
888,apaga-fogo-mane,Dm
889,apaga-fogo-mane,D7
890,apaga-fogo-mane,Gm
891,apaga-fogo-mane,A7
892,apaga-fogo-mane,Dm
893,apaga-fogo-mane,A7
894,apaga-fogo-mane,Dm
895,apaga-fogo-mane,D7
896,apaga-fogo-mane,Gm
897,apaga-fogo-mane,C7
898,apaga-fogo-mane,F
899,apaga-fogo-mane,A7
900,apaga-fogo-mane,Dm
901,apaga-fogo-mane,D7
902,apaga-fogo-mane,Gm
903,apaga-fogo-mane,Dm
904,apaga-fogo-mane,A7
905,apaga-fogo-mane,Dm
906,apaga-fogo-mane,Gm
907,apaga-fogo-mane,A7
908,apaga-fogo-mane,Dm
909,apaga-fogo-mane,D7
910,apaga-fogo-mane,Gm
911,apaga-fogo-mane,C7
912,apaga-fogo-mane,F
913,apaga-fogo-mane,A7
914,apaga-fogo-mane,Dm
915,apaga-fogo-mane,Gm
916,apaga-fogo-mane,A7
917,apaga-fogo-mane,Dm
918,apaga-fogo-mane,Gm
919,apaga-fogo-mane,A7
920,apaga-fogo-mane,Dm
999,abrigo-de-vagabundos,Em
1000,abrigo-de-vagabundos,Bm
1001,abrigo-de-vagabundos,Em
1002,abrigo-de-vagabundos,F#7
1003,abrigo-de-vagabundos,Bm
1004,abrigo-de-vagabundos,F#7
1005,abrigo-de-vagabundos,Bm
1006,abrigo-de-vagabundos,F#7
1007,abrigo-de-vagabundos,Bm
1008,abrigo-de-vagabundos,F#7
1009,abrigo-de-vagabundos,Bm
1010,abrigo-de-vagabundos,G
1011,abrigo-de-vagabundos,F#7
1012,abrigo-de-vagabundos,C#m5-/7
1013,abrigo-de-vagabundos,F#7
1014,abrigo-de-vagabundos,C#m5-/7
1015,abrigo-de-vagabundos,F#7
1016,abrigo-de-vagabundos,Em
1017,abrigo-de-vagabundos,F#7
1018,abrigo-de-vagabundos,Bm
1019,abrigo-de-vagabundos,F#7
1020,abrigo-de-vagabundos,Bm
1021,abrigo-de-vagabundos,Em
1022,abrigo-de-vagabundos,Bm
1023,abrigo-de-vagabundos,B7
1024,abrigo-de-vagabundos,F#m5-/7
1025,abrigo-de-vagabundos,B7
1026,abrigo-de-vagabundos,Em
1027,abrigo-de-vagabundos,Bm
1028,abrigo-de-vagabundos,F#7
1029,abrigo-de-vagabundos,Bm
1030,abrigo-de-vagabundos,F#7
1031,abrigo-de-vagabundos,Bm
1032,abrigo-de-vagabundos,F#7
1033,abrigo-de-vagabundos,Em
1034,abrigo-de-vagabundos,Bm
1035,abrigo-de-vagabundos,F#7
1036,abrigo-de-vagabundos,Em
1037,abrigo-de-vagabundos,Bm
1038,abrigo-de-vagabundos,F#7
1039,abrigo-de-vagabundos,Bm
1040,abrigo-de-vagabundos,B7
1041,abrigo-de-vagabundos,Em
1042,abrigo-de-vagabundos,Bm
1043,abrigo-de-vagabundos,F#7
1044,abrigo-de-vagabundos,Bm
1045,abrigo-de-vagabundos,B7
1046,abrigo-de-vagabundos,Em
1047,abrigo-de-vagabundos,Bm
1048,abrigo-de-vagabundos,F#7
1049,abrigo-de-vagabundos,Bm
1110,a-luz-da-light,D
1111,a-luz-da-light,B7
1112,a-luz-da-light,Em
1113,a-luz-da-light,A7
1114,a-luz-da-light,D
1115,a-luz-da-light,B7
1116,a-luz-da-light,Em
1117,a-luz-da-light,A7
1118,a-luz-da-light,D
1119,a-luz-da-light,A7
1120,a-luz-da-light,D
1121,a-luz-da-light,B7
1122,a-luz-da-light,Em
1123,a-luz-da-light,A7
1124,a-luz-da-light,D
1125,a-luz-da-light,A7
1126,a-luz-da-light,Am7
1127,a-luz-da-light,D7
1128,a-luz-da-light,G
1129,a-luz-da-light,Gm
1130,a-luz-da-light,D
1131,a-luz-da-light,B7
1132,a-luz-da-light,Em
1133,a-luz-da-light,A7
1134,a-luz-da-light,Am7
1135,a-luz-da-light,D7
1136,a-luz-da-light,G
1137,a-luz-da-light,Gm
1138,a-luz-da-light,F#m
1139,a-luz-da-light,B7
1140,a-luz-da-light,Em
1141,a-luz-da-light,A7
1142,a-luz-da-light,D
1143,a-luz-da-light,A7
1221,acende-o-candieiro,A
1222,acende-o-candieiro,E7
1223,acende-o-candieiro,A
1224,acende-o-candieiro,D
1225,acende-o-candieiro,E7
1226,acende-o-candieiro,A
1227,acende-o-candieiro,E7
1228,acende-o-candieiro,A
1229,acende-o-candieiro,E7
1230,acende-o-candieiro,A
1231,acende-o-candieiro,E7
1232,acende-o-candieiro,A
1233,acende-o-candieiro,E7
1234,acende-o-candieiro,A
1235,acende-o-candieiro,E7
1236,acende-o-candieiro,A
1237,acende-o-candieiro,D
1238,acende-o-candieiro,A
1239,acende-o-candieiro,E7
1240,acende-o-candieiro,A
1241,acende-o-candieiro,E7
1242,acende-o-candieiro,A
1243,acende-o-candieiro,E7
1332,aguenta-mao-joao,Dm
1333,aguenta-mao-joao,G
1334,aguenta-mao-joao,A7
1335,aguenta-mao-joao,Em7/-5
1336,aguenta-mao-joao,A7
1337,aguenta-mao-joao,Dm
1338,aguenta-mao-joao,D7
1339,aguenta-mao-joao,F
1340,aguenta-mao-joao,F#m7/-5
1341,aguenta-mao-joao,B7
1342,aguenta-mao-joao,Em
1343,aguenta-mao-joao,A7
1344,aguenta-mao-joao,Dm
1345,aguenta-mao-joao,F
1346,aguenta-mao-joao,G7
1347,aguenta-mao-joao,C
1348,aguenta-mao-joao,Dm
1349,aguenta-mao-joao,G7
1350,aguenta-mao-joao,C
1351,aguenta-mao-joao,C7
1352,aguenta-mao-joao,F
1353,aguenta-mao-joao,B7
1354,aguenta-mao-joao,Em
1355,aguenta-mao-joao,A7
1356,aguenta-mao-joao,D7
1357,aguenta-mao-joao,F
1358,aguenta-mao-joao,G
1359,aguenta-mao-joao,C
1360,aguenta-mao-joao,A7
1361,aguenta-mao-joao,Dm
1362,aguenta-mao-joao,G7
1363,aguenta-mao-joao,C
1443,as-mariposa,C
1444,as-mariposa,G7
1445,as-mariposa,C
1446,as-mariposa,A7
1447,as-mariposa,Dm
1448,as-mariposa,A7
1449,as-mariposa,Dm
1450,as-mariposa,A7
1451,as-mariposa,Dm
1452,as-mariposa,G7
1453,as-mariposa,C
1454,as-mariposa,G7
1455,as-mariposa,C
1456,as-mariposa,G7
1457,as-mariposa,C
1458,as-mariposa,A7
1459,as-mariposa,Dm
1460,as-mariposa,A7
1461,as-mariposa,Dm
1462,as-mariposa,A7
1463,as-mariposa,Dm
1464,as-mariposa,G7
1465,as-mariposa,C
1554,conselho-de-mulher,C
1555,conselho-de-mulher,G7
1556,conselho-de-mulher,F
1557,conselho-de-mulher,Dm
