,Musicas,Palavras
0,trem-das-onze,Sinto
1,trem-das-onze,muito
2,trem-das-onze,"amor,"
3,trem-das-onze,mas
4,trem-das-onze,não
5,trem-das-onze,pode
6,trem-das-onze,ser
7,trem-das-onze,Moro
8,trem-das-onze,em
9,trem-das-onze,Jaçanã
10,trem-das-onze,Se
11,trem-das-onze,eu
12,trem-das-onze,perder
13,trem-das-onze,esse
14,trem-das-onze,trem
15,trem-das-onze,Que
16,trem-das-onze,sai
17,trem-das-onze,agora
18,trem-das-onze,às
19,trem-das-onze,onze
20,trem-das-onze,horas
21,trem-das-onze,Só
22,trem-das-onze,amanhã
23,trem-das-onze,de
24,trem-das-onze,manhã
25,trem-das-onze,Sinto
26,trem-das-onze,muito
27,trem-das-onze,"amor,"
28,trem-das-onze,mas
29,trem-das-onze,não
30,trem-das-onze,pode
31,trem-das-onze,ser
32,trem-das-onze,Moro
33,trem-das-onze,em
34,trem-das-onze,Jaçanã
35,trem-das-onze,Se
36,trem-das-onze,eu
37,trem-das-onze,perder
38,trem-das-onze,esse
39,trem-das-onze,trem
40,trem-das-onze,Que
41,trem-das-onze,sai
42,trem-das-onze,agora
43,trem-das-onze,às
44,trem-das-onze,onze
45,trem-das-onze,horas
46,trem-das-onze,Só
47,trem-das-onze,amanhã
48,trem-das-onze,de
49,trem-das-onze,manhã
50,trem-das-onze,Tem
51,trem-das-onze,outra
52,trem-das-onze,coisa
53,trem-das-onze,Minha
54,trem-das-onze,mãe
55,trem-das-onze,não
56,trem-das-onze,dorme
57,trem-das-onze,Enquanto
58,trem-das-onze,eu
59,trem-das-onze,não
60,trem-das-onze,chegar
61,trem-das-onze,Sou
62,trem-das-onze,filho
63,trem-das-onze,único
64,trem-das-onze,Tenho
65,trem-das-onze,minha
66,trem-das-onze,casa
67,trem-das-onze,pra
68,trem-das-onze,olhar
69,trem-das-onze,Não
70,trem-das-onze,posso
71,trem-das-onze,ficar
72,trem-das-onze,Sinto
73,trem-das-onze,muito
74,trem-das-onze,"amor,"
75,trem-das-onze,mas
76,trem-das-onze,não
77,trem-das-onze,pode
78,trem-das-onze,ser
79,trem-das-onze,Moro
80,trem-das-onze,em
81,trem-das-onze,Jaçanã
82,trem-das-onze,Se
83,trem-das-onze,eu
84,trem-das-onze,perder
85,trem-das-onze,esse
86,trem-das-onze,trem
87,trem-das-onze,Que
88,trem-das-onze,sai
89,trem-das-onze,agora
90,trem-das-onze,às
91,trem-das-onze,onze
92,trem-das-onze,horas
93,trem-das-onze,Só
94,trem-das-onze,amanhã
95,trem-das-onze,de
96,trem-das-onze,manhã
97,trem-das-onze,Tem
98,trem-das-onze,outra
99,trem-das-onze,coisa
100,trem-das-onze,Minha
101,trem-das-onze,mãe
102,trem-das-onze,não
103,trem-das-onze,dorme
104,trem-das-onze,Enquanto
105,trem-das-onze,eu
106,trem-das-onze,não
107,trem-das-onze,chegar
108,trem-das-onze,Sou
109,trem-das-onze,filho
110,trem-das-onze,único
111,trem-das-onze,Tenho
112,trem-das-onze,minha
113,trem-das-onze,casa
114,trem-das-onze,pra
115,trem-das-onze,olhar
116,trem-das-onze,Não
117,trem-das-onze,posso
118,trem-das-onze,ficar
119,trem-das-onze,None
161,tiro-ao-alvaro,Meu
162,tiro-ao-alvaro,peito
163,tiro-ao-alvaro,até
164,tiro-ao-alvaro,parece
165,tiro-ao-alvaro,sabe
166,tiro-ao-alvaro,o
167,tiro-ao-alvaro,quê?
168,tiro-ao-alvaro,Táubua
169,tiro-ao-alvaro,De
170,tiro-ao-alvaro,tiro
171,tiro-ao-alvaro,ao
172,tiro-ao-alvaro,álvaro
173,tiro-ao-alvaro,Não
174,tiro-ao-alvaro,tem
175,tiro-ao-alvaro,mais
176,tiro-ao-alvaro,onde
177,tiro-ao-alvaro,furar
178,tiro-ao-alvaro,(Não
179,tiro-ao-alvaro,tem
180,tiro-ao-alvaro,mais)
181,tiro-ao-alvaro,Meu
182,tiro-ao-alvaro,peito
183,tiro-ao-alvaro,até
184,tiro-ao-alvaro,parece
185,tiro-ao-alvaro,sabe
186,tiro-ao-alvaro,o
187,tiro-ao-alvaro,quê?
188,tiro-ao-alvaro,Táubua
189,tiro-ao-alvaro,De
190,tiro-ao-alvaro,tiro
191,tiro-ao-alvaro,ao
192,tiro-ao-alvaro,álvaro
193,tiro-ao-alvaro,Não
194,tiro-ao-alvaro,tem
195,tiro-ao-alvaro,mais
196,tiro-ao-alvaro,onde
197,tiro-ao-alvaro,furar
198,tiro-ao-alvaro,Que
199,tiro-ao-alvaro,veneno
200,tiro-ao-alvaro,estricnina
201,tiro-ao-alvaro,Que
202,tiro-ao-alvaro,peixeira
203,tiro-ao-alvaro,de
204,tiro-ao-alvaro,baiano
205,tiro-ao-alvaro,Teu
206,tiro-ao-alvaro,olhar
207,tiro-ao-alvaro,mata
208,tiro-ao-alvaro,mais
209,tiro-ao-alvaro,que
210,tiro-ao-alvaro,atropelamento
211,tiro-ao-alvaro,de
212,tiro-ao-alvaro,automóver
213,tiro-ao-alvaro,Mata
214,tiro-ao-alvaro,mais
215,tiro-ao-alvaro,que
216,tiro-ao-alvaro,bala
217,tiro-ao-alvaro,de
218,tiro-ao-alvaro,revórver
219,tiro-ao-alvaro,None
322,saudosa-maloca,Dá
323,saudosa-maloca,licença
324,saudosa-maloca,de
325,saudosa-maloca,contá
326,saudosa-maloca,Que
327,saudosa-maloca,aqui
328,saudosa-maloca,onde
329,saudosa-maloca,agora
330,saudosa-maloca,está
331,saudosa-maloca,Esse
332,saudosa-maloca,adifício
333,saudosa-maloca,arto
334,saudosa-maloca,Era
335,saudosa-maloca,uma
336,saudosa-maloca,casa
337,saudosa-maloca,velha
338,saudosa-maloca,Um
339,saudosa-maloca,palacete
340,saudosa-maloca,assobradado
341,saudosa-maloca,Que
342,saudosa-maloca,"eu,"
343,saudosa-maloca,Mato
344,saudosa-maloca,Grosso
345,saudosa-maloca,e
346,saudosa-maloca,o
347,saudosa-maloca,Joca
348,saudosa-maloca,Construímos
349,saudosa-maloca,nossa
350,saudosa-maloca,maloca
351,saudosa-maloca,Mas
352,saudosa-maloca,um
353,saudosa-maloca,"dia,"
354,saudosa-maloca,eu
355,saudosa-maloca,nem
356,saudosa-maloca,quero
357,saudosa-maloca,me
358,saudosa-maloca,alembrá
359,saudosa-maloca,Veio
360,saudosa-maloca,os
361,saudosa-maloca,homis
362,saudosa-maloca,c'oas
363,saudosa-maloca,ferramenta
364,saudosa-maloca,Que
365,saudosa-maloca,o
366,saudosa-maloca,dono
367,saudosa-maloca,mandô
368,saudosa-maloca,derrubá
369,saudosa-maloca,E
370,saudosa-maloca,fumos
371,saudosa-maloca,pro
372,saudosa-maloca,meio
373,saudosa-maloca,da
374,saudosa-maloca,rua
375,saudosa-maloca,Apreciar
376,saudosa-maloca,a
377,saudosa-maloca,demolição
378,saudosa-maloca,Que
379,saudosa-maloca,tristeza
380,saudosa-maloca,que
381,saudosa-maloca,eu
382,saudosa-maloca,sentia
383,saudosa-maloca,Cada
