,Musicas,Acordes
0,anunciacao,G
1,anunciacao,Am
2,anunciacao,C
3,anunciacao,G
4,anunciacao,G
5,anunciacao,Am
6,anunciacao,C
7,anunciacao,G
8,anunciacao,G
9,anunciacao,Am
10,anunciacao,C
11,anunciacao,G
12,anunciacao,Am
13,anunciacao,C
14,anunciacao,G
15,anunciacao,Am
16,anunciacao,C
17,anunciacao,G
18,anunciacao,Am
19,anunciacao,C
20,anunciacao,G
21,anunciacao,G7
22,anunciacao,Em7
23,anunciacao,F
24,anunciacao,C
25,anunciacao,G
26,anunciacao,G7
27,anunciacao,Em7
28,anunciacao,F
29,anunciacao,C
30,anunciacao,G
31,anunciacao,Am
32,anunciacao,C
33,anunciacao,G
34,anunciacao,Am
35,anunciacao,C
36,anunciacao,G
37,anunciacao,G7
38,anunciacao,Em7
39,anunciacao,F
40,anunciacao,C
41,anunciacao,G
42,anunciacao,G7
43,anunciacao,Em7
44,anunciacao,F
45,anunciacao,C
46,anunciacao,G
47,anunciacao,G
48,anunciacao,Am
49,anunciacao,C
50,anunciacao,G
51,anunciacao,G
52,anunciacao,Am
53,anunciacao,C
54,anunciacao,G
55,anunciacao,G
56,anunciacao,Am
57,anunciacao,C
58,anunciacao,G
59,anunciacao,Am
60,anunciacao,C
61,anunciacao,G
62,anunciacao,G7
63,anunciacao,Em7
64,anunciacao,F
65,anunciacao,C
66,anunciacao,G
67,anunciacao,G7
68,anunciacao,Em7
69,anunciacao,F
70,anunciacao,C
71,anunciacao,G
72,anunciacao,Am
73,anunciacao,C
74,anunciacao,G
75,anunciacao,Am
76,anunciacao,C
77,anunciacao,G
78,anunciacao,G7
79,anunciacao,Em7
80,anunciacao,F
81,anunciacao,C
82,anunciacao,G
83,anunciacao,G7
84,anunciacao,Em7
85,anunciacao,F
86,anunciacao,C
87,anunciacao,G
88,anunciacao,G
89,anunciacao,Am
90,anunciacao,C
91,anunciacao,G
92,anunciacao,G
93,anunciacao,Am
94,anunciacao,C
95,anunciacao,G
256,la-belle-du-jour,C
257,la-belle-du-jour,Em
258,la-belle-du-jour,C
259,la-belle-du-jour,Em
260,la-belle-du-jour,C
261,la-belle-du-jour,Em
262,la-belle-du-jour,C
263,la-belle-du-jour,Em
264,la-belle-du-jour,Am
265,la-belle-du-jour,Em
266,la-belle-du-jour,Am
267,la-belle-du-jour,Em
268,la-belle-du-jour,F
269,la-belle-du-jour,G
270,la-belle-du-jour,C
271,la-belle-du-jour,Em
272,la-belle-du-jour,C
273,la-belle-du-jour,Em
274,la-belle-du-jour,C
275,la-belle-du-jour,Em
276,la-belle-du-jour,C
277,la-belle-du-jour,Em
278,la-belle-du-jour,C
279,la-belle-du-jour,Em
280,la-belle-du-jour,Am
281,la-belle-du-jour,Em
282,la-belle-du-jour,F
283,la-belle-du-jour,G
284,la-belle-du-jour,C
285,la-belle-du-jour,Em
286,la-belle-du-jour,C
287,la-belle-du-jour,Em
288,la-belle-du-jour,Am
289,la-belle-du-jour,Em
290,la-belle-du-jour,F
291,la-belle-du-jour,G
292,la-belle-du-jour,C
293,la-belle-du-jour,Em
294,la-belle-du-jour,C
295,la-belle-du-jour,Em
296,la-belle-du-jour,C
297,la-belle-du-jour,Em
298,la-belle-du-jour,C
299,la-belle-du-jour,Em
300,la-belle-du-jour,Am
301,la-belle-du-jour,Em
302,la-belle-du-jour,F
303,la-belle-du-jour,G
304,la-belle-du-jour,C
305,la-belle-du-jour,Am
306,la-belle-du-jour,Em
307,la-belle-du-jour,F
308,la-belle-du-jour,Em
309,la-belle-du-jour,F
310,la-belle-du-jour,G
311,la-belle-du-jour,Am
312,la-belle-du-jour,Em
313,la-belle-du-jour,Am
314,la-belle-du-jour,Em
315,la-belle-du-jour,Am
316,la-belle-du-jour,Em
317,la-belle-du-jour,F
318,la-belle-du-jour,Em
319,la-belle-du-jour,F
320,la-belle-du-jour,G
321,la-belle-du-jour,C
322,la-belle-du-jour,Em
323,la-belle-du-jour,C
324,la-belle-du-jour,Em
325,la-belle-du-jour,C
326,la-belle-du-jour,Em
327,la-belle-du-jour,C
328,la-belle-du-jour,Em
329,la-belle-du-jour,Am
330,la-belle-du-jour,Em
331,la-belle-du-jour,Am
332,la-belle-du-jour,Em
333,la-belle-du-jour,F
334,la-belle-du-jour,G
335,la-belle-du-jour,C
336,la-belle-du-jour,Em
337,la-belle-du-jour,C
338,la-belle-du-jour,Em
339,la-belle-du-jour,C
340,la-belle-du-jour,Em
341,la-belle-du-jour,C
342,la-belle-du-jour,Em
343,la-belle-du-jour,Am
344,la-belle-du-jour,Em
345,la-belle-du-jour,F
346,la-belle-du-jour,G
347,la-belle-du-jour,C
348,la-belle-du-jour,Em
349,la-belle-du-jour,C
350,la-belle-du-jour,Em
351,la-belle-du-jour,C
352,la-belle-du-jour,Em
353,la-belle-du-jour,C
354,la-belle-du-jour,Em
