,Musicas,Acordes
0,folha-seca,A
1,folha-seca,B7
2,folha-seca,E
3,folha-seca,E7
4,folha-seca,A
5,folha-seca,E
6,folha-seca,B7
7,folha-seca,E
8,folha-seca,B7
9,folha-seca,E
10,folha-seca,B7
11,folha-seca,E
12,folha-seca,E7
13,folha-seca,A
14,folha-seca,B7
15,folha-seca,E
16,folha-seca,E7
17,folha-seca,A
18,folha-seca,B7
19,folha-seca,E
20,folha-seca,A
21,folha-seca,E
22,folha-seca,B7
23,folha-seca,E
24,folha-seca,B7
25,folha-seca,E
26,folha-seca,B7
27,folha-seca,E
28,folha-seca,E7
29,folha-seca,A
30,folha-seca,B7
31,folha-seca,E
32,folha-seca,E7
33,folha-seca,A
34,folha-seca,B7
35,folha-seca,E
36,folha-seca,A
37,folha-seca,E
38,folha-seca,B7
39,folha-seca,E
40,folha-seca,E7
41,folha-seca,A
42,folha-seca,E
43,folha-seca,A
44,folha-seca,B7
45,folha-seca,A
46,folha-seca,E
47,folha-seca,E
48,folha-seca,B7
49,folha-seca,E
50,folha-seca,C
51,folha-seca,F
52,folha-seca,C
53,folha-seca,F
54,folha-seca,F7
55,folha-seca,Bb9
56,folha-seca,C
57,folha-seca,F
58,folha-seca,F7
59,folha-seca,Bb9
60,folha-seca,C
61,folha-seca,F
62,folha-seca,Bb9
63,folha-seca,F
64,folha-seca,C
65,folha-seca,F
66,folha-seca,C
67,folha-seca,F
68,folha-seca,C
69,folha-seca,F
70,folha-seca,F
71,folha-seca,C
72,folha-seca,F
73,folha-seca,F
74,folha-seca,C
75,folha-seca,F
76,folha-seca,F
77,folha-seca,C
78,folha-seca,F
127,meu-ex-amor,B
128,meu-ex-amor,E
129,meu-ex-amor,B
130,meu-ex-amor,A
131,meu-ex-amor,E
132,meu-ex-amor,B
133,meu-ex-amor,E
134,meu-ex-amor,B
135,meu-ex-amor,A
136,meu-ex-amor,E
137,meu-ex-amor,B
138,meu-ex-amor,A
139,meu-ex-amor,E
140,meu-ex-amor,E7
141,meu-ex-amor,A
142,meu-ex-amor,E
143,meu-ex-amor,A
144,meu-ex-amor,E
145,meu-ex-amor,B
146,meu-ex-amor,E
147,meu-ex-amor,B
148,meu-ex-amor,A
149,meu-ex-amor,E
150,meu-ex-amor,B
151,meu-ex-amor,E
152,meu-ex-amor,B
153,meu-ex-amor,A
154,meu-ex-amor,E
155,meu-ex-amor,B
156,meu-ex-amor,A
157,meu-ex-amor,E
158,meu-ex-amor,E7
159,meu-ex-amor,A
160,meu-ex-amor,E
161,meu-ex-amor,A
162,meu-ex-amor,E
163,meu-ex-amor,E
254,princesa,E
255,princesa,B
256,princesa,F#7
257,princesa,B
258,princesa,F#7
259,princesa,B
260,princesa,E
261,princesa,B
262,princesa,F#7
263,princesa,B
264,princesa,F#7
265,princesa,B
266,princesa,F#7
267,princesa,B
268,princesa,E
269,princesa,B
270,princesa,F#7
271,princesa,B
272,princesa,F#7
273,princesa,B
274,princesa,B7
275,princesa,E
276,princesa,B
277,princesa,F#7
278,princesa,B
279,princesa,B7
280,princesa,E
281,princesa,B
282,princesa,F#7
283,princesa,B
284,princesa,E
285,princesa,B
286,princesa,F#7
287,princesa,B
288,princesa,F#7
289,princesa,B
290,princesa,E
291,princesa,B
292,princesa,F#7
293,princesa,B
294,princesa,F#7
295,princesa,B
296,princesa,B7
297,princesa,E
298,princesa,B
299,princesa,F#7
300,princesa,B
301,princesa,B7
302,princesa,E
303,princesa,B
304,princesa,F#7
305,princesa,B
306,princesa,E
307,princesa,B
308,princesa,F#7
309,princesa,B
310,princesa,B7
311,princesa,E
312,princesa,B
313,princesa,F#7
314,princesa,B
381,secretaria,B
382,secretaria,A
383,secretaria,E
384,secretaria,B
385,secretaria,E
386,secretaria,B
387,secretaria,E
388,secretaria,F#m
389,secretaria,A
390,secretaria,B
391,secretaria,A
392,secretaria,B
393,secretaria,A
394,secretaria,E
395,secretaria,B
396,secretaria,E
397,secretaria,E7
398,secretaria,A
399,secretaria,E
400,secretaria,C#7
401,secretaria,F#m
402,secretaria,B
403,secretaria,E
404,secretaria,B
405,secretaria,E
406,secretaria,B
407,secretaria,E
408,secretaria,B
409,secretaria,E
410,secretaria,B
411,secretaria,A
412,secretaria,B7
413,secretaria,E
414,secretaria,B
415,secretaria,A
416,secretaria,E
417,secretaria,B
418,secretaria,E
419,secretaria,B
420,secretaria,E
421,secretaria,E7
422,secretaria,A
423,secretaria,E
424,secretaria,C#7
425,secretaria,F#m
426,secretaria,B
427,secretaria,E
428,secretaria,B
429,secretaria,E
430,secretaria,B
431,secretaria,E
432,secretaria,B
433,secretaria,E
434,secretaria,B
435,secretaria,A
436,secretaria,B7
437,secretaria,E
438,secretaria,B
439,secretaria,E
440,secretaria,B
441,secretaria,E
442,secretaria,B
443,secretaria,E
444,secretaria,B
445,secretaria,A
446,secretaria,B7
447,secretaria,E
448,secretaria,B
449,secretaria,E
450,secretaria,B
451,secretaria,E
452,secretaria,B
453,secretaria,E
454,secretaria,B
455,secretaria,A
456,secretaria,B7
457,secretaria,E
508,no-hospital,C
509,no-hospital,G
510,no-hospital,Am
511,no-hospital,G
512,no-hospital,C
513,no-hospital,C
514,no-hospital,G
515,no-hospital,Am
516,no-hospital,G
517,no-hospital,C
518,no-hospital,C
519,no-hospital,F
520,no-hospital,G
521,no-hospital,C
522,no-hospital,G
523,no-hospital,C
524,no-hospital,C7
525,no-hospital,F
526,no-hospital,G
527,no-hospital,G7
528,no-hospital,C
529,no-hospital,G
530,no-hospital,C
531,no-hospital,C7
532,no-hospital,F
533,no-hospital,G
534,no-hospital,C
535,no-hospital,G
536,no-hospital,C
537,no-hospital,C7
538,no-hospital,F
539,no-hospital,G
540,no-hospital,F
541,no-hospital,C
542,no-hospital,C7
543,no-hospital,F
544,no-hospital,C
545,no-hospital,F
546,no-hospital,G
547,no-hospital,C
548,no-hospital,G
549,no-hospital,C
550,no-hospital,C7
551,no-hospital,F
552,no-hospital,G
553,no-hospital,F
554,no-hospital,C
555,no-hospital,G
635,seresteiro-das-noites,D7
636,seresteiro-das-noites,G
637,seresteiro-das-noites,D7
638,seresteiro-das-noites,G
639,seresteiro-das-noites,D7
640,seresteiro-das-noites,G
641,seresteiro-das-noites,D7
642,seresteiro-das-noites,G
643,seresteiro-das-noites,G
644,seresteiro-das-noites,D7
645,seresteiro-das-noites,G
646,seresteiro-das-noites,D7
647,seresteiro-das-noites,G
648,seresteiro-das-noites,D7
649,seresteiro-das-noites,G
650,seresteiro-das-noites,C
651,seresteiro-das-noites,G
652,seresteiro-das-noites,D7
653,seresteiro-das-noites,G
654,seresteiro-das-noites,G7
655,seresteiro-das-noites,C
656,seresteiro-das-noites,G
657,seresteiro-das-noites,D7
658,seresteiro-das-noites,G
659,seresteiro-das-noites,D7
660,seresteiro-das-noites,G
661,seresteiro-das-noites,D7
662,seresteiro-das-noites,G
663,seresteiro-das-noites,D7
664,seresteiro-das-noites,G
665,seresteiro-das-noites,D7
666,seresteiro-das-noites,G
667,seresteiro-das-noites,G
668,seresteiro-das-noites,D7
669,seresteiro-das-noites,G
670,seresteiro-das-noites,D7
671,seresteiro-das-noites,G
672,seresteiro-das-noites,D7
673,seresteiro-das-noites,G
674,seresteiro-das-noites,C
675,seresteiro-das-noites,G
676,seresteiro-das-noites,D7
677,seresteiro-das-noites,G
678,seresteiro-das-noites,G7
679,seresteiro-das-noites,C
680,seresteiro-das-noites,G
681,seresteiro-das-noites,D7
682,seresteiro-das-noites,G
683,seresteiro-das-noites,D7
684,seresteiro-das-noites,G
685,seresteiro-das-noites,D7
686,seresteiro-das-noites,G
687,seresteiro-das-noites,D7
688,seresteiro-das-noites,G
689,seresteiro-das-noites,D7
690,seresteiro-das-noites,G
691,seresteiro-das-noites,G
692,seresteiro-das-noites,D7
693,seresteiro-das-noites,G
694,seresteiro-das-noites,D7
695,seresteiro-das-noites,G
696,seresteiro-das-noites,D7
697,seresteiro-das-noites,G
698,seresteiro-das-noites,G7
699,seresteiro-das-noites,C
700,seresteiro-das-noites,G
701,seresteiro-das-noites,D7
702,seresteiro-das-noites,G
703,seresteiro-das-noites,G7
704,seresteiro-das-noites,C
705,seresteiro-das-noites,G
706,seresteiro-das-noites,D7
707,seresteiro-das-noites,G
708,seresteiro-das-noites,D7
709,seresteiro-das-noites,G
710,seresteiro-das-noites,D7
711,seresteiro-das-noites,G
712,seresteiro-das-noites,D7
713,seresteiro-das-noites,G
714,seresteiro-das-noites,D7
715,seresteiro-das-noites,G
762,amor-perfeito,D
763,amor-perfeito,A
764,amor-perfeito,G
765,amor-perfeito,D
766,amor-perfeito,A
767,amor-perfeito,G
768,amor-perfeito,D
769,amor-perfeito,A
770,amor-perfeito,D
771,amor-perfeito,G
772,amor-perfeito,A
773,amor-perfeito,D
774,amor-perfeito,A
775,amor-perfeito,D
776,amor-perfeito,G
777,amor-perfeito,A
778,amor-perfeito,D
779,amor-perfeito,A
780,amor-perfeito,D
781,amor-perfeito,G
782,amor-perfeito,A
783,amor-perfeito,D
784,amor-perfeito,A
785,amor-perfeito,D
786,amor-perfeito,G
787,amor-perfeito,A
788,amor-perfeito,D
789,amor-perfeito,D7
790,amor-perfeito,G
791,amor-perfeito,A
792,amor-perfeito,D
793,amor-perfeito,A
794,amor-perfeito,D
795,amor-perfeito,G
796,amor-perfeito,A
797,amor-perfeito,D
798,amor-perfeito,D7
799,amor-perfeito,G
800,amor-perfeito,A
801,amor-perfeito,D
802,amor-perfeito,A
803,amor-perfeito,D
804,amor-perfeito,G
805,amor-perfeito,A
806,amor-perfeito,D
889,eu-ja-tive-um-amor,D
890,eu-ja-tive-um-amor,A
891,eu-ja-tive-um-amor,A7
892,eu-ja-tive-um-amor,G
893,eu-ja-tive-um-amor,D
894,eu-ja-tive-um-amor,D
895,eu-ja-tive-um-amor,D
896,eu-ja-tive-um-amor,A
897,eu-ja-tive-um-amor,G
898,eu-ja-tive-um-amor,D
