,Musicas,Palavras
308,garganta,Quando
309,garganta,não
310,garganta,te
311,garganta,vejo
312,garganta,Me
313,garganta,vem
314,garganta,um
315,garganta,desejo
316,garganta,Doido
317,garganta,de
318,garganta,gritar
319,garganta,A
320,garganta,tinta
321,garganta,e
322,garganta,os
323,garganta,azulejos
324,garganta,Do
325,garganta,teu
326,garganta,"quarto,"
327,garganta,da
328,garganta,cozinha
329,garganta,Da
330,garganta,sala
331,garganta,de
332,garganta,estar
333,garganta,A
334,garganta,tinta
335,garganta,e
336,garganta,os
337,garganta,azulejos
338,garganta,Do
339,garganta,teu
340,garganta,"quarto,"
341,garganta,da
342,garganta,cozinha
343,garganta,Da
344,garganta,sala
345,garganta,de
346,garganta,estar
347,garganta,Perturbar
348,garganta,teu
349,garganta,sono
350,garganta,Como
351,garganta,um
352,garganta,cão
353,garganta,sem
354,garganta,dono
355,garganta,Me
356,garganta,ponho
357,garganta,a
358,garganta,ladrar
359,garganta,Te
360,garganta,reviro
361,garganta,pelo
362,garganta,avesso
363,garganta,Tua
364,garganta,cabeça
365,garganta,enlouqueço
366,garganta,Faço
367,garganta,ela
368,garganta,rodar
369,garganta,Te
370,garganta,reviro
371,garganta,pelo
372,garganta,avesso
373,garganta,Tua
374,garganta,cabeça
375,garganta,enlouqueço
376,garganta,Faço
377,garganta,ela
378,garganta,rodar
379,garganta,Às
380,garganta,vezes
381,garganta,vou
382,garganta,na
383,garganta,cara
384,garganta,dura
385,garganta,Às
386,garganta,vezes
387,garganta,ajo
388,garganta,com
389,garganta,candura
390,garganta,Pra
391,garganta,te
392,garganta,conquistar
393,garganta,Me
394,garganta,criei
395,garganta,na
396,garganta,rua
397,garganta,E
398,garganta,não
399,garganta,mudo
400,garganta,minha
401,garganta,postura
402,garganta,Só
403,garganta,pra
404,garganta,te
405,garganta,agradar
406,garganta,Me
407,garganta,criei
408,garganta,na
409,garganta,rua
410,garganta,E
411,garganta,não
412,garganta,mudo
413,garganta,minha
414,garganta,postura
415,garganta,Só
416,garganta,pra
417,garganta,te
418,garganta,agradar
419,garganta,Por
420,garganta,força
421,garganta,da
422,garganta,circunstância
423,garganta,Sou
424,garganta,assim
425,garganta,desde
426,garganta,criança
427,garganta,Me
428,garganta,criei
429,garganta,meio
430,garganta,sem
431,garganta,lar
432,garganta,E
433,garganta,se
434,garganta,eu
435,garganta,tô
436,garganta,te
437,garganta,dando
438,garganta,linha
439,garganta,É
440,garganta,pra
441,garganta,depois
442,garganta,te...
443,garganta,Han!
444,garganta,E
445,garganta,se
446,garganta,eu
447,garganta,tô
448,garganta,te
449,garganta,dando
450,garganta,linha
451,garganta,É
452,garganta,pra
453,garganta,depois
454,garganta,te
455,garganta,abandonar
456,garganta,E
457,garganta,se
458,garganta,eu
459,garganta,tô
460,garganta,te
461,garganta,dando
462,garganta,linha
463,garganta,É
464,garganta,pra
465,garganta,depois
466,garganta,te
467,garganta,abandonar
468,garganta,E
469,garganta,se
470,garganta,eu
471,garganta,tô
472,garganta,te
473,garganta,dando
474,garganta,linha
475,garganta,É
476,garganta,pra
477,garganta,depois
478,garganta,te
479,garganta,abandonar
480,garganta,E
481,garganta,se
482,garganta,eu
483,garganta,tô
484,garganta,te
485,garganta,dando
486,garganta,linha
487,garganta,É
488,garganta,pra
489,garganta,depois
490,garganta,te
491,garganta,abandonar
492,garganta,Aprendi
493,garganta,a
494,garganta,me
495,garganta,virar
496,garganta,sozinha
497,garganta,E
498,garganta,se
499,garganta,eu
500,garganta,tô
501,garganta,te
502,garganta,dando
503,garganta,linha
504,garganta,É
505,garganta,pra
506,garganta,depois
507,garganta,te
508,garganta,abandonar
509,garganta,Eh!
510,garganta,Eh!
511,garganta,E
512,garganta,se
513,garganta,eu
514,garganta,tô
515,garganta,te
516,garganta,dando
517,garganta,linha
518,garganta,É
519,garganta,pra
520,garganta,depois
521,garganta,te
522,garganta,abandonar
523,garganta,None
1848,uma-louca-tempestade,Eu
1849,uma-louca-tempestade,quero
1850,uma-louca-tempestade,sentir
1851,uma-louca-tempestade,a
1852,uma-louca-tempestade,noite
1853,uma-louca-tempestade,Eu
1854,uma-louca-tempestade,quero
1855,uma-louca-tempestade,olhar
1856,uma-louca-tempestade,as
1857,uma-louca-tempestade,luzes
1858,uma-louca-tempestade,Que
1859,uma-louca-tempestade,teus
1860,uma-louca-tempestade,olhos
1861,uma-louca-tempestade,Não
1862,uma-louca-tempestade,me
1863,uma-louca-tempestade,têm
1864,uma-louca-tempestade,deixado
1865,uma-louca-tempestade,ver
1866,uma-louca-tempestade,Agora
1867,uma-louca-tempestade,eu
1868,uma-louca-tempestade,vou
1869,uma-louca-tempestade,viver
1870,uma-louca-tempestade,Eu
1871,uma-louca-tempestade,quero
1872,uma-louca-tempestade,seguir
1873,uma-louca-tempestade,a
1874,uma-louca-tempestade,estrela
1875,uma-louca-tempestade,Eu
1876,uma-louca-tempestade,quero
1877,uma-louca-tempestade,sentir
1878,uma-louca-tempestade,o
1879,uma-louca-tempestade,vento
1880,uma-louca-tempestade,pela
1881,uma-louca-tempestade,pele
1882,uma-louca-tempestade,Um
1883,uma-louca-tempestade,pensamento
1884,uma-louca-tempestade,me
1885,uma-louca-tempestade,fará
1886,uma-louca-tempestade,Uma
1887,uma-louca-tempestade,louca
1888,uma-louca-tempestade,tempestade
1889,uma-louca-tempestade,Quero
1890,uma-louca-tempestade,que
1891,uma-louca-tempestade,a
1892,uma-louca-tempestade,chuva
1893,uma-louca-tempestade,corra
1894,uma-louca-tempestade,sobre
1895,uma-louca-tempestade,o
1896,uma-louca-tempestade,rio
1897,uma-louca-tempestade,O
1898,uma-louca-tempestade,rio
1899,uma-louca-tempestade,que
1900,uma-louca-tempestade,por
1901,uma-louca-tempestade,ruas
1902,uma-louca-tempestade,corre
1903,uma-louca-tempestade,em
1904,uma-louca-tempestade,mim
1905,uma-louca-tempestade,As
1906,uma-louca-tempestade,águas
1907,uma-louca-tempestade,que
1908,uma-louca-tempestade,me
1909,uma-louca-tempestade,querem
