,Musicas,Acordes
0,rebirth,Am
1,rebirth,D/F#
2,rebirth,G
3,rebirth,Em
4,rebirth,F
5,rebirth,G
6,rebirth,Am
7,rebirth,Dm
8,rebirth,Bb/D
9,rebirth,C
10,rebirth,Am
11,rebirth,Dm
12,rebirth,Bb/D
13,rebirth,C
14,rebirth,G/B
15,rebirth,Am
16,rebirth,D/F#
17,rebirth,G
18,rebirth,Em
19,rebirth,F
20,rebirth,G
21,rebirth,Am
22,rebirth,Dm
23,rebirth,Bb/D
24,rebirth,C
25,rebirth,Am
26,rebirth,Dm
27,rebirth,Bb/D
28,rebirth,C
29,rebirth,G/B
30,rebirth,Am7(9)
31,rebirth,Dm7(9)
32,rebirth,G9
33,rebirth,C
34,rebirth,E7
35,rebirth,Am7(9)
36,rebirth,D9
37,rebirth,F7M
38,rebirth,Am9
39,rebirth,Am7(9)
40,rebirth,Dm7(9)
41,rebirth,G9
42,rebirth,C
43,rebirth,E7
44,rebirth,Am7(9)
45,rebirth,D9
46,rebirth,F7M
47,rebirth,Am9
48,rebirth,Am7(9)
49,rebirth,Dm7(9)
50,rebirth,G9
51,rebirth,C
52,rebirth,E7
53,rebirth,Am7(9)
54,rebirth,D9
55,rebirth,F7M
56,rebirth,Am9
57,rebirth,Am
58,rebirth,G/A
59,rebirth,Bm5-/A
60,rebirth,Am
61,rebirth,G/A
62,rebirth,E
63,rebirth,Am
64,rebirth,G/A
65,rebirth,Bm5-/A
66,rebirth,Am
67,rebirth,G/A
68,rebirth,E
69,rebirth,Am
70,rebirth,F
71,rebirth,G
72,rebirth,Am
73,rebirth,G/A
74,rebirth,Bm5-/A
75,rebirth,Am
76,rebirth,Am
77,rebirth,G/A
78,rebirth,E
79,rebirth,Am
80,rebirth,F
81,rebirth,G
82,rebirth,Am
83,rebirth,G/A
84,rebirth,Bm5-/A
85,rebirth,Am
86,rebirth,C/G
87,rebirth,G
88,rebirth,E
89,rebirth,Am
90,rebirth,G/A
91,rebirth,A7
92,rebirth,Dm
93,rebirth,G
94,rebirth,C
95,rebirth,E
96,rebirth,F
97,rebirth,G
98,rebirth,Am
99,rebirth,Am
100,rebirth,G/A
101,rebirth,Bm5-/A
102,rebirth,Am
103,rebirth,C/G
104,rebirth,G
105,rebirth,E
106,rebirth,Am
107,rebirth,Am
108,rebirth,G/A
109,rebirth,A7
110,rebirth,Dm
111,rebirth,G
112,rebirth,C
113,rebirth,E
114,rebirth,F
115,rebirth,G
116,rebirth,Am
117,rebirth,F
118,rebirth,F#m
119,rebirth,C#
120,rebirth,D
121,rebirth,D#
122,rebirth,B
123,rebirth,E
124,rebirth,A
125,rebirth,F
126,rebirth,F#
127,rebirth,C#
128,rebirth,D
129,rebirth,D#
130,rebirth,B
131,rebirth,E
132,rebirth,A
133,rebirth,C#m
134,rebirth,Eº
135,rebirth,C#m
136,rebirth,Eº
137,rebirth,C#m
138,rebirth,Eº
139,rebirth,Am
140,rebirth,G
141,rebirth,F
142,rebirth,G
143,rebirth,Am
144,rebirth,G
145,rebirth,C#m
146,rebirth,Eº
147,rebirth,C#m
148,rebirth,Eº
149,rebirth,C#m
150,rebirth,Eº
151,rebirth,Am
152,rebirth,F
153,rebirth,Am
154,rebirth,F
155,rebirth,Am
156,rebirth,F
157,rebirth,Dm
158,rebirth,C
159,rebirth,E
160,rebirth,F
161,rebirth,G
162,rebirth,Am
163,rebirth,G
164,rebirth,F
165,rebirth,G
166,rebirth,Am
167,rebirth,G
168,rebirth,F
169,rebirth,F/E
170,rebirth,Dm
171,rebirth,C
172,rebirth,E
173,rebirth,F
174,rebirth,G
175,rebirth,A
176,rebirth,Am
177,rebirth,D/F#
178,rebirth,G
179,rebirth,Em
180,rebirth,F
181,rebirth,G
476,bleeding-heart,Eb9
477,bleeding-heart,C9
478,bleeding-heart,Eb9
479,bleeding-heart,C9
480,bleeding-heart,Eb9
481,bleeding-heart,C9
482,bleeding-heart,Eb9
483,bleeding-heart,C9
484,bleeding-heart,Bb
485,bleeding-heart,Cm
486,bleeding-heart,Gm
487,bleeding-heart,Eb
488,bleeding-heart,Bb
489,bleeding-heart,Ab
490,bleeding-heart,F
491,bleeding-heart,Bb
492,bleeding-heart,Cm
493,bleeding-heart,Gm
494,bleeding-heart,Eb
495,bleeding-heart,Bb
496,bleeding-heart,Ab
497,bleeding-heart,F
498,bleeding-heart,Eb9
499,bleeding-heart,C9
500,bleeding-heart,Eb9
501,bleeding-heart,C9
502,bleeding-heart,Eb9
503,bleeding-heart,C9
504,bleeding-heart,Bb
505,bleeding-heart,Cm
506,bleeding-heart,Gm
507,bleeding-heart,Eb
508,bleeding-heart,Bb
509,bleeding-heart,Ab
510,bleeding-heart,F
511,bleeding-heart,Bb
512,bleeding-heart,Cm
513,bleeding-heart,Gm
514,bleeding-heart,Eb
515,bleeding-heart,Bb
516,bleeding-heart,Ab
517,bleeding-heart,F
518,bleeding-heart,Eb
519,bleeding-heart,Cm
520,bleeding-heart,Dm
521,bleeding-heart,Eb
522,bleeding-heart,F9
523,bleeding-heart,Gm
524,bleeding-heart,F
525,bleeding-heart,Eb
526,bleeding-heart,Dm
527,bleeding-heart,Cm
528,bleeding-heart,Bb
529,bleeding-heart,Ab
530,bleeding-heart,F
531,bleeding-heart,Bb
532,bleeding-heart,Cm
533,bleeding-heart,Gm
534,bleeding-heart,Eb
535,bleeding-heart,Bb
536,bleeding-heart,Ab
537,bleeding-heart,F
538,bleeding-heart,Bb
539,bleeding-heart,Cm
540,bleeding-heart,Gm
541,bleeding-heart,Eb
542,bleeding-heart,Bb
543,bleeding-heart,Ab
544,bleeding-heart,F
545,bleeding-heart,Eb9
546,bleeding-heart,C9
547,bleeding-heart,Bb9
952,carry-on,A5
953,carry-on,D5
954,carry-on,C5
955,carry-on,G5
956,carry-on,A5
957,carry-on,F5
958,carry-on,D5
959,carry-on,G5
960,carry-on,A5
961,carry-on,D5
962,carry-on,C5
963,carry-on,G5
964,carry-on,A5
965,carry-on,F5
966,carry-on,D5
967,carry-on,G5
968,carry-on,D5
969,carry-on,A5
970,carry-on,G5
971,carry-on,F5
972,carry-on,C5
973,carry-on,G5
974,carry-on,F5
975,carry-on,A5
976,carry-on,G5
977,carry-on,F5
978,carry-on,E5
979,carry-on,A5
980,carry-on,D5
981,carry-on,C5
982,carry-on,G5
983,carry-on,A5
984,carry-on,F5
985,carry-on,D5
986,carry-on,G5
987,carry-on,A5
988,carry-on,D5
989,carry-on,C5
990,carry-on,G5
991,carry-on,A5
992,carry-on,F5
993,carry-on,D5
994,carry-on,G5
995,carry-on,D5
996,carry-on,A5
997,carry-on,G5
998,carry-on,F5
999,carry-on,C5
1000,carry-on,G5
1001,carry-on,F5
1002,carry-on,A5
1003,carry-on,G5
1004,carry-on,F5
1005,carry-on,G5
1006,carry-on,C5
1007,carry-on,G/B
1008,carry-on,A5
1009,carry-on,E5
1010,carry-on,F5
1011,carry-on,C5
1012,carry-on,G5
1013,carry-on,C5
1014,carry-on,G/B
1015,carry-on,A5
1016,carry-on,G5
1017,carry-on,F5
1018,carry-on,G5
1019,carry-on,D5
1020,carry-on,A5
1021,carry-on,G5
1022,carry-on,F5
1023,carry-on,C5
1024,carry-on,G5
1025,carry-on,F5
1026,carry-on,A5
1027,carry-on,G5
1028,carry-on,F5
1029,carry-on,G5
1030,carry-on,C5
