,Musicas,Acordes
0,mal-acostumado,Cm
1,mal-acostumado,Fm
2,mal-acostumado,Bb
3,mal-acostumado,Gm
4,mal-acostumado,Eb/G
5,mal-acostumado,Dm7(b5)
6,mal-acostumado,G7
7,mal-acostumado,Cm
8,mal-acostumado,Fm
9,mal-acostumado,Bb
10,mal-acostumado,Gm
11,mal-acostumado,Eb/G
12,mal-acostumado,Dm7(b5)
13,mal-acostumado,G7
14,mal-acostumado,Cm
15,mal-acostumado,Fm
16,mal-acostumado,Bb
17,mal-acostumado,Gm
18,mal-acostumado,Eb/G
19,mal-acostumado,Dm7(b5)
20,mal-acostumado,G7
21,mal-acostumado,Cm
22,mal-acostumado,Fm
23,mal-acostumado,Bb
24,mal-acostumado,Gm
25,mal-acostumado,Eb/G
26,mal-acostumado,Dm7(b5)
27,mal-acostumado,G7
28,mal-acostumado,Cm
29,mal-acostumado,Fm
30,mal-acostumado,Bb
31,mal-acostumado,Gm
32,mal-acostumado,G
33,mal-acostumado,G7
34,mal-acostumado,Cm
35,mal-acostumado,Fm
36,mal-acostumado,Ab
37,mal-acostumado,G7
38,mal-acostumado,Fm
39,mal-acostumado,Bb
40,mal-acostumado,Gm
41,mal-acostumado,Eb/G
42,mal-acostumado,Ab
43,mal-acostumado,Fm
44,mal-acostumado,G7
45,mal-acostumado,Fm
46,mal-acostumado,Bb
47,mal-acostumado,Gm
48,mal-acostumado,Eb/G
49,mal-acostumado,Ab
50,mal-acostumado,Fm
51,mal-acostumado,G7
52,mal-acostumado,Cm
53,mal-acostumado,Fm
54,mal-acostumado,Bb
55,mal-acostumado,Gm
56,mal-acostumado,Eb/G
57,mal-acostumado,Dm7(b5)
58,mal-acostumado,G7
59,mal-acostumado,Cm
60,mal-acostumado,Fm
61,mal-acostumado,Bb
62,mal-acostumado,Gm
63,mal-acostumado,Eb/G
64,mal-acostumado,Dm7(b5)
65,mal-acostumado,G7
66,mal-acostumado,Cm
67,mal-acostumado,Fm
68,mal-acostumado,Bb
69,mal-acostumado,Gm
70,mal-acostumado,Eb/G
71,mal-acostumado,Dm7(b5)
72,mal-acostumado,G7
73,mal-acostumado,Cm
74,mal-acostumado,Fm
