,Musicas,Acordes
0,o-meu-lugar,Am7(9)
1,o-meu-lugar,Dm7(9)
2,o-meu-lugar,F7M
3,o-meu-lugar,G7(b9)
4,o-meu-lugar,Am7(9)
5,o-meu-lugar,Am7(9)
6,o-meu-lugar,D7(9)
7,o-meu-lugar,Dm7
8,o-meu-lugar,G7(11)
9,o-meu-lugar,G7(b9)
10,o-meu-lugar,C7M
11,o-meu-lugar,Bm7(b5)
12,o-meu-lugar,E7(b9)
13,o-meu-lugar,Am7(9)
14,o-meu-lugar,D7(9)
15,o-meu-lugar,Dm7
16,o-meu-lugar,G7(11)
17,o-meu-lugar,G7(b9)
18,o-meu-lugar,Gm7
19,o-meu-lugar,C7(9)
20,o-meu-lugar,Fm7
21,o-meu-lugar,Bb7(b9)
22,o-meu-lugar,Eb7M
23,o-meu-lugar,Ab7M
24,o-meu-lugar,D7(9)
25,o-meu-lugar,Bm7(b5)
26,o-meu-lugar,E7(b9)
27,o-meu-lugar,Am7(9)
28,o-meu-lugar,D7(9)
29,o-meu-lugar,Dm7
30,o-meu-lugar,G7(4)
31,o-meu-lugar,G7
32,o-meu-lugar,C7M
33,o-meu-lugar,Ebº
34,o-meu-lugar,Dm7
35,o-meu-lugar,G7(11)
36,o-meu-lugar,G7
37,o-meu-lugar,C7M
38,o-meu-lugar,Ebº
39,o-meu-lugar,Dm7
40,o-meu-lugar,Bm7(b5)
41,o-meu-lugar,E7(b9)
42,o-meu-lugar,Am7(9)
43,o-meu-lugar,D7(9)
44,o-meu-lugar,Dm7
45,o-meu-lugar,G7(11)
46,o-meu-lugar,G7(b9)
47,o-meu-lugar,C7M
48,o-meu-lugar,Bm7(b5)
49,o-meu-lugar,E7(b9)
50,o-meu-lugar,Am7(9)
51,o-meu-lugar,D7(9)
52,o-meu-lugar,Dm7
53,o-meu-lugar,G7(11)
54,o-meu-lugar,G7(b9)
55,o-meu-lugar,Gm7
56,o-meu-lugar,C7(9)
57,o-meu-lugar,Fm7
58,o-meu-lugar,Bb7(b9)
59,o-meu-lugar,Eb7M
60,o-meu-lugar,Ab7M
61,o-meu-lugar,D7(9)
62,o-meu-lugar,Bm7(b5)
63,o-meu-lugar,E7(b9)
64,o-meu-lugar,Am7(9)
65,o-meu-lugar,D7(9)
66,o-meu-lugar,Dm7
67,o-meu-lugar,G7(4)
68,o-meu-lugar,G7
69,o-meu-lugar,C7M
70,o-meu-lugar,Ebº
71,o-meu-lugar,Dm7
72,o-meu-lugar,G7(11)
73,o-meu-lugar,G7
74,o-meu-lugar,C7M
75,o-meu-lugar,Ebº
76,o-meu-lugar,Dm7
77,o-meu-lugar,Bm7(b5)
78,o-meu-lugar,E7(b9)
79,o-meu-lugar,Am7(9)
80,o-meu-lugar,Em7
81,o-meu-lugar,Bm7(b5)
82,o-meu-lugar,E7(b9)
83,o-meu-lugar,Am7(9)
84,o-meu-lugar,Bm7(b5)
85,o-meu-lugar,E7(b9)
86,o-meu-lugar,Am7(9)
87,o-meu-lugar,Em7
88,o-meu-lugar,B7
89,o-meu-lugar,Bm7(b5)
90,o-meu-lugar,E7(b9)
91,o-meu-lugar,Bb7(b5)
92,o-meu-lugar,A6
93,o-meu-lugar,C#7
94,o-meu-lugar,Db7
95,o-meu-lugar,D7M
96,o-meu-lugar,E7(9)
97,o-meu-lugar,A6
98,o-meu-lugar,Em7
99,o-meu-lugar,A7(b13)
100,o-meu-lugar,Dm7
101,o-meu-lugar,G7(9)
102,o-meu-lugar,C7M
103,o-meu-lugar,Am7
104,o-meu-lugar,Dm7
105,o-meu-lugar,G7(4)
106,o-meu-lugar,G7
107,o-meu-lugar,C7M
108,o-meu-lugar,Ebº
109,o-meu-lugar,Dm7
110,o-meu-lugar,G7(11)
111,o-meu-lugar,G7
112,o-meu-lugar,C7M
113,o-meu-lugar,Ebº
114,o-meu-lugar,Dm7
115,o-meu-lugar,G7(11)
116,o-meu-lugar,C7M
117,o-meu-lugar,Em7
118,o-meu-lugar,Ebº
119,o-meu-lugar,Dm7
