,Musicas,Acordes
0,nao-tem-lua,Eb
1,nao-tem-lua,Ab
2,nao-tem-lua,Eb
3,nao-tem-lua,Ab
4,nao-tem-lua,Eb
5,nao-tem-lua,Cm
6,nao-tem-lua,Eb
7,nao-tem-lua,Cm
8,nao-tem-lua,Eb
9,nao-tem-lua,Ab
10,nao-tem-lua,Eb
11,nao-tem-lua,Bb
12,nao-tem-lua,Eb
13,nao-tem-lua,Cm
14,nao-tem-lua,Eb
15,nao-tem-lua,Cm
16,nao-tem-lua,Eb
17,nao-tem-lua,Ab
18,nao-tem-lua,Eb
19,nao-tem-lua,Ab
20,nao-tem-lua,Eb
21,nao-tem-lua,Ab
22,nao-tem-lua,Eb
23,nao-tem-lua,Ab
24,nao-tem-lua,Eb
25,nao-tem-lua,Cm
26,nao-tem-lua,Gm
27,nao-tem-lua,Fm
28,nao-tem-lua,Bb
29,nao-tem-lua,Cm
30,nao-tem-lua,Gm
31,nao-tem-lua,Fm
32,nao-tem-lua,Bb
33,nao-tem-lua,Cm
34,nao-tem-lua,Fm
35,nao-tem-lua,Bb
36,nao-tem-lua,Eb
37,nao-tem-lua,Cm
38,nao-tem-lua,Eb
39,nao-tem-lua,Cm
40,nao-tem-lua,Eb
41,nao-tem-lua,Fm
42,nao-tem-lua,Bb
43,nao-tem-lua,Eb
130,porto-seguro,Am
131,porto-seguro,C
132,porto-seguro,G
133,porto-seguro,G
134,porto-seguro,Am
135,porto-seguro,D
136,porto-seguro,G
137,porto-seguro,Am
138,porto-seguro,D
139,porto-seguro,G
140,porto-seguro,G7
141,porto-seguro,C
142,porto-seguro,G
143,porto-seguro,D
144,porto-seguro,G
145,porto-seguro,G7
146,porto-seguro,C
147,porto-seguro,G
148,porto-seguro,D
149,porto-seguro,G
150,porto-seguro,Am
151,porto-seguro,C
152,porto-seguro,G
153,porto-seguro,Am
154,porto-seguro,C
155,porto-seguro,G
156,porto-seguro,Am
260,we-are-the-world-of-carnaval,D
261,we-are-the-world-of-carnaval,Bm
262,we-are-the-world-of-carnaval,Em
263,we-are-the-world-of-carnaval,G
264,we-are-the-world-of-carnaval,A
265,we-are-the-world-of-carnaval,D
266,we-are-the-world-of-carnaval,F#7
267,we-are-the-world-of-carnaval,Bm
268,we-are-the-world-of-carnaval,Bm/A
269,we-are-the-world-of-carnaval,G
270,we-are-the-world-of-carnaval,Em
271,we-are-the-world-of-carnaval,A
272,we-are-the-world-of-carnaval,G
273,we-are-the-world-of-carnaval,Bm
274,we-are-the-world-of-carnaval,F#m
275,we-are-the-world-of-carnaval,Em-F#m
276,we-are-the-world-of-carnaval,Em
277,we-are-the-world-of-carnaval,F#m
278,we-are-the-world-of-carnaval,G
279,we-are-the-world-of-carnaval,A
280,we-are-the-world-of-carnaval,G
281,we-are-the-world-of-carnaval,F#m
282,we-are-the-world-of-carnaval,G
283,we-are-the-world-of-carnaval,F#
284,we-are-the-world-of-carnaval,Bm
285,we-are-the-world-of-carnaval,G
286,we-are-the-world-of-carnaval,A
287,we-are-the-world-of-carnaval,G
288,we-are-the-world-of-carnaval,F#m
289,we-are-the-world-of-carnaval,G
290,we-are-the-world-of-carnaval,F#
291,we-are-the-world-of-carnaval,Bm
292,we-are-the-world-of-carnaval,G
293,we-are-the-world-of-carnaval,A
390,dia-dos-namorados,G
391,dia-dos-namorados,Am
392,dia-dos-namorados,C
393,dia-dos-namorados,D
394,dia-dos-namorados,G
395,dia-dos-namorados,D
396,dia-dos-namorados,G
397,dia-dos-namorados,Am
398,dia-dos-namorados,G
399,dia-dos-namorados,Am
400,dia-dos-namorados,C
401,dia-dos-namorados,G
402,dia-dos-namorados,D
403,dia-dos-namorados,C
404,dia-dos-namorados,G
405,dia-dos-namorados,D
406,dia-dos-namorados,D
407,dia-dos-namorados,C
408,dia-dos-namorados,G
409,dia-dos-namorados,D
410,dia-dos-namorados,G
411,dia-dos-namorados,C
412,dia-dos-namorados,G
413,dia-dos-namorados,D
414,dia-dos-namorados,G
415,dia-dos-namorados,G
416,dia-dos-namorados,C
417,dia-dos-namorados,G
418,dia-dos-namorados,D
419,dia-dos-namorados,G
420,dia-dos-namorados,G
421,dia-dos-namorados,C
422,dia-dos-namorados,G
423,dia-dos-namorados,D
424,dia-dos-namorados,C
425,dia-dos-namorados,D
426,dia-dos-namorados,G
427,dia-dos-namorados,D
428,dia-dos-namorados,G
429,dia-dos-namorados,Am
430,dia-dos-namorados,C
431,dia-dos-namorados,D
432,dia-dos-namorados,G
433,dia-dos-namorados,D
520,com-amor,C
521,com-amor,Am
522,com-amor,F
523,com-amor,G
524,com-amor,C
525,com-amor,Am
526,com-amor,C
527,com-amor,Am
528,com-amor,C
529,com-amor,Am
530,com-amor,C
531,com-amor,Am
532,com-amor,C
533,com-amor,Am
534,com-amor,C
535,com-amor,Am
536,com-amor,Dm
537,com-amor,Em
538,com-amor,F
539,com-amor,G
540,com-amor,Dm
541,com-amor,Em
542,com-amor,F
543,com-amor,G
544,com-amor,E7
545,com-amor,C
546,com-amor,Am
