,Musicas,Palavras
0,nao-tem-lua,Não
1,nao-tem-lua,tem
2,nao-tem-lua,lua
3,nao-tem-lua,que
4,nao-tem-lua,faça
5,nao-tem-lua,você
6,nao-tem-lua,passar
7,nao-tem-lua,por
8,nao-tem-lua,mim
9,nao-tem-lua,Não
10,nao-tem-lua,tem
11,nao-tem-lua,"cheiro,"
12,nao-tem-lua,nem
13,nao-tem-lua,flor
14,nao-tem-lua,Nem
15,nao-tem-lua,perfume
16,nao-tem-lua,de
17,nao-tem-lua,amor
18,nao-tem-lua,Não
19,nao-tem-lua,tem
20,nao-tem-lua,lua
21,nao-tem-lua,"não,"
22,nao-tem-lua,não
23,nao-tem-lua,tem
24,nao-tem-lua,lua
25,nao-tem-lua,Menina
26,nao-tem-lua,do
27,nao-tem-lua,mar
28,nao-tem-lua,eh!
29,nao-tem-lua,Menina
30,nao-tem-lua,do
31,nao-tem-lua,mar
32,nao-tem-lua,Menina
33,nao-tem-lua,do
34,nao-tem-lua,mar
35,nao-tem-lua,eh!
36,nao-tem-lua,Tô
37,nao-tem-lua,louco
38,nao-tem-lua,de
39,nao-tem-lua,dengo
40,nao-tem-lua,pra
41,nao-tem-lua,te
42,nao-tem-lua,ver
43,nao-tem-lua,Eu
44,nao-tem-lua,só
45,nao-tem-lua,quero
46,nao-tem-lua,um
47,nao-tem-lua,pouquinho
48,nao-tem-lua,te
49,nao-tem-lua,amar
50,nao-tem-lua,Mas
51,nao-tem-lua,se
52,nao-tem-lua,a
53,nao-tem-lua,vida
54,nao-tem-lua,me
55,nao-tem-lua,leva
56,nao-tem-lua,no
57,nao-tem-lua,calor
58,nao-tem-lua,Faço
59,nao-tem-lua,tudo
60,nao-tem-lua,se
61,nao-tem-lua,você
62,nao-tem-lua,me
63,nao-tem-lua,der
64,nao-tem-lua,amor
65,nao-tem-lua,Menina
66,nao-tem-lua,do
67,nao-tem-lua,mar
68,nao-tem-lua,Menina
69,nao-tem-lua,do
70,nao-tem-lua,mar
71,nao-tem-lua,Menina
