,Musicas,Acordes
0,canto-de-ossanha,Dm
1,canto-de-ossanha,Dm/F
2,canto-de-ossanha,E7
3,canto-de-ossanha,Eb7M
4,canto-de-ossanha,Dm
5,canto-de-ossanha,Dm/F
6,canto-de-ossanha,E7
7,canto-de-ossanha,Eb7M
8,canto-de-ossanha,Dm
9,canto-de-ossanha,Dm/F
10,canto-de-ossanha,E7
11,canto-de-ossanha,Eb7M
12,canto-de-ossanha,Dm
13,canto-de-ossanha,Dm/F
14,canto-de-ossanha,E7
15,canto-de-ossanha,Eb7M
16,canto-de-ossanha,Dm
17,canto-de-ossanha,Dm/F
18,canto-de-ossanha,E7
19,canto-de-ossanha,Eb7M
20,canto-de-ossanha,Dm
21,canto-de-ossanha,Dm/F
22,canto-de-ossanha,E7
23,canto-de-ossanha,Eb7M
24,canto-de-ossanha,Dm
25,canto-de-ossanha,Dm/F
26,canto-de-ossanha,E7
27,canto-de-ossanha,Eb7M
28,canto-de-ossanha,Dm
29,canto-de-ossanha,Dm/F
30,canto-de-ossanha,E7
31,canto-de-ossanha,Eb7M
32,canto-de-ossanha,Dm
33,canto-de-ossanha,Dm/F
34,canto-de-ossanha,E7
35,canto-de-ossanha,Eb7M
36,canto-de-ossanha,Dm
37,canto-de-ossanha,Dm/F
38,canto-de-ossanha,E7
39,canto-de-ossanha,Eb7M
40,canto-de-ossanha,Dm
41,canto-de-ossanha,Dm/F
42,canto-de-ossanha,E7
43,canto-de-ossanha,Eb7M
44,canto-de-ossanha,Dm
45,canto-de-ossanha,Dm/F
46,canto-de-ossanha,E7
47,canto-de-ossanha,Eb7M
48,canto-de-ossanha,D6(9)
49,canto-de-ossanha,Bm7/A
50,canto-de-ossanha,G7M
51,canto-de-ossanha,E7(9)
52,canto-de-ossanha,A7(9)
53,canto-de-ossanha,D6(9)
54,canto-de-ossanha,Bm7
55,canto-de-ossanha,G7M
56,canto-de-ossanha,Em7
57,canto-de-ossanha,A7(9)
58,canto-de-ossanha,Dm
59,canto-de-ossanha,Dm/F
60,canto-de-ossanha,E7
61,canto-de-ossanha,Eb7M
62,canto-de-ossanha,Dm
63,canto-de-ossanha,Dm/F
64,canto-de-ossanha,E7
65,canto-de-ossanha,Eb7M
66,canto-de-ossanha,Dm
67,canto-de-ossanha,Dm/F
68,canto-de-ossanha,E7
69,canto-de-ossanha,Eb7M
70,canto-de-ossanha,Dm
71,canto-de-ossanha,Dm/F
72,canto-de-ossanha,E7
73,canto-de-ossanha,Eb7M
74,canto-de-ossanha,Dm
75,canto-de-ossanha,Dm/F
76,canto-de-ossanha,E7
77,canto-de-ossanha,Eb7M
78,canto-de-ossanha,Dm
79,canto-de-ossanha,Dm/F
80,canto-de-ossanha,E7
81,canto-de-ossanha,Eb7M
82,canto-de-ossanha,D6(9)
83,canto-de-ossanha,Bm7/A
84,canto-de-ossanha,G7M
85,canto-de-ossanha,E7(9)
86,canto-de-ossanha,A7(9)
87,canto-de-ossanha,D6(9)
88,canto-de-ossanha,Bm7
89,canto-de-ossanha,G7M
90,canto-de-ossanha,Em7
91,canto-de-ossanha,A7(9)
92,canto-de-ossanha,Dm
93,canto-de-ossanha,Dm/F
94,canto-de-ossanha,E7
95,canto-de-ossanha,Eb7M
96,canto-de-ossanha,Dm
