,Musicas,Acordes
0,a-lua-me-traiu,G
1,a-lua-me-traiu,Em
2,a-lua-me-traiu,Am
3,a-lua-me-traiu,Em
4,a-lua-me-traiu,Am
5,a-lua-me-traiu,C
6,a-lua-me-traiu,D
7,a-lua-me-traiu,Em
8,a-lua-me-traiu,Em
9,a-lua-me-traiu,Am
10,a-lua-me-traiu,Em
11,a-lua-me-traiu,Am
12,a-lua-me-traiu,C
13,a-lua-me-traiu,D
14,a-lua-me-traiu,Em
15,a-lua-me-traiu,Em
16,a-lua-me-traiu,G
17,a-lua-me-traiu,D
18,a-lua-me-traiu,C
19,a-lua-me-traiu,G
20,a-lua-me-traiu,D
21,a-lua-me-traiu,C
22,a-lua-me-traiu,C
23,a-lua-me-traiu,G
24,a-lua-me-traiu,D
25,a-lua-me-traiu,C
26,a-lua-me-traiu,G
27,a-lua-me-traiu,D
28,a-lua-me-traiu,C
29,a-lua-me-traiu,Am
30,a-lua-me-traiu,D
31,a-lua-me-traiu,Bm
32,a-lua-me-traiu,Em
33,a-lua-me-traiu,Am
34,a-lua-me-traiu,D
35,a-lua-me-traiu,D#º
36,a-lua-me-traiu,Em
37,a-lua-me-traiu,D
38,a-lua-me-traiu,A
39,a-lua-me-traiu,G
40,a-lua-me-traiu,D
41,a-lua-me-traiu,Am
42,a-lua-me-traiu,C
43,a-lua-me-traiu,G
44,a-lua-me-traiu,D
45,a-lua-me-traiu,Am
46,a-lua-me-traiu,C
47,a-lua-me-traiu,G
48,a-lua-me-traiu,D
49,a-lua-me-traiu,C
50,a-lua-me-traiu,G
51,a-lua-me-traiu,D
52,a-lua-me-traiu,C
53,a-lua-me-traiu,G
54,a-lua-me-traiu,D
55,a-lua-me-traiu,D#º
56,a-lua-me-traiu,Em
133,cavalo-manco,Dm
134,cavalo-manco,F
135,cavalo-manco,Dm
136,cavalo-manco,Gm
137,cavalo-manco,A7
138,cavalo-manco,Dm
139,cavalo-manco,A7
140,cavalo-manco,Dm
141,cavalo-manco,C
142,cavalo-manco,Dm
143,cavalo-manco,C
144,cavalo-manco,Gm
145,cavalo-manco,Bb
146,cavalo-manco,F
147,cavalo-manco,Gm
148,cavalo-manco,A7
149,cavalo-manco,Dm
150,cavalo-manco,Bb
151,cavalo-manco,F
152,cavalo-manco,Gm
153,cavalo-manco,A7
154,cavalo-manco,Dm
155,cavalo-manco,A7
156,cavalo-manco,Dm
157,cavalo-manco,F
158,cavalo-manco,Dm
159,cavalo-manco,Gm
160,cavalo-manco,A7
161,cavalo-manco,Dm
162,cavalo-manco,A7
163,cavalo-manco,Dm
164,cavalo-manco,F
165,cavalo-manco,Dm
166,cavalo-manco,Gm
167,cavalo-manco,A7
168,cavalo-manco,Dm
169,cavalo-manco,A7
170,cavalo-manco,Dm
171,cavalo-manco,Bb
172,cavalo-manco,F
173,cavalo-manco,Gm
174,cavalo-manco,Dm
175,cavalo-manco,Bb
176,cavalo-manco,F
266,fala-pra-mim,Am
267,fala-pra-mim,F
268,fala-pra-mim,C
269,fala-pra-mim,G
270,fala-pra-mim,Am
271,fala-pra-mim,F
272,fala-pra-mim,C
273,fala-pra-mim,G
274,fala-pra-mim,Am
275,fala-pra-mim,C
276,fala-pra-mim,G
277,fala-pra-mim,Dm
278,fala-pra-mim,F
279,fala-pra-mim,G
280,fala-pra-mim,F
281,fala-pra-mim,C
282,fala-pra-mim,F
283,fala-pra-mim,C
284,fala-pra-mim,A#
285,fala-pra-mim,Dm
286,fala-pra-mim,A#
287,fala-pra-mim,G
288,fala-pra-mim,Am
289,fala-pra-mim,Am
290,fala-pra-mim,F
291,fala-pra-mim,C
292,fala-pra-mim,G
293,fala-pra-mim,Am
294,fala-pra-mim,F
295,fala-pra-mim,C
296,fala-pra-mim,G
297,fala-pra-mim,Am
298,fala-pra-mim,Am
299,fala-pra-mim,F
300,fala-pra-mim,C
301,fala-pra-mim,A#
302,fala-pra-mim,Dm
303,fala-pra-mim,G
