,Musicas,Acordes
0,pequena-eva,Em
1,pequena-eva,D
2,pequena-eva,A/C#
3,pequena-eva,Bm
4,pequena-eva,Bm/A
5,pequena-eva,G
6,pequena-eva,F#m
7,pequena-eva,Em
8,pequena-eva,A4
9,pequena-eva,A
10,pequena-eva,G
11,pequena-eva,A
12,pequena-eva,G
13,pequena-eva,D
14,pequena-eva,D4
15,pequena-eva,D
16,pequena-eva,D4
17,pequena-eva,G
18,pequena-eva,A
19,pequena-eva,G
20,pequena-eva,D
21,pequena-eva,Em
22,pequena-eva,D
23,pequena-eva,A/C#
24,pequena-eva,Bm
25,pequena-eva,Bm/A
26,pequena-eva,G
27,pequena-eva,F#m
28,pequena-eva,Em
29,pequena-eva,A4
30,pequena-eva,A
31,pequena-eva,D
32,pequena-eva,A/C#
33,pequena-eva,Bm
34,pequena-eva,Bm/A
35,pequena-eva,G
36,pequena-eva,F#m
37,pequena-eva,Em
38,pequena-eva,A4
39,pequena-eva,A
40,pequena-eva,G
41,pequena-eva,A
42,pequena-eva,G
43,pequena-eva,D
44,pequena-eva,D4
45,pequena-eva,D
46,pequena-eva,D4
47,pequena-eva,G
48,pequena-eva,A
49,pequena-eva,G
50,pequena-eva,D
51,pequena-eva,Em
52,pequena-eva,D
53,pequena-eva,A/C#
54,pequena-eva,Bm
55,pequena-eva,Bm/A
56,pequena-eva,G
57,pequena-eva,F#m
58,pequena-eva,Em
59,pequena-eva,A4
60,pequena-eva,A
61,pequena-eva,D
62,pequena-eva,A/C#
63,pequena-eva,Bm
64,pequena-eva,Bm/A
65,pequena-eva,G
66,pequena-eva,F#m
67,pequena-eva,Em
68,pequena-eva,A4
69,pequena-eva,A
70,pequena-eva,Bm
71,pequena-eva,A/C#
72,pequena-eva,G/D
73,pequena-eva,E4
74,pequena-eva,G
75,pequena-eva,A
76,pequena-eva,G
77,pequena-eva,D
78,pequena-eva,D4
79,pequena-eva,D
80,pequena-eva,D4
81,pequena-eva,G
82,pequena-eva,A
83,pequena-eva,G
84,pequena-eva,D
85,pequena-eva,Em
86,pequena-eva,D
87,pequena-eva,A/C#
88,pequena-eva,Bm
89,pequena-eva,Bm/A
90,pequena-eva,G
91,pequena-eva,F#m
92,pequena-eva,Em
93,pequena-eva,A4
94,pequena-eva,A
