,Musicas,Acordes
0,por-voce,E
1,por-voce,A5(9)
2,por-voce,E
3,por-voce,A5(9)
4,por-voce,E
5,por-voce,A5(9)
6,por-voce,E
7,por-voce,E/D
8,por-voce,D5(9)
9,por-voce,C
10,por-voce,D5(9)
11,por-voce,E
12,por-voce,A5(9)
13,por-voce,E
14,por-voce,A5(9)
15,por-voce,E
16,por-voce,E/D
17,por-voce,D5(9)
18,por-voce,C
19,por-voce,D5(9)
20,por-voce,E
21,por-voce,C#m
22,por-voce,A9
23,por-voce,C#m
24,por-voce,B5(9)
25,por-voce,C#m
26,por-voce,A9
27,por-voce,C#m
28,por-voce,B5(9)
29,por-voce,A9
30,por-voce,E
31,por-voce,A5(9)
32,por-voce,B5(9)
33,por-voce,E
34,por-voce,B5(9)
35,por-voce,A5(9)
36,por-voce,B4
37,por-voce,A9/C#
38,por-voce,B5(9)
39,por-voce,E
40,por-voce,A5(9)
41,por-voce,E
42,por-voce,A5(9)
43,por-voce,E
44,por-voce,A5(9)
45,por-voce,E
46,por-voce,A5(9)
47,por-voce,E
48,por-voce,A5(9)
49,por-voce,E
50,por-voce,A5(9)
51,por-voce,E
52,por-voce,E/D
53,por-voce,D5(9)
54,por-voce,C
55,por-voce,D5(9)
56,por-voce,E
57,por-voce,A5(9)
58,por-voce,E
59,por-voce,A5(9)
60,por-voce,E
61,por-voce,E/D
62,por-voce,D5(9)
63,por-voce,C
64,por-voce,D5(9)
65,por-voce,E
66,por-voce,C#m
67,por-voce,A5(9)
68,por-voce,C#m
69,por-voce,B5(9)
70,por-voce,C#m
71,por-voce,A5(9)
72,por-voce,C#m
73,por-voce,B5(9)
74,por-voce,A5(9)
75,por-voce,E
76,por-voce,A5(9)
77,por-voce,B5(9)
78,por-voce,E
79,por-voce,B5(9)
80,por-voce,A5(9)
81,por-voce,B4
82,por-voce,A9/C#
83,por-voce,B5(9)
84,por-voce,E
85,por-voce,A9
86,por-voce,E
87,por-voce,A5(9)
88,por-voce,E
89,por-voce,A5(9)
90,por-voce,E
91,por-voce,A5(9)
92,por-voce,E
164,o-poeta-esta-vivo,Dm7
165,o-poeta-esta-vivo,Dm7
166,o-poeta-esta-vivo,Dm7
167,o-poeta-esta-vivo,C/E
168,o-poeta-esta-vivo,F9
169,o-poeta-esta-vivo,Gm7(9)
170,o-poeta-esta-vivo,Bb6(11+)
171,o-poeta-esta-vivo,D9(11)
172,o-poeta-esta-vivo,Dm7
173,o-poeta-esta-vivo,C/E
174,o-poeta-esta-vivo,F9
175,o-poeta-esta-vivo,Gm7(9)
176,o-poeta-esta-vivo,Bb6(11+)
177,o-poeta-esta-vivo,D9(11)
178,o-poeta-esta-vivo,Bb6(11+)
179,o-poeta-esta-vivo,C
180,o-poeta-esta-vivo,D9(11)
181,o-poeta-esta-vivo,Bb6(11+)
182,o-poeta-esta-vivo,C
183,o-poeta-esta-vivo,D9(11)
184,o-poeta-esta-vivo,Eb7M
185,o-poeta-esta-vivo,Dm7
186,o-poeta-esta-vivo,Eb7M
187,o-poeta-esta-vivo,D7
188,o-poeta-esta-vivo,Bb6(11+)
189,o-poeta-esta-vivo,C
190,o-poeta-esta-vivo,Dm7
191,o-poeta-esta-vivo,Dm7
192,o-poeta-esta-vivo,C/E
193,o-poeta-esta-vivo,F9
194,o-poeta-esta-vivo,Gm7(9)
195,o-poeta-esta-vivo,Bb6(11+)
196,o-poeta-esta-vivo,D9(11)
197,o-poeta-esta-vivo,Dm7
198,o-poeta-esta-vivo,C/E
199,o-poeta-esta-vivo,F9
200,o-poeta-esta-vivo,Gm7(9)
201,o-poeta-esta-vivo,Bb6(11+)
202,o-poeta-esta-vivo,D9(11)
203,o-poeta-esta-vivo,Bb6(11+)
204,o-poeta-esta-vivo,C
205,o-poeta-esta-vivo,D9(11)
206,o-poeta-esta-vivo,Bb6(11+)
207,o-poeta-esta-vivo,C
208,o-poeta-esta-vivo,D9(11)
209,o-poeta-esta-vivo,Eb7M
210,o-poeta-esta-vivo,Dm7
211,o-poeta-esta-vivo,Eb7M
212,o-poeta-esta-vivo,D7
213,o-poeta-esta-vivo,Bb6(11+)
214,o-poeta-esta-vivo,C
215,o-poeta-esta-vivo,Dm7
216,o-poeta-esta-vivo,Eb7M
217,o-poeta-esta-vivo,Dm7
218,o-poeta-esta-vivo,Eb7M
219,o-poeta-esta-vivo,D7
220,o-poeta-esta-vivo,Bb6(11+)
221,o-poeta-esta-vivo,C
222,o-poeta-esta-vivo,Dm7
223,o-poeta-esta-vivo,Dm7
224,o-poeta-esta-vivo,Dm7
225,o-poeta-esta-vivo,F9
226,o-poeta-esta-vivo,Bb6(11+)
227,o-poeta-esta-vivo,Gm7(9)
228,o-poeta-esta-vivo,Bb6(11+)
229,o-poeta-esta-vivo,D9(11)
230,o-poeta-esta-vivo,Bb9
231,o-poeta-esta-vivo,C
232,o-poeta-esta-vivo,D9(11)
233,o-poeta-esta-vivo,Bb6(11+)
234,o-poeta-esta-vivo,C
235,o-poeta-esta-vivo,D9(11)
236,o-poeta-esta-vivo,Eb7M
237,o-poeta-esta-vivo,Dm7
238,o-poeta-esta-vivo,Eb7M
239,o-poeta-esta-vivo,D7
240,o-poeta-esta-vivo,Bb6(11+)
241,o-poeta-esta-vivo,C
242,o-poeta-esta-vivo,Dm7
243,o-poeta-esta-vivo,Eb7M
244,o-poeta-esta-vivo,Dm7
245,o-poeta-esta-vivo,Eb7M
246,o-poeta-esta-vivo,D7
247,o-poeta-esta-vivo,Bb6(11+)
248,o-poeta-esta-vivo,C
249,o-poeta-esta-vivo,Dm7
250,o-poeta-esta-vivo,Bb6(11+)
251,o-poeta-esta-vivo,C
252,o-poeta-esta-vivo,Dm7
253,o-poeta-esta-vivo,D9(11)
254,o-poeta-esta-vivo,Bb6(11+)
255,o-poeta-esta-vivo,C
256,o-poeta-esta-vivo,Dm7
257,o-poeta-esta-vivo,Dm7
258,o-poeta-esta-vivo,Dm7
328,bete-balanco,Em
329,bete-balanco,Am
330,bete-balanco,Em
331,bete-balanco,Em
332,bete-balanco,Am
333,bete-balanco,Em
334,bete-balanco,Bm7
335,bete-balanco,C
336,bete-balanco,Am
337,bete-balanco,Bm7
338,bete-balanco,C
339,bete-balanco,B7
340,bete-balanco,Em
341,bete-balanco,Bm7
342,bete-balanco,F#m7
343,bete-balanco,Bm7
344,bete-balanco,F#m7
345,bete-balanco,Bm7
346,bete-balanco,F#m7
347,bete-balanco,Bm7
348,bete-balanco,C
349,bete-balanco,Bm7
350,bete-balanco,C
351,bete-balanco,Am
352,bete-balanco,Bm7
353,bete-balanco,C
354,bete-balanco,B7
355,bete-balanco,Em
356,bete-balanco,Bm7
357,bete-balanco,C
358,bete-balanco,Am
359,bete-balanco,Bm7
360,bete-balanco,C
361,bete-balanco,B7
362,bete-balanco,Em
492,amor-meu-grande-amor,F#
493,amor-meu-grande-amor,C#/F#
494,amor-meu-grande-amor,E/F#
495,amor-meu-grande-amor,B
496,amor-meu-grande-amor,F#
497,amor-meu-grande-amor,C#/F#
498,amor-meu-grande-amor,E/F#
499,amor-meu-grande-amor,B
500,amor-meu-grande-amor,F#
501,amor-meu-grande-amor,C#/F
502,amor-meu-grande-amor,B
503,amor-meu-grande-amor,A
504,amor-meu-grande-amor,G#
505,amor-meu-grande-amor,F#
506,amor-meu-grande-amor,C#/F#
507,amor-meu-grande-amor,E/F#
508,amor-meu-grande-amor,B
509,amor-meu-grande-amor,F#
510,amor-meu-grande-amor,C#/F#
511,amor-meu-grande-amor,B
512,amor-meu-grande-amor,A
513,amor-meu-grande-amor,G#
514,amor-meu-grande-amor,F#
515,amor-meu-grande-amor,C#/F#
516,amor-meu-grande-amor,E/F#
517,amor-meu-grande-amor,B
518,amor-meu-grande-amor,F#
519,amor-meu-grande-amor,C#/F#
520,amor-meu-grande-amor,E/F#
521,amor-meu-grande-amor,B
522,amor-meu-grande-amor,F#
523,amor-meu-grande-amor,C#/F
524,amor-meu-grande-amor,B
525,amor-meu-grande-amor,A
526,amor-meu-grande-amor,G#
527,amor-meu-grande-amor,B9
528,amor-meu-grande-amor,C#9
529,amor-meu-grande-amor,B/D#
530,amor-meu-grande-amor,C#/F
531,amor-meu-grande-amor,B9
532,amor-meu-grande-amor,C#9
533,amor-meu-grande-amor,B/D#
534,amor-meu-grande-amor,C#/F
535,amor-meu-grande-amor,F#
536,amor-meu-grande-amor,C#/F#
537,amor-meu-grande-amor,E/F#
538,amor-meu-grande-amor,B
539,amor-meu-grande-amor,F#
540,amor-meu-grande-amor,C#7/F
541,amor-meu-grande-amor,B
542,amor-meu-grande-amor,A
543,amor-meu-grande-amor,G#
544,amor-meu-grande-amor,F#
545,amor-meu-grande-amor,C#/F#
546,amor-meu-grande-amor,E/F#
547,amor-meu-grande-amor,B
548,amor-meu-grande-amor,F#
549,amor-meu-grande-amor,C#/F#
550,amor-meu-grande-amor,B
551,amor-meu-grande-amor,A
552,amor-meu-grande-amor,G#
553,amor-meu-grande-amor,B9
554,amor-meu-grande-amor,C#9
555,amor-meu-grande-amor,B/D#
556,amor-meu-grande-amor,C#/F
557,amor-meu-grande-amor,B9
558,amor-meu-grande-amor,C#9
559,amor-meu-grande-amor,B/D#
560,amor-meu-grande-amor,C#/F
656,codinome-beija-flor,A
657,codinome-beija-flor,A7M
658,codinome-beija-flor,A
659,codinome-beija-flor,A7M
