,Musicas,Palavras
0,por-voce,Eu
1,por-voce,dançaria
2,por-voce,tango
3,por-voce,no
4,por-voce,teto
5,por-voce,Eu
6,por-voce,limparia
7,por-voce,Os
8,por-voce,trilhos
9,por-voce,do
10,por-voce,metrô
11,por-voce,Eu
12,por-voce,iria
13,por-voce,a
14,por-voce,pé
15,por-voce,Do
16,por-voce,Rio
17,por-voce,a
18,por-voce,Salvador
19,por-voce,A
20,por-voce,vida
21,por-voce,como
22,por-voce,ela
23,por-voce,é
24,por-voce,Viajaria
25,por-voce,a
26,por-voce,prazo
27,por-voce,Pro
28,por-voce,inferno
29,por-voce,Eu
30,por-voce,tomaria
31,por-voce,banho
32,por-voce,gelado
33,por-voce,No
34,por-voce,inverno
35,por-voce,Eu
36,por-voce,deixaria
37,por-voce,de
38,por-voce,beber
39,por-voce,Por
40,por-voce,você
41,por-voce,Eu
42,por-voce,ficaria
43,por-voce,rico
44,por-voce,num
45,por-voce,mês
46,por-voce,Eu
47,por-voce,dormiria
48,por-voce,de
49,por-voce,meia
50,por-voce,Pra
51,por-voce,virar
52,por-voce,burguês
53,por-voce,Até
54,por-voce,o
55,por-voce,meu
56,por-voce,nome
57,por-voce,Eu
58,por-voce,viveria
59,por-voce,Em
60,por-voce,greve
61,por-voce,de
62,por-voce,fome
63,por-voce,Desejaria
64,por-voce,todo
65,por-voce,o
66,por-voce,dia
67,por-voce,A
68,por-voce,mesma
69,por-voce,mulher
70,por-voce,Por
71,por-voce,você!
72,por-voce,Por
73,por-voce,você!
74,por-voce,Conseguiria
75,por-voce,até
76,por-voce,ficar
77,por-voce,alegre
78,por-voce,Pintaria
79,por-voce,todo
80,por-voce,o
81,por-voce,céu
82,por-voce,De
83,por-voce,vermelho
84,por-voce,Eu
85,por-voce,teria
86,por-voce,mais
87,por-voce,herdeiros
88,por-voce,Que
89,por-voce,um
90,por-voce,coelho
91,por-voce,A
92,por-voce,vida
93,por-voce,como
94,por-voce,ela
95,por-voce,é
96,por-voce,Viajaria
97,por-voce,a
98,por-voce,prazo
99,por-voce,Pro
100,por-voce,inferno
101,por-voce,Eu
102,por-voce,tomaria
103,por-voce,banho
104,por-voce,gelado
105,por-voce,No
106,por-voce,inverno
107,por-voce,Até
108,por-voce,o
109,por-voce,meu
110,por-voce,nome
111,por-voce,Eu
112,por-voce,viveria
113,por-voce,Em
114,por-voce,greve
115,por-voce,de
116,por-voce,fome
117,por-voce,Desejaria
118,por-voce,todo
119,por-voce,o
120,por-voce,dia
121,por-voce,A
122,por-voce,mesma
123,por-voce,mulher
124,por-voce,Por
125,por-voce,você!
126,por-voce,Por
127,por-voce,você!
128,por-voce,Até
129,por-voce,o
130,por-voce,meu
131,por-voce,nome
132,por-voce,Eu
133,por-voce,viveria
134,por-voce,Em
135,por-voce,greve
136,por-voce,de
137,por-voce,fome
138,por-voce,Desejaria
139,por-voce,todo
140,por-voce,o
141,por-voce,dia
142,por-voce,A
143,por-voce,mesma
144,por-voce,mulher
145,por-voce,Por
146,por-voce,você!
147,por-voce,Por
148,por-voce,você!
149,por-voce,Por
150,por-voce,você!
151,por-voce,Por
152,por-voce,você!
153,por-voce,Por
154,por-voce,você!
155,por-voce,Por
156,por-voce,você!
157,por-voce,Por
158,por-voce,você!
159,por-voce,Por
160,por-voce,você!
161,por-voce,None
222,o-poeta-esta-vivo,E
223,o-poeta-esta-vivo,vem
224,o-poeta-esta-vivo,ver
225,o-poeta-esta-vivo,o
226,o-poeta-esta-vivo,sol
227,o-poeta-esta-vivo,Ele
228,o-poeta-esta-vivo,continua
229,o-poeta-esta-vivo,a
230,o-poeta-esta-vivo,brilhar
231,o-poeta-esta-vivo,Apesar
232,o-poeta-esta-vivo,de
233,o-poeta-esta-vivo,tanta
234,o-poeta-esta-vivo,barbaridade
235,o-poeta-esta-vivo,A
236,o-poeta-esta-vivo,aurora
237,o-poeta-esta-vivo,dos
238,o-poeta-esta-vivo,nossos
239,o-poeta-esta-vivo,tempos
240,o-poeta-esta-vivo,Não
241,o-poeta-esta-vivo,é
242,o-poeta-esta-vivo,hora
243,o-poeta-esta-vivo,de
244,o-poeta-esta-vivo,chorar
245,o-poeta-esta-vivo,Amanheceu
246,o-poeta-esta-vivo,o
247,o-poeta-esta-vivo,pensamento
248,o-poeta-esta-vivo,Com
249,o-poeta-esta-vivo,seus
250,o-poeta-esta-vivo,moinhos
251,o-poeta-esta-vivo,de
252,o-poeta-esta-vivo,vento
253,o-poeta-esta-vivo,A
254,o-poeta-esta-vivo,impulsionar
255,o-poeta-esta-vivo,A
256,o-poeta-esta-vivo,grande
257,o-poeta-esta-vivo,roda
258,o-poeta-esta-vivo,da
259,o-poeta-esta-vivo,história
260,o-poeta-esta-vivo,Amanheceu
261,o-poeta-esta-vivo,o
262,o-poeta-esta-vivo,pensamento
263,o-poeta-esta-vivo,Que
264,o-poeta-esta-vivo,vai
265,o-poeta-esta-vivo,mudar
266,o-poeta-esta-vivo,o
267,o-poeta-esta-vivo,mundo
268,o-poeta-esta-vivo,Com
269,o-poeta-esta-vivo,seus
270,o-poeta-esta-vivo,moinhos
271,o-poeta-esta-vivo,de
272,o-poeta-esta-vivo,vento
273,o-poeta-esta-vivo,Seja
274,o-poeta-esta-vivo,pelo
275,o-poeta-esta-vivo,menos
276,o-poeta-esta-vivo,humana
277,o-poeta-esta-vivo,Quando
278,o-poeta-esta-vivo,o
279,o-poeta-esta-vivo,papa
280,o-poeta-esta-vivo,e
281,o-poeta-esta-vivo,seu
282,o-poeta-esta-vivo,rebanho
283,o-poeta-esta-vivo,chegar
284,o-poeta-esta-vivo,Não
285,o-poeta-esta-vivo,tenha
286,o-poeta-esta-vivo,pena
287,o-poeta-esta-vivo,Quando
288,o-poeta-esta-vivo,sente
289,o-poeta-esta-vivo,dor
290,o-poeta-esta-vivo,Mas
291,o-poeta-esta-vivo,nu
292,o-poeta-esta-vivo,e
293,o-poeta-esta-vivo,só
294,o-poeta-esta-vivo,ao
295,o-poeta-esta-vivo,meio
296,o-poeta-esta-vivo,dia
297,o-poeta-esta-vivo,Só
298,o-poeta-esta-vivo,quem
299,o-poeta-esta-vivo,está
300,o-poeta-esta-vivo,pronto
301,o-poeta-esta-vivo,pro
302,o-poeta-esta-vivo,amor
303,o-poeta-esta-vivo,Foi
304,o-poeta-esta-vivo,ao
305,o-poeta-esta-vivo,inferno
306,o-poeta-esta-vivo,e
307,o-poeta-esta-vivo,voltou
308,o-poeta-esta-vivo,Conheceu
309,o-poeta-esta-vivo,os
310,o-poeta-esta-vivo,jardins
311,o-poeta-esta-vivo,do
312,o-poeta-esta-vivo,Éden
313,o-poeta-esta-vivo,E
314,o-poeta-esta-vivo,nos
315,o-poeta-esta-vivo,contou
316,o-poeta-esta-vivo,Amanheceu
317,o-poeta-esta-vivo,o
318,o-poeta-esta-vivo,pensamento
319,o-poeta-esta-vivo,Que
320,o-poeta-esta-vivo,vai
321,o-poeta-esta-vivo,mudar
322,o-poeta-esta-vivo,o
323,o-poeta-esta-vivo,mundo
324,o-poeta-esta-vivo,Com
325,o-poeta-esta-vivo,seus
326,o-poeta-esta-vivo,moinhos
327,o-poeta-esta-vivo,de
328,o-poeta-esta-vivo,vento
329,o-poeta-esta-vivo,Amanheceu
330,o-poeta-esta-vivo,o
331,o-poeta-esta-vivo,pensamento
332,o-poeta-esta-vivo,Que
333,o-poeta-esta-vivo,vai
334,o-poeta-esta-vivo,mudar
335,o-poeta-esta-vivo,o
336,o-poeta-esta-vivo,mundo
337,o-poeta-esta-vivo,Com
338,o-poeta-esta-vivo,seus
339,o-poeta-esta-vivo,moinhos
340,o-poeta-esta-vivo,de
341,o-poeta-esta-vivo,vento
342,o-poeta-esta-vivo,Foi
343,o-poeta-esta-vivo,ao
344,o-poeta-esta-vivo,inferno
345,o-poeta-esta-vivo,e
346,o-poeta-esta-vivo,voltou
347,o-poeta-esta-vivo,Conheceu
348,o-poeta-esta-vivo,os
349,o-poeta-esta-vivo,jardins
350,o-poeta-esta-vivo,do
351,o-poeta-esta-vivo,Éden
352,o-poeta-esta-vivo,E
353,o-poeta-esta-vivo,nos
354,o-poeta-esta-vivo,contou
355,o-poeta-esta-vivo,Amanheceu
356,o-poeta-esta-vivo,o
357,o-poeta-esta-vivo,pensamento
358,o-poeta-esta-vivo,Que
359,o-poeta-esta-vivo,vai
360,o-poeta-esta-vivo,mudar
361,o-poeta-esta-vivo,o
362,o-poeta-esta-vivo,mundo
363,o-poeta-esta-vivo,Com
364,o-poeta-esta-vivo,seus
365,o-poeta-esta-vivo,moinhos
366,o-poeta-esta-vivo,de
367,o-poeta-esta-vivo,vento
368,o-poeta-esta-vivo,Amanheceu
369,o-poeta-esta-vivo,o
370,o-poeta-esta-vivo,pensamento
371,o-poeta-esta-vivo,Que
372,o-poeta-esta-vivo,vai
373,o-poeta-esta-vivo,mudar
374,o-poeta-esta-vivo,o
375,o-poeta-esta-vivo,mundo
376,o-poeta-esta-vivo,Com
377,o-poeta-esta-vivo,seus
378,o-poeta-esta-vivo,moinhos
379,o-poeta-esta-vivo,de
380,o-poeta-esta-vivo,vento
381,o-poeta-esta-vivo,None
444,bete-balanco,O
445,bete-balanco,teu
446,bete-balanco,brinquedo
447,bete-balanco,de
448,bete-balanco,star
449,bete-balanco,Fantasiando
450,bete-balanco,um
451,bete-balanco,segredo
452,bete-balanco,No
453,bete-balanco,ponto
454,bete-balanco,onde
455,bete-balanco,quer
456,bete-balanco,chegar
457,bete-balanco,Eu
458,bete-balanco,vejo
459,bete-balanco,"grana,"
460,bete-balanco,eu
461,bete-balanco,vejo
462,bete-balanco,dor
463,bete-balanco,No
464,bete-balanco,paraíso
465,bete-balanco,perigoso
466,bete-balanco,Que
467,bete-balanco,a
468,bete-balanco,palma
469,bete-balanco,da
470,bete-balanco,tua
471,bete-balanco,mão
472,bete-balanco,mostrou
473,bete-balanco,Bete
474,bete-balanco,"balança,"
475,bete-balanco,meu
476,bete-balanco,amor
477,bete-balanco,Me
478,bete-balanco,avise
479,bete-balanco,quando
480,bete-balanco,for
481,bete-balanco,a
482,bete-balanco,hora
483,bete-balanco,Fingindo
484,bete-balanco,que
485,bete-balanco,a
486,bete-balanco,gente
487,bete-balanco,não
488,bete-balanco,existe
489,bete-balanco,"Sentadas,"
490,bete-balanco,são
491,bete-balanco,tão
492,bete-balanco,engraçadas
