,Musicas,Acordes
0,andanca,D7M
1,andanca,Bb7M
2,andanca,Eb7M
3,andanca,Em7(b5)
4,andanca,D7
5,andanca,D7M
6,andanca,Bb7M
7,andanca,Eb7M
8,andanca,Em7(b5)
9,andanca,A7
10,andanca,D7M
11,andanca,Bb7M
12,andanca,Eb7M
13,andanca,Em7(b5)
14,andanca,A7
15,andanca,D7/9
16,andanca,D
17,andanca,D7M
18,andanca,E/D
19,andanca,A7
20,andanca,A
21,andanca,G
22,andanca,D/F#
23,andanca,Em
24,andanca,D
25,andanca,D7M
26,andanca,E/D
27,andanca,A7
28,andanca,A
29,andanca,G
30,andanca,D/F#
31,andanca,Em
32,andanca,D
33,andanca,D7M
34,andanca,Bb7M
35,andanca,Eb7M
36,andanca,Em7(b5)
37,andanca,A7
38,andanca,D7M
39,andanca,Bb7M
40,andanca,Eb7M
41,andanca,Em7(b5)
42,andanca,A7
43,andanca,D7/9
44,andanca,D
45,andanca,D7M
46,andanca,E/D
47,andanca,A7
48,andanca,A
49,andanca,G
50,andanca,D/F#
51,andanca,Em
52,andanca,D
53,andanca,D7M
54,andanca,E/D
55,andanca,A7
56,andanca,A
57,andanca,G
58,andanca,D/F#
59,andanca,Em
60,andanca,D
61,andanca,D7M
62,andanca,E/D
63,andanca,A7
64,andanca,A
65,andanca,G
66,andanca,D/F#
67,andanca,Em
68,andanca,D
69,andanca,D7M
70,andanca,E/D
71,andanca,A7
72,andanca,A
73,andanca,G
74,andanca,D/F#
75,andanca,Em
76,andanca,D
146,vou-festejar,Em
147,vou-festejar,Em
148,vou-festejar,Am7
149,vou-festejar,D7
150,vou-festejar,Eb°
151,vou-festejar,Em
152,vou-festejar,F#m7(b5)
153,vou-festejar,B7
154,vou-festejar,Em
155,vou-festejar,B7
156,vou-festejar,Em7
157,vou-festejar,Am7
158,vou-festejar,D7
159,vou-festejar,Eb°
160,vou-festejar,Em
161,vou-festejar,F#m7(b5)
162,vou-festejar,B7
163,vou-festejar,Em
164,vou-festejar,E
165,vou-festejar,G#m7
166,vou-festejar,Bm7
167,vou-festejar,C#7
168,vou-festejar,F#m7
169,vou-festejar,Am7
170,vou-festejar,E
171,vou-festejar,C#m7
172,vou-festejar,C7
173,vou-festejar,B7
174,vou-festejar,Em
175,vou-festejar,E7
176,vou-festejar,Am7
177,vou-festejar,D7
178,vou-festejar,G7M
179,vou-festejar,C7
180,vou-festejar,F#m7(b5)
181,vou-festejar,B7
182,vou-festejar,Em
183,vou-festejar,E7
184,vou-festejar,Am7
185,vou-festejar,D7
186,vou-festejar,G7M
187,vou-festejar,C7
188,vou-festejar,F#m7(b5)
189,vou-festejar,B7
190,vou-festejar,Em
191,vou-festejar,B7
192,vou-festejar,Em
193,vou-festejar,Am7
194,vou-festejar,D7
195,vou-festejar,Eb°
