,Musicas,Palavras
0,andanca,Da
1,andanca,Lua
2,andanca,"cheia,"
3,andanca,eu
4,andanca,sei
5,andanca,Uma
6,andanca,saudade
7,andanca,imensa
8,andanca,Vestido
9,andanca,de
10,andanca,cetim
11,andanca,Na
12,andanca,mão
13,andanca,"direita,"
14,andanca,rosas
15,andanca,Vou
16,andanca,levar
17,andanca,Ao
18,andanca,luar
19,andanca,"descansa,"
20,andanca,meu
21,andanca,caminhar
22,andanca,(amor)
23,andanca,Meu
24,andanca,olhar
25,andanca,em
26,andanca,festa
27,andanca,se
28,andanca,fez
29,andanca,feliz
30,andanca,(me
31,andanca,"leva,"
32,andanca,amor)
33,andanca,Lembrando
34,andanca,a
35,andanca,seresta
36,andanca,que
37,andanca,um
38,andanca,dia
39,andanca,eu
40,andanca,fiz
41,andanca,(Por
42,andanca,onde
43,andanca,"for,"
44,andanca,quero
45,andanca,ser
46,andanca,seu
47,andanca,par)
48,andanca,Que
49,andanca,esta
50,andanca,terra
51,andanca,encerra
52,andanca,meu
53,andanca,bem-querer
54,andanca,(amor)
55,andanca,E
56,andanca,jamais
57,andanca,termina
58,andanca,meu
59,andanca,caminhar
60,andanca,(me
61,andanca,"leva,"
62,andanca,amor)
63,andanca,Só
64,andanca,o
65,andanca,amor
66,andanca,me
67,andanca,ensina
68,andanca,onde
69,andanca,vou
70,andanca,chegar
71,andanca,(Por
72,andanca,onde
73,andanca,"for,"
74,andanca,quero
75,andanca,ser
76,andanca,seu
77,andanca,par)
78,andanca,Dança
79,andanca,da
80,andanca,"moda,"
81,andanca,eu
82,andanca,sei
83,andanca,Cansei
84,andanca,de
85,andanca,ser
86,andanca,sozinha
87,andanca,Meu
88,andanca,namorado
89,andanca,é
90,andanca,rei
91,andanca,Nas
92,andanca,lendas
93,andanca,do
94,andanca,caminho
95,andanca,Onde
96,andanca,andei
97,andanca,Tenho
98,andanca,meu
99,andanca,amor
100,andanca,pra
101,andanca,me
102,andanca,acompanhar
103,andanca,(amor)
104,andanca,Vim
105,andanca,de
106,andanca,longe
107,andanca,"léguas,"
108,andanca,"cantando,"
109,andanca,eu
110,andanca,vim
111,andanca,(me
112,andanca,"leva,"
113,andanca,amor)
114,andanca,"Vou,"
115,andanca,não
116,andanca,faço
117,andanca,"tréguas,"
118,andanca,sou
119,andanca,mesmo
120,andanca,assim
121,andanca,(Por
122,andanca,"onde,"
123,andanca,for
124,andanca,quero
125,andanca,ser
126,andanca,seu
127,andanca,par)
128,andanca,Que
129,andanca,esta
130,andanca,terra
131,andanca,encerra
132,andanca,meu
133,andanca,bem-querer
134,andanca,(amor)
135,andanca,E
136,andanca,jamais
137,andanca,termina
138,andanca,meu
139,andanca,caminhar
140,andanca,(me
141,andanca,"leva,"
142,andanca,amor)
143,andanca,Só
144,andanca,o
145,andanca,amor
146,andanca,me
147,andanca,ensina
148,andanca,onde
149,andanca,vou
150,andanca,chegar
151,andanca,(Por
152,andanca,onde
153,andanca,"for,"
154,andanca,quero
155,andanca,ser
156,andanca,seu
157,andanca,par)
158,andanca,(Amor)
159,andanca,(Me
160,andanca,"leva,"
161,andanca,amor)
162,andanca,(Por
163,andanca,onde
164,andanca,"for,"
165,andanca,quero
166,andanca,ser
167,andanca,seu
168,andanca,par)
169,andanca,None
445,vou-festejar,Não
446,vou-festejar,vou
447,vou-festejar,ligar
448,vou-festejar,(não
449,vou-festejar,vou
450,vou-festejar,ligar)
451,vou-festejar,Chegou
452,vou-festejar,a
453,vou-festejar,"hora,"
454,vou-festejar,vais
455,vou-festejar,me
456,vou-festejar,pagar
457,vou-festejar,Pode
458,vou-festejar,"chorar,"
459,vou-festejar,pode
460,vou-festejar,chorar
461,vou-festejar,Não
462,vou-festejar,vou
463,vou-festejar,ligar
464,vou-festejar,(não
465,vou-festejar,vou
466,vou-festejar,ligar)
467,vou-festejar,Chegou
468,vou-festejar,a
469,vou-festejar,"hora,"
470,vou-festejar,vais
471,vou-festejar,me
472,vou-festejar,pagar
473,vou-festejar,Pode
474,vou-festejar,"chorar,"
475,vou-festejar,pode
476,vou-festejar,chorar
477,vou-festejar,Brigou
478,vou-festejar,comigo
479,vou-festejar,sem
480,vou-festejar,ter
481,vou-festejar,porquê
482,vou-festejar,Eu
483,vou-festejar,vou
484,vou-festejar,"festejar,"
