,Musicas,Acordes
0,a-semente,Gm
1,a-semente,A7
2,a-semente,Dm
3,a-semente,Gm
4,a-semente,A7
5,a-semente,Dm
6,a-semente,Gm
7,a-semente,A7
8,a-semente,Dm
9,a-semente,Gm
10,a-semente,A7
11,a-semente,Dm
12,a-semente,Gm
13,a-semente,A7
14,a-semente,Dm
15,a-semente,Gm
16,a-semente,A7
17,a-semente,Dm
18,a-semente,Gm
19,a-semente,A7
20,a-semente,Dm
21,a-semente,Gm
22,a-semente,A7
23,a-semente,Dm
24,a-semente,Gm
25,a-semente,A7
26,a-semente,Dm
27,a-semente,Gm
28,a-semente,A7
29,a-semente,Dm
30,a-semente,Gm
31,a-semente,A7
32,a-semente,Dm
33,a-semente,Gm
34,a-semente,A7
35,a-semente,Dm
36,a-semente,Gm
37,a-semente,A7
38,a-semente,Dm
39,a-semente,Gm
40,a-semente,A7
41,a-semente,Dm
42,a-semente,Gm
43,a-semente,A7
44,a-semente,Dm
165,malandragem-da-um-tempo,A
166,malandragem-da-um-tempo,Bm7
167,malandragem-da-um-tempo,E7
168,malandragem-da-um-tempo,A
169,malandragem-da-um-tempo,Bm7
170,malandragem-da-um-tempo,E7
171,malandragem-da-um-tempo,A
172,malandragem-da-um-tempo,Bm7
173,malandragem-da-um-tempo,E7
174,malandragem-da-um-tempo,A
175,malandragem-da-um-tempo,Bm7
176,malandragem-da-um-tempo,E7
177,malandragem-da-um-tempo,A
178,malandragem-da-um-tempo,F#7
179,malandragem-da-um-tempo,Bm7
180,malandragem-da-um-tempo,E7
181,malandragem-da-um-tempo,A
182,malandragem-da-um-tempo,F#7
183,malandragem-da-um-tempo,Bm7
184,malandragem-da-um-tempo,E7
185,malandragem-da-um-tempo,A
186,malandragem-da-um-tempo,Bm7
187,malandragem-da-um-tempo,E7
188,malandragem-da-um-tempo,A
189,malandragem-da-um-tempo,F#7
190,malandragem-da-um-tempo,Bm7
191,malandragem-da-um-tempo,E7
192,malandragem-da-um-tempo,A
193,malandragem-da-um-tempo,F#7
194,malandragem-da-um-tempo,Bm7
195,malandragem-da-um-tempo,E7
196,malandragem-da-um-tempo,A
197,malandragem-da-um-tempo,F#7
198,malandragem-da-um-tempo,Bm7
199,malandragem-da-um-tempo,E7
200,malandragem-da-um-tempo,A
201,malandragem-da-um-tempo,Bm7
202,malandragem-da-um-tempo,E7
203,malandragem-da-um-tempo,A
204,malandragem-da-um-tempo,F#7
205,malandragem-da-um-tempo,Bm7
206,malandragem-da-um-tempo,E7
207,malandragem-da-um-tempo,A
330,sequestraram-minha-sogra,G
331,sequestraram-minha-sogra,E
332,sequestraram-minha-sogra,Am
333,sequestraram-minha-sogra,D
334,sequestraram-minha-sogra,G
335,sequestraram-minha-sogra,Am
336,sequestraram-minha-sogra,D
337,sequestraram-minha-sogra,G
338,sequestraram-minha-sogra,Am
339,sequestraram-minha-sogra,D
340,sequestraram-minha-sogra,G
341,sequestraram-minha-sogra,Am
342,sequestraram-minha-sogra,D
343,sequestraram-minha-sogra,Bm
344,sequestraram-minha-sogra,Em
345,sequestraram-minha-sogra,Am
346,sequestraram-minha-sogra,D
347,sequestraram-minha-sogra,G
348,sequestraram-minha-sogra,G
349,sequestraram-minha-sogra,E
350,sequestraram-minha-sogra,Am
351,sequestraram-minha-sogra,D
352,sequestraram-minha-sogra,G
353,sequestraram-minha-sogra,C
354,sequestraram-minha-sogra,D
355,sequestraram-minha-sogra,Bm
356,sequestraram-minha-sogra,Em
357,sequestraram-minha-sogra,Am
358,sequestraram-minha-sogra,D
359,sequestraram-minha-sogra,G
360,sequestraram-minha-sogra,G
361,sequestraram-minha-sogra,E
362,sequestraram-minha-sogra,Am
363,sequestraram-minha-sogra,D
364,sequestraram-minha-sogra,G
365,sequestraram-minha-sogra,C
366,sequestraram-minha-sogra,D
367,sequestraram-minha-sogra,Bm
368,sequestraram-minha-sogra,Em
369,sequestraram-minha-sogra,Am
370,sequestraram-minha-sogra,D
371,sequestraram-minha-sogra,G
495,malandro-malandro-mane-mane,Dm
496,malandro-malandro-mane-mane,G7
497,malandro-malandro-mane-mane,C
498,malandro-malandro-mane-mane,Am
499,malandro-malandro-mane-mane,Dm
500,malandro-malandro-mane-mane,G7
501,malandro-malandro-mane-mane,C
502,malandro-malandro-mane-mane,Am
503,malandro-malandro-mane-mane,Dm
504,malandro-malandro-mane-mane,G7
505,malandro-malandro-mane-mane,C
506,malandro-malandro-mane-mane,Am
507,malandro-malandro-mane-mane,Dm
508,malandro-malandro-mane-mane,G7
509,malandro-malandro-mane-mane,C
510,malandro-malandro-mane-mane,Am
511,malandro-malandro-mane-mane,Dm
512,malandro-malandro-mane-mane,G7
513,malandro-malandro-mane-mane,C
514,malandro-malandro-mane-mane,Bb7
515,malandro-malandro-mane-mane,A7
516,malandro-malandro-mane-mane,Dm
517,malandro-malandro-mane-mane,G7
518,malandro-malandro-mane-mane,C
519,malandro-malandro-mane-mane,Bb7
520,malandro-malandro-mane-mane,A7
521,malandro-malandro-mane-mane,Dm
522,malandro-malandro-mane-mane,G7
523,malandro-malandro-mane-mane,C
524,malandro-malandro-mane-mane,Am
525,malandro-malandro-mane-mane,Dm
526,malandro-malandro-mane-mane,G7
527,malandro-malandro-mane-mane,C
528,malandro-malandro-mane-mane,Bb7
529,malandro-malandro-mane-mane,A7
530,malandro-malandro-mane-mane,Dm
531,malandro-malandro-mane-mane,G7
532,malandro-malandro-mane-mane,C
533,malandro-malandro-mane-mane,Bb7
534,malandro-malandro-mane-mane,A7
535,malandro-malandro-mane-mane,Dm
536,malandro-malandro-mane-mane,G7
537,malandro-malandro-mane-mane,C
538,malandro-malandro-mane-mane,Bb7
539,malandro-malandro-mane-mane,A7
540,malandro-malandro-mane-mane,Dm
541,malandro-malandro-mane-mane,G7
542,malandro-malandro-mane-mane,C
660,bicho-feroz,G
661,bicho-feroz,D7
662,bicho-feroz,G
663,bicho-feroz,G#°
664,bicho-feroz,Am
665,bicho-feroz,D7
666,bicho-feroz,G
667,bicho-feroz,D7
668,bicho-feroz,G
669,bicho-feroz,D7
670,bicho-feroz,G
671,bicho-feroz,G#°
672,bicho-feroz,Am
673,bicho-feroz,D7
674,bicho-feroz,G
675,bicho-feroz,E7
676,bicho-feroz,Am
677,bicho-feroz,D7
678,bicho-feroz,G
679,bicho-feroz,G7
680,bicho-feroz,Dm
681,bicho-feroz,G7
682,bicho-feroz,C
683,bicho-feroz,Cm
684,bicho-feroz,D7
685,bicho-feroz,G
686,bicho-feroz,E7
687,bicho-feroz,Am
688,bicho-feroz,D7
689,bicho-feroz,G
690,bicho-feroz,E7
691,bicho-feroz,Am
692,bicho-feroz,D7
693,bicho-feroz,G
694,bicho-feroz,D7
695,bicho-feroz,G
696,bicho-feroz,E7
697,bicho-feroz,Am
698,bicho-feroz,D7
699,bicho-feroz,G
700,bicho-feroz,G7
701,bicho-feroz,Dm
702,bicho-feroz,G7
703,bicho-feroz,C
704,bicho-feroz,Cm
705,bicho-feroz,D7
706,bicho-feroz,G
707,bicho-feroz,E7
708,bicho-feroz,Am
709,bicho-feroz,D7
710,bicho-feroz,G
711,bicho-feroz,E7
712,bicho-feroz,Am
713,bicho-feroz,D7
714,bicho-feroz,G
715,bicho-feroz,D7
825,a-fumaca-ja-subiu-pra-cuca,Dm
826,a-fumaca-ja-subiu-pra-cuca,Gm
827,a-fumaca-ja-subiu-pra-cuca,A
828,a-fumaca-ja-subiu-pra-cuca,Gm
829,a-fumaca-ja-subiu-pra-cuca,A7
830,a-fumaca-ja-subiu-pra-cuca,Dm
831,a-fumaca-ja-subiu-pra-cuca,Gm
832,a-fumaca-ja-subiu-pra-cuca,A7
833,a-fumaca-ja-subiu-pra-cuca,Dm
834,a-fumaca-ja-subiu-pra-cuca,Gm
835,a-fumaca-ja-subiu-pra-cuca,A7
836,a-fumaca-ja-subiu-pra-cuca,Dm
837,a-fumaca-ja-subiu-pra-cuca,D7
838,a-fumaca-ja-subiu-pra-cuca,Gm
839,a-fumaca-ja-subiu-pra-cuca,A7
840,a-fumaca-ja-subiu-pra-cuca,Dm
841,a-fumaca-ja-subiu-pra-cuca,Gm
842,a-fumaca-ja-subiu-pra-cuca,A7
843,a-fumaca-ja-subiu-pra-cuca,Dm
844,a-fumaca-ja-subiu-pra-cuca,Gm
845,a-fumaca-ja-subiu-pra-cuca,A7
846,a-fumaca-ja-subiu-pra-cuca,Dm
847,a-fumaca-ja-subiu-pra-cuca,Gm
848,a-fumaca-ja-subiu-pra-cuca,A7
849,a-fumaca-ja-subiu-pra-cuca,Dm
850,a-fumaca-ja-subiu-pra-cuca,Gm
851,a-fumaca-ja-subiu-pra-cuca,A7
852,a-fumaca-ja-subiu-pra-cuca,Dm
853,a-fumaca-ja-subiu-pra-cuca,Gm
854,a-fumaca-ja-subiu-pra-cuca,A7
855,a-fumaca-ja-subiu-pra-cuca,Dm
856,a-fumaca-ja-subiu-pra-cuca,Gm
857,a-fumaca-ja-subiu-pra-cuca,A7
858,a-fumaca-ja-subiu-pra-cuca,Dm
859,a-fumaca-ja-subiu-pra-cuca,Gm
860,a-fumaca-ja-subiu-pra-cuca,A7
861,a-fumaca-ja-subiu-pra-cuca,Dm
862,a-fumaca-ja-subiu-pra-cuca,Gm
863,a-fumaca-ja-subiu-pra-cuca,A7
864,a-fumaca-ja-subiu-pra-cuca,Dm
865,a-fumaca-ja-subiu-pra-cuca,Gm
866,a-fumaca-ja-subiu-pra-cuca,A7
867,a-fumaca-ja-subiu-pra-cuca,Dm
868,a-fumaca-ja-subiu-pra-cuca,Gm
869,a-fumaca-ja-subiu-pra-cuca,A7
870,a-fumaca-ja-subiu-pra-cuca,Dm
871,a-fumaca-ja-subiu-pra-cuca,Gm
872,a-fumaca-ja-subiu-pra-cuca,A7
873,a-fumaca-ja-subiu-pra-cuca,Dm
874,a-fumaca-ja-subiu-pra-cuca,Gm
875,a-fumaca-ja-subiu-pra-cuca,A7
876,a-fumaca-ja-subiu-pra-cuca,Dm
877,a-fumaca-ja-subiu-pra-cuca,Gm
878,a-fumaca-ja-subiu-pra-cuca,A7
879,a-fumaca-ja-subiu-pra-cuca,Dm
990,pagode-na-casa-do-gago,Eb
991,pagode-na-casa-do-gago,Cm7
992,pagode-na-casa-do-gago,Fm
993,pagode-na-casa-do-gago,Bb7
994,pagode-na-casa-do-gago,Eb
995,pagode-na-casa-do-gago,Bb7
996,pagode-na-casa-do-gago,Eb
997,pagode-na-casa-do-gago,C7
998,pagode-na-casa-do-gago,Fm
999,pagode-na-casa-do-gago,Bb7
1000,pagode-na-casa-do-gago,Eb
1001,pagode-na-casa-do-gago,Bb7
1002,pagode-na-casa-do-gago,Eb
1003,pagode-na-casa-do-gago,C7
1004,pagode-na-casa-do-gago,Fm
1005,pagode-na-casa-do-gago,Bb7
1006,pagode-na-casa-do-gago,Eb
1007,pagode-na-casa-do-gago,Bb7
1008,pagode-na-casa-do-gago,Eb
1009,pagode-na-casa-do-gago,Eb7
1010,pagode-na-casa-do-gago,Ab
1011,pagode-na-casa-do-gago,Eb
1012,pagode-na-casa-do-gago,C7
1013,pagode-na-casa-do-gago,Fm
1014,pagode-na-casa-do-gago,Bb7
1015,pagode-na-casa-do-gago,Eb
1016,pagode-na-casa-do-gago,Fm
1017,pagode-na-casa-do-gago,Bb7
1018,pagode-na-casa-do-gago,Eb
1019,pagode-na-casa-do-gago,C7
1020,pagode-na-casa-do-gago,Fm
1021,pagode-na-casa-do-gago,Bb7
1022,pagode-na-casa-do-gago,Eb
1155,defunto-caguete,G
1156,defunto-caguete,D7
1157,defunto-caguete,G
1158,defunto-caguete,Em
1159,defunto-caguete,Am
1160,defunto-caguete,D7
1161,defunto-caguete,G
1162,defunto-caguete,Em
1163,defunto-caguete,Am
1164,defunto-caguete,D7
1165,defunto-caguete,G
1166,defunto-caguete,D7
1167,defunto-caguete,G
1168,defunto-caguete,Em
1169,defunto-caguete,Am
1170,defunto-caguete,D7
1171,defunto-caguete,G
1172,defunto-caguete,Em
1173,defunto-caguete,Am
1174,defunto-caguete,D7
1175,defunto-caguete,G
1176,defunto-caguete,G
1177,defunto-caguete,Em
1178,defunto-caguete,Am
1179,defunto-caguete,D7
1180,defunto-caguete,G
1181,defunto-caguete,Em
1182,defunto-caguete,Am
1183,defunto-caguete,D7
1184,defunto-caguete,G
1185,defunto-caguete,D7
1186,defunto-caguete,G
1187,defunto-caguete,Em
1188,defunto-caguete,Am
1189,defunto-caguete,D7
1190,defunto-caguete,G
1191,defunto-caguete,Em
1192,defunto-caguete,Am
1193,defunto-caguete,D7
1194,defunto-caguete,G
1195,defunto-caguete,D7
1196,defunto-caguete,G
1197,defunto-caguete,Em
1198,defunto-caguete,Am
1199,defunto-caguete,D7
1200,defunto-caguete,G
1201,defunto-caguete,Em
1202,defunto-caguete,Am
1203,defunto-caguete,D7
1204,defunto-caguete,G
1320,se-leonardo-da-vinte,B
1321,se-leonardo-da-vinte,F#
1322,se-leonardo-da-vinte,G#m
1323,se-leonardo-da-vinte,C#m
1324,se-leonardo-da-vinte,F#
1325,se-leonardo-da-vinte,B
1326,se-leonardo-da-vinte,G#m
1327,se-leonardo-da-vinte,C#m
1328,se-leonardo-da-vinte,F#
1329,se-leonardo-da-vinte,B
1330,se-leonardo-da-vinte,C#m
1331,se-leonardo-da-vinte,F#
1332,se-leonardo-da-vinte,B
1333,se-leonardo-da-vinte,G#m
1334,se-leonardo-da-vinte,C#m
1335,se-leonardo-da-vinte,F#
1336,se-leonardo-da-vinte,B
1337,se-leonardo-da-vinte,C#m
1338,se-leonardo-da-vinte,F#
1339,se-leonardo-da-vinte,B
1340,se-leonardo-da-vinte,G#m
1341,se-leonardo-da-vinte,C#m
1342,se-leonardo-da-vinte,F#
1343,se-leonardo-da-vinte,B
1344,se-leonardo-da-vinte,C#m
1345,se-leonardo-da-vinte,F#
1346,se-leonardo-da-vinte,B
1485,candidato-cao-cao,F
1486,candidato-cao-cao,C7
1487,candidato-cao-cao,F
1488,candidato-cao-cao,C7
1489,candidato-cao-cao,F
1490,candidato-cao-cao,C7
1491,candidato-cao-cao,F
1492,candidato-cao-cao,D7
1493,candidato-cao-cao,Gm
1494,candidato-cao-cao,D7
1495,candidato-cao-cao,Gm
1496,candidato-cao-cao,C7
1497,candidato-cao-cao,F
1498,candidato-cao-cao,D7
1499,candidato-cao-cao,Gm
1500,candidato-cao-cao,C7
1501,candidato-cao-cao,F
1502,candidato-cao-cao,C7
1503,candidato-cao-cao,F
1504,candidato-cao-cao,C7
1505,candidato-cao-cao,F
1506,candidato-cao-cao,D7
1507,candidato-cao-cao,Gm
1508,candidato-cao-cao,C7
1509,candidato-cao-cao,F
1510,candidato-cao-cao,D7
1511,candidato-cao-cao,Gm
1512,candidato-cao-cao,C7
1513,candidato-cao-cao,F
1514,candidato-cao-cao,D7
1515,candidato-cao-cao,Gm
1516,candidato-cao-cao,C7
1517,candidato-cao-cao,F
1518,candidato-cao-cao,D7
1519,candidato-cao-cao,Gm
1520,candidato-cao-cao,C7
1521,candidato-cao-cao,F
1522,candidato-cao-cao,Gm
1523,candidato-cao-cao,C7
1524,candidato-cao-cao,F
1525,candidato-cao-cao,D7
1526,candidato-cao-cao,Gm
1527,candidato-cao-cao,C7
1528,candidato-cao-cao,F
1529,candidato-cao-cao,Gm
1530,candidato-cao-cao,C7
1531,candidato-cao-cao,F
1532,candidato-cao-cao,D7
1533,candidato-cao-cao,Gm
1534,candidato-cao-cao,C7
1535,candidato-cao-cao,F
1650,a-necessidade,G#°
1651,a-necessidade,C7
1652,a-necessidade,D
1653,a-necessidade,Bm
1654,a-necessidade,G#°
1655,a-necessidade,C7
1656,a-necessidade,D
1657,a-necessidade,A7
1658,a-necessidade,D
1659,a-necessidade,G
1660,a-necessidade,D
1661,a-necessidade,A7
1662,a-necessidade,D
1663,a-necessidade,B7
1664,a-necessidade,Em
1665,a-necessidade,C7
1666,a-necessidade,B7
1667,a-necessidade,E7
1668,a-necessidade,D
1669,a-necessidade,Bm
1670,a-necessidade,Em
1671,a-necessidade,A7
1672,a-necessidade,D
1673,a-necessidade,Bm
1674,a-necessidade,E7
1675,a-necessidade,D
1676,a-necessidade,Bm
1677,a-necessidade,Em
1678,a-necessidade,A7
1679,a-necessidade,D
1680,a-necessidade,B7
1681,a-necessidade,Em
1682,a-necessidade,A7
1683,a-necessidade,D
1684,a-necessidade,Am
1685,a-necessidade,D7
1686,a-necessidade,G
1687,a-necessidade,C7
1688,a-necessidade,F#m
1689,a-necessidade,Em
1690,a-necessidade,A7
1691,a-necessidade,D
1692,a-necessidade,A7
1693,a-necessidade,B7
1694,a-necessidade,Em
1695,a-necessidade,A7
1696,a-necessidade,D
1697,a-necessidade,Am
1698,a-necessidade,D7
1699,a-necessidade,G
1700,a-necessidade,C7
1701,a-necessidade,F#m
1702,a-necessidade,Em
1703,a-necessidade,A7
1704,a-necessidade,D
1705,a-necessidade,A7
1706,a-necessidade,B7
1707,a-necessidade,Em
1708,a-necessidade,A7
1709,a-necessidade,D
1710,a-necessidade,Am
1711,a-necessidade,D7
1712,a-necessidade,G
1713,a-necessidade,C7
1714,a-necessidade,F#m
1715,a-necessidade,Em
1716,a-necessidade,A7
1717,a-necessidade,D
1718,a-necessidade,A7
1815,acordo-de-malandro,D7
1816,acordo-de-malandro,G
1817,acordo-de-malandro,E7
1818,acordo-de-malandro,Am
1819,acordo-de-malandro,D7
1820,acordo-de-malandro,G
1821,acordo-de-malandro,Am
1822,acordo-de-malandro,D7
1823,acordo-de-malandro,G
1824,acordo-de-malandro,Am
1825,acordo-de-malandro,D7
1826,acordo-de-malandro,G
1827,acordo-de-malandro,Am
1828,acordo-de-malandro,D7
1829,acordo-de-malandro,G
1830,acordo-de-malandro,E7
1831,acordo-de-malandro,Am
1832,acordo-de-malandro,D7
1833,acordo-de-malandro,G
1834,acordo-de-malandro,D7
1835,acordo-de-malandro,G
1836,acordo-de-malandro,E7
1837,acordo-de-malandro,Am
1838,acordo-de-malandro,D7
1839,acordo-de-malandro,G
1840,acordo-de-malandro,Am
1841,acordo-de-malandro,D7
1842,acordo-de-malandro,G
1843,acordo-de-malandro,E7
1844,acordo-de-malandro,Am
1845,acordo-de-malandro,D7
1846,acordo-de-malandro,G
1847,acordo-de-malandro,E7
1848,acordo-de-malandro,Am
1849,acordo-de-malandro,D7
1850,acordo-de-malandro,G
1851,acordo-de-malandro,E7
1852,acordo-de-malandro,Am
1853,acordo-de-malandro,D7
1854,acordo-de-malandro,G
1855,acordo-de-malandro,D7
1856,acordo-de-malandro,G
1857,acordo-de-malandro,E7
1858,acordo-de-malandro,Am
1859,acordo-de-malandro,D7
1860,acordo-de-malandro,G
1861,acordo-de-malandro,E7
1862,acordo-de-malandro,Am
1863,acordo-de-malandro,D7
1864,acordo-de-malandro,G
1865,acordo-de-malandro,Am
1866,acordo-de-malandro,D7
1867,acordo-de-malandro,G
1868,acordo-de-malandro,E7
1869,acordo-de-malandro,Am
1870,acordo-de-malandro,D7
1871,acordo-de-malandro,G
1872,acordo-de-malandro,E7
