,Musicas,Palavras
0,a-semente,Uma
1,a-semente,semente
2,a-semente,no
3,a-semente,seu
4,a-semente,quintal
5,a-semente,De
6,a-semente,repente
7,a-semente,brotou
8,a-semente,Um
9,a-semente,tremendo
10,a-semente,Matagal
11,a-semente,(meu
12,a-semente,vizinho
13,a-semente,jogou)
14,a-semente,Que
15,a-semente,mato
16,a-semente,é
17,a-semente,esse
18,a-semente,que
19,a-semente,eu
20,a-semente,nunca
21,a-semente,vi?
22,a-semente,Ele
23,a-semente,só
24,a-semente,respondia
25,a-semente,Não
26,a-semente,"sei,"
27,a-semente,não
28,a-semente,conheço
29,a-semente,isso
30,a-semente,nasceu
31,a-semente,ai
32,a-semente,O
33,a-semente,patamo
34,a-semente,estava
35,a-semente,sempre
36,a-semente,na
37,a-semente,jogada
38,a-semente,Porque
39,a-semente,o
40,a-semente,cheiro
41,a-semente,era
42,a-semente,bom
43,a-semente,E
44,a-semente,ali
45,a-semente,sempre
46,a-semente,estava
47,a-semente,uma
48,a-semente,rapaziada
49,a-semente,Ao
50,a-semente,ver
51,a-semente,todo
52,a-semente,dia
53,a-semente,uma
54,a-semente,aglomeração
55,a-semente,E
56,a-semente,deram
57,a-semente,o
58,a-semente,bote
59,a-semente,perfeito
60,a-semente,E
61,a-semente,levaram
62,a-semente,todos
63,a-semente,eles
64,a-semente,para
65,a-semente,averiguação
66,a-semente,e
67,a-semente,daí
68,a-semente,Não
69,a-semente,precisa
70,a-semente,me
71,a-semente,"bater,"
72,a-semente,que
73,a-semente,eu
74,a-semente,dou
75,a-semente,de
76,a-semente,bandeja
77,a-semente,tudo
78,a-semente,pro
79,a-semente,senhor
80,a-semente,Olha
81,a-semente,aí
82,a-semente,eu
83,a-semente,conheço
84,a-semente,aquele
85,a-semente,"mato,"
86,a-semente,chefia
87,a-semente,E
88,a-semente,também
89,a-semente,sei
90,a-semente,quem
91,a-semente,plantou
92,a-semente,E
93,a-semente,levaram
94,a-semente,o
95,a-semente,vizinho
96,a-semente,inocente
97,a-semente,Na
98,a-semente,delegacia
99,a-semente,ele
100,a-semente,disse
101,a-semente,Doutor
102,a-semente,não
103,a-semente,sou
104,a-semente,"agricultor,"
105,a-semente,desconheço
106,a-semente,a
107,a-semente,semente
108,a-semente,None
465,malandragem-da-um-tempo,Mas
466,malandragem-da-um-tempo,não
467,malandragem-da-um-tempo,vou
468,malandragem-da-um-tempo,acender
469,malandragem-da-um-tempo,agora
470,malandragem-da-um-tempo,Vou
471,malandragem-da-um-tempo,apertar
472,malandragem-da-um-tempo,Mas
473,malandragem-da-um-tempo,não
474,malandragem-da-um-tempo,vou
475,malandragem-da-um-tempo,acender
476,malandragem-da-um-tempo,agora
477,malandragem-da-um-tempo,Se
478,malandragem-da-um-tempo,segura
479,malandragem-da-um-tempo,malandro
480,malandragem-da-um-tempo,Pra
481,malandragem-da-um-tempo,fazer
482,malandragem-da-um-tempo,a
483,malandragem-da-um-tempo,cabeça
484,malandragem-da-um-tempo,tem
485,malandragem-da-um-tempo,hora
486,malandragem-da-um-tempo,Se
487,malandragem-da-um-tempo,segura
488,malandragem-da-um-tempo,malandro
489,malandragem-da-um-tempo,Pra
490,malandragem-da-um-tempo,fazer
491,malandragem-da-um-tempo,a
492,malandragem-da-um-tempo,cabeça
493,malandragem-da-um-tempo,tem
494,malandragem-da-um-tempo,hora
495,malandragem-da-um-tempo,Que
496,malandragem-da-um-tempo,a
497,malandragem-da-um-tempo,boca
498,malandragem-da-um-tempo,tá
499,malandragem-da-um-tempo,assim
500,malandragem-da-um-tempo,de
501,malandragem-da-um-tempo,corujão
502,malandragem-da-um-tempo,Tem
503,malandragem-da-um-tempo,dedo
504,malandragem-da-um-tempo,de
505,malandragem-da-um-tempo,seta
