,Musicas,Acordes
0,boate-azul,Dm
1,boate-azul,G
2,boate-azul,C
3,boate-azul,F
4,boate-azul,Dm
5,boate-azul,E
6,boate-azul,Am
7,boate-azul,A7
8,boate-azul,Dm
9,boate-azul,G
10,boate-azul,C
11,boate-azul,F
12,boate-azul,Dm
13,boate-azul,E
14,boate-azul,Am
15,boate-azul,Am
16,boate-azul,G
17,boate-azul,F
18,boate-azul,E
19,boate-azul,Dm
20,boate-azul,Am
21,boate-azul,E
22,boate-azul,Am
23,boate-azul,A7
24,boate-azul,Dm
25,boate-azul,Am
26,boate-azul,E
27,boate-azul,Am
28,boate-azul,A7
29,boate-azul,Dm
30,boate-azul,Am
31,boate-azul,F
32,boate-azul,E
33,boate-azul,A
34,boate-azul,A
35,boate-azul,E
36,boate-azul,D
37,boate-azul,A
38,boate-azul,E
39,boate-azul,D
40,boate-azul,A
41,boate-azul,E
42,boate-azul,D
43,boate-azul,A
44,boate-azul,E
45,boate-azul,D
46,boate-azul,E
47,boate-azul,A
48,boate-azul,A7
49,boate-azul,Dm
50,boate-azul,G
51,boate-azul,C
52,boate-azul,F
53,boate-azul,Dm
54,boate-azul,E
55,boate-azul,Am
56,boate-azul,A7
57,boate-azul,Dm
58,boate-azul,Am
59,boate-azul,E
60,boate-azul,Am
61,boate-azul,A7
62,boate-azul,Dm
63,boate-azul,Am
64,boate-azul,F
65,boate-azul,E
66,boate-azul,A
67,boate-azul,A
68,boate-azul,E
69,boate-azul,D
70,boate-azul,A
71,boate-azul,E
72,boate-azul,D
73,boate-azul,A
74,boate-azul,E
75,boate-azul,D
76,boate-azul,A
77,boate-azul,E
78,boate-azul,D
79,boate-azul,E
80,boate-azul,A
81,boate-azul,A7
82,boate-azul,A
83,boate-azul,E
84,boate-azul,D
85,boate-azul,A
86,boate-azul,E
87,boate-azul,D
88,boate-azul,A
89,boate-azul,E
90,boate-azul,D
91,boate-azul,A
92,boate-azul,E
93,boate-azul,D
94,boate-azul,E
95,boate-azul,A
180,vida-vazia,G
181,vida-vazia,G7M
182,vida-vazia,G6
183,vida-vazia,G7M
184,vida-vazia,G
185,vida-vazia,G7M
186,vida-vazia,G6
187,vida-vazia,G7M
188,vida-vazia,Am7
189,vida-vazia,D
190,vida-vazia,G
191,vida-vazia,G7M
192,vida-vazia,G6
193,vida-vazia,G7M
194,vida-vazia,G
195,vida-vazia,G7M
196,vida-vazia,G6
197,vida-vazia,G7M
198,vida-vazia,Am7
199,vida-vazia,D
200,vida-vazia,Am7
201,vida-vazia,D
202,vida-vazia,G
203,vida-vazia,G7M
204,vida-vazia,G6
205,vida-vazia,G7M
206,vida-vazia,Em
207,vida-vazia,Bm
208,vida-vazia,C
209,vida-vazia,Am7
210,vida-vazia,D
211,vida-vazia,Am7
212,vida-vazia,D/F#
213,vida-vazia,G
214,vida-vazia,G7M
215,vida-vazia,G
216,vida-vazia,Am7
217,vida-vazia,D/F#
218,vida-vazia,G
219,vida-vazia,Em
220,vida-vazia,D
221,vida-vazia,C
222,vida-vazia,G
223,vida-vazia,G7M
224,vida-vazia,G6
225,vida-vazia,G7M
226,vida-vazia,Am7
227,vida-vazia,D/F#
228,vida-vazia,G
229,vida-vazia,Em
230,vida-vazia,D
231,vida-vazia,C
232,vida-vazia,G
233,vida-vazia,G7M
234,vida-vazia,G6
235,vida-vazia,G7M
236,vida-vazia,G
237,vida-vazia,G7M
238,vida-vazia,G6
239,vida-vazia,G7M
240,vida-vazia,G
241,vida-vazia,G7M
242,vida-vazia,G6
243,vida-vazia,G7M
244,vida-vazia,Am7
245,vida-vazia,D
246,vida-vazia,G
247,vida-vazia,G7M
248,vida-vazia,G6
249,vida-vazia,G7M
250,vida-vazia,Em
251,vida-vazia,Bm
252,vida-vazia,C
253,vida-vazia,Am7
254,vida-vazia,D
255,vida-vazia,Am7
256,vida-vazia,D/F#
257,vida-vazia,G
258,vida-vazia,G7M
259,vida-vazia,G
260,vida-vazia,Am7
261,vida-vazia,D/F#
262,vida-vazia,G
263,vida-vazia,Em
264,vida-vazia,D
265,vida-vazia,C
266,vida-vazia,G
267,vida-vazia,G7M
268,vida-vazia,G6
269,vida-vazia,G7M
270,vida-vazia,Am7
271,vida-vazia,D/F#
272,vida-vazia,G
273,vida-vazia,Em
274,vida-vazia,D
275,vida-vazia,C
276,vida-vazia,G
277,vida-vazia,G7M
278,vida-vazia,G6
279,vida-vazia,G7M
280,vida-vazia,Am7
281,vida-vazia,D/F#
282,vida-vazia,G
283,vida-vazia,Em
284,vida-vazia,D
285,vida-vazia,C
286,vida-vazia,G
287,vida-vazia,G7M
288,vida-vazia,G6
289,vida-vazia,G7M
290,vida-vazia,Am7
291,vida-vazia,D/F#
292,vida-vazia,G
293,vida-vazia,Em
294,vida-vazia,D
295,vida-vazia,C
296,vida-vazia,G
297,vida-vazia,G7M
298,vida-vazia,G6
299,vida-vazia,G7M
300,vida-vazia,G
360,por-um-minuto,G
361,por-um-minuto,D
362,por-um-minuto,C9
363,por-um-minuto,G
364,por-um-minuto,D
365,por-um-minuto,C9
366,por-um-minuto,G
367,por-um-minuto,D
368,por-um-minuto,C9
369,por-um-minuto,G
370,por-um-minuto,D
371,por-um-minuto,C9
372,por-um-minuto,G
373,por-um-minuto,D/F#
374,por-um-minuto,C9
375,por-um-minuto,G
376,por-um-minuto,D/F#
377,por-um-minuto,C9
378,por-um-minuto,G
379,por-um-minuto,D/F#
380,por-um-minuto,C9
381,por-um-minuto,G
382,por-um-minuto,D/F#
383,por-um-minuto,C9
384,por-um-minuto,G
385,por-um-minuto,D/F#
386,por-um-minuto,C9
387,por-um-minuto,G
388,por-um-minuto,D/F#
389,por-um-minuto,C9
390,por-um-minuto,G
391,por-um-minuto,D
392,por-um-minuto,C9
393,por-um-minuto,G
394,por-um-minuto,D
395,por-um-minuto,C9
396,por-um-minuto,G
397,por-um-minuto,D
398,por-um-minuto,C9
399,por-um-minuto,G
400,por-um-minuto,D
401,por-um-minuto,C9
402,por-um-minuto,C
403,por-um-minuto,Am
404,por-um-minuto,D
405,por-um-minuto,D4
406,por-um-minuto,C
407,por-um-minuto,Am
408,por-um-minuto,D
409,por-um-minuto,D9
410,por-um-minuto,G
411,por-um-minuto,D
412,por-um-minuto,Em
413,por-um-minuto,Bm
414,por-um-minuto,Am
415,por-um-minuto,D
416,por-um-minuto,D4
417,por-um-minuto,D
418,por-um-minuto,D9
419,por-um-minuto,D
420,por-um-minuto,Am
421,por-um-minuto,Am7M
422,por-um-minuto,Am7
423,por-um-minuto,Am6
424,por-um-minuto,C
425,por-um-minuto,D
426,por-um-minuto,G
427,por-um-minuto,C9
428,por-um-minuto,G
429,por-um-minuto,D
430,por-um-minuto,Em
431,por-um-minuto,Bm
432,por-um-minuto,Am
433,por-um-minuto,D
434,por-um-minuto,D4
435,por-um-minuto,D
436,por-um-minuto,D9
437,por-um-minuto,D
438,por-um-minuto,C
439,por-um-minuto,Bm
440,por-um-minuto,Em
441,por-um-minuto,G6/E
442,por-um-minuto,C
443,por-um-minuto,D
444,por-um-minuto,G
