,Musicas,Acordes
0,sozinho,F7M
1,sozinho,Em7(9)
2,sozinho,G/A
3,sozinho,D6(9)
4,sozinho,A7/C#
5,sozinho,B9
6,sozinho,Bm
7,sozinho,B9
8,sozinho,Bm
9,sozinho,Bm7
10,sozinho,Em
11,sozinho,Em/D
12,sozinho,A7/C#
13,sozinho,A7
14,sozinho,D6(9)
15,sozinho,A7/C#
16,sozinho,B9
17,sozinho,Bm
18,sozinho,B7(4)
19,sozinho,Bm
20,sozinho,Em
21,sozinho,Em/D
22,sozinho,A7/C#
23,sozinho,A7
24,sozinho,D6(9)
25,sozinho,A7/C#
26,sozinho,B9
27,sozinho,Bm
28,sozinho,B9
29,sozinho,Bm
30,sozinho,Bm7
31,sozinho,Em
32,sozinho,Em/D
33,sozinho,A7/C#
34,sozinho,A7
35,sozinho,D6(9)
36,sozinho,A7/C#
37,sozinho,B9
38,sozinho,Bm
39,sozinho,B7(4)
40,sozinho,Bm
41,sozinho,Em
42,sozinho,Em/D
43,sozinho,A7/C#
44,sozinho,A7
45,sozinho,G7M
46,sozinho,Bm/E
47,sozinho,Bm
48,sozinho,F#m7
49,sozinho,G7M
50,sozinho,Bm
51,sozinho,F#m7
52,sozinho,Bm/E
53,sozinho,Bm
54,sozinho,F#m7
55,sozinho,G7M
56,sozinho,D6(9)
57,sozinho,A7/C#
58,sozinho,Bm
59,sozinho,Em
60,sozinho,Em/D
61,sozinho,A7/C#
62,sozinho,A7
63,sozinho,D6(9)
64,sozinho,A7/C#
65,sozinho,B9
66,sozinho,Bm
67,sozinho,B7(4)
68,sozinho,Bm
69,sozinho,Em
70,sozinho,Em/D
71,sozinho,A7/C#
72,sozinho,A7
73,sozinho,Bm
74,sozinho,F#m7
75,sozinho,G7M
76,sozinho,Bm
77,sozinho,F#m7
78,sozinho,Bm/E
79,sozinho,Bm
80,sozinho,F#m7
81,sozinho,G7M
82,sozinho,D6(9)
83,sozinho,A7/C#
84,sozinho,G7M
85,sozinho,Em
86,sozinho,Em/D
87,sozinho,C
88,sozinho,D6(9)
89,sozinho,A7/C#
90,sozinho,Bm7
91,sozinho,G
92,sozinho,G/A
93,sozinho,D6(9)
94,sozinho,G/A
95,sozinho,D6(9)
96,sozinho,A7/C#
97,sozinho,G7M
98,sozinho,Em
99,sozinho,Em/D
100,sozinho,C
101,sozinho,D6(9)
102,sozinho,A7/C#
103,sozinho,Bm
104,sozinho,Bm7
105,sozinho,G
106,sozinho,G/A
107,sozinho,D6(9)
108,sozinho,G/A
109,sozinho,D6(9)
110,sozinho,A7/C#
111,sozinho,G7M
112,sozinho,Em
113,sozinho,Em/D
114,sozinho,C
115,sozinho,D6(9)
116,sozinho,A7/C#
117,sozinho,Bm
118,sozinho,G
119,sozinho,G/A
295,o-leaozinho,C
296,o-leaozinho,G7
297,o-leaozinho,Am
298,o-leaozinho,Em
299,o-leaozinho,F
300,o-leaozinho,Bb
301,o-leaozinho,C
302,o-leaozinho,G7
303,o-leaozinho,Am
304,o-leaozinho,Em
305,o-leaozinho,F
306,o-leaozinho,Bb
307,o-leaozinho,C
308,o-leaozinho,Am
309,o-leaozinho,Am/G#
310,o-leaozinho,Am/G
311,o-leaozinho,F#m7(5-)
312,o-leaozinho,F7M
313,o-leaozinho,Am/E
314,o-leaozinho,Dm7
315,o-leaozinho,G7
316,o-leaozinho,Am
317,o-leaozinho,Am/G#
318,o-leaozinho,Am/G
319,o-leaozinho,F#m7(5-)
320,o-leaozinho,F7M
321,o-leaozinho,Am/E
322,o-leaozinho,Dm
323,o-leaozinho,G7
324,o-leaozinho,C
325,o-leaozinho,G7
326,o-leaozinho,Am
327,o-leaozinho,Em
328,o-leaozinho,F
329,o-leaozinho,Bb
330,o-leaozinho,C
331,o-leaozinho,G7
332,o-leaozinho,Am
333,o-leaozinho,Em
334,o-leaozinho,F
335,o-leaozinho,Bb
336,o-leaozinho,C
337,o-leaozinho,Am
338,o-leaozinho,Am/G#
339,o-leaozinho,Am/G
340,o-leaozinho,F#m7(5-)
341,o-leaozinho,F7M
342,o-leaozinho,Am/E
343,o-leaozinho,Dm7
344,o-leaozinho,G7
345,o-leaozinho,Am
346,o-leaozinho,Am/G#
347,o-leaozinho,Am/G
348,o-leaozinho,F#m7(5-)
349,o-leaozinho,F7M
350,o-leaozinho,Am/E
351,o-leaozinho,Dm
352,o-leaozinho,G7
353,o-leaozinho,C
354,o-leaozinho,G7
355,o-leaozinho,Am
356,o-leaozinho,Em
357,o-leaozinho,F
358,o-leaozinho,Bb
359,o-leaozinho,C
360,o-leaozinho,G7
361,o-leaozinho,Am
362,o-leaozinho,Em
363,o-leaozinho,F
364,o-leaozinho,Bb
365,o-leaozinho,C
590,voce-linda,A7M
591,voce-linda,F#m7
592,voce-linda,C#m7
593,voce-linda,D7M
594,voce-linda,G#m7
595,voce-linda,G#º
596,voce-linda,C#7(9-)
597,voce-linda,D7M(9)
