,Musicas,Palavras
0,sozinho,Eu
1,sozinho,fico
2,sozinho,imaginando
3,sozinho,nós
4,sozinho,dois
5,sozinho,Eu
6,sozinho,fico
7,sozinho,ali
8,sozinho,sonhando
9,sozinho,acordado
10,sozinho,Juntando
11,sozinho,o
12,sozinho,"antes,"
13,sozinho,o
14,sozinho,agora
15,sozinho,e
16,sozinho,o
17,sozinho,depois
18,sozinho,Por
19,sozinho,que
20,sozinho,você
21,sozinho,não
22,sozinho,cola
23,sozinho,em
24,sozinho,mim?
25,sozinho,Tô
26,sozinho,me
27,sozinho,sentindo
28,sozinho,muito
29,sozinho,sozinho
30,sozinho,É
31,sozinho,que
32,sozinho,um
33,sozinho,"carinho,"
34,sozinho,às
35,sozinho,"vezes,"
36,sozinho,cai
37,sozinho,bem
38,sozinho,Eu
39,sozinho,tenho
40,sozinho,os
41,sozinho,meus
42,sozinho,desejos
43,sozinho,e
44,sozinho,planos
45,sozinho,secretos
46,sozinho,Só
47,sozinho,abro
48,sozinho,pra
49,sozinho,"você,"
50,sozinho,mais
51,sozinho,ninguém
52,sozinho,E
53,sozinho,se
54,sozinho,eu
55,sozinho,me
56,sozinho,interessar
57,sozinho,por
58,sozinho,alguém?
59,sozinho,E
60,sozinho,se
61,sozinho,"ela,"
62,sozinho,de
63,sozinho,"repente,"
64,sozinho,me
65,sozinho,ganha?
66,sozinho,É
67,sozinho,claro
68,sozinho,que
69,sozinho,a
70,sozinho,gente
71,sozinho,cuida
72,sozinho,Fala
73,sozinho,que
74,sozinho,me
75,sozinho,ama
76,sozinho,Só
77,sozinho,que
78,sozinho,é
79,sozinho,da
80,sozinho,boca
81,sozinho,pra
82,sozinho,fora
83,sozinho,Ou
84,sozinho,não
85,sozinho,está
86,sozinho,madura
87,sozinho,Onde
88,sozinho,está
89,sozinho,você
90,sozinho,agora?
91,sozinho,É
92,sozinho,claro
93,sozinho,que
94,sozinho,a
95,sozinho,gente
96,sozinho,cuida
97,sozinho,Fala
98,sozinho,que
99,sozinho,me
100,sozinho,ama
101,sozinho,Só
102,sozinho,que
103,sozinho,é
104,sozinho,da
105,sozinho,boca
106,sozinho,pra
107,sozinho,fora
108,sozinho,Ou
109,sozinho,não
110,sozinho,está
111,sozinho,madura
112,sozinho,Onde
113,sozinho,está
114,sozinho,você
115,sozinho,agora?
116,sozinho,None
601,o-leaozinho,Caminhando
602,o-leaozinho,sob
603,o-leaozinho,o
604,o-leaozinho,Sol
605,o-leaozinho,Gosto
606,o-leaozinho,muito
607,o-leaozinho,de
608,o-leaozinho,"você,"
609,o-leaozinho,leãozinho
610,o-leaozinho,O
611,o-leaozinho,meu
612,o-leaozinho,coração
613,o-leaozinho,tão
614,o-leaozinho,só
615,o-leaozinho,Basta
616,o-leaozinho,eu
617,o-leaozinho,encontrar
618,o-leaozinho,você
619,o-leaozinho,no
620,o-leaozinho,caminho
621,o-leaozinho,Arrastando
622,o-leaozinho,o
623,o-leaozinho,meu
624,o-leaozinho,olhar
625,o-leaozinho,como
626,o-leaozinho,um
627,o-leaozinho,ímã
628,o-leaozinho,O
629,o-leaozinho,meu
630,o-leaozinho,coração
631,o-leaozinho,é
632,o-leaozinho,o
633,o-leaozinho,"Sol,"
634,o-leaozinho,pai
635,o-leaozinho,de
636,o-leaozinho,toda
637,o-leaozinho,cor
638,o-leaozinho,Quando
639,o-leaozinho,ele
640,o-leaozinho,lhe
641,o-leaozinho,doura
642,o-leaozinho,a
643,o-leaozinho,pele
644,o-leaozinho,ao
645,o-leaozinho,léu
646,o-leaozinho,De
647,o-leaozinho,te
648,o-leaozinho,ver
649,o-leaozinho,entrar
650,o-leaozinho,no
651,o-leaozinho,mar
652,o-leaozinho,Tua
653,o-leaozinho,"pele,"
654,o-leaozinho,tua
655,o-leaozinho,"luz,"
656,o-leaozinho,tua
657,o-leaozinho,juba
658,o-leaozinho,De
659,o-leaozinho,molhar
660,o-leaozinho,minha
661,o-leaozinho,juba
662,o-leaozinho,De
663,o-leaozinho,estar
664,o-leaozinho,perto
665,o-leaozinho,de
666,o-leaozinho,você
667,o-leaozinho,e
668,o-leaozinho,entrar
669,o-leaozinho,no
670,o-leaozinho,mar
671,o-leaozinho,De
672,o-leaozinho,te
673,o-leaozinho,ver
674,o-leaozinho,entrar
675,o-leaozinho,no
676,o-leaozinho,mar
677,o-leaozinho,Tua
678,o-leaozinho,"pele,"
679,o-leaozinho,tua
680,o-leaozinho,"luz,"
681,o-leaozinho,tua
682,o-leaozinho,juba
683,o-leaozinho,De
684,o-leaozinho,molhar
685,o-leaozinho,minha
686,o-leaozinho,juba
687,o-leaozinho,De
688,o-leaozinho,estar
689,o-leaozinho,perto
690,o-leaozinho,de
691,o-leaozinho,você
692,o-leaozinho,e
693,o-leaozinho,entrar
694,o-leaozinho,no
695,o-leaozinho,mar
696,o-leaozinho,None
1202,voce-linda,Nos
1203,voce-linda,olhos
1204,voce-linda,de
1205,voce-linda,gueixa
1206,voce-linda,"Kabuki,"
1207,voce-linda,máscara
1208,voce-linda,Choque
