,Musicas,Palavras
0,primeiros-erros,Não
1,primeiros-erros,procure
2,primeiros-erros,saber
3,primeiros-erros,onde
4,primeiros-erros,estou
5,primeiros-erros,Meu
6,primeiros-erros,destino
7,primeiros-erros,não
8,primeiros-erros,é
9,primeiros-erros,de
10,primeiros-erros,ninguém
11,primeiros-erros,E
12,primeiros-erros,eu
13,primeiros-erros,não
14,primeiros-erros,deixo
15,primeiros-erros,os
16,primeiros-erros,meus
17,primeiros-erros,passos
18,primeiros-erros,no
19,primeiros-erros,chão
20,primeiros-erros,Se
21,primeiros-erros,você
22,primeiros-erros,não
23,primeiros-erros,entende
24,primeiros-erros,não
25,primeiros-erros,vê
26,primeiros-erros,Se
27,primeiros-erros,não
28,primeiros-erros,me
29,primeiros-erros,"vê,"
30,primeiros-erros,não
31,primeiros-erros,entende
32,primeiros-erros,Se
33,primeiros-erros,o
34,primeiros-erros,meu
35,primeiros-erros,jeito
36,primeiros-erros,te
37,primeiros-erros,surpreende
38,primeiros-erros,Se
39,primeiros-erros,o
40,primeiros-erros,meu
41,primeiros-erros,corpo
42,primeiros-erros,virasse
43,primeiros-erros,Sol
44,primeiros-erros,Se
45,primeiros-erros,a
46,primeiros-erros,minha
47,primeiros-erros,mente
48,primeiros-erros,virasse
49,primeiros-erros,Sol
50,primeiros-erros,Mas
51,primeiros-erros,só
52,primeiros-erros,"chove,"
53,primeiros-erros,chove
54,primeiros-erros,"Chove,"
55,primeiros-erros,chove
56,primeiros-erros,Meu
57,primeiros-erros,passado
58,primeiros-erros,inteiro
59,primeiros-erros,E
60,primeiros-erros,fizesse
61,primeiros-erros,parar
62,primeiros-erros,de
63,primeiros-erros,chover
64,primeiros-erros,Nos
65,primeiros-erros,primeiros
66,primeiros-erros,erros
67,primeiros-erros,Meu
68,primeiros-erros,corpo
69,primeiros-erros,viraria
70,primeiros-erros,Sol
71,primeiros-erros,Minha
72,primeiros-erros,mente
73,primeiros-erros,viraria
74,primeiros-erros,Sol
75,primeiros-erros,Mas
76,primeiros-erros,só
77,primeiros-erros,"chove,"
78,primeiros-erros,chove
79,primeiros-erros,"Chove,"
80,primeiros-erros,chove
81,primeiros-erros,Meu
82,primeiros-erros,passado
83,primeiros-erros,inteiro
84,primeiros-erros,E
85,primeiros-erros,fizesse
86,primeiros-erros,parar
87,primeiros-erros,de
88,primeiros-erros,chover
89,primeiros-erros,Nos
90,primeiros-erros,primeiros
91,primeiros-erros,erros
92,primeiros-erros,Meu
93,primeiros-erros,corpo
94,primeiros-erros,viraria
95,primeiros-erros,Sol
96,primeiros-erros,Minha
97,primeiros-erros,mente
98,primeiros-erros,viraria
99,primeiros-erros,Mas
100,primeiros-erros,só
101,primeiros-erros,"chove,"
102,primeiros-erros,chove
103,primeiros-erros,"Chove,"
104,primeiros-erros,chove
105,primeiros-erros,Minha
106,primeiros-erros,mente
107,primeiros-erros,viraria
108,primeiros-erros,ar
109,primeiros-erros,Mas
110,primeiros-erros,só
111,primeiros-erros,"chove,"
112,primeiros-erros,chove
113,primeiros-erros,"Chove,"
114,primeiros-erros,chove
115,primeiros-erros,Meu
116,primeiros-erros,corpo
117,primeiros-erros,viraria
118,primeiros-erros,Sol
119,primeiros-erros,Minha
120,primeiros-erros,mente
121,primeiros-erros,viraria
122,primeiros-erros,Sol
123,primeiros-erros,Mas
124,primeiros-erros,só
125,primeiros-erros,"chove,"
126,primeiros-erros,chove
127,primeiros-erros,"Chove,"
128,primeiros-erros,chove
129,primeiros-erros,None
516,a-sua-maneira,E
517,a-sua-maneira,eu
518,a-sua-maneira,acordei
519,a-sua-maneira,sem
520,a-sua-maneira,saber
521,a-sua-maneira,se
522,a-sua-maneira,era
523,a-sua-maneira,um
524,a-sua-maneira,sonho
525,a-sua-maneira,Algum
526,a-sua-maneira,tempo
527,a-sua-maneira,atrás
528,a-sua-maneira,pensei
529,a-sua-maneira,em
530,a-sua-maneira,te
531,a-sua-maneira,dizer
532,a-sua-maneira,Que
533,a-sua-maneira,eu
534,a-sua-maneira,nunca
535,a-sua-maneira,caí
536,a-sua-maneira,nas
537,a-sua-maneira,suas
538,a-sua-maneira,armadilhas
539,a-sua-maneira,de
540,a-sua-maneira,amor
541,a-sua-maneira,À
542,a-sua-maneira,sua
543,a-sua-maneira,maneira
544,a-sua-maneira,Perdendo
545,a-sua-maneira,o
546,a-sua-maneira,meu
547,a-sua-maneira,tempo
548,a-sua-maneira,A
549,a-sua-maneira,noite
550,a-sua-maneira,inteira
551,a-sua-maneira,Nem
552,a-sua-maneira,penso
553,a-sua-maneira,em
554,a-sua-maneira,contar
555,a-sua-maneira,os
556,a-sua-maneira,nossos
557,a-sua-maneira,segredos
558,a-sua-maneira,À
