,Musicas,Acordes
0,preciso-me-encontrar,Dm
1,preciso-me-encontrar,Dm/C
2,preciso-me-encontrar,Gm6/Bb
3,preciso-me-encontrar,A7
4,preciso-me-encontrar,Dm
5,preciso-me-encontrar,Dm/C
6,preciso-me-encontrar,Gm6/Bb
7,preciso-me-encontrar,Gm6
8,preciso-me-encontrar,G#°
9,preciso-me-encontrar,A7
10,preciso-me-encontrar,A7/G
11,preciso-me-encontrar,Dm
12,preciso-me-encontrar,Dm/C
13,preciso-me-encontrar,Dm/B
14,preciso-me-encontrar,Gm6/Bb
15,preciso-me-encontrar,A7
16,preciso-me-encontrar,A7/C#
17,preciso-me-encontrar,Dm
18,preciso-me-encontrar,Dm/C
19,preciso-me-encontrar,Gm6/Bb
20,preciso-me-encontrar,Gm6
21,preciso-me-encontrar,G#°
22,preciso-me-encontrar,A7
23,preciso-me-encontrar,A7/C#
24,preciso-me-encontrar,Dm
25,preciso-me-encontrar,D#°
26,preciso-me-encontrar,D7
27,preciso-me-encontrar,D7/C
28,preciso-me-encontrar,Gm6/Bb
29,preciso-me-encontrar,Gm6
30,preciso-me-encontrar,Gm/F
31,preciso-me-encontrar,C7/E
32,preciso-me-encontrar,C7
33,preciso-me-encontrar,F
34,preciso-me-encontrar,Gm6/Bb
35,preciso-me-encontrar,A7
36,preciso-me-encontrar,Dm
37,preciso-me-encontrar,Dm/C
38,preciso-me-encontrar,Gm6/Bb
39,preciso-me-encontrar,Gm6
40,preciso-me-encontrar,G#º
41,preciso-me-encontrar,A7
42,preciso-me-encontrar,Dm
43,preciso-me-encontrar,G#º
44,preciso-me-encontrar,A7
45,preciso-me-encontrar,Dm/F
46,preciso-me-encontrar,Dm/F
47,preciso-me-encontrar,Dm/C
48,preciso-me-encontrar,Gm6/Bb
49,preciso-me-encontrar,Gm6
50,preciso-me-encontrar,G#º
51,preciso-me-encontrar,A7
52,preciso-me-encontrar,A7/C#
53,preciso-me-encontrar,Dm
54,preciso-me-encontrar,D#°
55,preciso-me-encontrar,D#°
56,preciso-me-encontrar,D7
57,preciso-me-encontrar,D7/C
58,preciso-me-encontrar,Gm6/Bb
59,preciso-me-encontrar,Gm/F
60,preciso-me-encontrar,C7/E
61,preciso-me-encontrar,C/Bb
62,preciso-me-encontrar,F
63,preciso-me-encontrar,C/Bb
64,preciso-me-encontrar,A7
65,preciso-me-encontrar,Dm
66,preciso-me-encontrar,Dm
67,preciso-me-encontrar,Dm/C
68,preciso-me-encontrar,Gm6/Bb
69,preciso-me-encontrar,Gm6
70,preciso-me-encontrar,G#º
71,preciso-me-encontrar,A7
72,preciso-me-encontrar,A7/C#
73,preciso-me-encontrar,Dm
74,preciso-me-encontrar,G#º
75,preciso-me-encontrar,A7
76,preciso-me-encontrar,Dm/F
77,preciso-me-encontrar,Dm/F
78,preciso-me-encontrar,Dm/C
79,preciso-me-encontrar,Gm6/Bb
80,preciso-me-encontrar,Gm6
81,preciso-me-encontrar,G#º
82,preciso-me-encontrar,A7
83,preciso-me-encontrar,A7/C#
84,preciso-me-encontrar,Dm
85,preciso-me-encontrar,D#°
86,preciso-me-encontrar,D#°
87,preciso-me-encontrar,D7
88,preciso-me-encontrar,D7/C
89,preciso-me-encontrar,Gm6/Bb
90,preciso-me-encontrar,Gm/F
91,preciso-me-encontrar,C7
92,preciso-me-encontrar,C/Bb
93,preciso-me-encontrar,F
94,preciso-me-encontrar,C/Bb
95,preciso-me-encontrar,A7
96,preciso-me-encontrar,Dm
97,preciso-me-encontrar,Dm
98,preciso-me-encontrar,Dm/C
99,preciso-me-encontrar,Gm6/Bb
100,preciso-me-encontrar,Gm6
101,preciso-me-encontrar,G#º
102,preciso-me-encontrar,A7
103,preciso-me-encontrar,A7/C#
104,preciso-me-encontrar,Dm
105,preciso-me-encontrar,G#º
106,preciso-me-encontrar,A7
107,preciso-me-encontrar,Dm/F
108,preciso-me-encontrar,Dm
184,o-mundo-um-moinho,D#m7(5-)
185,o-mundo-um-moinho,E/D
186,o-mundo-um-moinho,C#m7
187,o-mundo-um-moinho,Cº
188,o-mundo-um-moinho,Ebº
189,o-mundo-um-moinho,Bm7
190,o-mundo-um-moinho,B7
191,o-mundo-um-moinho,E7
192,o-mundo-um-moinho,A6(9)
193,o-mundo-um-moinho,G7
194,o-mundo-um-moinho,F#7
195,o-mundo-um-moinho,D#m7(5-)
196,o-mundo-um-moinho,E/D
197,o-mundo-um-moinho,C#m7
198,o-mundo-um-moinho,Cº
199,o-mundo-um-moinho,Ebº
200,o-mundo-um-moinho,Bm7
201,o-mundo-um-moinho,B7
202,o-mundo-um-moinho,E7
203,o-mundo-um-moinho,A6(9)
204,o-mundo-um-moinho,G7
205,o-mundo-um-moinho,F#7
206,o-mundo-um-moinho,Bm7
207,o-mundo-um-moinho,Bm/A
208,o-mundo-um-moinho,E7/G#
209,o-mundo-um-moinho,E7
210,o-mundo-um-moinho,C#m7
211,o-mundo-um-moinho,A
212,o-mundo-um-moinho,A/G
213,o-mundo-um-moinho,D/F#
214,o-mundo-um-moinho,Bm7
215,o-mundo-um-moinho,E7
216,o-mundo-um-moinho,C#m7(5-)
217,o-mundo-um-moinho,F#7
218,o-mundo-um-moinho,Bm7
219,o-mundo-um-moinho,Bm/A
220,o-mundo-um-moinho,E7/G#
221,o-mundo-um-moinho,E7
222,o-mundo-um-moinho,C#m7
223,o-mundo-um-moinho,A
224,o-mundo-um-moinho,A/G
225,o-mundo-um-moinho,D/F#
226,o-mundo-um-moinho,Bm7
227,o-mundo-um-moinho,E7
228,o-mundo-um-moinho,E7/B
229,o-mundo-um-moinho,Bm7
230,o-mundo-um-moinho,Bm/A
231,o-mundo-um-moinho,E7/G#
232,o-mundo-um-moinho,E7
233,o-mundo-um-moinho,C#m7
234,o-mundo-um-moinho,A
235,o-mundo-um-moinho,A/G
236,o-mundo-um-moinho,D/F#
237,o-mundo-um-moinho,Bm7
238,o-mundo-um-moinho,E7
239,o-mundo-um-moinho,C#m7(5-)
240,o-mundo-um-moinho,F#7
241,o-mundo-um-moinho,E7
242,o-mundo-um-moinho,E7/B
243,o-mundo-um-moinho,D#m7(5-)
244,o-mundo-um-moinho,E/D
245,o-mundo-um-moinho,C#m7
246,o-mundo-um-moinho,Cº
247,o-mundo-um-moinho,Bm7
248,o-mundo-um-moinho,E7
249,o-mundo-um-moinho,Bbº
250,o-mundo-um-moinho,F#7
251,o-mundo-um-moinho,F#7/E
252,o-mundo-um-moinho,D#m7(5-)
253,o-mundo-um-moinho,E/D
254,o-mundo-um-moinho,C#m7
255,o-mundo-um-moinho,Cº
256,o-mundo-um-moinho,Bm7
257,o-mundo-um-moinho,B7
258,o-mundo-um-moinho,E7
259,o-mundo-um-moinho,A6(9)
260,o-mundo-um-moinho,G7
261,o-mundo-um-moinho,F#7
262,o-mundo-um-moinho,D#m7(5-)
263,o-mundo-um-moinho,E/D
264,o-mundo-um-moinho,C#m7
265,o-mundo-um-moinho,Cº
266,o-mundo-um-moinho,Bm7
267,o-mundo-um-moinho,E7
268,o-mundo-um-moinho,Bbº
269,o-mundo-um-moinho,F#7
270,o-mundo-um-moinho,F#7/E
271,o-mundo-um-moinho,Bm7
272,o-mundo-um-moinho,B7
273,o-mundo-um-moinho,E7
274,o-mundo-um-moinho,A6(9)
275,o-mundo-um-moinho,G7
276,o-mundo-um-moinho,F#7
277,o-mundo-um-moinho,Bm7
278,o-mundo-um-moinho,Bm/A
279,o-mundo-um-moinho,E7/G#
280,o-mundo-um-moinho,E7
281,o-mundo-um-moinho,C#m7
282,o-mundo-um-moinho,A
283,o-mundo-um-moinho,A/G
284,o-mundo-um-moinho,D/F#
285,o-mundo-um-moinho,Bm7
286,o-mundo-um-moinho,E7
287,o-mundo-um-moinho,C#m7(5-)
288,o-mundo-um-moinho,F#7
289,o-mundo-um-moinho,Bm7
290,o-mundo-um-moinho,Bm/A
291,o-mundo-um-moinho,E7/G#
292,o-mundo-um-moinho,E7
293,o-mundo-um-moinho,C#m7
294,o-mundo-um-moinho,A
295,o-mundo-um-moinho,A/G
296,o-mundo-um-moinho,D/F#
297,o-mundo-um-moinho,Bm7
298,o-mundo-um-moinho,E7
299,o-mundo-um-moinho,E7/B
300,o-mundo-um-moinho,Bm7
301,o-mundo-um-moinho,Bm/A
302,o-mundo-um-moinho,E7/G#
303,o-mundo-um-moinho,E7
304,o-mundo-um-moinho,C#m7
305,o-mundo-um-moinho,A
306,o-mundo-um-moinho,A/G
307,o-mundo-um-moinho,D/F#
308,o-mundo-um-moinho,Bm7
309,o-mundo-um-moinho,E7
310,o-mundo-um-moinho,C#m7(5-)
311,o-mundo-um-moinho,F#7
312,o-mundo-um-moinho,E7
313,o-mundo-um-moinho,E7/B
314,o-mundo-um-moinho,D#m7(5-)
315,o-mundo-um-moinho,E/D
316,o-mundo-um-moinho,C#m7
317,o-mundo-um-moinho,Cº
318,o-mundo-um-moinho,Bm7
319,o-mundo-um-moinho,E7
320,o-mundo-um-moinho,Bbº
321,o-mundo-um-moinho,F#7
322,o-mundo-um-moinho,F#7/E
323,o-mundo-um-moinho,D#m7(5-)
324,o-mundo-um-moinho,E/D
325,o-mundo-um-moinho,C#m7
326,o-mundo-um-moinho,Cº
327,o-mundo-um-moinho,Bm7
328,o-mundo-um-moinho,B7
329,o-mundo-um-moinho,E7
330,o-mundo-um-moinho,A6(9)
331,o-mundo-um-moinho,G7
332,o-mundo-um-moinho,F#7
333,o-mundo-um-moinho,D#m7(5-)
334,o-mundo-um-moinho,E/D
335,o-mundo-um-moinho,C#m7
336,o-mundo-um-moinho,Cº
337,o-mundo-um-moinho,Bm7
338,o-mundo-um-moinho,E7
339,o-mundo-um-moinho,Bbº
340,o-mundo-um-moinho,F#7
341,o-mundo-um-moinho,F#7/E
342,o-mundo-um-moinho,Bm7
343,o-mundo-um-moinho,B7
344,o-mundo-um-moinho,E7
345,o-mundo-um-moinho,A6(9)
346,o-mundo-um-moinho,G7
347,o-mundo-um-moinho,F#7
348,o-mundo-um-moinho,D#m7(5-)
349,o-mundo-um-moinho,E/D
350,o-mundo-um-moinho,C#m7
351,o-mundo-um-moinho,C°
352,o-mundo-um-moinho,Eb°
353,o-mundo-um-moinho,Bm7
354,o-mundo-um-moinho,B7
355,o-mundo-um-moinho,E7
356,o-mundo-um-moinho,A699
357,o-mundo-um-moinho,A7M(6/11+)
358,o-mundo-um-moinho,D#m7(5-)
359,o-mundo-um-moinho,E/D
360,o-mundo-um-moinho,C#m7
361,o-mundo-um-moinho,Cº
362,o-mundo-um-moinho,Ebº
363,o-mundo-um-moinho,Bm7
364,o-mundo-um-moinho,B7
365,o-mundo-um-moinho,E7
366,o-mundo-um-moinho,A6(9)
367,o-mundo-um-moinho,A7M(6/11+)
368,as-rosas-nao-falam,Dm
369,as-rosas-nao-falam,Dm/C
370,as-rosas-nao-falam,Bº
371,as-rosas-nao-falam,Gm/Bb
372,as-rosas-nao-falam,E7
373,as-rosas-nao-falam,A7
374,as-rosas-nao-falam,Dm
375,as-rosas-nao-falam,A7
376,as-rosas-nao-falam,Dm
377,as-rosas-nao-falam,Dm/C
378,as-rosas-nao-falam,Bº
379,as-rosas-nao-falam,Gm/Bb
380,as-rosas-nao-falam,E7
381,as-rosas-nao-falam,A7
382,as-rosas-nao-falam,Dm
383,as-rosas-nao-falam,Dm
384,as-rosas-nao-falam,A7
385,as-rosas-nao-falam,Dm
386,as-rosas-nao-falam,Dm/C
387,as-rosas-nao-falam,Gm/Bb
388,as-rosas-nao-falam,Gm/F
389,as-rosas-nao-falam,E7
390,as-rosas-nao-falam,A7/C#
391,as-rosas-nao-falam,A7
392,as-rosas-nao-falam,Dm
393,as-rosas-nao-falam,A7
394,as-rosas-nao-falam,Dm
395,as-rosas-nao-falam,Dm/C
396,as-rosas-nao-falam,E7/G#
397,as-rosas-nao-falam,E7/D
398,as-rosas-nao-falam,Gm/Bb
399,as-rosas-nao-falam,A7
400,as-rosas-nao-falam,A7/E
401,as-rosas-nao-falam,Dm
402,as-rosas-nao-falam,D7/F#
403,as-rosas-nao-falam,Gm
404,as-rosas-nao-falam,Gm/F
405,as-rosas-nao-falam,Dm
406,as-rosas-nao-falam,Dm/C
407,as-rosas-nao-falam,E7/B
