,Musicas,Palavras
0,preciso-me-encontrar,Preciso
1,preciso-me-encontrar,andar
2,preciso-me-encontrar,Vou
3,preciso-me-encontrar,por
4,preciso-me-encontrar,aí
5,preciso-me-encontrar,a
6,preciso-me-encontrar,procurar
7,preciso-me-encontrar,Rir
8,preciso-me-encontrar,pra
9,preciso-me-encontrar,não
10,preciso-me-encontrar,chorar
11,preciso-me-encontrar,Deixe-me
12,preciso-me-encontrar,ir
13,preciso-me-encontrar,Preciso
14,preciso-me-encontrar,andar
15,preciso-me-encontrar,Vou
16,preciso-me-encontrar,por
17,preciso-me-encontrar,aí
18,preciso-me-encontrar,a
19,preciso-me-encontrar,procurar
20,preciso-me-encontrar,Rir
21,preciso-me-encontrar,pra
22,preciso-me-encontrar,não
23,preciso-me-encontrar,chorar
24,preciso-me-encontrar,Ver
25,preciso-me-encontrar,as
26,preciso-me-encontrar,águas
27,preciso-me-encontrar,dos
28,preciso-me-encontrar,rios
29,preciso-me-encontrar,correr
30,preciso-me-encontrar,Ouvir
31,preciso-me-encontrar,os
32,preciso-me-encontrar,pássaros
33,preciso-me-encontrar,cantar
34,preciso-me-encontrar,Eu
35,preciso-me-encontrar,quero
36,preciso-me-encontrar,nascer
37,preciso-me-encontrar,Quero
38,preciso-me-encontrar,viver
39,preciso-me-encontrar,Preciso
40,preciso-me-encontrar,andar
41,preciso-me-encontrar,Vou
42,preciso-me-encontrar,por
43,preciso-me-encontrar,aí
44,preciso-me-encontrar,a
45,preciso-me-encontrar,procurar
46,preciso-me-encontrar,Rir
47,preciso-me-encontrar,pra
48,preciso-me-encontrar,não
49,preciso-me-encontrar,chorar
50,preciso-me-encontrar,Se
51,preciso-me-encontrar,alguém
52,preciso-me-encontrar,por
53,preciso-me-encontrar,mim
54,preciso-me-encontrar,perguntar
55,preciso-me-encontrar,Diga
56,preciso-me-encontrar,que
57,preciso-me-encontrar,eu
58,preciso-me-encontrar,só
59,preciso-me-encontrar,vou
60,preciso-me-encontrar,voltar
61,preciso-me-encontrar,Depois
62,preciso-me-encontrar,que
63,preciso-me-encontrar,me
64,preciso-me-encontrar,encontrar
65,preciso-me-encontrar,Ver
66,preciso-me-encontrar,as
67,preciso-me-encontrar,águas
68,preciso-me-encontrar,dos
69,preciso-me-encontrar,rios
70,preciso-me-encontrar,correr
71,preciso-me-encontrar,Ouvir
72,preciso-me-encontrar,os
73,preciso-me-encontrar,pássaros
74,preciso-me-encontrar,cantar
75,preciso-me-encontrar,Eu
76,preciso-me-encontrar,quero
77,preciso-me-encontrar,nascer
78,preciso-me-encontrar,Quero
79,preciso-me-encontrar,viver
80,preciso-me-encontrar,Preciso
81,preciso-me-encontrar,andar
82,preciso-me-encontrar,Vou
83,preciso-me-encontrar,por
84,preciso-me-encontrar,aí
85,preciso-me-encontrar,a
86,preciso-me-encontrar,procurar
87,preciso-me-encontrar,Rir
88,preciso-me-encontrar,pra
89,preciso-me-encontrar,não
90,preciso-me-encontrar,chorar
91,preciso-me-encontrar,Vou
92,preciso-me-encontrar,por
93,preciso-me-encontrar,aí
94,preciso-me-encontrar,a
95,preciso-me-encontrar,procurar
96,preciso-me-encontrar,Rir
97,preciso-me-encontrar,pra
98,preciso-me-encontrar,não
99,preciso-me-encontrar,chorar
100,preciso-me-encontrar,Deixe-me
101,preciso-me-encontrar,ir
102,preciso-me-encontrar,preciso
103,preciso-me-encontrar,andar
104,preciso-me-encontrar,Vou
105,preciso-me-encontrar,por
106,preciso-me-encontrar,aí
107,preciso-me-encontrar,a
108,preciso-me-encontrar,procurar
109,preciso-me-encontrar,Rir
110,preciso-me-encontrar,pra
111,preciso-me-encontrar,não
112,preciso-me-encontrar,chorar
113,preciso-me-encontrar,None
184,o-mundo-um-moinho,Mal
185,o-mundo-um-moinho,começaste
186,o-mundo-um-moinho,a
187,o-mundo-um-moinho,conhecer
188,o-mundo-um-moinho,a
189,o-mundo-um-moinho,vida
190,o-mundo-um-moinho,Já
191,o-mundo-um-moinho,anuncias
192,o-mundo-um-moinho,a
193,o-mundo-um-moinho,hora
194,o-mundo-um-moinho,de
195,o-mundo-um-moinho,partida
196,o-mundo-um-moinho,Sem
197,o-mundo-um-moinho,saber
198,o-mundo-um-moinho,mesmo
199,o-mundo-um-moinho,o
200,o-mundo-um-moinho,rumo
201,o-mundo-um-moinho,que
202,o-mundo-um-moinho,irás
203,o-mundo-um-moinho,tomar
204,o-mundo-um-moinho,Embora
205,o-mundo-um-moinho,eu
206,o-mundo-um-moinho,saiba
207,o-mundo-um-moinho,que
