,Musicas,Acordes
0,malandragem,Dm
1,malandragem,Bb
2,malandragem,C
3,malandragem,Dm
4,malandragem,C
5,malandragem,Gm
6,malandragem,Dm
7,malandragem,C
8,malandragem,Gm
9,malandragem,Dm
10,malandragem,C
11,malandragem,Bb
12,malandragem,Dm
13,malandragem,C
14,malandragem,Gm
15,malandragem,Dm
16,malandragem,C
17,malandragem,Bb
18,malandragem,Dm
19,malandragem,C
20,malandragem,F
21,malandragem,G
22,malandragem,Dm
23,malandragem,C
24,malandragem,F
25,malandragem,G
26,malandragem,Bb
27,malandragem,C
28,malandragem,Dm
29,malandragem,Bb
30,malandragem,C
31,malandragem,Dm
32,malandragem,C
33,malandragem,Gm
34,malandragem,Dm
35,malandragem,G
36,malandragem,F
37,malandragem,C
38,malandragem,Dm
39,malandragem,Bb
40,malandragem,Dm
41,malandragem,G
42,malandragem,F
43,malandragem,C
44,malandragem,Dm
45,malandragem,Bb
46,malandragem,Dm
47,malandragem,Dm
48,malandragem,C
49,malandragem,F
50,malandragem,G
51,malandragem,Dm
52,malandragem,C
53,malandragem,F
54,malandragem,G
55,malandragem,Bb
56,malandragem,C
57,malandragem,Dm
58,malandragem,Bb
59,malandragem,C
60,malandragem,Dm
61,malandragem,C
62,malandragem,Gm
63,malandragem,Dm
64,malandragem,G
65,malandragem,F
66,malandragem,C
67,malandragem,Dm
68,malandragem,Bb
69,malandragem,Dm
70,malandragem,G
71,malandragem,F
72,malandragem,C
73,malandragem,Dm
74,malandragem,Bb
75,malandragem,Dm
76,malandragem,Dm
77,malandragem,C
78,malandragem,F
79,malandragem,G
80,malandragem,Dm
81,malandragem,C
82,malandragem,F
83,malandragem,G
84,malandragem,Bb
85,malandragem,C
86,malandragem,Dm
87,malandragem,Bb
88,malandragem,C
89,malandragem,Dm
90,malandragem,Dm
148,o-segundo-sol,A9
149,o-segundo-sol,E
150,o-segundo-sol,Bm7
151,o-segundo-sol,D
152,o-segundo-sol,A
153,o-segundo-sol,E
154,o-segundo-sol,E
155,o-segundo-sol,Bm7
156,o-segundo-sol,D
157,o-segundo-sol,A
158,o-segundo-sol,E
159,o-segundo-sol,Bm7
160,o-segundo-sol,D
161,o-segundo-sol,A
162,o-segundo-sol,E
163,o-segundo-sol,Bm7
164,o-segundo-sol,D
165,o-segundo-sol,A
166,o-segundo-sol,E
167,o-segundo-sol,E
168,o-segundo-sol,E
169,o-segundo-sol,E
170,o-segundo-sol,D
171,o-segundo-sol,A/C#
172,o-segundo-sol,Bm7
173,o-segundo-sol,A
174,o-segundo-sol,Em7
175,o-segundo-sol,D
176,o-segundo-sol,A/C#
177,o-segundo-sol,Bm7
178,o-segundo-sol,A
179,o-segundo-sol,G
180,o-segundo-sol,A
181,o-segundo-sol,Em7
182,o-segundo-sol,D
183,o-segundo-sol,A/C#
184,o-segundo-sol,Bm7
185,o-segundo-sol,A
186,o-segundo-sol,E
187,o-segundo-sol,Bm7
188,o-segundo-sol,D
189,o-segundo-sol,A
190,o-segundo-sol,E
191,o-segundo-sol,E
192,o-segundo-sol,Bm7
193,o-segundo-sol,D
