,Musicas,Palavras
0,malandragem,Esperando
1,malandragem,o
2,malandragem,ônibus
3,malandragem,da
4,malandragem,"escola,"
5,malandragem,sozinha
6,malandragem,Cansada
7,malandragem,com
8,malandragem,minhas
9,malandragem,meias
10,malandragem,três
11,malandragem,quartos
12,malandragem,Rezando
13,malandragem,baixo
14,malandragem,pelos
15,malandragem,cantos
16,malandragem,Por
17,malandragem,ser
18,malandragem,uma
19,malandragem,menina
20,malandragem,má
21,malandragem,Que
22,malandragem,vive
23,malandragem,dando
24,malandragem,no
25,malandragem,meu
26,malandragem,saco
27,malandragem,Quem
28,malandragem,sabe
29,malandragem,a
30,malandragem,vida
31,malandragem,é
32,malandragem,não
33,malandragem,sonhar
34,malandragem,Um
35,malandragem,pouco
36,malandragem,de
37,malandragem,malandragem
38,malandragem,Pois
39,malandragem,sou
40,malandragem,criança
41,malandragem,E
42,malandragem,não
43,malandragem,conheço
44,malandragem,a
45,malandragem,verdade
46,malandragem,Eu
47,malandragem,sou
48,malandragem,poeta
49,malandragem,e
50,malandragem,não
51,malandragem,aprendi
52,malandragem,a
53,malandragem,amar
54,malandragem,Eu
55,malandragem,sou
56,malandragem,poeta
57,malandragem,e
58,malandragem,não
59,malandragem,aprendi
60,malandragem,a
61,malandragem,amar
62,malandragem,E
63,malandragem,eu
64,malandragem,ainda
65,malandragem,tenho
66,malandragem,uma
67,malandragem,tarde
68,malandragem,inteira
69,malandragem,Eu
70,malandragem,ando
71,malandragem,nas
72,malandragem,ruas
73,malandragem,Eu
74,malandragem,troco
75,malandragem,um
76,malandragem,cheque
77,malandragem,Mudo
78,malandragem,uma
79,malandragem,planta
80,malandragem,de
81,malandragem,lugar
82,malandragem,Dirijo
83,malandragem,meu
84,malandragem,carro
85,malandragem,Tomo
86,malandragem,o
87,malandragem,meu
88,malandragem,pileque
89,malandragem,E
90,malandragem,ainda
91,malandragem,tenho
92,malandragem,tempo
93,malandragem,pra
94,malandragem,cantar
95,malandragem,Um
96,malandragem,pouco
97,malandragem,de
98,malandragem,malandragem
99,malandragem,Pois
100,malandragem,sou
101,malandragem,criança
102,malandragem,E
103,malandragem,não
104,malandragem,conheço
105,malandragem,a
106,malandragem,verdade
107,malandragem,Eu
108,malandragem,sou
109,malandragem,poeta
110,malandragem,e
111,malandragem,não
112,malandragem,aprendi
113,malandragem,a
114,malandragem,amar
115,malandragem,Eu
116,malandragem,sou
117,malandragem,poeta
118,malandragem,e
119,malandragem,não
120,malandragem,aprendi
121,malandragem,a
122,malandragem,amar
123,malandragem,Eu
124,malandragem,troco
125,malandragem,um
126,malandragem,cheque
127,malandragem,Mudo
128,malandragem,uma
129,malandragem,planta
130,malandragem,de
131,malandragem,lugar
132,malandragem,Dirijo
133,malandragem,meu
134,malandragem,carro
135,malandragem,Tomo
136,malandragem,o
137,malandragem,meu
138,malandragem,pileque
139,malandragem,E
140,malandragem,ainda
141,malandragem,tenho
142,malandragem,tempo
143,malandragem,pra
144,malandragem,cantar
145,malandragem,Um
146,malandragem,pouco
147,malandragem,de
148,malandragem,malandragem
149,malandragem,Pois
150,malandragem,sou
151,malandragem,criança
152,malandragem,E
153,malandragem,não
154,malandragem,conheço
155,malandragem,a
156,malandragem,verdade
157,malandragem,Eu
158,malandragem,sou
159,malandragem,poeta
160,malandragem,e
161,malandragem,não
162,malandragem,aprendi
163,malandragem,a
164,malandragem,amar
165,malandragem,Eu
166,malandragem,sou
167,malandragem,poeta
168,malandragem,e
169,malandragem,não
170,malandragem,aprendi
171,malandragem,a
172,malandragem,amar
173,malandragem,None
510,o-segundo-sol,Para
511,o-segundo-sol,realinhar
512,o-segundo-sol,as
513,o-segundo-sol,órbitas
514,o-segundo-sol,dos
515,o-segundo-sol,planetas
516,o-segundo-sol,Derrubando
517,o-segundo-sol,com
518,o-segundo-sol,assombro
519,o-segundo-sol,exemplar
520,o-segundo-sol,O
521,o-segundo-sol,que
522,o-segundo-sol,os
523,o-segundo-sol,astrônomos
524,o-segundo-sol,diriam
525,o-segundo-sol,Se
526,o-segundo-sol,tratar
527,o-segundo-sol,de
528,o-segundo-sol,um
529,o-segundo-sol,outro
530,o-segundo-sol,cometa
531,o-segundo-sol,Para
532,o-segundo-sol,realinhar
533,o-segundo-sol,as
534,o-segundo-sol,órbitas
535,o-segundo-sol,dos
536,o-segundo-sol,planetas
537,o-segundo-sol,Derrubando
538,o-segundo-sol,com
539,o-segundo-sol,assombro
540,o-segundo-sol,exemplar
541,o-segundo-sol,O
542,o-segundo-sol,que
543,o-segundo-sol,os
544,o-segundo-sol,astrônomos
545,o-segundo-sol,diriam
546,o-segundo-sol,Se
547,o-segundo-sol,tratar
548,o-segundo-sol,de
549,o-segundo-sol,um
550,o-segundo-sol,outro
551,o-segundo-sol,cometa
552,o-segundo-sol,Antes
553,o-segundo-sol,que
554,o-segundo-sol,eu
555,o-segundo-sol,visse
556,o-segundo-sol,você
557,o-segundo-sol,disse
558,o-segundo-sol,E
559,o-segundo-sol,eu
560,o-segundo-sol,não
561,o-segundo-sol,pude
562,o-segundo-sol,acreditar
563,o-segundo-sol,Mas
564,o-segundo-sol,você
565,o-segundo-sol,pode
566,o-segundo-sol,ter
567,o-segundo-sol,certeza
568,o-segundo-sol,Em
569,o-segundo-sol,sua
570,o-segundo-sol,nova
571,o-segundo-sol,casa
572,o-segundo-sol,Que
573,o-segundo-sol,abriga
574,o-segundo-sol,agora
575,o-segundo-sol,a
576,o-segundo-sol,trilha
577,o-segundo-sol,Incluída
578,o-segundo-sol,nessa
579,o-segundo-sol,minha
580,o-segundo-sol,conversão
581,o-segundo-sol,Que
582,o-segundo-sol,eu
583,o-segundo-sol,fui
584,o-segundo-sol,lá
585,o-segundo-sol,fora
586,o-segundo-sol,E
587,o-segundo-sol,vi
588,o-segundo-sol,dois
589,o-segundo-sol,sóis
590,o-segundo-sol,num
591,o-segundo-sol,dia
592,o-segundo-sol,E
593,o-segundo-sol,a
594,o-segundo-sol,vida
595,o-segundo-sol,que
596,o-segundo-sol,ardia
597,o-segundo-sol,sem
598,o-segundo-sol,explicação
599,o-segundo-sol,Para
600,o-segundo-sol,realinhar
601,o-segundo-sol,as
602,o-segundo-sol,órbitas
603,o-segundo-sol,dos
604,o-segundo-sol,planetas
605,o-segundo-sol,Derrubando
606,o-segundo-sol,com
607,o-segundo-sol,assombro
608,o-segundo-sol,exemplar
609,o-segundo-sol,O
610,o-segundo-sol,que
611,o-segundo-sol,os
612,o-segundo-sol,astrônomos
613,o-segundo-sol,diriam
614,o-segundo-sol,Se
615,o-segundo-sol,tratar
616,o-segundo-sol,de
617,o-segundo-sol,um
618,o-segundo-sol,outro
619,o-segundo-sol,cometa
620,o-segundo-sol,Antes
621,o-segundo-sol,que
622,o-segundo-sol,eu
623,o-segundo-sol,"visse,"
624,o-segundo-sol,você
625,o-segundo-sol,disse
626,o-segundo-sol,E
627,o-segundo-sol,eu
628,o-segundo-sol,não
629,o-segundo-sol,pude
630,o-segundo-sol,acreditar
631,o-segundo-sol,Mas
632,o-segundo-sol,você
633,o-segundo-sol,pode
634,o-segundo-sol,ter
635,o-segundo-sol,certeza
636,o-segundo-sol,Em
637,o-segundo-sol,sua
638,o-segundo-sol,nova
639,o-segundo-sol,casa
640,o-segundo-sol,Que
641,o-segundo-sol,abriga
642,o-segundo-sol,agora
643,o-segundo-sol,a
644,o-segundo-sol,trilha
645,o-segundo-sol,Incluída
646,o-segundo-sol,nessa
647,o-segundo-sol,minha
648,o-segundo-sol,conversão
649,o-segundo-sol,Que
650,o-segundo-sol,eu
651,o-segundo-sol,fui
652,o-segundo-sol,lá
653,o-segundo-sol,fora
654,o-segundo-sol,E
655,o-segundo-sol,vi
656,o-segundo-sol,dois
657,o-segundo-sol,sóis
658,o-segundo-sol,num
659,o-segundo-sol,dia
660,o-segundo-sol,E
661,o-segundo-sol,a
662,o-segundo-sol,vida
663,o-segundo-sol,que
664,o-segundo-sol,ardia
665,o-segundo-sol,sem
666,o-segundo-sol,explicação
667,o-segundo-sol,Em
668,o-segundo-sol,sua
669,o-segundo-sol,nova
670,o-segundo-sol,casa
671,o-segundo-sol,Que
672,o-segundo-sol,abriga
673,o-segundo-sol,agora
674,o-segundo-sol,a
675,o-segundo-sol,trilha
676,o-segundo-sol,Incluída
677,o-segundo-sol,nessa
678,o-segundo-sol,minha
679,o-segundo-sol,conversão
680,o-segundo-sol,Que
681,o-segundo-sol,eu
682,o-segundo-sol,fui
683,o-segundo-sol,lá
684,o-segundo-sol,fora
685,o-segundo-sol,E
686,o-segundo-sol,vi
687,o-segundo-sol,dois
688,o-segundo-sol,sóis
689,o-segundo-sol,num
690,o-segundo-sol,dia
691,o-segundo-sol,E
692,o-segundo-sol,a
693,o-segundo-sol,vida
694,o-segundo-sol,que
695,o-segundo-sol,ardia
696,o-segundo-sol,sem
697,o-segundo-sol,explicação
698,o-segundo-sol,"Explicação,"
699,o-segundo-sol,não
700,o-segundo-sol,Não
701,o-segundo-sol,tem
702,o-segundo-sol,explicação
703,o-segundo-sol,"Explicação,"
704,o-segundo-sol,não
705,o-segundo-sol,tem
706,o-segundo-sol,Não
707,o-segundo-sol,tem
708,o-segundo-sol,explicação
709,o-segundo-sol,"Explicação,"
710,o-segundo-sol,não
711,o-segundo-sol,tem
712,o-segundo-sol,"Explicação,"
713,o-segundo-sol,não
714,o-segundo-sol,tem
715,o-segundo-sol,Não
716,o-segundo-sol,tem
717,o-segundo-sol,None
1020,por-enquanto,Mas
1021,por-enquanto,eu
1022,por-enquanto,sei
1023,por-enquanto,que
1024,por-enquanto,alguma
1025,por-enquanto,coisa
1026,por-enquanto,aconteceu
1027,por-enquanto,Tá
1028,por-enquanto,tudo
1029,por-enquanto,"assim,"
1030,por-enquanto,tão
1031,por-enquanto,diferente
1032,por-enquanto,Chegou
1033,por-enquanto,um
1034,por-enquanto,dia
1035,por-enquanto,a
1036,por-enquanto,acreditar
1037,por-enquanto,Que
1038,por-enquanto,tudo
1039,por-enquanto,era
1040,por-enquanto,pra
1041,por-enquanto,sempre
1042,por-enquanto,Sem
1043,por-enquanto,saber
1044,por-enquanto,que
1045,por-enquanto,o
1046,por-enquanto,pra
1047,por-enquanto,sempre
1048,por-enquanto,sempre
1049,por-enquanto,acaba
1050,por-enquanto,Quando
1051,por-enquanto,penso
1052,por-enquanto,em
1053,por-enquanto,"alguém,"
1054,por-enquanto,só
1055,por-enquanto,penso
1056,por-enquanto,em
1057,por-enquanto,você
1058,por-enquanto,E
1059,por-enquanto,"aí,"
1060,por-enquanto,"então,"
1061,por-enquanto,estamos
1062,por-enquanto,bem
1063,por-enquanto,Pra
1064,por-enquanto,deixar
1065,por-enquanto,tudo
1066,por-enquanto,como
1067,por-enquanto,está
1068,por-enquanto,Nem
1069,por-enquanto,"desistir,"
1070,por-enquanto,nem
1071,por-enquanto,tentar
1072,por-enquanto,Agora
1073,por-enquanto,tanto
1074,por-enquanto,faz
1075,por-enquanto,Estamos
1076,por-enquanto,indo
1077,por-enquanto,de
1078,por-enquanto,volta
1079,por-enquanto,pra
1080,por-enquanto,casa
1081,por-enquanto,Pra
1082,por-enquanto,deixar
1083,por-enquanto,tudo
1084,por-enquanto,como
1085,por-enquanto,está
1086,por-enquanto,Nem
1087,por-enquanto,"desistir,"
1088,por-enquanto,nem
1089,por-enquanto,tentar
1090,por-enquanto,Agora
1091,por-enquanto,tanto
1092,por-enquanto,faz
1093,por-enquanto,Estamos
1094,por-enquanto,indo
1095,por-enquanto,de
1096,por-enquanto,volta
1097,por-enquanto,pra
1098,por-enquanto,casa
1099,por-enquanto,None
1530,palavras-ao-vento,Em
1531,palavras-ao-vento,cada
1532,palavras-ao-vento,esquina
1533,palavras-ao-vento,paro
1534,palavras-ao-vento,em
1535,palavras-ao-vento,cada
1536,palavras-ao-vento,olhar
1537,palavras-ao-vento,Deixo
1538,palavras-ao-vento,a
1539,palavras-ao-vento,tristeza
1540,palavras-ao-vento,e
1541,palavras-ao-vento,trago
1542,palavras-ao-vento,a
1543,palavras-ao-vento,esperança
1544,palavras-ao-vento,em
1545,palavras-ao-vento,seu
1546,palavras-ao-vento,lugar
1547,palavras-ao-vento,Minha
1548,palavras-ao-vento,dádiva
1549,palavras-ao-vento,Quero
1550,palavras-ao-vento,poder
1551,palavras-ao-vento,jurar
1552,palavras-ao-vento,que
1553,palavras-ao-vento,essa
1554,palavras-ao-vento,paixão
1555,palavras-ao-vento,jamais
1556,palavras-ao-vento,será
1557,palavras-ao-vento,Palavras
1558,palavras-ao-vento,pequenas
1559,palavras-ao-vento,Palavras
1560,palavras-ao-vento,Em
1561,palavras-ao-vento,cada
1562,palavras-ao-vento,esquina
1563,palavras-ao-vento,paro
1564,palavras-ao-vento,em
1565,palavras-ao-vento,cada
1566,palavras-ao-vento,olhar
1567,palavras-ao-vento,Deixo
1568,palavras-ao-vento,a
1569,palavras-ao-vento,tristeza
1570,palavras-ao-vento,e
1571,palavras-ao-vento,trago
1572,palavras-ao-vento,a
1573,palavras-ao-vento,esperança
1574,palavras-ao-vento,em
1575,palavras-ao-vento,seu
1576,palavras-ao-vento,lugar
1577,palavras-ao-vento,Minha
1578,palavras-ao-vento,dádiva
1579,palavras-ao-vento,Quero
1580,palavras-ao-vento,poder
1581,palavras-ao-vento,jurar
1582,palavras-ao-vento,que
1583,palavras-ao-vento,essa
1584,palavras-ao-vento,paixão
1585,palavras-ao-vento,jamais
1586,palavras-ao-vento,será
1587,palavras-ao-vento,Palavras
1588,palavras-ao-vento,pequenas
1589,palavras-ao-vento,"Palavras,"
1590,palavras-ao-vento,momento
1591,palavras-ao-vento,"Palavras,"
1592,palavras-ao-vento,palavras
1593,palavras-ao-vento,Palavras
1594,palavras-ao-vento,ao
1595,palavras-ao-vento,vento
1596,palavras-ao-vento,Em
1597,palavras-ao-vento,cada
1598,palavras-ao-vento,esquina
1599,palavras-ao-vento,paro
1600,palavras-ao-vento,em
1601,palavras-ao-vento,cada
1602,palavras-ao-vento,olhar
1603,palavras-ao-vento,Deixo
1604,palavras-ao-vento,a
1605,palavras-ao-vento,tristeza
1606,palavras-ao-vento,e
1607,palavras-ao-vento,trago
1608,palavras-ao-vento,a
1609,palavras-ao-vento,esperança
1610,palavras-ao-vento,em
1611,palavras-ao-vento,seu
1612,palavras-ao-vento,lugar
