,Musicas,Acordes
0,exagerado,G
1,exagerado,D/G
2,exagerado,C/G
3,exagerado,G
4,exagerado,D/G
5,exagerado,C/G
6,exagerado,G
7,exagerado,D/G
8,exagerado,C/G
9,exagerado,G
10,exagerado,D/G
11,exagerado,C/G
12,exagerado,G
13,exagerado,D/G
14,exagerado,C/G
15,exagerado,G
16,exagerado,D
17,exagerado,C
18,exagerado,G
19,exagerado,D
20,exagerado,C
21,exagerado,Em
22,exagerado,D
23,exagerado,C
24,exagerado,Am
25,exagerado,Bm
26,exagerado,D
27,exagerado,G
28,exagerado,D
29,exagerado,C
30,exagerado,G
31,exagerado,D
32,exagerado,C
33,exagerado,Em
34,exagerado,D
35,exagerado,B7
36,exagerado,C
37,exagerado,D
38,exagerado,G
39,exagerado,D
40,exagerado,C
41,exagerado,Em
42,exagerado,D
43,exagerado,C
44,exagerado,Am
45,exagerado,Bm
46,exagerado,D
47,exagerado,G
48,exagerado,D
49,exagerado,C
50,exagerado,G
51,exagerado,D
52,exagerado,C
53,exagerado,Em
54,exagerado,D
55,exagerado,C
56,exagerado,Em
57,exagerado,Bm
58,exagerado,F7M
59,exagerado,F#m7(5-)
60,exagerado,Em
61,exagerado,Bm
62,exagerado,F7M
63,exagerado,F#m7(5-)
64,exagerado,B7
65,exagerado,C
66,exagerado,D
67,exagerado,G
68,exagerado,D
69,exagerado,C
70,exagerado,Em
71,exagerado,D
72,exagerado,C
73,exagerado,Am
74,exagerado,Bm
75,exagerado,D
76,exagerado,G
77,exagerado,D/G
78,exagerado,C/G
79,exagerado,G
80,exagerado,D/G
81,exagerado,C/G
82,exagerado,G
83,exagerado,D/G
84,exagerado,C/G
85,exagerado,G
86,exagerado,D/G
87,exagerado,C/G
88,exagerado,G
89,exagerado,D
90,exagerado,C
91,exagerado,G
92,exagerado,D
93,exagerado,C
94,exagerado,Em
95,exagerado,D
96,exagerado,C
97,exagerado,Em
98,exagerado,Bm
99,exagerado,F7M
100,exagerado,F#m7(5-)
101,exagerado,Em
102,exagerado,Bm
103,exagerado,F7M
104,exagerado,F#m7(5-)
105,exagerado,B7
106,exagerado,C
107,exagerado,D
108,exagerado,G
109,exagerado,D
110,exagerado,C
111,exagerado,Em
112,exagerado,D
113,exagerado,C
114,exagerado,Am
115,exagerado,Bm
116,exagerado,D
117,exagerado,C
118,exagerado,D
119,exagerado,G
120,exagerado,D
121,exagerado,C
122,exagerado,Em
123,exagerado,D
124,exagerado,C
125,exagerado,Am
126,exagerado,Bm
127,exagerado,D
128,exagerado,C
129,exagerado,D
130,exagerado,G
131,exagerado,D
132,exagerado,C
133,exagerado,Em
134,exagerado,D
135,exagerado,C
136,exagerado,Am
137,exagerado,Bm
138,exagerado,D
139,codinome-beija-flor,A7M(9)
140,codinome-beija-flor,F#m7(11)
141,codinome-beija-flor,D5(6/9)
142,codinome-beija-flor,A4/E
143,codinome-beija-flor,A
144,codinome-beija-flor,A7M(9)
145,codinome-beija-flor,A
146,codinome-beija-flor,A7M(9)
147,codinome-beija-flor,A
148,codinome-beija-flor,D5(7M/9)
149,codinome-beija-flor,E/D
150,codinome-beija-flor,F#m7
151,codinome-beija-flor,D5(7M/9)
152,codinome-beija-flor,E/D
153,codinome-beija-flor,D5(7M/9)
154,codinome-beija-flor,E/D
155,codinome-beija-flor,Bm7(11)
156,codinome-beija-flor,C#m7(11)
157,codinome-beija-flor,D5(7M/9)
158,codinome-beija-flor,D/E
159,codinome-beija-flor,F/G
160,codinome-beija-flor,G7(9)
161,codinome-beija-flor,A
162,codinome-beija-flor,A7M(9)
163,codinome-beija-flor,A
164,codinome-beija-flor,A7M(9)
165,codinome-beija-flor,A
166,codinome-beija-flor,D5(7M/9)
167,codinome-beija-flor,E/D
168,codinome-beija-flor,F#m7
169,codinome-beija-flor,D5(7M/9)
170,codinome-beija-flor,E/D
171,codinome-beija-flor,D5(7M/9)
172,codinome-beija-flor,E/D
173,codinome-beija-flor,Bm7(11)
174,codinome-beija-flor,C#m7(11)
175,codinome-beija-flor,D5(7M/9)
176,codinome-beija-flor,D/E
177,codinome-beija-flor,F/G
178,codinome-beija-flor,G7(9)
179,codinome-beija-flor,A
180,codinome-beija-flor,A7M(9)
181,codinome-beija-flor,A
182,codinome-beija-flor,A7M(9)
183,codinome-beija-flor,A
184,codinome-beija-flor,D5(7M/9)
185,codinome-beija-flor,E/D
186,codinome-beija-flor,F#m7
187,codinome-beija-flor,D5(7M/9)
188,codinome-beija-flor,E/D
189,codinome-beija-flor,D5(7M/9)
190,codinome-beija-flor,E/D
191,codinome-beija-flor,Bm7(11)
192,codinome-beija-flor,C#m7(11)
193,codinome-beija-flor,D5(7M/9)
194,codinome-beija-flor,D/E
