,Musicas,Palavras
0,exagerado,Daqui
1,exagerado,até
2,exagerado,a
3,exagerado,eternidade
4,exagerado,Nossos
5,exagerado,destinos
6,exagerado,Foram
7,exagerado,traçados
8,exagerado,na
9,exagerado,maternidade
10,exagerado,Te
11,exagerado,trago
12,exagerado,mil
13,exagerado,rosas
14,exagerado,roubadas
15,exagerado,Pra
16,exagerado,desculpar
17,exagerado,minhas
18,exagerado,mentiras
19,exagerado,Minhas
20,exagerado,mancadas
21,exagerado,Jogado
22,exagerado,aos
23,exagerado,teus
24,exagerado,pés
25,exagerado,Eu
26,exagerado,sou
27,exagerado,mesmo
28,exagerado,exagerado
29,exagerado,Adoro
30,exagerado,um
31,exagerado,amor
32,exagerado,inventado
33,exagerado,Se
34,exagerado,você
35,exagerado,não
36,exagerado,me
37,exagerado,notar
38,exagerado,Eu
39,exagerado,posso
40,exagerado,até
41,exagerado,morrer
42,exagerado,de
43,exagerado,fome
44,exagerado,Se
45,exagerado,você
46,exagerado,não
47,exagerado,me
48,exagerado,amar
49,exagerado,Vou
50,exagerado,"mendigar,"
51,exagerado,"roubar,"
52,exagerado,matar
53,exagerado,Até
54,exagerado,nas
55,exagerado,coisas
56,exagerado,mais
57,exagerado,banais
58,exagerado,Pra
59,exagerado,mim
60,exagerado,é
61,exagerado,tudo
62,exagerado,ou
63,exagerado,nunca
64,exagerado,mais
65,exagerado,Jogado
66,exagerado,aos
67,exagerado,teus
68,exagerado,pés
69,exagerado,Eu
70,exagerado,sou
71,exagerado,mesmo
72,exagerado,exagerado
73,exagerado,Adoro
74,exagerado,um
75,exagerado,amor
76,exagerado,inventado
77,exagerado,"Carreira,"
78,exagerado,"dinheiro,"
79,exagerado,canudo
80,exagerado,Até
81,exagerado,nas
82,exagerado,coisas
83,exagerado,mais
84,exagerado,banais
85,exagerado,Pra
86,exagerado,mim
87,exagerado,é
88,exagerado,tudo
89,exagerado,ou
90,exagerado,nunca
91,exagerado,mais
92,exagerado,Jogado
93,exagerado,aos
94,exagerado,teus
95,exagerado,pés
96,exagerado,Eu
97,exagerado,sou
98,exagerado,mesmo
99,exagerado,exagerado
100,exagerado,Adoro
101,exagerado,um
102,exagerado,amor
103,exagerado,inventado
104,exagerado,Com
105,exagerado,mil
106,exagerado,rosas
107,exagerado,roubadas
108,exagerado,Exagerado
109,exagerado,Eu
110,exagerado,adoro
111,exagerado,um
112,exagerado,amor
