,Musicas,Palavras
0,ceu-azul,Mas
1,ceu-azul,que
2,ceu-azul,preguiça
3,ceu-azul,boa
4,ceu-azul,Me
5,ceu-azul,deixa
6,ceu-azul,aqui
7,ceu-azul,à
8,ceu-azul,toa
9,ceu-azul,Hoje
10,ceu-azul,ninguém
11,ceu-azul,vai
12,ceu-azul,estragar
13,ceu-azul,meu
14,ceu-azul,dia
15,ceu-azul,Só
16,ceu-azul,vou
17,ceu-azul,gastar
18,ceu-azul,energia
19,ceu-azul,pra
20,ceu-azul,beijar
21,ceu-azul,sua
22,ceu-azul,boca
23,ceu-azul,Não
24,ceu-azul,me
25,ceu-azul,"abandona,"
26,ceu-azul,não
27,ceu-azul,Alguém
28,ceu-azul,te
29,ceu-azul,perguntou
30,ceu-azul,como
31,ceu-azul,é
32,ceu-azul,que
33,ceu-azul,foi
34,ceu-azul,seu
35,ceu-azul,dia?
36,ceu-azul,Uma
37,ceu-azul,palavra
38,ceu-azul,"amiga,"
39,ceu-azul,uma
40,ceu-azul,notícia
41,ceu-azul,boa
42,ceu-azul,Isso
43,ceu-azul,faz
44,ceu-azul,falta
45,ceu-azul,no
46,ceu-azul,dia
47,ceu-azul,a
48,ceu-azul,dia
49,ceu-azul,A
50,ceu-azul,gente
51,ceu-azul,nunca
52,ceu-azul,sabe
53,ceu-azul,quem
54,ceu-azul,são
55,ceu-azul,essas
56,ceu-azul,pessoas
57,ceu-azul,Que
58,ceu-azul,aquele
59,ceu-azul,tempo
60,ceu-azul,eu
61,ceu-azul,não
62,ceu-azul,podia
63,ceu-azul,fazer
64,ceu-azul,mais
65,ceu-azul,por
66,ceu-azul,nós
67,ceu-azul,Eu
68,ceu-azul,estava
69,ceu-azul,errado
70,ceu-azul,e
71,ceu-azul,você
72,ceu-azul,não
73,ceu-azul,tem
74,ceu-azul,que
75,ceu-azul,me
76,ceu-azul,perdoar
77,ceu-azul,Que
78,ceu-azul,existe
79,ceu-azul,um
80,ceu-azul,lado
81,ceu-azul,bom
82,ceu-azul,nessa
83,ceu-azul,história
84,ceu-azul,Tudo
85,ceu-azul,que
86,ceu-azul,ainda
87,ceu-azul,temos
88,ceu-azul,a
89,ceu-azul,compartilhar
90,ceu-azul,E
91,ceu-azul,cantar
92,ceu-azul,Não
93,ceu-azul,importa
94,ceu-azul,qual
95,ceu-azul,seja
96,ceu-azul,o
97,ceu-azul,dia
98,ceu-azul,Vamos
99,ceu-azul,viver
100,ceu-azul,Vadiar
101,ceu-azul,O
102,ceu-azul,que
103,ceu-azul,importa
104,ceu-azul,é
105,ceu-azul,nossa
106,ceu-azul,alegria
107,ceu-azul,E
108,ceu-azul,cantar
109,ceu-azul,Não
110,ceu-azul,importa
111,ceu-azul,qual
112,ceu-azul,seja
113,ceu-azul,o
114,ceu-azul,dia
115,ceu-azul,Vamos
116,ceu-azul,viver
117,ceu-azul,Vadiar
118,ceu-azul,O
119,ceu-azul,que
120,ceu-azul,importa
121,ceu-azul,é
122,ceu-azul,nossa
123,ceu-azul,alegria
124,ceu-azul,Mas
125,ceu-azul,que
126,ceu-azul,preguiça
127,ceu-azul,boa
128,ceu-azul,Me
129,ceu-azul,deixa
130,ceu-azul,aqui
131,ceu-azul,à
132,ceu-azul,toa
133,ceu-azul,Hoje
134,ceu-azul,ninguém
135,ceu-azul,vai
136,ceu-azul,estragar
137,ceu-azul,meu
138,ceu-azul,dia
139,ceu-azul,Só
140,ceu-azul,vou
141,ceu-azul,gastar
142,ceu-azul,energia
143,ceu-azul,pra
144,ceu-azul,beijar
145,ceu-azul,sua
146,ceu-azul,boca
147,ceu-azul,Que
148,ceu-azul,aquele
149,ceu-azul,tempo
150,ceu-azul,eu
151,ceu-azul,não
152,ceu-azul,podia
153,ceu-azul,fazer
154,ceu-azul,mais
155,ceu-azul,por
156,ceu-azul,nós
157,ceu-azul,Eu
158,ceu-azul,estava
159,ceu-azul,errado
160,ceu-azul,e
161,ceu-azul,você
162,ceu-azul,não
163,ceu-azul,tem
164,ceu-azul,que
165,ceu-azul,me
166,ceu-azul,perdoar
167,ceu-azul,Que
168,ceu-azul,existe
169,ceu-azul,um
170,ceu-azul,lado
171,ceu-azul,bom
172,ceu-azul,nessa
173,ceu-azul,história
174,ceu-azul,Tudo
175,ceu-azul,que
176,ceu-azul,ainda
177,ceu-azul,temos
178,ceu-azul,a
179,ceu-azul,compartilhar
180,ceu-azul,E
181,ceu-azul,cantar
182,ceu-azul,Não
183,ceu-azul,importa
184,ceu-azul,qual
185,ceu-azul,seja
186,ceu-azul,o
187,ceu-azul,dia
188,ceu-azul,Vamos
189,ceu-azul,viver
190,ceu-azul,Vadiar
191,ceu-azul,O
192,ceu-azul,que
193,ceu-azul,importa
194,ceu-azul,é
195,ceu-azul,nossa
196,ceu-azul,alegria
197,ceu-azul,E
198,ceu-azul,cantar
199,ceu-azul,Não
200,ceu-azul,importa
201,ceu-azul,qual
202,ceu-azul,seja
203,ceu-azul,o
204,ceu-azul,dia
205,ceu-azul,Vamos
206,ceu-azul,viver
207,ceu-azul,Vadiar
208,ceu-azul,O
209,ceu-azul,que
210,ceu-azul,importa
211,ceu-azul,é
212,ceu-azul,nossa
213,ceu-azul,alegria
214,ceu-azul,None
1379,so-os-loucos-sabem,Bom
1380,so-os-loucos-sabem,"recomeçar,"
1381,so-os-loucos-sabem,poder
1382,so-os-loucos-sabem,contar
1383,so-os-loucos-sabem,com
1384,so-os-loucos-sabem,você
1385,so-os-loucos-sabem,Pois
1386,so-os-loucos-sabem,eu
1387,so-os-loucos-sabem,me
1388,so-os-loucos-sabem,lembro
1389,so-os-loucos-sabem,de
1390,so-os-loucos-sabem,"tudo,"
1391,so-os-loucos-sabem,irmão
1392,so-os-loucos-sabem,Eu
1393,so-os-loucos-sabem,estava
1394,so-os-loucos-sabem,lá
1395,so-os-loucos-sabem,também
1396,so-os-loucos-sabem,Um
1397,so-os-loucos-sabem,homem
1398,so-os-loucos-sabem,quando
1399,so-os-loucos-sabem,está
1400,so-os-loucos-sabem,em
1401,so-os-loucos-sabem,paz
1402,so-os-loucos-sabem,Não
1403,so-os-loucos-sabem,quer
1404,so-os-loucos-sabem,guerra
1405,so-os-loucos-sabem,com
1406,so-os-loucos-sabem,ninguém
1407,so-os-loucos-sabem,Pois
1408,so-os-loucos-sabem,não
1409,so-os-loucos-sabem,queria
1410,so-os-loucos-sabem,demonstrar
1411,so-os-loucos-sabem,a
1412,so-os-loucos-sabem,emoção
1413,so-os-loucos-sabem,Já
1414,so-os-loucos-sabem,que
1415,so-os-loucos-sabem,estava
1416,so-os-loucos-sabem,ali
1417,so-os-loucos-sabem,só
1418,so-os-loucos-sabem,pra
1419,so-os-loucos-sabem,observar
1420,so-os-loucos-sabem,E
1421,so-os-loucos-sabem,aprender
1422,so-os-loucos-sabem,um
1423,so-os-loucos-sabem,pouco
1424,so-os-loucos-sabem,mais
1425,so-os-loucos-sabem,sobre
1426,so-os-loucos-sabem,a
1427,so-os-loucos-sabem,percepção
1428,so-os-loucos-sabem,Eles
1429,so-os-loucos-sabem,dizem
1430,so-os-loucos-sabem,que
1431,so-os-loucos-sabem,é
1432,so-os-loucos-sabem,impossível
1433,so-os-loucos-sabem,encontrar
1434,so-os-loucos-sabem,o
1435,so-os-loucos-sabem,amor
1436,so-os-loucos-sabem,Sem
1437,so-os-loucos-sabem,perder
1438,so-os-loucos-sabem,a
1439,so-os-loucos-sabem,razão
1440,so-os-loucos-sabem,Mas
1441,so-os-loucos-sabem,pra
1442,so-os-loucos-sabem,quem
1443,so-os-loucos-sabem,tem
1444,so-os-loucos-sabem,pensamento
1445,so-os-loucos-sabem,forte
1446,so-os-loucos-sabem,O
1447,so-os-loucos-sabem,impossível
1448,so-os-loucos-sabem,é
1449,so-os-loucos-sabem,só
1450,so-os-loucos-sabem,questão
1451,so-os-loucos-sabem,de
1452,so-os-loucos-sabem,opinião
1453,so-os-loucos-sabem,Só
1454,so-os-loucos-sabem,os
1455,so-os-loucos-sabem,loucos
1456,so-os-loucos-sabem,sabem
1457,so-os-loucos-sabem,Disso
1458,so-os-loucos-sabem,os
1459,so-os-loucos-sabem,loucos
1460,so-os-loucos-sabem,sabem
1461,so-os-loucos-sabem,Só
1462,so-os-loucos-sabem,os
1463,so-os-loucos-sabem,loucos
1464,so-os-loucos-sabem,sabem
1465,so-os-loucos-sabem,Pois
1466,so-os-loucos-sabem,precisamos
1467,so-os-loucos-sabem,disso
1468,so-os-loucos-sabem,nos
1469,so-os-loucos-sabem,dias
1470,so-os-loucos-sabem,de
