,Musicas,Acordes
0,diga-que-valeu,D
1,diga-que-valeu,A
2,diga-que-valeu,Bm
3,diga-que-valeu,A5+
4,diga-que-valeu,D
5,diga-que-valeu,A
6,diga-que-valeu,G
7,diga-que-valeu,Bm
8,diga-que-valeu,Em
9,diga-que-valeu,A
10,diga-que-valeu,Ab
11,diga-que-valeu,G
12,diga-que-valeu,Bm
13,diga-que-valeu,Em
14,diga-que-valeu,G
15,diga-que-valeu,A
16,diga-que-valeu,D
17,diga-que-valeu,A
18,diga-que-valeu,G
19,diga-que-valeu,A
20,diga-que-valeu,D
21,diga-que-valeu,A
22,diga-que-valeu,G
23,diga-que-valeu,A
24,diga-que-valeu,D
25,diga-que-valeu,A
26,diga-que-valeu,D
27,diga-que-valeu,A
28,diga-que-valeu,D
29,diga-que-valeu,A
30,diga-que-valeu,G
31,diga-que-valeu,A
32,diga-que-valeu,D
33,diga-que-valeu,A
34,diga-que-valeu,G
35,diga-que-valeu,A
36,diga-que-valeu,D
37,diga-que-valeu,A
38,diga-que-valeu,G
39,diga-que-valeu,Bm
40,diga-que-valeu,Em
41,diga-que-valeu,A
42,diga-que-valeu,Ab
43,diga-que-valeu,G
44,diga-que-valeu,Bm
45,diga-que-valeu,Em
46,diga-que-valeu,G
47,diga-que-valeu,A
48,diga-que-valeu,D
49,diga-que-valeu,A
50,diga-que-valeu,G
51,diga-que-valeu,A
52,diga-que-valeu,D
53,diga-que-valeu,A
54,diga-que-valeu,G
55,diga-que-valeu,A
56,diga-que-valeu,D
57,diga-que-valeu,A
58,diga-que-valeu,Bm
59,diga-que-valeu,A
60,diga-que-valeu,A5+
61,diga-que-valeu,D
252,voa-voa,Bm
253,voa-voa,G
254,voa-voa,Em
255,voa-voa,F#
256,voa-voa,Bm
257,voa-voa,G
258,voa-voa,Em
259,voa-voa,F#
260,voa-voa,Bm
261,voa-voa,G
262,voa-voa,Em
263,voa-voa,F#
264,voa-voa,G
265,voa-voa,Bm
266,voa-voa,G
267,voa-voa,Em
268,voa-voa,F#
269,voa-voa,G
270,voa-voa,Bm
271,voa-voa,G
272,voa-voa,Em
273,voa-voa,F#
274,voa-voa,B
275,voa-voa,D#m
276,voa-voa,E
277,voa-voa,D#m
278,voa-voa,C#m
279,voa-voa,C#m
280,voa-voa,F#
281,voa-voa,B
282,voa-voa,D#m
283,voa-voa,E
284,voa-voa,D#m
285,voa-voa,C#m
286,voa-voa,C#m
287,voa-voa,F#
504,100-voce,A
505,100-voce,C#m
506,100-voce,D
507,100-voce,Dm
508,100-voce,A
509,100-voce,C#m
510,100-voce,D
511,100-voce,E
512,100-voce,F#m
513,100-voce,C#m
514,100-voce,D
515,100-voce,Bm
516,100-voce,E
517,100-voce,A
518,100-voce,C#m
519,100-voce,D
520,100-voce,E
521,100-voce,A
522,100-voce,C#m
523,100-voce,D
524,100-voce,E
525,100-voce,A
526,100-voce,A
527,100-voce,C#m
528,100-voce,D
529,100-voce,Dm
530,100-voce,A
531,100-voce,C#m
532,100-voce,D
533,100-voce,E
534,100-voce,F#m
535,100-voce,C#m
536,100-voce,D
537,100-voce,Bm
538,100-voce,E
539,100-voce,A
540,100-voce,C#m
541,100-voce,D
542,100-voce,E
543,100-voce,A
544,100-voce,C#m
545,100-voce,D
546,100-voce,E
547,100-voce,A
756,selva-branca,Gm
757,selva-branca,Eb
758,selva-branca,Gm
759,selva-branca,D
760,selva-branca,Gm
761,selva-branca,Eb
762,selva-branca,Gm
763,selva-branca,Dm
764,selva-branca,Gm
765,selva-branca,Eb
766,selva-branca,Cm
767,selva-branca,F
768,selva-branca,F#º
769,selva-branca,Gm
770,selva-branca,F
771,selva-branca,Gm
772,selva-branca,Gm
773,selva-branca,Eb
774,selva-branca,Cm
775,selva-branca,F
776,selva-branca,F#º
777,selva-branca,Gm
778,selva-branca,Gm
779,selva-branca,Eb
780,selva-branca,Cm
781,selva-branca,Gm
782,selva-branca,Gm
783,selva-branca,Gm
784,selva-branca,Cm
785,selva-branca,Gm
786,selva-branca,Eb
787,selva-branca,Eb
788,selva-branca,Dm
789,selva-branca,Cm
790,selva-branca,Cm
791,selva-branca,D
792,selva-branca,Gm
793,selva-branca,Dm
794,selva-branca,Cm
795,selva-branca,Gm
796,selva-branca,F
797,selva-branca,Gm
798,selva-branca,F
799,selva-branca,Gm
800,selva-branca,Dm
801,selva-branca,Cm
802,selva-branca,Gm
803,selva-branca,F
804,selva-branca,Gm
805,selva-branca,Gm
806,selva-branca,F
1008,amor-perfeito,A
1009,amor-perfeito,D
1010,amor-perfeito,C#
1011,amor-perfeito,B7
1012,amor-perfeito,E
1013,amor-perfeito,B7
1014,amor-perfeito,E
1015,amor-perfeito,B7
1016,amor-perfeito,E
1017,amor-perfeito,B7
1018,amor-perfeito,E
1019,amor-perfeito,B7
1020,amor-perfeito,E
1021,amor-perfeito,E
1022,amor-perfeito,F
1023,amor-perfeito,F#m
1024,amor-perfeito,Bm
1025,amor-perfeito,E
1026,amor-perfeito,C#7(4)
1027,amor-perfeito,C#7
1028,amor-perfeito,F#m
1029,amor-perfeito,Bm
1030,amor-perfeito,E
1031,amor-perfeito,D
1032,amor-perfeito,E
1033,amor-perfeito,A
1034,amor-perfeito,E
1035,amor-perfeito,A
1036,amor-perfeito,E
1037,amor-perfeito,A
1038,amor-perfeito,E
1039,amor-perfeito,A
1040,amor-perfeito,E
1041,amor-perfeito,F#m
1042,amor-perfeito,Bm
1043,amor-perfeito,E
1044,amor-perfeito,C#7(4)
1045,amor-perfeito,C#7
1046,amor-perfeito,F#m
1047,amor-perfeito,Bm
1048,amor-perfeito,E
1049,amor-perfeito,F#m
1050,amor-perfeito,G#m
1051,amor-perfeito,A
1052,amor-perfeito,B
1053,amor-perfeito,A
1054,amor-perfeito,D
1055,amor-perfeito,E
1056,amor-perfeito,C#m
1057,amor-perfeito,F#m
1058,amor-perfeito,Bm
1059,amor-perfeito,D
1060,amor-perfeito,Bm
1061,amor-perfeito,E
1062,amor-perfeito,A
1063,amor-perfeito,D
1064,amor-perfeito,E
1065,amor-perfeito,C#m
1066,amor-perfeito,F#m
1067,amor-perfeito,Bm
1068,amor-perfeito,D
1069,amor-perfeito,Bm
1070,amor-perfeito,E
1071,amor-perfeito,A
1072,amor-perfeito,E
1073,amor-perfeito,A
1260,nao-vou-chorar,C7+
1261,nao-vou-chorar,Dm
1262,nao-vou-chorar,G
1263,nao-vou-chorar,C
1264,nao-vou-chorar,G
1265,nao-vou-chorar,C
1266,nao-vou-chorar,Dm
1267,nao-vou-chorar,G
1268,nao-vou-chorar,C
1269,nao-vou-chorar,G
1270,nao-vou-chorar,C
1271,nao-vou-chorar,Dm
1272,nao-vou-chorar,G
1273,nao-vou-chorar,C
1274,nao-vou-chorar,C7
1275,nao-vou-chorar,F
1276,nao-vou-chorar,Fm
1277,nao-vou-chorar,Em
1278,nao-vou-chorar,Am
1279,nao-vou-chorar,Dm
1280,nao-vou-chorar,F
1281,nao-vou-chorar,G
1282,nao-vou-chorar,C
1283,nao-vou-chorar,G
1284,nao-vou-chorar,C
1285,nao-vou-chorar,G
1286,nao-vou-chorar,F
1287,nao-vou-chorar,Fm
1288,nao-vou-chorar,C
1289,nao-vou-chorar,G
1290,nao-vou-chorar,F
1291,nao-vou-chorar,Fm
1292,nao-vou-chorar,C
1293,nao-vou-chorar,G
1294,nao-vou-chorar,F
1295,nao-vou-chorar,Fm
1296,nao-vou-chorar,C
1512,menina-me-da-seu-amor,G
1513,menina-me-da-seu-amor,D7
1514,menina-me-da-seu-amor,G
1515,menina-me-da-seu-amor,D
1516,menina-me-da-seu-amor,C
1517,menina-me-da-seu-amor,G
1518,menina-me-da-seu-amor,G
1519,menina-me-da-seu-amor,D
1520,menina-me-da-seu-amor,Am
1521,menina-me-da-seu-amor,C
1522,menina-me-da-seu-amor,D
1523,menina-me-da-seu-amor,G
1524,menina-me-da-seu-amor,G
1525,menina-me-da-seu-amor,D
1526,menina-me-da-seu-amor,Am
1527,menina-me-da-seu-amor,C
1528,menina-me-da-seu-amor,D
1529,menina-me-da-seu-amor,G
1530,menina-me-da-seu-amor,G
1531,menina-me-da-seu-amor,D
1532,menina-me-da-seu-amor,G
1533,menina-me-da-seu-amor,D
1534,menina-me-da-seu-amor,G
1535,menina-me-da-seu-amor,G7
1536,menina-me-da-seu-amor,C
1537,menina-me-da-seu-amor,D
1538,menina-me-da-seu-amor,C
1539,menina-me-da-seu-amor,G
1540,menina-me-da-seu-amor,D7
1541,menina-me-da-seu-amor,G
1542,menina-me-da-seu-amor,D7
1543,menina-me-da-seu-amor,G
1544,menina-me-da-seu-amor,G
1545,menina-me-da-seu-amor,D7
1546,menina-me-da-seu-amor,G
1547,menina-me-da-seu-amor,D7
1548,menina-me-da-seu-amor,G
1549,menina-me-da-seu-amor,D7
1550,menina-me-da-seu-amor,G
1551,menina-me-da-seu-amor,D7
1552,menina-me-da-seu-amor,G
1764,foi-por-esse-amor,Am
1765,foi-por-esse-amor,E7
1766,foi-por-esse-amor,Am
1767,foi-por-esse-amor,E7
1768,foi-por-esse-amor,Am
1769,foi-por-esse-amor,Dm
1770,foi-por-esse-amor,G
1771,foi-por-esse-amor,C
1772,foi-por-esse-amor,E7
1773,foi-por-esse-amor,Am
1774,foi-por-esse-amor,Dm
1775,foi-por-esse-amor,G
1776,foi-por-esse-amor,Am
1777,foi-por-esse-amor,E7
1778,foi-por-esse-amor,Am
1779,foi-por-esse-amor,Dm
1780,foi-por-esse-amor,G
1781,foi-por-esse-amor,C
1782,foi-por-esse-amor,E7
1783,foi-por-esse-amor,Am
1784,foi-por-esse-amor,Dm
1785,foi-por-esse-amor,G
1786,foi-por-esse-amor,Am
1787,foi-por-esse-amor,G7
1788,foi-por-esse-amor,C
1789,foi-por-esse-amor,G
1790,foi-por-esse-amor,F
1791,foi-por-esse-amor,Am
1792,foi-por-esse-amor,G7
1793,foi-por-esse-amor,C
1794,foi-por-esse-amor,G
1795,foi-por-esse-amor,F
1796,foi-por-esse-amor,Am
1797,foi-por-esse-amor,E7
1798,foi-por-esse-amor,Am
1799,foi-por-esse-amor,E7
1800,foi-por-esse-amor,Am
1801,foi-por-esse-amor,E7
2016,se-me-chamar-eu-vou,Gm
2017,se-me-chamar-eu-vou,Eb
2018,se-me-chamar-eu-vou,F
2019,se-me-chamar-eu-vou,Eb
2020,se-me-chamar-eu-vou,Cm
2021,se-me-chamar-eu-vou,F
2022,se-me-chamar-eu-vou,Gm
2023,se-me-chamar-eu-vou,Eb
2024,se-me-chamar-eu-vou,F
2025,se-me-chamar-eu-vou,Gm
2026,se-me-chamar-eu-vou,Bb
2027,se-me-chamar-eu-vou,D
2028,se-me-chamar-eu-vou,Eb
2029,se-me-chamar-eu-vou,Cm
2030,se-me-chamar-eu-vou,Eb
2031,se-me-chamar-eu-vou,Cm
2032,se-me-chamar-eu-vou,Eb
2033,se-me-chamar-eu-vou,Cm
2034,se-me-chamar-eu-vou,Eb
2035,se-me-chamar-eu-vou,Cm
2036,se-me-chamar-eu-vou,F
2037,se-me-chamar-eu-vou,Bb
2038,se-me-chamar-eu-vou,Gm
2039,se-me-chamar-eu-vou,Eb
2040,se-me-chamar-eu-vou,F
2041,se-me-chamar-eu-vou,Gm
2042,se-me-chamar-eu-vou,Eb
2043,se-me-chamar-eu-vou,F
2044,se-me-chamar-eu-vou,Bb
2045,se-me-chamar-eu-vou,Eb
2046,se-me-chamar-eu-vou,Cm
2047,se-me-chamar-eu-vou,F
2048,se-me-chamar-eu-vou,Gm
2049,se-me-chamar-eu-vou,Eb
2050,se-me-chamar-eu-vou,F
2051,se-me-chamar-eu-vou,Gm
2052,se-me-chamar-eu-vou,Eb
2053,se-me-chamar-eu-vou,F
2054,se-me-chamar-eu-vou,Gm
2055,se-me-chamar-eu-vou,F
2268,cabelo-raspadinho,Cm
2269,cabelo-raspadinho,Ab
2270,cabelo-raspadinho,G7
2271,cabelo-raspadinho,Cm
2272,cabelo-raspadinho,G7
2273,cabelo-raspadinho,Cm
2274,cabelo-raspadinho,Fm
2275,cabelo-raspadinho,Cm
2276,cabelo-raspadinho,Bb
2277,cabelo-raspadinho,Cm
2278,cabelo-raspadinho,Fm
2279,cabelo-raspadinho,Cm
2280,cabelo-raspadinho,G7
2281,cabelo-raspadinho,Cm
2282,cabelo-raspadinho,Cm
2283,cabelo-raspadinho,Bb
2284,cabelo-raspadinho,Gm
2285,cabelo-raspadinho,Fm
2286,cabelo-raspadinho,Bb
2287,cabelo-raspadinho,Fm
2288,cabelo-raspadinho,G7
2289,cabelo-raspadinho,Cm
2290,cabelo-raspadinho,Bb
2291,cabelo-raspadinho,Cm
2292,cabelo-raspadinho,Ab
2293,cabelo-raspadinho,Cm
2294,cabelo-raspadinho,F
2295,cabelo-raspadinho,Cm
2296,cabelo-raspadinho,Ab
2297,cabelo-raspadinho,G7
2298,cabelo-raspadinho,Cm
2299,cabelo-raspadinho,F
2300,cabelo-raspadinho,Cm
2301,cabelo-raspadinho,Ab
2302,cabelo-raspadinho,G7
2303,cabelo-raspadinho,Ab
2304,cabelo-raspadinho,Bb
2305,cabelo-raspadinho,Cm
2306,cabelo-raspadinho,Ab
2307,cabelo-raspadinho,Bb
2308,cabelo-raspadinho,Cm
2309,cabelo-raspadinho,Ab
2310,cabelo-raspadinho,Fm
2311,cabelo-raspadinho,G7
2312,cabelo-raspadinho,Cm
2313,cabelo-raspadinho,Bb
2314,cabelo-raspadinho,Ab
2315,cabelo-raspadinho,G7
2316,cabelo-raspadinho,Cm
2317,cabelo-raspadinho,Bb
2318,cabelo-raspadinho,Ab
2319,cabelo-raspadinho,G7
2320,cabelo-raspadinho,Cm
2520,a-cor-da-vida,Am
2521,a-cor-da-vida,G
2522,a-cor-da-vida,Am
2523,a-cor-da-vida,G
2524,a-cor-da-vida,F
2525,a-cor-da-vida,Am
2526,a-cor-da-vida,F
2527,a-cor-da-vida,E
2528,a-cor-da-vida,Am
2529,a-cor-da-vida,G
2530,a-cor-da-vida,Am
2531,a-cor-da-vida,G
2532,a-cor-da-vida,F
2533,a-cor-da-vida,Am
2534,a-cor-da-vida,F
2535,a-cor-da-vida,E
2536,a-cor-da-vida,Am
2537,a-cor-da-vida,G
2538,a-cor-da-vida,Am
2539,a-cor-da-vida,F
2540,a-cor-da-vida,E
2541,a-cor-da-vida,Am
2542,a-cor-da-vida,G
2543,a-cor-da-vida,Am
2544,a-cor-da-vida,Am
2545,a-cor-da-vida,G
2546,a-cor-da-vida,Am
2547,a-cor-da-vida,G
2548,a-cor-da-vida,Am
2549,a-cor-da-vida,E
2772,a-fila-andou,F#
2773,a-fila-andou,C#
2774,a-fila-andou,F#
2775,a-fila-andou,C#
2776,a-fila-andou,G#m
2777,a-fila-andou,B
2778,a-fila-andou,C#
2779,a-fila-andou,F#
2780,a-fila-andou,C#
2781,a-fila-andou,F#
2782,a-fila-andou,C#
2783,a-fila-andou,G#m
2784,a-fila-andou,B
2785,a-fila-andou,C#
2786,a-fila-andou,F#
2787,a-fila-andou,C#
2788,a-fila-andou,G#m
2789,a-fila-andou,B
2790,a-fila-andou,F#
2791,a-fila-andou,C#
2792,a-fila-andou,B
2793,a-fila-andou,F#
2794,a-fila-andou,C#
