,Musicas,Acordes
0,joao-maria,Am9
1,joao-maria,Dm
2,joao-maria,Bº
3,joao-maria,C
4,joao-maria,Am
5,joao-maria,Dm
6,joao-maria,G7
7,joao-maria,C
8,joao-maria,B7
9,joao-maria,B7/D#
10,joao-maria,Em
11,joao-maria,C
12,joao-maria,F7
13,joao-maria,E
14,joao-maria,Am
15,joao-maria,Dm
16,joao-maria,Bº
17,joao-maria,C
18,joao-maria,Am
19,joao-maria,Dm
20,joao-maria,G7
21,joao-maria,Gm6/Bb
22,joao-maria,A7
23,joao-maria,G7/B
24,joao-maria,A7/C#
25,joao-maria,Dm
26,joao-maria,G7
27,joao-maria,C
28,joao-maria,A#7/F
29,joao-maria,Bb7M
30,joao-maria,E7
31,joao-maria,Am9
32,joao-maria,Am9
33,joao-maria,E/G#
34,joao-maria,A7/G
35,joao-maria,Bb7M/F
36,joao-maria,G/B
37,joao-maria,C
38,joao-maria,Bb
39,joao-maria,E7
40,joao-maria,Am
41,joao-maria,E7/B
42,joao-maria,A/C#
43,joao-maria,Dm
44,joao-maria,Bº
45,joao-maria,C
46,joao-maria,Am7
47,joao-maria,G4
48,joao-maria,D7/F#
49,joao-maria,F7M
50,joao-maria,E7
51,joao-maria,Am
52,joao-maria,Am
53,joao-maria,Dm
54,joao-maria,Bº
55,joao-maria,C
56,joao-maria,Am
57,joao-maria,Dm
58,joao-maria,G7
59,joao-maria,Gm6/Bb
60,joao-maria,A7
61,joao-maria,G7/B
62,joao-maria,A7/C#
63,joao-maria,Dm
64,joao-maria,G7
65,joao-maria,C
66,joao-maria,F7M
67,joao-maria,Bb7M
68,joao-maria,E7
69,joao-maria,Am9
369,roda-viva,Em7(9)
370,roda-viva,A7(13)
371,roda-viva,D7M
372,roda-viva,D6
373,roda-viva,G#m7(5b)
374,roda-viva,C#7
375,roda-viva,F#7
376,roda-viva,Bm7
377,roda-viva,Bm7
378,roda-viva,G7
379,roda-viva,F#7
380,roda-viva,Em7
381,roda-viva,A7
382,roda-viva,D7M
383,roda-viva,D6
384,roda-viva,G#m7(5b)
385,roda-viva,C#7
386,roda-viva,F#7
387,roda-viva,F#7
388,roda-viva,B7
389,roda-viva,Em7
390,roda-viva,A7
391,roda-viva,D6
392,roda-viva,C#7
393,roda-viva,F#7(13)
394,roda-viva,Bm7
395,roda-viva,G7
396,roda-viva,F#7
397,roda-viva,Bm7
398,roda-viva,Bm/A
399,roda-viva,Em
400,roda-viva,A7
401,roda-viva,Am7
402,roda-viva,D7(9b)
403,roda-viva,G7M
404,roda-viva,F#7
405,roda-viva,Bm7
406,roda-viva,Bm7
407,roda-viva,G7
408,roda-viva,F#7
409,roda-viva,Em7
410,roda-viva,A7
411,roda-viva,D7M
412,roda-viva,D6
413,roda-viva,G#m7(5b)
414,roda-viva,C#7
415,roda-viva,F#7
416,roda-viva,B7
417,roda-viva,Em7
418,roda-viva,A7
419,roda-viva,D6
420,roda-viva,C#7
421,roda-viva,F#7(13)
422,roda-viva,Bm7
423,roda-viva,G7
424,roda-viva,F#7
425,roda-viva,Bm7
426,roda-viva,Bm/A
427,roda-viva,Em
428,roda-viva,A7
429,roda-viva,Am7
430,roda-viva,D7(9b)
431,roda-viva,G7M
432,roda-viva,F#7
433,roda-viva,Bm7
434,roda-viva,Bm7
435,roda-viva,G7
436,roda-viva,F#7
437,roda-viva,Em7
438,roda-viva,A7
439,roda-viva,D7M
440,roda-viva,D6
441,roda-viva,G#m7(5b)
442,roda-viva,C#7
