,Musicas,Acordes
0,evidencias,E
1,evidencias,E5+
2,evidencias,A
3,evidencias,F#m
4,evidencias,A/B
5,evidencias,E
6,evidencias,E5+
7,evidencias,A
8,evidencias,E/G#
9,evidencias,F#m
10,evidencias,A/B
11,evidencias,E
12,evidencias,A/B
13,evidencias,E
14,evidencias,B/D#
15,evidencias,C#m7
16,evidencias,E7(9)
17,evidencias,E6
18,evidencias,E7
19,evidencias,A
20,evidencias,C#7
21,evidencias,F#m
22,evidencias,B7
23,evidencias,Cº
24,evidencias,C#m7
25,evidencias,C#m7/B
26,evidencias,F#
27,evidencias,E/G#
28,evidencias,F#/A#
29,evidencias,B
30,evidencias,A/C#
31,evidencias,B/D#
32,evidencias,E
33,evidencias,B/D#
34,evidencias,C#m
35,evidencias,E7(9)
36,evidencias,E6
37,evidencias,E7
38,evidencias,A
39,evidencias,C#7
40,evidencias,F#m
41,evidencias,B7
42,evidencias,Cº
43,evidencias,C#m
44,evidencias,Am
45,evidencias,E
46,evidencias,A/B
47,evidencias,E4
48,evidencias,E
49,evidencias,E4
50,evidencias,E
51,evidencias,A/B
52,evidencias,E
53,evidencias,G#
54,evidencias,A
55,evidencias,F#m
56,evidencias,B7
57,evidencias,F#m
58,evidencias,B7
59,evidencias,E
60,evidencias,G#
61,evidencias,A
62,evidencias,F#m
63,evidencias,B7
64,evidencias,F#m
65,evidencias,B7
66,evidencias,E
67,evidencias,E5+
68,evidencias,A
69,evidencias,E/G#
70,evidencias,F#m
71,evidencias,B7
72,evidencias,E
73,evidencias,E5+
74,evidencias,A
75,evidencias,E/G#
76,evidencias,F#m
77,evidencias,B7
78,evidencias,C#m
79,evidencias,C5+
80,evidencias,E/B
81,evidencias,F#/A#
82,evidencias,Am
83,evidencias,A/B
84,evidencias,E
85,evidencias,B/D#
86,evidencias,C#m
87,evidencias,E7(9)
88,evidencias,E6
89,evidencias,E7
90,evidencias,A
91,evidencias,C#7
92,evidencias,F#m
93,evidencias,B7
