,Musicas,Acordes
0,canto-das-tres-racas,Bm7
1,canto-das-tres-racas,C#m7(5-)
2,canto-das-tres-racas,F#7
3,canto-das-tres-racas,Bm
4,canto-das-tres-racas,G7
5,canto-das-tres-racas,F#7
6,canto-das-tres-racas,Em7
7,canto-das-tres-racas,Bm7
8,canto-das-tres-racas,G7
9,canto-das-tres-racas,F#7
10,canto-das-tres-racas,Bm7
11,canto-das-tres-racas,Em
12,canto-das-tres-racas,F#7
13,canto-das-tres-racas,Bm
14,canto-das-tres-racas,C#m7(5-)
15,canto-das-tres-racas,F#7
16,canto-das-tres-racas,Bm/D
17,canto-das-tres-racas,Em7
18,canto-das-tres-racas,Bm/D
19,canto-das-tres-racas,G7
20,canto-das-tres-racas,F#7
21,canto-das-tres-racas,Em7
22,canto-das-tres-racas,Bm7
23,canto-das-tres-racas,C#m7(5-)
24,canto-das-tres-racas,Bm/D
25,canto-das-tres-racas,G7
26,canto-das-tres-racas,F#7
27,canto-das-tres-racas,Em7
28,canto-das-tres-racas,Bm
29,canto-das-tres-racas,C#m7(5-)
30,canto-das-tres-racas,Bm/D
31,canto-das-tres-racas,G7
32,canto-das-tres-racas,F#7
33,canto-das-tres-racas,Bm7
34,canto-das-tres-racas,Bm7
35,canto-das-tres-racas,F#7/C#
36,canto-das-tres-racas,Bm7
37,canto-das-tres-racas,F#7/C#
38,canto-das-tres-racas,Bm7
39,canto-das-tres-racas,F#7/C#
40,canto-das-tres-racas,Bm7
41,canto-das-tres-racas,F#7/C#
42,canto-das-tres-racas,Bm7
43,canto-das-tres-racas,F#7/C#
44,canto-das-tres-racas,Bm7
45,canto-das-tres-racas,F#7/C#
46,canto-das-tres-racas,Bm7
47,canto-das-tres-racas,F#7/C#
48,canto-das-tres-racas,Bm7
49,canto-das-tres-racas,Em7
50,canto-das-tres-racas,Bm7
51,canto-das-tres-racas,F#7
52,canto-das-tres-racas,C#m7(5-)/G
53,canto-das-tres-racas,Bm7
54,canto-das-tres-racas,Bm/A
55,canto-das-tres-racas,G7
56,canto-das-tres-racas,F#7
57,canto-das-tres-racas,Em7
58,canto-das-tres-racas,Bm7
59,canto-das-tres-racas,C#m7(5-)
60,canto-das-tres-racas,Bm/D
61,canto-das-tres-racas,Bm/A
62,canto-das-tres-racas,G7
63,canto-das-tres-racas,F#7
64,canto-das-tres-racas,Bm7
65,canto-das-tres-racas,Bm7
66,canto-das-tres-racas,F#7/C#
67,canto-das-tres-racas,Bm7
68,canto-das-tres-racas,F#7/C#
69,canto-das-tres-racas,Bm7
70,canto-das-tres-racas,F#7/C#
71,canto-das-tres-racas,Bm7
72,canto-das-tres-racas,F#7/C#
73,canto-das-tres-racas,Bm7
74,canto-das-tres-racas,F#7/C#
75,canto-das-tres-racas,Bm7
76,canto-das-tres-racas,F#7/C#
77,canto-das-tres-racas,Bm7
78,canto-das-tres-racas,F#7/C#
79,canto-das-tres-racas,Bm7
143,tristeza-pe-no-chao,Dm
144,tristeza-pe-no-chao,Dm
145,tristeza-pe-no-chao,A7
146,tristeza-pe-no-chao,Dm
147,tristeza-pe-no-chao,D7
148,tristeza-pe-no-chao,Gm
149,tristeza-pe-no-chao,A7
150,tristeza-pe-no-chao,Dm
151,tristeza-pe-no-chao,Dm7
152,tristeza-pe-no-chao,Bb
153,tristeza-pe-no-chao,A7
154,tristeza-pe-no-chao,Dm
155,tristeza-pe-no-chao,A7
156,tristeza-pe-no-chao,Dm
157,tristeza-pe-no-chao,A7
158,tristeza-pe-no-chao,Dm
159,tristeza-pe-no-chao,D7
160,tristeza-pe-no-chao,Gm
161,tristeza-pe-no-chao,A7
162,tristeza-pe-no-chao,Dm
163,tristeza-pe-no-chao,Dm7
164,tristeza-pe-no-chao,Bb
165,tristeza-pe-no-chao,A7
166,tristeza-pe-no-chao,Dm
167,tristeza-pe-no-chao,D7
168,tristeza-pe-no-chao,Gm
169,tristeza-pe-no-chao,Dm
170,tristeza-pe-no-chao,Bb
171,tristeza-pe-no-chao,A7
172,tristeza-pe-no-chao,Dm
173,tristeza-pe-no-chao,D7
174,tristeza-pe-no-chao,Gm
175,tristeza-pe-no-chao,Dm
176,tristeza-pe-no-chao,Bb
177,tristeza-pe-no-chao,A7
178,tristeza-pe-no-chao,Dm
179,tristeza-pe-no-chao,A7
180,tristeza-pe-no-chao,Dm
181,tristeza-pe-no-chao,A7
182,tristeza-pe-no-chao,Dm
183,tristeza-pe-no-chao,D7
184,tristeza-pe-no-chao,Gm
185,tristeza-pe-no-chao,A7
186,tristeza-pe-no-chao,Dm
187,tristeza-pe-no-chao,Dm7
188,tristeza-pe-no-chao,Bb
189,tristeza-pe-no-chao,A7
190,tristeza-pe-no-chao,Dm
191,tristeza-pe-no-chao,D7
192,tristeza-pe-no-chao,Gm
193,tristeza-pe-no-chao,Dm
194,tristeza-pe-no-chao,Bb
195,tristeza-pe-no-chao,A7
196,tristeza-pe-no-chao,Dm
197,tristeza-pe-no-chao,D7
198,tristeza-pe-no-chao,Gm
199,tristeza-pe-no-chao,Dm
200,tristeza-pe-no-chao,Bb
201,tristeza-pe-no-chao,A7
202,tristeza-pe-no-chao,Dm
203,tristeza-pe-no-chao,A7
204,tristeza-pe-no-chao,Dm
205,tristeza-pe-no-chao,A7
206,tristeza-pe-no-chao,Dm
207,tristeza-pe-no-chao,D7
208,tristeza-pe-no-chao,Gm
209,tristeza-pe-no-chao,A7
210,tristeza-pe-no-chao,Dm
211,tristeza-pe-no-chao,Dm7
212,tristeza-pe-no-chao,Bb
213,tristeza-pe-no-chao,A7
214,tristeza-pe-no-chao,Dm
215,tristeza-pe-no-chao,Gm
216,tristeza-pe-no-chao,Dm
217,tristeza-pe-no-chao,Bb
218,tristeza-pe-no-chao,A7
219,tristeza-pe-no-chao,Dm
220,tristeza-pe-no-chao,D7
221,tristeza-pe-no-chao,Gm
222,tristeza-pe-no-chao,Dm
223,tristeza-pe-no-chao,Bb
