,Musicas,Palavras
0,canto-das-tres-racas,Um
1,canto-das-tres-racas,soluçar
2,canto-das-tres-racas,de
3,canto-das-tres-racas,dor
4,canto-das-tres-racas,No
5,canto-das-tres-racas,canto
6,canto-das-tres-racas,do
7,canto-das-tres-racas,Brasil
8,canto-das-tres-racas,Sempre
9,canto-das-tres-racas,ecoou
10,canto-das-tres-racas,Desde
11,canto-das-tres-racas,que
12,canto-das-tres-racas,o
13,canto-das-tres-racas,índio
14,canto-das-tres-racas,guerreiro
15,canto-das-tres-racas,Foi
16,canto-das-tres-racas,pro
17,canto-das-tres-racas,cativeiro
18,canto-das-tres-racas,E
19,canto-das-tres-racas,de
20,canto-das-tres-racas,lá
21,canto-das-tres-racas,cantou
22,canto-das-tres-racas,Um
23,canto-das-tres-racas,canto
24,canto-das-tres-racas,de
25,canto-das-tres-racas,revolta
26,canto-das-tres-racas,pelos
27,canto-das-tres-racas,ares
28,canto-das-tres-racas,No
29,canto-das-tres-racas,Quilombo
30,canto-das-tres-racas,dos
31,canto-das-tres-racas,Palmares
32,canto-das-tres-racas,Onde
33,canto-das-tres-racas,se
34,canto-das-tres-racas,refugiou
35,canto-das-tres-racas,Fora
36,canto-das-tres-racas,a
37,canto-das-tres-racas,luta
38,canto-das-tres-racas,dos
39,canto-das-tres-racas,Inconfidentes
40,canto-das-tres-racas,Pela
41,canto-das-tres-racas,quebra
42,canto-das-tres-racas,das
43,canto-das-tres-racas,correntes
44,canto-das-tres-racas,Nada
45,canto-das-tres-racas,adiantou
46,canto-das-tres-racas,De
47,canto-das-tres-racas,paz
48,canto-das-tres-racas,em
49,canto-das-tres-racas,guerra
50,canto-das-tres-racas,Todo
51,canto-das-tres-racas,o
52,canto-das-tres-racas,povo
53,canto-das-tres-racas,dessa
54,canto-das-tres-racas,terra
55,canto-das-tres-racas,Quando
56,canto-das-tres-racas,pode
57,canto-das-tres-racas,cantar
58,canto-das-tres-racas,Canta
59,canto-das-tres-racas,de
60,canto-das-tres-racas,dor
61,canto-das-tres-racas,É
62,canto-das-tres-racas,ensurdecedor
63,canto-das-tres-racas,"Ai,"
64,canto-das-tres-racas,mas
65,canto-das-tres-racas,que
66,canto-das-tres-racas,agonia
67,canto-das-tres-racas,O
68,canto-das-tres-racas,canto
69,canto-das-tres-racas,do
70,canto-das-tres-racas,trabalhador
71,canto-das-tres-racas,Esse
72,canto-das-tres-racas,canto
73,canto-das-tres-racas,que
74,canto-das-tres-racas,devia
75,canto-das-tres-racas,Ser
76,canto-das-tres-racas,um
77,canto-das-tres-racas,canto
78,canto-das-tres-racas,de
79,canto-das-tres-racas,alegria
80,canto-das-tres-racas,Soa
81,canto-das-tres-racas,apenas
82,canto-das-tres-racas,Como
83,canto-das-tres-racas,um
84,canto-das-tres-racas,soluçar
85,canto-das-tres-racas,de
86,canto-das-tres-racas,dor
87,canto-das-tres-racas,None
273,tristeza-pe-no-chao,No
274,tristeza-pe-no-chao,meu
275,tristeza-pe-no-chao,tamborim
276,tristeza-pe-no-chao,Molhei
277,tristeza-pe-no-chao,o
278,tristeza-pe-no-chao,pano
279,tristeza-pe-no-chao,da
280,tristeza-pe-no-chao,cuíca
281,tristeza-pe-no-chao,Com
282,tristeza-pe-no-chao,as
283,tristeza-pe-no-chao,minhas
284,tristeza-pe-no-chao,lágrimas
285,tristeza-pe-no-chao,Dei
286,tristeza-pe-no-chao,meu
287,tristeza-pe-no-chao,tempo
288,tristeza-pe-no-chao,de
289,tristeza-pe-no-chao,espera
290,tristeza-pe-no-chao,Para
291,tristeza-pe-no-chao,a
292,tristeza-pe-no-chao,marcação
293,tristeza-pe-no-chao,e
294,tristeza-pe-no-chao,cantei
295,tristeza-pe-no-chao,A
296,tristeza-pe-no-chao,minha
297,tristeza-pe-no-chao,vida
298,tristeza-pe-no-chao,na
299,tristeza-pe-no-chao,avenida
300,tristeza-pe-no-chao,sem
301,tristeza-pe-no-chao,empolgação
302,tristeza-pe-no-chao,No
303,tristeza-pe-no-chao,meu
304,tristeza-pe-no-chao,tamborim
305,tristeza-pe-no-chao,Molhei
306,tristeza-pe-no-chao,o
307,tristeza-pe-no-chao,pano
308,tristeza-pe-no-chao,da
309,tristeza-pe-no-chao,cuíca
310,tristeza-pe-no-chao,Com
311,tristeza-pe-no-chao,as
312,tristeza-pe-no-chao,minhas
313,tristeza-pe-no-chao,lágrimas
314,tristeza-pe-no-chao,Dei
315,tristeza-pe-no-chao,meu
316,tristeza-pe-no-chao,tempo
317,tristeza-pe-no-chao,de
318,tristeza-pe-no-chao,espera
319,tristeza-pe-no-chao,Para
320,tristeza-pe-no-chao,a
321,tristeza-pe-no-chao,marcação
322,tristeza-pe-no-chao,e
323,tristeza-pe-no-chao,cantei
324,tristeza-pe-no-chao,A
325,tristeza-pe-no-chao,minha
326,tristeza-pe-no-chao,vida
327,tristeza-pe-no-chao,na
328,tristeza-pe-no-chao,avenida
329,tristeza-pe-no-chao,sem
330,tristeza-pe-no-chao,empolgação
331,tristeza-pe-no-chao,Vai
332,tristeza-pe-no-chao,manter
333,tristeza-pe-no-chao,a
334,tristeza-pe-no-chao,tradição
335,tristeza-pe-no-chao,Vai
336,tristeza-pe-no-chao,meu
337,tristeza-pe-no-chao,bloco
338,tristeza-pe-no-chao,tristeza
339,tristeza-pe-no-chao,e
340,tristeza-pe-no-chao,pé
341,tristeza-pe-no-chao,no
