,Musicas,Acordes
0,pensando-em-voce,D7+(9)
1,pensando-em-voce,E
2,pensando-em-voce,F#m7
3,pensando-em-voce,D7+(9)
4,pensando-em-voce,E
5,pensando-em-voce,F#m7
6,pensando-em-voce,D7+(9)
7,pensando-em-voce,E
8,pensando-em-voce,F#m7
9,pensando-em-voce,D7+(9)
10,pensando-em-voce,A
11,pensando-em-voce,E/G#
12,pensando-em-voce,F#m7
13,pensando-em-voce,C#m7
14,pensando-em-voce,D7+(9)
15,pensando-em-voce,A/C#
16,pensando-em-voce,Bm7
17,pensando-em-voce,D/E
18,pensando-em-voce,A
19,pensando-em-voce,E/G#
20,pensando-em-voce,F#m7
21,pensando-em-voce,C#m7
22,pensando-em-voce,D7+(9)
23,pensando-em-voce,A/C#
24,pensando-em-voce,Bm7
25,pensando-em-voce,D/E
26,pensando-em-voce,D7+(9)
27,pensando-em-voce,Dm7/9
28,pensando-em-voce,A/C#
29,pensando-em-voce,Aº/C
30,pensando-em-voce,Bm7
31,pensando-em-voce,A/C#
32,pensando-em-voce,D7+
33,pensando-em-voce,D/E
34,pensando-em-voce,D7+(9)
35,pensando-em-voce,E/D
36,pensando-em-voce,C#m7
37,pensando-em-voce,F#7
38,pensando-em-voce,Bm7
39,pensando-em-voce,D/E
40,pensando-em-voce,A6
41,pensando-em-voce,A7
42,pensando-em-voce,D7+(9)
43,pensando-em-voce,E/D
44,pensando-em-voce,C#m(b5)
45,pensando-em-voce,F#7
46,pensando-em-voce,Bm7
47,pensando-em-voce,D/E
48,pensando-em-voce,D7+(9)
49,pensando-em-voce,D/E
50,pensando-em-voce,C#m7
51,pensando-em-voce,F#7
52,pensando-em-voce,Bm7
53,pensando-em-voce,Dm7/9
54,pensando-em-voce,A7+
55,pensando-em-voce,A9(13)
56,pensando-em-voce,D7+(9)
57,pensando-em-voce,E/D
58,pensando-em-voce,C#m(b5)
59,pensando-em-voce,F#7
60,pensando-em-voce,Bm7
61,pensando-em-voce,Dm7/9
62,pensando-em-voce,D/E
63,pensando-em-voce,F#m7(9)
64,pensando-em-voce,A
65,pensando-em-voce,E/G#
66,pensando-em-voce,F#m7
67,pensando-em-voce,C#m7
68,pensando-em-voce,D7+(9)
69,pensando-em-voce,A/C#
70,pensando-em-voce,Bm7
71,pensando-em-voce,D/E
72,pensando-em-voce,A
73,pensando-em-voce,E/G#
74,pensando-em-voce,F#m7
75,pensando-em-voce,C#m7
76,pensando-em-voce,D7+(9)
77,pensando-em-voce,A/C#
78,pensando-em-voce,Bm7
79,pensando-em-voce,D/E
80,pensando-em-voce,D7+(9)
81,pensando-em-voce,Dm7/9
82,pensando-em-voce,A/C#
83,pensando-em-voce,Aº/C
84,pensando-em-voce,D7+(9)
85,pensando-em-voce,Dm7/9
86,pensando-em-voce,A/C#
87,pensando-em-voce,Aº/C
88,pensando-em-voce,Bm7
89,pensando-em-voce,A/C#
90,pensando-em-voce,D7+
91,pensando-em-voce,D/E
151,bola-de-sabao,D
152,bola-de-sabao,G
153,bola-de-sabao,Em
154,bola-de-sabao,A
155,bola-de-sabao,D
156,bola-de-sabao,G
157,bola-de-sabao,Em
158,bola-de-sabao,A
159,bola-de-sabao,D
160,bola-de-sabao,G
161,bola-de-sabao,Em
162,bola-de-sabao,A
163,bola-de-sabao,F#
164,bola-de-sabao,Bm
165,bola-de-sabao,E7
166,bola-de-sabao,A
167,bola-de-sabao,F#
168,bola-de-sabao,Bm
169,bola-de-sabao,E7
170,bola-de-sabao,A
171,bola-de-sabao,D
172,bola-de-sabao,G
173,bola-de-sabao,Em
174,bola-de-sabao,A
302,passaros,F
303,passaros,C
304,passaros,F
305,passaros,C
306,passaros,Dm
307,passaros,G
308,passaros,G#
309,passaros,Gm7
310,passaros,Fm7
311,passaros,Gm7
312,passaros,G#
313,passaros,Gm7
314,passaros,Fm7
315,passaros,Gm
316,passaros,Dm7+
317,passaros,Em7+
318,passaros,F7+
319,passaros,G
320,passaros,Am7+
321,passaros,C7+
322,passaros,Am7+
323,passaros,C7+
324,passaros,Am7+
325,passaros,C7+
326,passaros,F
327,passaros,G
328,passaros,Ab7+
329,passaros,Fm
330,passaros,Gm
331,passaros,Ab7+
332,passaros,Gm
333,passaros,Ab7+
334,passaros,Gm
335,passaros,Ab7+
336,passaros,Gm
337,passaros,Dm7+
338,passaros,Em7+
339,passaros,F7+
340,passaros,G
341,passaros,Am7+
342,passaros,C7+
453,bem-vindo-amor,C
454,bem-vindo-amor,C7
455,bem-vindo-amor,F
456,bem-vindo-amor,Fm
457,bem-vindo-amor,C
458,bem-vindo-amor,C7
459,bem-vindo-amor,F
460,bem-vindo-amor,Fm
461,bem-vindo-amor,C
462,bem-vindo-amor,C7
463,bem-vindo-amor,F
464,bem-vindo-amor,Fm
465,bem-vindo-amor,C
466,bem-vindo-amor,C7
467,bem-vindo-amor,F
468,bem-vindo-amor,Fm
469,bem-vindo-amor,C
470,bem-vindo-amor,C7
