,Musicas,Palavras
0,pensando-em-voce,Mas
1,pensando-em-voce,o
2,pensando-em-voce,que
3,pensando-em-voce,será
4,pensando-em-voce,que
5,pensando-em-voce,aconteceu
6,pensando-em-voce,comigo?
7,pensando-em-voce,Aonde
8,pensando-em-voce,foi
9,pensando-em-voce,que
10,pensando-em-voce,eu
11,pensando-em-voce,errei?
12,pensando-em-voce,Às
13,pensando-em-voce,vezes
14,pensando-em-voce,me
15,pensando-em-voce,pergunto
16,pensando-em-voce,se
17,pensando-em-voce,eu
18,pensando-em-voce,não
19,pensando-em-voce,entendi
20,pensando-em-voce,errado
21,pensando-em-voce,Grande
22,pensando-em-voce,amizade
23,pensando-em-voce,com
24,pensando-em-voce,estar
25,pensando-em-voce,apaixonado
26,pensando-em-voce,Se
27,pensando-em-voce,for
28,pensando-em-voce,só
29,pensando-em-voce,isso
30,pensando-em-voce,logo
31,pensando-em-voce,vai
32,pensando-em-voce,passar
33,pensando-em-voce,Mas
34,pensando-em-voce,quando
35,pensando-em-voce,toca
36,pensando-em-voce,o
37,pensando-em-voce,"telefone,"
38,pensando-em-voce,será
39,pensando-em-voce,você?
40,pensando-em-voce,O
41,pensando-em-voce,que
42,pensando-em-voce,estiver
43,pensando-em-voce,fazendo
44,pensando-em-voce,eu
45,pensando-em-voce,paro
46,pensando-em-voce,de
47,pensando-em-voce,fazer
48,pensando-em-voce,E
49,pensando-em-voce,se
50,pensando-em-voce,fica
51,pensando-em-voce,muito
52,pensando-em-voce,tempo
53,pensando-em-voce,sem
54,pensando-em-voce,me
55,pensando-em-voce,ligar
56,pensando-em-voce,Arranjo
57,pensando-em-voce,uma
58,pensando-em-voce,desculpa
59,pensando-em-voce,pra
60,pensando-em-voce,te
61,pensando-em-voce,procurar
62,pensando-em-voce,Que
63,pensando-em-voce,"tola,"
64,pensando-em-voce,mas
65,pensando-em-voce,eu
66,pensando-em-voce,não
67,pensando-em-voce,consigo
68,pensando-em-voce,evitar
69,pensando-em-voce,E
70,pensando-em-voce,é
71,pensando-em-voce,sem
72,pensando-em-voce,querer
73,pensando-em-voce,Você
74,pensando-em-voce,não
75,pensando-em-voce,sai
76,pensando-em-voce,da
77,pensando-em-voce,minha
78,pensando-em-voce,cabeça
79,pensando-em-voce,mais
80,pensando-em-voce,E
81,pensando-em-voce,eu
82,pensando-em-voce,só
83,pensando-em-voce,vivo
84,pensando-em-voce,acordada
85,pensando-em-voce,a
86,pensando-em-voce,sonhar
87,pensando-em-voce,Imaginar
88,pensando-em-voce,nós
89,pensando-em-voce,dois
90,pensando-em-voce,Ás
91,pensando-em-voce,vezes
92,pensando-em-voce,penso
93,pensando-em-voce,ser
94,pensando-em-voce,um
95,pensando-em-voce,sonho
96,pensando-em-voce,impossível
97,pensando-em-voce,Uma
98,pensando-em-voce,ilusão
99,pensando-em-voce,terrível
100,pensando-em-voce,Será?
101,pensando-em-voce,Que
102,pensando-em-voce,as
103,pensando-em-voce,portas
104,pensando-em-voce,do
105,pensando-em-voce,seu
106,pensando-em-voce,coração
107,pensando-em-voce,Se
108,pensando-em-voce,abrissem
109,pensando-em-voce,pra
110,pensando-em-voce,eu
111,pensando-em-voce,te
112,pensando-em-voce,conquistar
113,pensando-em-voce,Mas
114,pensando-em-voce,que
115,pensando-em-voce,seja
