,Musicas,Acordes
0,chover,A
1,chover,F#m
2,chover,A
3,chover,F#m
4,chover,A
5,chover,E
6,chover,F#m
7,chover,E/G#
8,chover,A
9,chover,A#
10,chover,Bm
11,chover,D
12,chover,Bm
13,chover,D
14,chover,Bm
15,chover,D
16,chover,A
17,chover,Bm
18,chover,D
19,chover,E
20,chover,F#m
21,chover,A
22,chover,F#m
23,chover,A
24,chover,F#m
25,chover,A
26,chover,E
27,chover,F#m
28,chover,E/G#
29,chover,A
30,chover,F#7
31,chover,Bm
32,chover,D
33,chover,Bm
34,chover,D
35,chover,Bm
36,chover,D
37,chover,A
38,chover,Bm
39,chover,D
40,chover,E
41,chover,F#m
42,chover,A
43,chover,F#m
44,chover,A
45,chover,F#m
46,chover,A
47,chover,E
48,chover,F#m
49,chover,A
50,chover,F#m
51,chover,A
52,chover,F#m
53,chover,E/G#
54,chover,A
55,chover,A#
56,chover,Bm
57,chover,D
58,chover,Bm
59,chover,D
60,chover,Bm
61,chover,D
62,chover,Bm
63,chover,D
64,chover,F#m
65,chover,A
66,chover,F#m
67,chover,A
68,chover,F#m
69,chover,E/G#
70,chover,A
71,chover,A#
72,chover,Bm
73,chover,D
74,chover,Bm
75,chover,D
76,chover,Bm
77,chover,D
78,chover,A
79,chover,Bm
80,chover,D
81,chover,Bm
82,chover,D
83,chover,Bm
84,chover,D
85,chover,A
86,chover,F#m
87,chover,A
88,chover,F#m
89,chover,A
90,chover,F#m
91,chover,A
92,chover,E
93,chover,F#m
94,chover,Bm
95,chover,D
96,chover,Bm
97,chover,D
98,chover,Bm
99,chover,D
100,chover,A
101,chover,Bm
102,chover,D
103,chover,E
104,chover,F#m
105,chover,A
106,chover,F#m
107,chover,A
108,chover,F#m
109,chover,A
110,chover,E
111,chover,F#m
112,chover,E/G#
113,chover,A
114,chover,A#
115,chover,Bm
116,chover,D
117,chover,A
118,chover,Bm
119,chover,D
120,chover,E
121,chover,F#m
122,chover,A
123,chover,F#m
124,chover,A
125,chover,F#m
126,chover,A
127,chover,E
128,chover,F#m
129,chover,A
130,chover,F#m
131,chover,A
132,chover,F#m
133,chover,E/G#
134,chover,A
135,chover,A#
136,chover,Bm
137,chover,D
138,chover,A
139,chover,F#m
140,chover,A
141,chover,F#m
142,chover,E/G#
143,chover,A
144,chover,A#
145,chover,Bm
146,chover,D
147,chover,A
148,chover,A
149,chover,F#m
150,chover,D
151,chover,A
152,chover,F#m7
153,chover,D
154,chover,E
155,chover,F#m
156,os-oim-do-meu-amor,F#m
157,os-oim-do-meu-amor,Bm
158,os-oim-do-meu-amor,F#m
159,os-oim-do-meu-amor,Bm
160,os-oim-do-meu-amor,F#m
161,os-oim-do-meu-amor,Bm
162,os-oim-do-meu-amor,F#m
163,os-oim-do-meu-amor,Bm
164,os-oim-do-meu-amor,F#m
165,os-oim-do-meu-amor,Bm
312,o-amor-filme,G
313,o-amor-filme,Am
314,o-amor-filme,D
315,o-amor-filme,G
316,o-amor-filme,G
317,o-amor-filme,C
318,o-amor-filme,D
319,o-amor-filme,C
320,o-amor-filme,Am
321,o-amor-filme,G
322,o-amor-filme,G
323,o-amor-filme,G
324,o-amor-filme,Am
325,o-amor-filme,D
326,o-amor-filme,G
327,o-amor-filme,G
328,o-amor-filme,G7
329,o-amor-filme,C
330,o-amor-filme,G
331,o-amor-filme,D
332,o-amor-filme,Am
333,o-amor-filme,C
334,o-amor-filme,G
335,o-amor-filme,G
336,o-amor-filme,Am
337,o-amor-filme,D
338,o-amor-filme,G
339,o-amor-filme,G
340,o-amor-filme,C
341,o-amor-filme,D
342,o-amor-filme,C
343,o-amor-filme,Am
344,o-amor-filme,G
345,o-amor-filme,G
346,o-amor-filme,Am
347,o-amor-filme,D
348,o-amor-filme,G
349,o-amor-filme,G
350,o-amor-filme,G7
351,o-amor-filme,C
352,o-amor-filme,G
353,o-amor-filme,D
354,o-amor-filme,Am
355,o-amor-filme,C
356,o-amor-filme,G
357,o-amor-filme,G
468,preta,C
469,preta,Am
470,preta,C
471,preta,Am
472,preta,F
473,preta,G
474,preta,C
475,preta,Am
476,preta,E
477,preta,F
478,preta,G
479,preta,C
480,preta,C
481,preta,Am
482,preta,F
483,preta,G
484,preta,C
485,preta,Am
486,preta,E
487,preta,F
488,preta,G
489,preta,C
490,preta,F
491,preta,G
492,preta,F
493,preta,C
494,preta,E
495,preta,F
496,preta,G
497,preta,F
498,preta,G
499,preta,C
500,preta,C
501,preta,Am
502,preta,F
503,preta,G
504,preta,C
505,preta,Am
506,preta,E
507,preta,F
508,preta,G
509,preta,C
510,preta,F
511,preta,G
512,preta,F
513,preta,C
514,preta,E
515,preta,F
516,preta,G
517,preta,F
518,preta,G
519,preta,C
520,preta,F
521,preta,G
522,preta,C
523,preta,Am
524,preta,E
525,preta,F
526,preta,G
527,preta,C
624,liberdade-a-filha-do-vento,Gm
