,Musicas,Palavras
0,chover,Quando
1,chover,canta
2,chover,me
3,chover,"comove,"
4,chover,Passa
5,chover,três
6,chover,meses
7,chover,cantando
8,chover,E
9,chover,sem
10,chover,cantar
11,chover,passa
12,chover,nove
13,chover,Porque
14,chover,tem
15,chover,a
16,chover,obrigação
17,chover,De
18,chover,só
19,chover,cantar
20,chover,quando
21,chover,chove*
22,chover,Valei-me
23,chover,Ciço
24,chover,o
25,chover,que
26,chover,posso
27,chover,fazer
28,chover,Chover
29,chover,chover
30,chover,Um
31,chover,terço
32,chover,pesado
33,chover,pra
34,chover,chuva
35,chover,descer
36,chover,Chover
37,chover,chover
38,chover,Até
39,chover,Maria
40,chover,deixou
41,chover,de
42,chover,moer
43,chover,Chover
44,chover,chover
45,chover,Banzo
46,chover,"Batista,"
47,chover,bagaço
48,chover,e
49,chover,banguê
50,chover,Cego
51,chover,Aderaldo
52,chover,peleja
53,chover,pra
54,chover,ver
55,chover,Chover
56,chover,chover
57,chover,Já
58,chover,que
59,chover,meu
60,chover,olho
61,chover,cansou
62,chover,de
63,chover,chover
64,chover,Chover
65,chover,chover
66,chover,Até
67,chover,Maria
68,chover,deixou
69,chover,de
70,chover,moer
71,chover,Chover
72,chover,chover
73,chover,Banzo
74,chover,"Batista,"
75,chover,bagaço
76,chover,e
77,chover,banguê
78,chover,Pela
79,chover,Itapemirim
80,chover,Pois
81,chover,mesmo
82,chover,perto
83,chover,do
84,chover,fim
85,chover,Nosso
86,chover,sertão
87,chover,tem
88,chover,melhora
89,chover,O
90,chover,céu
91,chover,tá
92,chover,calado
93,chover,agora
94,chover,Mais
95,chover,vai
96,chover,dar
97,chover,cada
98,chover,trovão
99,chover,De
100,chover,escapulir
101,chover,torrão
102,chover,De
103,chover,paredão
104,chover,de
105,chover,tapera**
106,chover,Lula
107,chover,Calixto
108,chover,virando
109,chover,Mateus
110,chover,Choveu
111,chover,choveu
112,chover,O
113,chover,bucho
114,chover,cheio
115,chover,de
116,chover,tudo
117,chover,que
118,chover,deu
119,chover,Choveu
120,chover,choveu
121,chover,suor
122,chover,e
123,chover,canseira
124,chover,depois
125,chover,que
126,chover,comeu
127,chover,Choveu
128,chover,choveu
129,chover,Zabumba
130,chover,zunindo
131,chover,no
132,chover,colo
133,chover,de
134,chover,Deus
135,chover,Choveu
136,chover,choveu
137,chover,Inácio
138,chover,e
139,chover,Romano
140,chover,meu
141,chover,verso
142,chover,e
143,chover,o
144,chover,teu
145,chover,Choveu
146,chover,choveu
147,chover,Água
148,chover,dos
149,chover,olhos
150,chover,que
151,chover,a
152,chover,seca
153,chover,bebeu
154,chover,O
155,chover,sol
156,chover,deita
157,chover,e
158,chover,a
159,chover,água
160,chover,rola
161,chover,O
162,chover,sapo
163,chover,vomita
164,chover,espuma
165,chover,Onde
166,chover,um
167,chover,boi
168,chover,pisa
169,chover,se
170,chover,atola
171,chover,E
172,chover,a
173,chover,fartura
174,chover,esconde
175,chover,o
176,chover,saco
177,chover,Que
178,chover,a
179,chover,fome
180,chover,pedia
181,chover,esmola**
182,chover,Seu
183,chover,boiadeiro
184,chover,por
185,chover,aqui
186,chover,choveu
187,chover,Choveu
188,chover,que
189,chover,amarrotou
190,chover,Foi
191,chover,tanta
192,chover,água
193,chover,que
194,chover,meu
195,chover,boi
196,chover,nadou***
197,chover,**João
198,chover,Paraíbano
199,chover,***Toque
200,chover,pra
201,chover,boiadeiro
202,chover,None
203,os-oim-do-meu-amor,Os
204,os-oim-do-meu-amor,zoím
205,os-oim-do-meu-amor,do
206,os-oim-do-meu-amor,meu
207,os-oim-do-meu-amor,amor
208,os-oim-do-meu-amor,Nunca
209,os-oim-do-meu-amor,mais
210,os-oim-do-meu-amor,eu
211,os-oim-do-meu-amor,vi
212,os-oim-do-meu-amor,Os
213,os-oim-do-meu-amor,zoím
214,os-oim-do-meu-amor,dela
215,os-oim-do-meu-amor,brilhar
216,os-oim-do-meu-amor,Nunca
217,os-oim-do-meu-amor,mais
218,os-oim-do-meu-amor,eu
219,os-oim-do-meu-amor,vi
220,os-oim-do-meu-amor,Os
221,os-oim-do-meu-amor,zoím
222,os-oim-do-meu-amor,do
223,os-oim-do-meu-amor,meu
224,os-oim-do-meu-amor,amor
225,os-oim-do-meu-amor,São
226,os-oim-do-meu-amor,dois
227,os-oim-do-meu-amor,jarrinho
228,os-oim-do-meu-amor,de
229,os-oim-do-meu-amor,flor
230,os-oim-do-meu-amor,E
231,os-oim-do-meu-amor,todo
232,os-oim-do-meu-amor,mundo
233,os-oim-do-meu-amor,quer
234,os-oim-do-meu-amor,cheirar
235,os-oim-do-meu-amor,None
406,o-amor-filme,Eu
407,o-amor-filme,sei
408,o-amor-filme,pelo
409,o-amor-filme,cheiro
410,o-amor-filme,de
411,o-amor-filme,menta
412,o-amor-filme,e
413,o-amor-filme,pipoca
414,o-amor-filme,que
415,o-amor-filme,dá
416,o-amor-filme,quando
417,o-amor-filme,a
418,o-amor-filme,gente
419,o-amor-filme,ama
420,o-amor-filme,Eu
421,o-amor-filme,sei
422,o-amor-filme,porque
423,o-amor-filme,eu
424,o-amor-filme,sei
425,o-amor-filme,muito
426,o-amor-filme,bem
427,o-amor-filme,como
428,o-amor-filme,a
429,o-amor-filme,cor
430,o-amor-filme,da
431,o-amor-filme,manhã
432,o-amor-filme,fica
433,o-amor-filme,Da
434,o-amor-filme,"felicidade,"
435,o-amor-filme,da
436,o-amor-filme,"dúvida,"
437,o-amor-filme,dor
438,o-amor-filme,de
439,o-amor-filme,barriga
440,o-amor-filme,É
441,o-amor-filme,"drama,"
442,o-amor-filme,"aventura,"
443,o-amor-filme,"mentira,"
444,o-amor-filme,comédia
445,o-amor-filme,romântica
446,o-amor-filme,Eu
447,o-amor-filme,sei
448,o-amor-filme,pelo
449,o-amor-filme,cheiro
450,o-amor-filme,de
451,o-amor-filme,menta
452,o-amor-filme,e
453,o-amor-filme,pipoca
454,o-amor-filme,que
455,o-amor-filme,dá
456,o-amor-filme,quando
457,o-amor-filme,a
458,o-amor-filme,gente
459,o-amor-filme,ama
460,o-amor-filme,Eu
461,o-amor-filme,sei
462,o-amor-filme,porque
463,o-amor-filme,eu
464,o-amor-filme,sei
465,o-amor-filme,muito
466,o-amor-filme,bem
467,o-amor-filme,como
468,o-amor-filme,a
469,o-amor-filme,cor
470,o-amor-filme,da
471,o-amor-filme,manhã
472,o-amor-filme,fica
473,o-amor-filme,Da
474,o-amor-filme,"felicidade,"
475,o-amor-filme,da
476,o-amor-filme,"dúvida,"
477,o-amor-filme,dor
478,o-amor-filme,de
479,o-amor-filme,barriga
480,o-amor-filme,É
481,o-amor-filme,"drama,"
482,o-amor-filme,"aventura,"
483,o-amor-filme,"mentira,"
484,o-amor-filme,comédia
485,o-amor-filme,romântica
486,o-amor-filme,Um
487,o-amor-filme,filme
488,o-amor-filme,passou
489,o-amor-filme,por
490,o-amor-filme,a
491,o-amor-filme,gente
492,o-amor-filme,E
493,o-amor-filme,parece
494,o-amor-filme,que
495,o-amor-filme,já
496,o-amor-filme,se
497,o-amor-filme,anunciou
498,o-amor-filme,o
499,o-amor-filme,episódio
500,o-amor-filme,dois
501,o-amor-filme,É
502,o-amor-filme,quando
503,o-amor-filme,a
504,o-amor-filme,gente
505,o-amor-filme,sente
506,o-amor-filme,o
507,o-amor-filme,amor
508,o-amor-filme,Se
509,o-amor-filme,abuletar
510,o-amor-filme,na
511,o-amor-filme,gente
512,o-amor-filme,Tudo
513,o-amor-filme,acabou
514,o-amor-filme,bem
515,o-amor-filme,Agora
516,o-amor-filme,é
517,o-amor-filme,o
518,o-amor-filme,que
519,o-amor-filme,vem
520,o-amor-filme,depois
521,o-amor-filme,Eu
522,o-amor-filme,sei
523,o-amor-filme,pelo
524,o-amor-filme,cheiro
525,o-amor-filme,de
526,o-amor-filme,menta
527,o-amor-filme,e
528,o-amor-filme,pipoca
529,o-amor-filme,que
530,o-amor-filme,dá
