,Musicas,Acordes
0,nao-existe-amor-em-sp,Fm
1,nao-existe-amor-em-sp,Fm7/Eb
2,nao-existe-amor-em-sp,Dm7(5-)
3,nao-existe-amor-em-sp,Db7M
4,nao-existe-amor-em-sp,Fm
5,nao-existe-amor-em-sp,Fm7/Eb
6,nao-existe-amor-em-sp,Dm7(5-)
7,nao-existe-amor-em-sp,Db7M
8,nao-existe-amor-em-sp,Fm
9,nao-existe-amor-em-sp,Fm7/Eb
10,nao-existe-amor-em-sp,Dm7(5-)
11,nao-existe-amor-em-sp,Db7M
12,nao-existe-amor-em-sp,Fm
13,nao-existe-amor-em-sp,Fm7/Eb
14,nao-existe-amor-em-sp,Dm7(5-)
15,nao-existe-amor-em-sp,Db7M
16,nao-existe-amor-em-sp,Fm
17,nao-existe-amor-em-sp,Fm7/Eb
18,nao-existe-amor-em-sp,Dm7(5-)
19,nao-existe-amor-em-sp,Db7M
20,nao-existe-amor-em-sp,A5-
21,nao-existe-amor-em-sp,G
22,nao-existe-amor-em-sp,Fm
23,nao-existe-amor-em-sp,Fm
24,nao-existe-amor-em-sp,Ab6
25,nao-existe-amor-em-sp,Dm7(5-)
26,nao-existe-amor-em-sp,Db7M
27,nao-existe-amor-em-sp,Fm
28,nao-existe-amor-em-sp,Fm7/Eb
29,nao-existe-amor-em-sp,Dm7(5-)
30,nao-existe-amor-em-sp,Db7M
31,nao-existe-amor-em-sp,Fm
32,nao-existe-amor-em-sp,Fm7/Eb
33,nao-existe-amor-em-sp,Dm7(5-)
34,nao-existe-amor-em-sp,Db7M
35,nao-existe-amor-em-sp,Fm
36,nao-existe-amor-em-sp,Fm7/Eb
37,nao-existe-amor-em-sp,Dm7(5-)
38,nao-existe-amor-em-sp,Db7M
154,subirusdoistiozin,Bm
155,subirusdoistiozin,D/F#
156,subirusdoistiozin,C#m7/5-
157,subirusdoistiozin,C#º
158,subirusdoistiozin,Bm
159,subirusdoistiozin,D/F#
160,subirusdoistiozin,C#m7/5-
161,subirusdoistiozin,C#º
162,subirusdoistiozin,Bm
163,subirusdoistiozin,D/F#
164,subirusdoistiozin,C#m7/5-
165,subirusdoistiozin,C#º
166,subirusdoistiozin,Bm
167,subirusdoistiozin,D/F#
168,subirusdoistiozin,C#m7/5-
169,subirusdoistiozin,C#º
170,subirusdoistiozin,Bm
171,subirusdoistiozin,D/F#
172,subirusdoistiozin,C#m7/5-
173,subirusdoistiozin,C#º
174,subirusdoistiozin,Bm
175,subirusdoistiozin,D/F#
176,subirusdoistiozin,C#m7/5-
177,subirusdoistiozin,C#º
178,subirusdoistiozin,Bm
179,subirusdoistiozin,Bm
180,subirusdoistiozin,D/F#
181,subirusdoistiozin,C#m7/5-
182,subirusdoistiozin,C#º
183,subirusdoistiozin,Bm
184,subirusdoistiozin,D/F#
185,subirusdoistiozin,C#m7/5-
186,subirusdoistiozin,C#º
187,subirusdoistiozin,Bm
188,subirusdoistiozin,D/F#
189,subirusdoistiozin,C#m7/5-
190,subirusdoistiozin,C#º
191,subirusdoistiozin,Bm
192,subirusdoistiozin,D/F#
193,subirusdoistiozin,C#m7/5-
194,subirusdoistiozin,C#º
195,subirusdoistiozin,Bm
196,subirusdoistiozin,D/F#
197,subirusdoistiozin,C#m7/5-
198,subirusdoistiozin,C#º
199,subirusdoistiozin,Bm
200,subirusdoistiozin,D/F#
201,subirusdoistiozin,C#m7/5-
202,subirusdoistiozin,C#º
308,linha-de-frente,Dm
309,linha-de-frente,A7
310,linha-de-frente,Dm
311,linha-de-frente,A7
312,linha-de-frente,Bb7
313,linha-de-frente,A7
314,linha-de-frente,Em7(b5)
315,linha-de-frente,A7
316,linha-de-frente,Dm7
317,linha-de-frente,Bb7
318,linha-de-frente,A7
319,linha-de-frente,Dm
320,linha-de-frente,A7
321,linha-de-frente,Dm7
322,linha-de-frente,A7
323,linha-de-frente,Bb7
324,linha-de-frente,A7
325,linha-de-frente,Em7(b5)
326,linha-de-frente,A7
327,linha-de-frente,Dm7
328,linha-de-frente,Em7(b5)
329,linha-de-frente,A7
330,linha-de-frente,Dm7
331,linha-de-frente,D#
332,linha-de-frente,Em7(b5)
333,linha-de-frente,A7
334,linha-de-frente,Dm7
335,linha-de-frente,Em7(b5)
336,linha-de-frente,A7
337,linha-de-frente,Dm7
338,linha-de-frente,D#
339,linha-de-frente,A7
340,linha-de-frente,Dm7
341,linha-de-frente,Dm7
462,menino-mimado,Cm
463,menino-mimado,D7(9-)
464,menino-mimado,Gm
465,menino-mimado,Bb7(13)
466,menino-mimado,Eb7
467,menino-mimado,D7
468,menino-mimado,Dm7(5-)
469,menino-mimado,G7
470,menino-mimado,Cm
471,menino-mimado,D7(9-)
472,menino-mimado,Gm
473,menino-mimado,Bb7(13)
474,menino-mimado,Eb7
475,menino-mimado,D7
476,menino-mimado,Gm
477,menino-mimado,D7
478,menino-mimado,Gm
479,menino-mimado,Ab7
480,menino-mimado,Gm
481,menino-mimado,Am7(5-)
482,menino-mimado,D7
483,menino-mimado,Gm
484,menino-mimado,Cm
485,menino-mimado,F7
486,menino-mimado,Bb
487,menino-mimado,Bb7
488,menino-mimado,Eb7
489,menino-mimado,D7
490,menino-mimado,Gm
491,menino-mimado,D7
492,menino-mimado,Gm
493,menino-mimado,Ab7
494,menino-mimado,Gm
495,menino-mimado,Am7(5-)
496,menino-mimado,D7
497,menino-mimado,Gm
498,menino-mimado,Cm
499,menino-mimado,F7
500,menino-mimado,Bb
501,menino-mimado,Bb7
502,menino-mimado,Eb7
503,menino-mimado,D7
504,menino-mimado,Gm
505,menino-mimado,G7
506,menino-mimado,F#7
507,menino-mimado,F7
508,menino-mimado,Bb
509,menino-mimado,Am7(5-)
510,menino-mimado,D7
511,menino-mimado,Gm
512,menino-mimado,G7
513,menino-mimado,Cm
514,menino-mimado,Am7(5-)
515,menino-mimado,Gm
516,menino-mimado,Bb7
517,menino-mimado,Eb7
518,menino-mimado,D7
519,menino-mimado,Gm
520,menino-mimado,D7
521,menino-mimado,Gm
522,menino-mimado,Ab7
523,menino-mimado,Gm
524,menino-mimado,Am7(5-)
525,menino-mimado,D7
526,menino-mimado,Gm
527,menino-mimado,Cm
528,menino-mimado,F7
529,menino-mimado,Bb
530,menino-mimado,Bb7
531,menino-mimado,Eb7
532,menino-mimado,D7
533,menino-mimado,Gm
534,menino-mimado,G7
535,menino-mimado,F#7
536,menino-mimado,F7
537,menino-mimado,Bb
538,menino-mimado,Am7(5-)
539,menino-mimado,D7
540,menino-mimado,Gm
541,menino-mimado,G7
542,menino-mimado,Cm
543,menino-mimado,Am7(5-)
544,menino-mimado,Gm
545,menino-mimado,Bb7
546,menino-mimado,Eb7
547,menino-mimado,D7
548,menino-mimado,Gm
549,menino-mimado,F7
550,menino-mimado,Bb
551,menino-mimado,Am7(5-)
552,menino-mimado,D7
553,menino-mimado,Gm
554,menino-mimado,G7
555,menino-mimado,Cm
556,menino-mimado,Cm
557,menino-mimado,Am7(5-)
558,menino-mimado,Gm
559,menino-mimado,Bb7
560,menino-mimado,Eb7
561,menino-mimado,D7
562,menino-mimado,Dm7(5-)
563,menino-mimado,G7
564,menino-mimado,Eb7
565,menino-mimado,D7
566,menino-mimado,Gm
567,menino-mimado,G7
568,menino-mimado,Cm
569,menino-mimado,D7(9-)
570,menino-mimado,Gm
571,menino-mimado,Bb7(13)
572,menino-mimado,Eb7
573,menino-mimado,D7
574,menino-mimado,Dm7(5-)
575,menino-mimado,G7
576,menino-mimado,Cm
577,menino-mimado,D7(9-)
578,menino-mimado,Gm
579,menino-mimado,Bb7(13)
580,menino-mimado,Eb7
581,menino-mimado,D7
582,menino-mimado,Gm
583,menino-mimado,Gm6
616,la-vem-voce,D
617,la-vem-voce,B7
618,la-vem-voce,Em
619,la-vem-voce,A7
620,la-vem-voce,D
621,la-vem-voce,B7
622,la-vem-voce,Em
623,la-vem-voce,A7
624,la-vem-voce,D
625,la-vem-voce,B7
626,la-vem-voce,Em
627,la-vem-voce,A7
628,la-vem-voce,D
629,la-vem-voce,B7
630,la-vem-voce,Em
631,la-vem-voce,A7
632,la-vem-voce,Am7
633,la-vem-voce,D
634,la-vem-voce,G
635,la-vem-voce,A7
636,la-vem-voce,D
637,la-vem-voce,B7
638,la-vem-voce,Em
639,la-vem-voce,A7
640,la-vem-voce,Am7
641,la-vem-voce,D
642,la-vem-voce,G
