,Musicas,Palavras
0,nao-existe-amor-em-sp,Um
1,nao-existe-amor-em-sp,labirinto
2,nao-existe-amor-em-sp,místico
3,nao-existe-amor-em-sp,Onde
4,nao-existe-amor-em-sp,os
5,nao-existe-amor-em-sp,grafites
6,nao-existe-amor-em-sp,gritam
7,nao-existe-amor-em-sp,Não
8,nao-existe-amor-em-sp,dá
9,nao-existe-amor-em-sp,pra
10,nao-existe-amor-em-sp,descrever
11,nao-existe-amor-em-sp,Numa
12,nao-existe-amor-em-sp,linda
13,nao-existe-amor-em-sp,frase
14,nao-existe-amor-em-sp,De
15,nao-existe-amor-em-sp,um
16,nao-existe-amor-em-sp,postal
17,nao-existe-amor-em-sp,tão
18,nao-existe-amor-em-sp,doce
19,nao-existe-amor-em-sp,Cuidado
20,nao-existe-amor-em-sp,com
21,nao-existe-amor-em-sp,doce
22,nao-existe-amor-em-sp,São
23,nao-existe-amor-em-sp,Paulo
24,nao-existe-amor-em-sp,é
25,nao-existe-amor-em-sp,um
26,nao-existe-amor-em-sp,buquê
27,nao-existe-amor-em-sp,Buquês
28,nao-existe-amor-em-sp,são
29,nao-existe-amor-em-sp,flores
30,nao-existe-amor-em-sp,mortas
31,nao-existe-amor-em-sp,Num
32,nao-existe-amor-em-sp,lindo
33,nao-existe-amor-em-sp,arranjo
34,nao-existe-amor-em-sp,Arranjo
35,nao-existe-amor-em-sp,"lindo,"
36,nao-existe-amor-em-sp,feito
37,nao-existe-amor-em-sp,pra
38,nao-existe-amor-em-sp,você
39,nao-existe-amor-em-sp,Os
40,nao-existe-amor-em-sp,bares
41,nao-existe-amor-em-sp,estão
42,nao-existe-amor-em-sp,cheios
43,nao-existe-amor-em-sp,de
44,nao-existe-amor-em-sp,almas
45,nao-existe-amor-em-sp,tão
46,nao-existe-amor-em-sp,vazias
47,nao-existe-amor-em-sp,A
48,nao-existe-amor-em-sp,ganância
49,nao-existe-amor-em-sp,"vibra,"
50,nao-existe-amor-em-sp,a
51,nao-existe-amor-em-sp,vaidade
52,nao-existe-amor-em-sp,excita
53,nao-existe-amor-em-sp,Devolva
54,nao-existe-amor-em-sp,minha
55,nao-existe-amor-em-sp,vida
56,nao-existe-amor-em-sp,e
57,nao-existe-amor-em-sp,morra
58,nao-existe-amor-em-sp,Afogada
59,nao-existe-amor-em-sp,em
60,nao-existe-amor-em-sp,seu
61,nao-existe-amor-em-sp,próprio
62,nao-existe-amor-em-sp,mar
63,nao-existe-amor-em-sp,de
64,nao-existe-amor-em-sp,fel
65,nao-existe-amor-em-sp,Aqui
66,nao-existe-amor-em-sp,ninguém
67,nao-existe-amor-em-sp,vai
68,nao-existe-amor-em-sp,pro
69,nao-existe-amor-em-sp,céu
70,nao-existe-amor-em-sp,Não
71,nao-existe-amor-em-sp,precisa
72,nao-existe-amor-em-sp,sofrer
73,nao-existe-amor-em-sp,pra
74,nao-existe-amor-em-sp,saber
75,nao-existe-amor-em-sp,o
76,nao-existe-amor-em-sp,que
77,nao-existe-amor-em-sp,é
78,nao-existe-amor-em-sp,melhor
79,nao-existe-amor-em-sp,pra
80,nao-existe-amor-em-sp,você
81,nao-existe-amor-em-sp,Encontro
82,nao-existe-amor-em-sp,duas
83,nao-existe-amor-em-sp,nuvens
84,nao-existe-amor-em-sp,Em
85,nao-existe-amor-em-sp,cada
86,nao-existe-amor-em-sp,"escombro,"
87,nao-existe-amor-em-sp,em
88,nao-existe-amor-em-sp,cada
89,nao-existe-amor-em-sp,esquina
90,nao-existe-amor-em-sp,Me
91,nao-existe-amor-em-sp,dê
92,nao-existe-amor-em-sp,um
93,nao-existe-amor-em-sp,gole
94,nao-existe-amor-em-sp,de
95,nao-existe-amor-em-sp,vida
96,nao-existe-amor-em-sp,Não
97,nao-existe-amor-em-sp,precisa
98,nao-existe-amor-em-sp,morrer
99,nao-existe-amor-em-sp,pra
100,nao-existe-amor-em-sp,ver
101,nao-existe-amor-em-sp,Deus
102,nao-existe-amor-em-sp,Um
103,nao-existe-amor-em-sp,labirinto
104,nao-existe-amor-em-sp,místico
105,nao-existe-amor-em-sp,Onde
106,nao-existe-amor-em-sp,os
107,nao-existe-amor-em-sp,grafites
108,nao-existe-amor-em-sp,gritam
109,nao-existe-amor-em-sp,Não
110,nao-existe-amor-em-sp,dá
111,nao-existe-amor-em-sp,pra
112,nao-existe-amor-em-sp,descrever
113,nao-existe-amor-em-sp,Numa
114,nao-existe-amor-em-sp,linda
115,nao-existe-amor-em-sp,frase
116,nao-existe-amor-em-sp,De
117,nao-existe-amor-em-sp,um
118,nao-existe-amor-em-sp,postal
119,nao-existe-amor-em-sp,tão
120,nao-existe-amor-em-sp,doce
121,nao-existe-amor-em-sp,Cuidado
122,nao-existe-amor-em-sp,com
123,nao-existe-amor-em-sp,doce
124,nao-existe-amor-em-sp,São
125,nao-existe-amor-em-sp,Paulo
126,nao-existe-amor-em-sp,é
127,nao-existe-amor-em-sp,um
128,nao-existe-amor-em-sp,buquê
129,nao-existe-amor-em-sp,Buquês
130,nao-existe-amor-em-sp,são
131,nao-existe-amor-em-sp,flores
132,nao-existe-amor-em-sp,mortas
133,nao-existe-amor-em-sp,Num
134,nao-existe-amor-em-sp,lindo
135,nao-existe-amor-em-sp,arranjo
