,Musicas,Acordes
0,a-primeira-vista,C
1,a-primeira-vista,G/B
2,a-primeira-vista,Am
3,a-primeira-vista,Am/G
4,a-primeira-vista,F
5,a-primeira-vista,C
6,a-primeira-vista,D7
7,a-primeira-vista,G
8,a-primeira-vista,G
9,a-primeira-vista,E4
10,a-primeira-vista,G
11,a-primeira-vista,C
12,a-primeira-vista,G/B
13,a-primeira-vista,Am
14,a-primeira-vista,Am/G
15,a-primeira-vista,F
16,a-primeira-vista,C
17,a-primeira-vista,D7
18,a-primeira-vista,G
19,a-primeira-vista,C
20,a-primeira-vista,G/B
21,a-primeira-vista,Am
22,a-primeira-vista,Am/G
23,a-primeira-vista,F
24,a-primeira-vista,C
25,a-primeira-vista,D7
26,a-primeira-vista,G
27,a-primeira-vista,C
28,a-primeira-vista,G
29,a-primeira-vista,E4
30,a-primeira-vista,G
31,a-primeira-vista,C
32,a-primeira-vista,Am
33,a-primeira-vista,Am/G
34,a-primeira-vista,F
35,a-primeira-vista,D7
36,a-primeira-vista,G
37,a-primeira-vista,G
38,a-primeira-vista,E4
39,a-primeira-vista,G
40,a-primeira-vista,C
41,a-primeira-vista,G/B
42,a-primeira-vista,Am
43,a-primeira-vista,Am/G
44,a-primeira-vista,F
45,a-primeira-vista,C
46,a-primeira-vista,D7
47,a-primeira-vista,G
48,a-primeira-vista,G
49,a-primeira-vista,E4
50,a-primeira-vista,G
116,nobre-vagabundo,C
117,nobre-vagabundo,F
118,nobre-vagabundo,G7
119,nobre-vagabundo,C
120,nobre-vagabundo,C
121,nobre-vagabundo,F
122,nobre-vagabundo,G7
123,nobre-vagabundo,C
124,nobre-vagabundo,F
125,nobre-vagabundo,G7
126,nobre-vagabundo,C
127,nobre-vagabundo,C
128,nobre-vagabundo,F
129,nobre-vagabundo,G7
130,nobre-vagabundo,C
131,nobre-vagabundo,C
132,nobre-vagabundo,F
133,nobre-vagabundo,G7
134,nobre-vagabundo,C
135,nobre-vagabundo,C
136,nobre-vagabundo,F
137,nobre-vagabundo,G7
138,nobre-vagabundo,C
139,nobre-vagabundo,C
140,nobre-vagabundo,F
141,nobre-vagabundo,G7
142,nobre-vagabundo,C
143,nobre-vagabundo,F
144,nobre-vagabundo,G7
145,nobre-vagabundo,C
146,nobre-vagabundo,C
147,nobre-vagabundo,F
148,nobre-vagabundo,G7
149,nobre-vagabundo,C
150,nobre-vagabundo,F
151,nobre-vagabundo,Em
152,nobre-vagabundo,Am7
153,nobre-vagabundo,Dm7
154,nobre-vagabundo,G7
155,nobre-vagabundo,C
156,nobre-vagabundo,C7
157,nobre-vagabundo,F
158,nobre-vagabundo,G7
159,nobre-vagabundo,C
160,nobre-vagabundo,F
161,nobre-vagabundo,G7
162,nobre-vagabundo,C
232,o-canto-da-cidade,D
233,o-canto-da-cidade,C/D
234,o-canto-da-cidade,D
235,o-canto-da-cidade,C
236,o-canto-da-cidade,G
237,o-canto-da-cidade,D
238,o-canto-da-cidade,F#m
239,o-canto-da-cidade,C
240,o-canto-da-cidade,G
241,o-canto-da-cidade,D
242,o-canto-da-cidade,F#m
243,o-canto-da-cidade,C
244,o-canto-da-cidade,G
245,o-canto-da-cidade,D
246,o-canto-da-cidade,F#m
247,o-canto-da-cidade,C
248,o-canto-da-cidade,G
249,o-canto-da-cidade,Bm
250,o-canto-da-cidade,Em
251,o-canto-da-cidade,Bm
252,o-canto-da-cidade,Em
253,o-canto-da-cidade,D
254,o-canto-da-cidade,F#m
255,o-canto-da-cidade,C
256,o-canto-da-cidade,G
257,o-canto-da-cidade,D
258,o-canto-da-cidade,F#m
259,o-canto-da-cidade,C
260,o-canto-da-cidade,G
261,o-canto-da-cidade,D
262,o-canto-da-cidade,F#m
263,o-canto-da-cidade,C
264,o-canto-da-cidade,G
265,o-canto-da-cidade,D
266,o-canto-da-cidade,F#m
267,o-canto-da-cidade,C
268,o-canto-da-cidade,G
348,como-vai-voce,E7
349,como-vai-voce,A
350,como-vai-voce,G#m
351,como-vai-voce,F#m
352,como-vai-voce,C#m
353,como-vai-voce,Em7
354,como-vai-voce,A7
355,como-vai-voce,D
356,como-vai-voce,Dm
357,como-vai-voce,E4
358,como-vai-voce,E
359,como-vai-voce,E7
360,como-vai-voce,A
361,como-vai-voce,G#m
362,como-vai-voce,F#m
363,como-vai-voce,C#m
364,como-vai-voce,Em7
365,como-vai-voce,A7
366,como-vai-voce,D
367,como-vai-voce,Dm6
368,como-vai-voce,E4
369,como-vai-voce,E
370,como-vai-voce,D/F#
371,como-vai-voce,E/G#
372,como-vai-voce,E7
373,como-vai-voce,A
374,como-vai-voce,A7+
375,como-vai-voce,A
376,como-vai-voce,E/G#
377,como-vai-voce,F#m
378,como-vai-voce,B/E
379,como-vai-voce,D
380,como-vai-voce,Bm
381,como-vai-voce,B4
382,como-vai-voce,B
383,como-vai-voce,E
384,como-vai-voce,E7
385,como-vai-voce,A
386,como-vai-voce,A7+
387,como-vai-voce,A
388,como-vai-voce,E/G#
389,como-vai-voce,F#m
390,como-vai-voce,B/E
391,como-vai-voce,D
392,como-vai-voce,Bm
393,como-vai-voce,E7
394,como-vai-voce,A
395,como-vai-voce,Bm
396,como-vai-voce,E7
397,como-vai-voce,A
464,swing-da-cor,Bm
465,swing-da-cor,F#
466,swing-da-cor,Bm
467,swing-da-cor,A
468,swing-da-cor,G
469,swing-da-cor,F#
470,swing-da-cor,Bm
471,swing-da-cor,A
472,swing-da-cor,G
473,swing-da-cor,F#
474,swing-da-cor,Bm
475,swing-da-cor,A
476,swing-da-cor,G
477,swing-da-cor,F#
478,swing-da-cor,Bm
479,swing-da-cor,A
480,swing-da-cor,G
481,swing-da-cor,F#
482,swing-da-cor,Bm
483,swing-da-cor,A
484,swing-da-cor,G
485,swing-da-cor,F#
486,swing-da-cor,Bm
487,swing-da-cor,A
488,swing-da-cor,G
489,swing-da-cor,F#
580,ile-perola-negra,C
581,ile-perola-negra,Am
582,ile-perola-negra,G
583,ile-perola-negra,F
584,ile-perola-negra,Esus
585,ile-perola-negra,E7
586,ile-perola-negra,Am
587,ile-perola-negra,G
588,ile-perola-negra,F
589,ile-perola-negra,Esus
590,ile-perola-negra,E7
591,ile-perola-negra,Am
592,ile-perola-negra,C7
593,ile-perola-negra,F
594,ile-perola-negra,E
595,ile-perola-negra,Dm
596,ile-perola-negra,Am
597,ile-perola-negra,Dm
598,ile-perola-negra,G
599,ile-perola-negra,Am
600,ile-perola-negra,G
601,ile-perola-negra,C
602,ile-perola-negra,G
603,ile-perola-negra,Am
604,ile-perola-negra,G
605,ile-perola-negra,C
606,ile-perola-negra,G
607,ile-perola-negra,Am
608,ile-perola-negra,G
609,ile-perola-negra,C
610,ile-perola-negra,G
611,ile-perola-negra,F
612,ile-perola-negra,C
613,ile-perola-negra,G
614,ile-perola-negra,C
615,ile-perola-negra,G
616,ile-perola-negra,Am
617,ile-perola-negra,G
618,ile-perola-negra,C
619,ile-perola-negra,G
620,ile-perola-negra,Am
621,ile-perola-negra,G
622,ile-perola-negra,C
623,ile-perola-negra,G
624,ile-perola-negra,Am
625,ile-perola-negra,G
626,ile-perola-negra,Am
627,ile-perola-negra,G
628,ile-perola-negra,F
629,ile-perola-negra,G
630,ile-perola-negra,F
631,ile-perola-negra,G
632,ile-perola-negra,C
633,ile-perola-negra,G
634,ile-perola-negra,F
635,ile-perola-negra,C
636,ile-perola-negra,G
637,ile-perola-negra,C
638,ile-perola-negra,G
696,minas-com-bahia,C
697,minas-com-bahia,F
698,minas-com-bahia,G
699,minas-com-bahia,C
700,minas-com-bahia,F
701,minas-com-bahia,Bb
702,minas-com-bahia,C
703,minas-com-bahia,C
704,minas-com-bahia,F
705,minas-com-bahia,Bb
706,minas-com-bahia,C
707,minas-com-bahia,G
708,minas-com-bahia,F
709,minas-com-bahia,G
710,minas-com-bahia,C
711,minas-com-bahia,F
712,minas-com-bahia,Bb
713,minas-com-bahia,C
714,minas-com-bahia,G
715,minas-com-bahia,F
716,minas-com-bahia,G
717,minas-com-bahia,Dm7
718,minas-com-bahia,G7
719,minas-com-bahia,Dm7
720,minas-com-bahia,G7
721,minas-com-bahia,F
722,minas-com-bahia,G7
723,minas-com-bahia,Am
724,minas-com-bahia,F
725,minas-com-bahia,G7
726,minas-com-bahia,Am
727,minas-com-bahia,F
728,minas-com-bahia,G7
729,minas-com-bahia,Am
730,minas-com-bahia,F
731,minas-com-bahia,G7
732,minas-com-bahia,C
733,minas-com-bahia,F
734,minas-com-bahia,Bb
735,minas-com-bahia,C
