,Musicas,Palavras
0,a-primeira-vista,Quando
1,a-primeira-vista,tudo
2,a-primeira-vista,era
3,a-primeira-vista,"ausência,"
4,a-primeira-vista,esperei
5,a-primeira-vista,Quando
6,a-primeira-vista,tive
7,a-primeira-vista,"frio,"
8,a-primeira-vista,tremi
9,a-primeira-vista,Quando
10,a-primeira-vista,tive
11,a-primeira-vista,"coragem,"
12,a-primeira-vista,liguei
13,a-primeira-vista,Quando
14,a-primeira-vista,ouvi
15,a-primeira-vista,"Prince,"
16,a-primeira-vista,dancei
17,a-primeira-vista,Quando
18,a-primeira-vista,o
19,a-primeira-vista,olho
20,a-primeira-vista,"brilhou,"
21,a-primeira-vista,entendi
22,a-primeira-vista,Quando
23,a-primeira-vista,criei
24,a-primeira-vista,"asas,"
25,a-primeira-vista,voei
26,a-primeira-vista,Quando
27,a-primeira-vista,dei
28,a-primeira-vista,por
29,a-primeira-vista,"mim,"
30,a-primeira-vista,estava
31,a-primeira-vista,aqui
32,a-primeira-vista,Quando
33,a-primeira-vista,te
34,a-primeira-vista,"achei,"
35,a-primeira-vista,me
36,a-primeira-vista,perdi
37,a-primeira-vista,Quando
38,a-primeira-vista,vi
39,a-primeira-vista,"você,"
40,a-primeira-vista,me
41,a-primeira-vista,apaixonei
42,a-primeira-vista,Quando
43,a-primeira-vista,tudo
44,a-primeira-vista,era
45,a-primeira-vista,"ausência,"
46,a-primeira-vista,esperei
47,a-primeira-vista,Quando
48,a-primeira-vista,tive
49,a-primeira-vista,"frio,"
50,a-primeira-vista,tremi
51,a-primeira-vista,Quando
52,a-primeira-vista,tive
53,a-primeira-vista,"coragem,"
54,a-primeira-vista,liguei
55,a-primeira-vista,Quando
56,a-primeira-vista,ouvi
57,a-primeira-vista,Salif
58,a-primeira-vista,Keita
59,a-primeira-vista,dancei
60,a-primeira-vista,Quando
61,a-primeira-vista,o
62,a-primeira-vista,olho
63,a-primeira-vista,"brilhou,"
64,a-primeira-vista,entendi
65,a-primeira-vista,Quando
66,a-primeira-vista,criei
67,a-primeira-vista,"asas,"
68,a-primeira-vista,voei
69,a-primeira-vista,Quando
70,a-primeira-vista,dei
71,a-primeira-vista,por
72,a-primeira-vista,"mim,"
73,a-primeira-vista,estava
74,a-primeira-vista,aqui
75,a-primeira-vista,Quando
76,a-primeira-vista,o
77,a-primeira-vista,"encontrei,"
78,a-primeira-vista,me
79,a-primeira-vista,perdi
80,a-primeira-vista,Quando
81,a-primeira-vista,vi
82,a-primeira-vista,"você,"
83,a-primeira-vista,me
84,a-primeira-vista,apaixonei
85,a-primeira-vista,None
355,nobre-vagabundo,Meu
356,nobre-vagabundo,"bem,"
357,nobre-vagabundo,o
358,nobre-vagabundo,ciúme
359,nobre-vagabundo,é
360,nobre-vagabundo,pura
361,nobre-vagabundo,vaidade
362,nobre-vagabundo,Se
363,nobre-vagabundo,tu
364,nobre-vagabundo,"foge,"
365,nobre-vagabundo,o
366,nobre-vagabundo,tempo
367,nobre-vagabundo,logo
368,nobre-vagabundo,traz
369,nobre-vagabundo,ansiedade
370,nobre-vagabundo,Respirar
371,nobre-vagabundo,o
372,nobre-vagabundo,"amor,"
373,nobre-vagabundo,aspirando
374,nobre-vagabundo,liberdade
375,nobre-vagabundo,Respirar
376,nobre-vagabundo,o
377,nobre-vagabundo,"amor,"
378,nobre-vagabundo,aspirando
379,nobre-vagabundo,liberdade
380,nobre-vagabundo,Meu
381,nobre-vagabundo,"bem,"
382,nobre-vagabundo,o
383,nobre-vagabundo,ciúme
384,nobre-vagabundo,é
385,nobre-vagabundo,pura
386,nobre-vagabundo,vaidade
387,nobre-vagabundo,Se
