,Musicas,Palavras
259,isso-que-e-vida-part-cantini,E
260,isso-que-e-vida-part-cantini,eu
261,isso-que-e-vida-part-cantini,sei
262,isso-que-e-vida-part-cantini,bem
263,isso-que-e-vida-part-cantini,onde
264,isso-que-e-vida-part-cantini,é
265,isso-que-e-vida-part-cantini,que
266,isso-que-e-vida-part-cantini,isso
267,isso-que-e-vida-part-cantini,vai
268,isso-que-e-vida-part-cantini,dar
269,isso-que-e-vida-part-cantini,Vai
270,isso-que-e-vida-part-cantini,que
271,isso-que-e-vida-part-cantini,o
272,isso-que-e-vida-part-cantini,beijo
273,isso-que-e-vida-part-cantini,"encaixa,"
274,isso-que-e-vida-part-cantini,vai
275,isso-que-e-vida-part-cantini,que
276,isso-que-e-vida-part-cantini,"arrepia,"
277,isso-que-e-vida-part-cantini,tem
278,isso-que-e-vida-part-cantini,ninguém
279,isso-que-e-vida-part-cantini,em
280,isso-que-e-vida-part-cantini,casa
281,isso-que-e-vida-part-cantini,Ela
282,isso-que-e-vida-part-cantini,vai
283,isso-que-e-vida-part-cantini,me
284,isso-que-e-vida-part-cantini,"olhar,"
285,isso-que-e-vida-part-cantini,vai
286,isso-que-e-vida-part-cantini,"provocar,"
287,isso-que-e-vida-part-cantini,cheia
288,isso-que-e-vida-part-cantini,de
289,isso-que-e-vida-part-cantini,tesão
290,isso-que-e-vida-part-cantini,Parece
291,isso-que-e-vida-part-cantini,miragem
292,isso-que-e-vida-part-cantini,mas
293,isso-que-e-vida-part-cantini,é
294,isso-que-e-vida-part-cantini,sacanagem
295,isso-que-e-vida-part-cantini,Essa
296,isso-que-e-vida-part-cantini,mina
297,isso-que-e-vida-part-cantini,vai
298,isso-que-e-vida-part-cantini,morar
299,isso-que-e-vida-part-cantini,no
300,isso-que-e-vida-part-cantini,meu
301,isso-que-e-vida-part-cantini,colchão
302,isso-que-e-vida-part-cantini,Acordar
303,isso-que-e-vida-part-cantini,pelado
304,isso-que-e-vida-part-cantini,com
305,isso-que-e-vida-part-cantini,você
306,isso-que-e-vida-part-cantini,do
307,isso-que-e-vida-part-cantini,lado
308,isso-que-e-vida-part-cantini,Que
309,isso-que-e-vida-part-cantini,o
310,isso-que-e-vida-part-cantini,nosso
311,isso-que-e-vida-part-cantini,amor
312,isso-que-e-vida-part-cantini,nunca
313,isso-que-e-vida-part-cantini,vire
314,isso-que-e-vida-part-cantini,rotina
315,isso-que-e-vida-part-cantini,None
518,malandramente,A
519,malandramente,menina
520,malandramente,inocente
521,malandramente,Se
522,malandramente,envolveu
523,malandramente,com
524,malandramente,a
525,malandramente,gente
526,malandramente,Só
527,malandramente,pra
528,malandramente,poder
529,malandramente,curtir
530,malandramente,Fez
531,malandramente,cara
532,malandramente,de
533,malandramente,carente
534,malandramente,Envolvida
535,malandramente,c'a
536,malandramente,tropa
537,malandramente,Começou
538,malandramente,a
539,malandramente,seduzir
540,malandramente,Meteu
541,malandramente,o
542,malandramente,pé
543,malandramente,pra
544,malandramente,casa
545,malandramente,Diz
546,malandramente,que
547,malandramente,a
548,malandramente,mãe
549,malandramente,tá
550,malandramente,ligando
