,Musicas,Acordes
0,de-volta-pro-aconchego,Bm7
1,de-volta-pro-aconchego,E7(9-)
2,de-volta-pro-aconchego,G/A
3,de-volta-pro-aconchego,D7(9/11)
4,de-volta-pro-aconchego,D/C
5,de-volta-pro-aconchego,G/B
6,de-volta-pro-aconchego,Cm7
7,de-volta-pro-aconchego,F7(9/11)
8,de-volta-pro-aconchego,Bm7
9,de-volta-pro-aconchego,E7(9-)
10,de-volta-pro-aconchego,A/C#
11,de-volta-pro-aconchego,F7/C
12,de-volta-pro-aconchego,G/B
13,de-volta-pro-aconchego,Eb7/Bb
14,de-volta-pro-aconchego,Am7
15,de-volta-pro-aconchego,D7(4/9)
16,de-volta-pro-aconchego,D
17,de-volta-pro-aconchego,G
18,de-volta-pro-aconchego,Am7
19,de-volta-pro-aconchego,G/B
20,de-volta-pro-aconchego,Bm7
21,de-volta-pro-aconchego,Em7
22,de-volta-pro-aconchego,Am7
23,de-volta-pro-aconchego,D7(4/9)
24,de-volta-pro-aconchego,G
25,de-volta-pro-aconchego,E7(9/11)
26,de-volta-pro-aconchego,E7(9-)
27,de-volta-pro-aconchego,Am7
28,de-volta-pro-aconchego,E7(9-)
29,de-volta-pro-aconchego,Am9
30,de-volta-pro-aconchego,E7(9-)
31,de-volta-pro-aconchego,Am9
32,de-volta-pro-aconchego,E7(9-)
33,de-volta-pro-aconchego,D/C
34,de-volta-pro-aconchego,Bm7
35,de-volta-pro-aconchego,Em7
36,de-volta-pro-aconchego,Am7
37,de-volta-pro-aconchego,D7(4/9)
38,de-volta-pro-aconchego,G
39,de-volta-pro-aconchego,Am7
40,de-volta-pro-aconchego,G/B
41,de-volta-pro-aconchego,D7(9/11)
42,de-volta-pro-aconchego,G6
43,de-volta-pro-aconchego,Gsus
44,de-volta-pro-aconchego,G7(9-)
45,de-volta-pro-aconchego,C/G
46,de-volta-pro-aconchego,E7(9-)
47,de-volta-pro-aconchego,Am7
48,de-volta-pro-aconchego,D/C
49,de-volta-pro-aconchego,Bm7
50,de-volta-pro-aconchego,Em7
51,de-volta-pro-aconchego,Am7
52,de-volta-pro-aconchego,D7(9/11)
53,de-volta-pro-aconchego,G6
54,de-volta-pro-aconchego,E7(9-)
55,de-volta-pro-aconchego,Am9
56,de-volta-pro-aconchego,D7(9/11)
57,de-volta-pro-aconchego,D/C
58,de-volta-pro-aconchego,Bm7
59,de-volta-pro-aconchego,E7(9-)
60,de-volta-pro-aconchego,Am7
