,Musicas,Palavras
0,de-volta-pro-aconchego,Trazendo
1,de-volta-pro-aconchego,na
2,de-volta-pro-aconchego,mala
3,de-volta-pro-aconchego,bastante
4,de-volta-pro-aconchego,saudade
5,de-volta-pro-aconchego,Querendo
6,de-volta-pro-aconchego,um
7,de-volta-pro-aconchego,sorriso
8,de-volta-pro-aconchego,sincero
9,de-volta-pro-aconchego,Um
10,de-volta-pro-aconchego,abraço
11,de-volta-pro-aconchego,para
12,de-volta-pro-aconchego,aliviar
13,de-volta-pro-aconchego,meu
14,de-volta-pro-aconchego,cansaço
15,de-volta-pro-aconchego,E
16,de-volta-pro-aconchego,toda
17,de-volta-pro-aconchego,essa
18,de-volta-pro-aconchego,minha
19,de-volta-pro-aconchego,vontade
20,de-volta-pro-aconchego,Roçando
21,de-volta-pro-aconchego,teu
22,de-volta-pro-aconchego,corpo
23,de-volta-pro-aconchego,e
24,de-volta-pro-aconchego,beijando
25,de-volta-pro-aconchego,você
26,de-volta-pro-aconchego,Pra
27,de-volta-pro-aconchego,mim
28,de-volta-pro-aconchego,tu
29,de-volta-pro-aconchego,és
30,de-volta-pro-aconchego,a
31,de-volta-pro-aconchego,estrela
32,de-volta-pro-aconchego,mais
33,de-volta-pro-aconchego,linda
34,de-volta-pro-aconchego,Teus
35,de-volta-pro-aconchego,olhos
36,de-volta-pro-aconchego,me
37,de-volta-pro-aconchego,"prendem,"
38,de-volta-pro-aconchego,fascinam
39,de-volta-pro-aconchego,A
40,de-volta-pro-aconchego,paz
41,de-volta-pro-aconchego,que
42,de-volta-pro-aconchego,eu
43,de-volta-pro-aconchego,gosto
44,de-volta-pro-aconchego,de
45,de-volta-pro-aconchego,ter.
46,de-volta-pro-aconchego,Parece
47,de-volta-pro-aconchego,que
48,de-volta-pro-aconchego,falta
49,de-volta-pro-aconchego,um
50,de-volta-pro-aconchego,pedaço
51,de-volta-pro-aconchego,de
52,de-volta-pro-aconchego,mim.
53,de-volta-pro-aconchego,Me
54,de-volta-pro-aconchego,alegro
55,de-volta-pro-aconchego,na
56,de-volta-pro-aconchego,hora
57,de-volta-pro-aconchego,de
58,de-volta-pro-aconchego,"regressar,"
59,de-volta-pro-aconchego,Parece
60,de-volta-pro-aconchego,que
61,de-volta-pro-aconchego,vou
62,de-volta-pro-aconchego,mergulhar
63,de-volta-pro-aconchego,na
64,de-volta-pro-aconchego,felicidade
65,de-volta-pro-aconchego,sem
66,de-volta-pro-aconchego,fim
67,de-volta-pro-aconchego,None
261,eu-so-quero-um-xodo,Que
262,eu-so-quero-um-xodo,falta
263,eu-so-quero-um-xodo,me
264,eu-so-quero-um-xodo,faz
265,eu-so-quero-um-xodo,um
266,eu-so-quero-um-xodo,xodó
267,eu-so-quero-um-xodo,Mas
268,eu-so-quero-um-xodo,como
269,eu-so-quero-um-xodo,eu
270,eu-so-quero-um-xodo,não
271,eu-so-quero-um-xodo,tenho
272,eu-so-quero-um-xodo,ninguém
273,eu-so-quero-um-xodo,Eu
274,eu-so-quero-um-xodo,levo
275,eu-so-quero-um-xodo,a
276,eu-so-quero-um-xodo,vida
277,eu-so-quero-um-xodo,assim
278,eu-so-quero-um-xodo,tão
279,eu-so-quero-um-xodo,só
280,eu-so-quero-um-xodo,Que
281,eu-so-quero-um-xodo,acabe
282,eu-so-quero-um-xodo,o
283,eu-so-quero-um-xodo,meu
284,eu-so-quero-um-xodo,sofrer
285,eu-so-quero-um-xodo,Um
286,eu-so-quero-um-xodo,xodó
287,eu-so-quero-um-xodo,pra
288,eu-so-quero-um-xodo,mim
289,eu-so-quero-um-xodo,do
290,eu-so-quero-um-xodo,meu
291,eu-so-quero-um-xodo,jeito
292,eu-so-quero-um-xodo,assim
293,eu-so-quero-um-xodo,Que
294,eu-so-quero-um-xodo,alegre
295,eu-so-quero-um-xodo,o
296,eu-so-quero-um-xodo,meu
297,eu-so-quero-um-xodo,viver
298,eu-so-quero-um-xodo,Que
299,eu-so-quero-um-xodo,falta
300,eu-so-quero-um-xodo,me
301,eu-so-quero-um-xodo,faz
302,eu-so-quero-um-xodo,um
303,eu-so-quero-um-xodo,xodó
304,eu-so-quero-um-xodo,Mas
305,eu-so-quero-um-xodo,como
306,eu-so-quero-um-xodo,eu
307,eu-so-quero-um-xodo,não
308,eu-so-quero-um-xodo,tenho
309,eu-so-quero-um-xodo,ninguém
310,eu-so-quero-um-xodo,Eu
311,eu-so-quero-um-xodo,levo
312,eu-so-quero-um-xodo,a
313,eu-so-quero-um-xodo,vida
314,eu-so-quero-um-xodo,assim
315,eu-so-quero-um-xodo,tão
316,eu-so-quero-um-xodo,só
317,eu-so-quero-um-xodo,Que
318,eu-so-quero-um-xodo,acabe
319,eu-so-quero-um-xodo,o
320,eu-so-quero-um-xodo,meu
321,eu-so-quero-um-xodo,sofrer
322,eu-so-quero-um-xodo,Um
323,eu-so-quero-um-xodo,xodó
324,eu-so-quero-um-xodo,pra
325,eu-so-quero-um-xodo,mim
326,eu-so-quero-um-xodo,do
327,eu-so-quero-um-xodo,meu
328,eu-so-quero-um-xodo,jeito
329,eu-so-quero-um-xodo,assim
330,eu-so-quero-um-xodo,Que
331,eu-so-quero-um-xodo,alegre
332,eu-so-quero-um-xodo,o
333,eu-so-quero-um-xodo,meu
334,eu-so-quero-um-xodo,viver
335,eu-so-quero-um-xodo,Que
336,eu-so-quero-um-xodo,acabe
337,eu-so-quero-um-xodo,o
