,Musicas,Acordes
0,suite-do-pescador,Cm
1,suite-do-pescador,Bb
2,suite-do-pescador,Ab
3,suite-do-pescador,Fm
4,suite-do-pescador,G7
5,suite-do-pescador,Cm
6,suite-do-pescador,Bb
7,suite-do-pescador,Ab
8,suite-do-pescador,Fm
9,suite-do-pescador,G
10,suite-do-pescador,G7
11,suite-do-pescador,Cm
12,suite-do-pescador,Bb
13,suite-do-pescador,Ab
14,suite-do-pescador,G
15,suite-do-pescador,Cm
16,suite-do-pescador,C7
17,suite-do-pescador,Fm
18,suite-do-pescador,Bb7
19,suite-do-pescador,Eb7+
20,suite-do-pescador,Cm
21,suite-do-pescador,Dm7(5-)
22,suite-do-pescador,G7
23,suite-do-pescador,Cm
24,suite-do-pescador,Dm7(5-)
25,suite-do-pescador,G7
26,suite-do-pescador,Cm
99,marina,D7M
100,marina,F#7/C#
101,marina,Bm7
102,marina,D7(9)
103,marina,G6
104,marina,F#m7(b5)
105,marina,B7(b9)
106,marina,Em(add9)
107,marina,A7/4(9)
108,marina,D7M(9)
109,marina,C#m7(b5)
110,marina,F#7(b13)
111,marina,Bm
112,marina,Bm(7M)
113,marina,Bm7
114,marina,Bm6
115,marina,F#m
116,marina,F#m(7M)
117,marina,F#m7
118,marina,F#m6
119,marina,A7M
120,marina,A#°
121,marina,Bm7
122,marina,E7(9)
123,marina,A7/4
124,marina,A7(#5)
125,marina,D7M
126,marina,F#7/C#
127,marina,Bm7
128,marina,D7(9)
129,marina,G6
130,marina,F#m7(b5)
131,marina,B7(9)
132,marina,Em(add9)
133,marina,A7/4(9)
134,marina,A/G
135,marina,F#m7(b5)
136,marina,B7(b9)
137,marina,Em7
138,marina,Gm7
139,marina,F#7(13)
140,marina,C7(9)
141,marina,B7/4(9)
142,marina,B7(b9)
143,marina,Em7(9)
144,marina,A7/4(9)
145,marina,A7(b9)
146,marina,D6/9
147,marina,A7(#5)
148,marina,D7M
149,marina,F#7/C#
150,marina,Bm7
151,marina,D7(9)
152,marina,G6
153,marina,F#m7(b5)
154,marina,B7(9)
155,marina,Em(add9)
156,marina,A7/4(9)
157,marina,A/G
158,marina,F#m7(b5)
159,marina,B7(b9)
160,marina,Em7
161,marina,Gm7
162,marina,F#7(13)
163,marina,C7(9)
164,marina,B7/4(9)
165,marina,B7(b9)
166,marina,Em7(9)
167,marina,A7/4(9)
168,marina,A7(b9)
169,marina,D6/9
170,marina,Gm6
171,marina,D7M
172,marina,C7M
173,marina,D7M
198,samba-da-minha-terra,C6/9
199,samba-da-minha-terra,D6/9
200,samba-da-minha-terra,C6/9
201,samba-da-minha-terra,D6/9
202,samba-da-minha-terra,D6/9
203,samba-da-minha-terra,Em7
204,samba-da-minha-terra,A7/9-
205,samba-da-minha-terra,Dmaj7
206,samba-da-minha-terra,Fº
207,samba-da-minha-terra,Em7
208,samba-da-minha-terra,A7/9-
209,samba-da-minha-terra,Dmaj7
210,samba-da-minha-terra,Fº
211,samba-da-minha-terra,Em7
212,samba-da-minha-terra,A7/9-
213,samba-da-minha-terra,Dmaj7
214,samba-da-minha-terra,D6/9
215,samba-da-minha-terra,F#º
216,samba-da-minha-terra,Em9
217,samba-da-minha-terra,Em7
218,samba-da-minha-terra,A7/9-
219,samba-da-minha-terra,Dmaj7
220,samba-da-minha-terra,D6/9
221,samba-da-minha-terra,Dmaj7
222,samba-da-minha-terra,D6/9
223,samba-da-minha-terra,F#º
224,samba-da-minha-terra,E7/9
225,samba-da-minha-terra,Em9
226,samba-da-minha-terra,A6/9-
227,samba-da-minha-terra,Dmaj7
228,samba-da-minha-terra,C6/9
229,samba-da-minha-terra,D6/9
230,samba-da-minha-terra,C6/9
231,samba-da-minha-terra,D6/9
297,maracangalha,F
298,maracangalha,G7
299,maracangalha,C7
300,maracangalha,F
301,maracangalha,G7
302,maracangalha,C7
303,maracangalha,F
304,maracangalha,F7
305,maracangalha,Bb
306,maracangalha,C7
307,maracangalha,F
308,maracangalha,C7
309,maracangalha,F
310,maracangalha,F7
311,maracangalha,Bb
312,maracangalha,C7
313,maracangalha,F
314,maracangalha,G7
315,maracangalha,C7
316,maracangalha,F
396,e-doce-morrer-no-mar,Dm
397,e-doce-morrer-no-mar,Dm/C
398,e-doce-morrer-no-mar,Gm/Bb
399,e-doce-morrer-no-mar,Gm7
400,e-doce-morrer-no-mar,Gm/F
401,e-doce-morrer-no-mar,A7/E
402,e-doce-morrer-no-mar,A7
403,e-doce-morrer-no-mar,A/G
404,e-doce-morrer-no-mar,Dm/F
405,e-doce-morrer-no-mar,Dm
406,e-doce-morrer-no-mar,Dm/C
407,e-doce-morrer-no-mar,Gm/Bb
408,e-doce-morrer-no-mar,Gm7
409,e-doce-morrer-no-mar,Gm/F
410,e-doce-morrer-no-mar,A7/E
