,Musicas,Palavras
0,suite-do-pescador,Vou
1,suite-do-pescador,"trabalhar,"
2,suite-do-pescador,meu
3,suite-do-pescador,bem
4,suite-do-pescador,querer
5,suite-do-pescador,Se
6,suite-do-pescador,Deus
7,suite-do-pescador,quiser
8,suite-do-pescador,quando
9,suite-do-pescador,eu
10,suite-do-pescador,voltar
11,suite-do-pescador,do
12,suite-do-pescador,mar
13,suite-do-pescador,Um
14,suite-do-pescador,peixe
15,suite-do-pescador,bom
16,suite-do-pescador,eu
17,suite-do-pescador,vou
18,suite-do-pescador,trazer
19,suite-do-pescador,E
20,suite-do-pescador,a
21,suite-do-pescador,Deus
22,suite-do-pescador,do
23,suite-do-pescador,céu
24,suite-do-pescador,vamos
25,suite-do-pescador,agradecer
26,suite-do-pescador,Pescador
27,suite-do-pescador,não
28,suite-do-pescador,esqueça
29,suite-do-pescador,de
30,suite-do-pescador,mim
31,suite-do-pescador,Vou
32,suite-do-pescador,rezar
33,suite-do-pescador,pra
34,suite-do-pescador,ter
35,suite-do-pescador,bom
36,suite-do-pescador,"tempo,"
37,suite-do-pescador,meu
38,suite-do-pescador,nêgo
39,suite-do-pescador,Pra
40,suite-do-pescador,não
41,suite-do-pescador,ter
42,suite-do-pescador,tempo
43,suite-do-pescador,ruim
44,suite-do-pescador,Vou
45,suite-do-pescador,fazer
46,suite-do-pescador,sua
47,suite-do-pescador,caminha
48,suite-do-pescador,macia
49,suite-do-pescador,Perfumada
50,suite-do-pescador,com
51,suite-do-pescador,alecrim
52,suite-do-pescador,None
195,marina,"Marina,"
196,marina,você
197,marina,se
198,marina,pintou
199,marina,"Marina,"
200,marina,você
201,marina,faça
202,marina,tudo
203,marina,Mas
204,marina,faça
205,marina,um
206,marina,favor
207,marina,Não
208,marina,pinte
209,marina,esse
210,marina,rosto
211,marina,que
212,marina,eu
213,marina,gosto
214,marina,Que
215,marina,eu
216,marina,gosto
217,marina,e
218,marina,que
219,marina,é
220,marina,só
221,marina,meu
222,marina,"Marina,"
223,marina,você
224,marina,já
225,marina,é
226,marina,bonita
227,marina,Com
228,marina,o
229,marina,que
230,marina,deus
231,marina,lhe
232,marina,deu
233,marina,Me
234,marina,"aborreci,"
235,marina,me
236,marina,zanguei
237,marina,Já
238,marina,não
239,marina,posso
240,marina,falar
241,marina,E
242,marina,quando
243,marina,eu
244,marina,me
245,marina,"zango,"
246,marina,marina
247,marina,Não
248,marina,sei
249,marina,perdoar
250,marina,Eu
251,marina,já
252,marina,desculpei
253,marina,muita
254,marina,coisa
255,marina,Você
256,marina,não
257,marina,arranjava
258,marina,outra
259,marina,igual
260,marina,"Desculpe,"
261,marina,"marina,"
262,marina,morena
263,marina,Mas
264,marina,eu
265,marina,tô
266,marina,de
267,marina,mal
268,marina,"Marina,"
269,marina,você
270,marina,se
271,marina,pintou
272,marina,"Marina,"
273,marina,você
274,marina,faça
275,marina,tudo
276,marina,Mas
277,marina,faça
278,marina,um
279,marina,favor
280,marina,Não
281,marina,pinte
282,marina,esse
283,marina,rosto
284,marina,que
285,marina,eu
286,marina,gosto
287,marina,Que
288,marina,eu
289,marina,gosto
290,marina,e
291,marina,que
292,marina,é
293,marina,só
294,marina,meu
295,marina,"Marina,"
296,marina,você
297,marina,já
298,marina,é
299,marina,bonita
300,marina,Com
301,marina,o
302,marina,que
303,marina,deus
304,marina,lhe
305,marina,deu
306,marina,Me
307,marina,"aborreci,"
308,marina,me
309,marina,zanguei
310,marina,Já
311,marina,não
312,marina,posso
313,marina,falar
314,marina,E
315,marina,quando
316,marina,eu
317,marina,me
318,marina,"zango,"
319,marina,marina
320,marina,Não
321,marina,sei
322,marina,perdoar
323,marina,Eu
324,marina,já
325,marina,desculpei
326,marina,muita
327,marina,coisa
328,marina,Você
329,marina,não
330,marina,arranjava
331,marina,outra
332,marina,igual
333,marina,"Desculpe,"
334,marina,"marina,"
335,marina,morena
336,marina,Mas
337,marina,eu
338,marina,tô
339,marina,de
340,marina,mal
341,marina,De
342,marina,mal
343,marina,com
344,marina,você
345,marina,De
346,marina,mal
347,marina,com
348,marina,você.
349,marina,None
390,samba-da-minha-terra,quando
391,samba-da-minha-terra,se
392,samba-da-minha-terra,canta
393,samba-da-minha-terra,todo
394,samba-da-minha-terra,mundo
395,samba-da-minha-terra,"bole,"
396,samba-da-minha-terra,quando
397,samba-da-minha-terra,se
398,samba-da-minha-terra,canta
399,samba-da-minha-terra,todo
400,samba-da-minha-terra,mundo
401,samba-da-minha-terra,bole
402,samba-da-minha-terra,do
403,samba-da-minha-terra,danado
404,samba-da-minha-terra,do
405,samba-da-minha-terra,samba
406,samba-da-minha-terra,nunca
407,samba-da-minha-terra,me
408,samba-da-minha-terra,separei
409,samba-da-minha-terra,quando
410,samba-da-minha-terra,se
411,samba-da-minha-terra,canta
412,samba-da-minha-terra,todo
413,samba-da-minha-terra,mundo
414,samba-da-minha-terra,"bole,"
415,samba-da-minha-terra,quando
416,samba-da-minha-terra,se
417,samba-da-minha-terra,canta
418,samba-da-minha-terra,todo
419,samba-da-minha-terra,mundo
420,samba-da-minha-terra,bole
421,samba-da-minha-terra,Ou
422,samba-da-minha-terra,é
423,samba-da-minha-terra,ruim
424,samba-da-minha-terra,da
425,samba-da-minha-terra,cabeça
426,samba-da-minha-terra,ou
427,samba-da-minha-terra,doente
428,samba-da-minha-terra,do
429,samba-da-minha-terra,pé
430,samba-da-minha-terra,quando
431,samba-da-minha-terra,se
432,samba-da-minha-terra,canta
433,samba-da-minha-terra,todo
434,samba-da-minha-terra,mundo
435,samba-da-minha-terra,"bole,"
436,samba-da-minha-terra,quando
437,samba-da-minha-terra,se
438,samba-da-minha-terra,canta
439,samba-da-minha-terra,todo
440,samba-da-minha-terra,mundo
441,samba-da-minha-terra,bole
442,samba-da-minha-terra,e
443,samba-da-minha-terra,do
444,samba-da-minha-terra,danado
445,samba-da-minha-terra,do
446,samba-da-minha-terra,samba
447,samba-da-minha-terra,nunca
448,samba-da-minha-terra,me
449,samba-da-minha-terra,separei
450,samba-da-minha-terra,quando
451,samba-da-minha-terra,se
452,samba-da-minha-terra,canta
453,samba-da-minha-terra,todo
454,samba-da-minha-terra,mundo
455,samba-da-minha-terra,"bole,"
456,samba-da-minha-terra,quando
457,samba-da-minha-terra,se
458,samba-da-minha-terra,canta
459,samba-da-minha-terra,todo
460,samba-da-minha-terra,mundo
461,samba-da-minha-terra,bole
462,samba-da-minha-terra,None
585,maracangalha,Eu
586,maracangalha,vou!
587,maracangalha,Eu
588,maracangalha,vou
589,maracangalha,de
590,maracangalha,liforme
591,maracangalha,branco
592,maracangalha,Eu
593,maracangalha,vou!
594,maracangalha,Eu
595,maracangalha,vou
596,maracangalha,de
597,maracangalha,chapeu
598,maracangalha,de
599,maracangalha,palha
600,maracangalha,Eu
601,maracangalha,vou!
602,maracangalha,Eu
603,maracangalha,vou
604,maracangalha,convidar
605,maracangalha,Anália
606,maracangalha,Eu
607,maracangalha,vou!
608,maracangalha,Se
609,maracangalha,Anália
610,maracangalha,não
611,maracangalha,quiser
612,maracangalha,ir
613,maracangalha,Eu
614,maracangalha,vou
615,maracangalha,só!
616,maracangalha,Eu
617,maracangalha,vou
618,maracangalha,só!
619,maracangalha,Eu
620,maracangalha,vou
621,maracangalha,só!
622,maracangalha,Se
623,maracangalha,Anália
624,maracangalha,não
625,maracangalha,quiser
626,maracangalha,ir
627,maracangalha,Eu
628,maracangalha,vou
629,maracangalha,só!
630,maracangalha,Eu
631,maracangalha,vou
632,maracangalha,só!
633,maracangalha,Eu
634,maracangalha,vou
635,maracangalha,só
636,maracangalha,sem
637,maracangalha,Anália
638,maracangalha,Mas
639,maracangalha,eu
640,maracangalha,vou!...(3x)
641,maracangalha,None
780,e-doce-morrer-no-mar,Nas
781,e-doce-morrer-no-mar,ondas
782,e-doce-morrer-no-mar,verdes
783,e-doce-morrer-no-mar,do
784,e-doce-morrer-no-mar,mar
785,e-doce-morrer-no-mar,É
786,e-doce-morrer-no-mar,doce
787,e-doce-morrer-no-mar,morrer
788,e-doce-morrer-no-mar,no
789,e-doce-morrer-no-mar,mar
790,e-doce-morrer-no-mar,Nas
791,e-doce-morrer-no-mar,ondas
792,e-doce-morrer-no-mar,verdes
793,e-doce-morrer-no-mar,do
794,e-doce-morrer-no-mar,mar
795,e-doce-morrer-no-mar,Madrugada
796,e-doce-morrer-no-mar,não
797,e-doce-morrer-no-mar,voltou
798,e-doce-morrer-no-mar,O
799,e-doce-morrer-no-mar,marinheiro
800,e-doce-morrer-no-mar,bonito
801,e-doce-morrer-no-mar,Sereia
802,e-doce-morrer-no-mar,do
803,e-doce-morrer-no-mar,mar
804,e-doce-morrer-no-mar,levou
805,e-doce-morrer-no-mar,É
806,e-doce-morrer-no-mar,doce
807,e-doce-morrer-no-mar,morrer
808,e-doce-morrer-no-mar,Foi
809,e-doce-morrer-no-mar,de
810,e-doce-morrer-no-mar,tristeza
811,e-doce-morrer-no-mar,prá
812,e-doce-morrer-no-mar,mim
813,e-doce-morrer-no-mar,Saveiro
814,e-doce-morrer-no-mar,voltou
815,e-doce-morrer-no-mar,sozinho
816,e-doce-morrer-no-mar,Triste
817,e-doce-morrer-no-mar,noite
818,e-doce-morrer-no-mar,foi
819,e-doce-morrer-no-mar,prá
820,e-doce-morrer-no-mar,mim
821,e-doce-morrer-no-mar,É
822,e-doce-morrer-no-mar,doce
823,e-doce-morrer-no-mar,morrer
824,e-doce-morrer-no-mar,Ele
825,e-doce-morrer-no-mar,se
826,e-doce-morrer-no-mar,foi
827,e-doce-morrer-no-mar,afogar
828,e-doce-morrer-no-mar,Fez
829,e-doce-morrer-no-mar,sua
830,e-doce-morrer-no-mar,cama
831,e-doce-morrer-no-mar,de
832,e-doce-morrer-no-mar,noivo
833,e-doce-morrer-no-mar,No
834,e-doce-morrer-no-mar,colo
835,e-doce-morrer-no-mar,de
836,e-doce-morrer-no-mar,Iemanjá
837,e-doce-morrer-no-mar,É
838,e-doce-morrer-no-mar,doce
839,e-doce-morrer-no-mar,morrer
840,e-doce-morrer-no-mar,None
975,saudade-da-bahia,"Ai,"
976,saudade-da-bahia,se
977,saudade-da-bahia,eu
978,saudade-da-bahia,escutasse
979,saudade-da-bahia,o
980,saudade-da-bahia,que
981,saudade-da-bahia,mamãe
982,saudade-da-bahia,dizia
983,saudade-da-bahia,"""Bem,"
984,saudade-da-bahia,não
985,saudade-da-bahia,vá
986,saudade-da-bahia,deixar
987,saudade-da-bahia,a
988,saudade-da-bahia,sua
989,saudade-da-bahia,mãe
990,saudade-da-bahia,aflita
991,saudade-da-bahia,A
992,saudade-da-bahia,gente
993,saudade-da-bahia,faz
994,saudade-da-bahia,o
995,saudade-da-bahia,que
996,saudade-da-bahia,o
997,saudade-da-bahia,coração
998,saudade-da-bahia,dita
999,saudade-da-bahia,Mas
1000,saudade-da-bahia,esse
1001,saudade-da-bahia,mundo
1002,saudade-da-bahia,é
1003,saudade-da-bahia,feito
1004,saudade-da-bahia,de
1005,saudade-da-bahia,maldade
1006,saudade-da-bahia,e
1007,saudade-da-bahia,"ilusão"""
1008,saudade-da-bahia,"Ai,"
1009,saudade-da-bahia,se
1010,saudade-da-bahia,eu
1011,saudade-da-bahia,escutasse
1012,saudade-da-bahia,hoje
1013,saudade-da-bahia,não
1014,saudade-da-bahia,sofria
1015,saudade-da-bahia,"Ai,"
1016,saudade-da-bahia,esta
1017,saudade-da-bahia,saudade
1018,saudade-da-bahia,dentro
1019,saudade-da-bahia,do
1020,saudade-da-bahia,meu
1021,saudade-da-bahia,peito
1022,saudade-da-bahia,"Ai,"
1023,saudade-da-bahia,se
1024,saudade-da-bahia,ter
1025,saudade-da-bahia,saudade
1026,saudade-da-bahia,é
1027,saudade-da-bahia,ter
1028,saudade-da-bahia,algum
1029,saudade-da-bahia,defeito
1030,saudade-da-bahia,Eu
1031,saudade-da-bahia,pelo
1032,saudade-da-bahia,"menos,"
1033,saudade-da-bahia,mereço
1034,saudade-da-bahia,o
1035,saudade-da-bahia,direito
1036,saudade-da-bahia,De
1037,saudade-da-bahia,ter
1038,saudade-da-bahia,alguém
1039,saudade-da-bahia,com
1040,saudade-da-bahia,quem
1041,saudade-da-bahia,eu
1042,saudade-da-bahia,possa
1043,saudade-da-bahia,me
1044,saudade-da-bahia,confessar
1045,saudade-da-bahia,Ponha-se
1046,saudade-da-bahia,no
