,Musicas,Acordes
0,pavao-misterioso,A
1,pavao-misterioso,A
2,pavao-misterioso,G
3,pavao-misterioso,D
4,pavao-misterioso,A
5,pavao-misterioso,E
6,pavao-misterioso,A
7,pavao-misterioso,A7
8,pavao-misterioso,G
9,pavao-misterioso,D
10,pavao-misterioso,A
11,pavao-misterioso,E
12,pavao-misterioso,A
13,pavao-misterioso,F#m
14,pavao-misterioso,B
15,pavao-misterioso,F#m
16,pavao-misterioso,Dm
17,pavao-misterioso,Am
18,pavao-misterioso,E7
19,pavao-misterioso,Am
20,pavao-misterioso,Dm
21,pavao-misterioso,Am
22,pavao-misterioso,E
23,pavao-misterioso,A
24,pavao-misterioso,A4
25,pavao-misterioso,A5-
26,pavao-misterioso,A4
27,pavao-misterioso,A
28,pavao-misterioso,G
29,pavao-misterioso,D
30,pavao-misterioso,A
31,pavao-misterioso,E
32,pavao-misterioso,A
33,pavao-misterioso,G
34,pavao-misterioso,D
35,pavao-misterioso,A
36,pavao-misterioso,E
37,pavao-misterioso,A
38,pavao-misterioso,F#m
39,pavao-misterioso,Am
40,pavao-misterioso,Am/G
41,pavao-misterioso,G
42,pavao-misterioso,C
43,pavao-misterioso,E7
44,pavao-misterioso,Am
45,pavao-misterioso,Dm
46,pavao-misterioso,Am
47,pavao-misterioso,Am
48,pavao-misterioso,E
49,pavao-misterioso,A
50,pavao-misterioso,A4
51,pavao-misterioso,A5-
52,pavao-misterioso,A4
53,pavao-misterioso,A
54,pavao-misterioso,A5-
55,pavao-misterioso,A
56,pavao-misterioso,G
57,pavao-misterioso,D
58,pavao-misterioso,A
59,pavao-misterioso,E
60,pavao-misterioso,A
61,pavao-misterioso,A7
62,pavao-misterioso,D
63,pavao-misterioso,Dm
64,pavao-misterioso,A
65,pavao-misterioso,D
66,pavao-misterioso,E
67,pavao-misterioso,A
117,enquanto-engomo-calca,Am
118,enquanto-engomo-calca,Em
119,enquanto-engomo-calca,Em
120,enquanto-engomo-calca,Am
121,enquanto-engomo-calca,Em
122,enquanto-engomo-calca,Am
123,enquanto-engomo-calca,Em
124,enquanto-engomo-calca,E7
125,enquanto-engomo-calca,Dm
126,enquanto-engomo-calca,Am
127,enquanto-engomo-calca,B7
128,enquanto-engomo-calca,E7
129,enquanto-engomo-calca,A7
