,Musicas,Palavras
0,pavao-misterioso,Tudo
1,pavao-misterioso,é
2,pavao-misterioso,mistério
3,pavao-misterioso,nesse
4,pavao-misterioso,teu
5,pavao-misterioso,voar
6,pavao-misterioso,Mas
7,pavao-misterioso,se
8,pavao-misterioso,eu
9,pavao-misterioso,corresse
10,pavao-misterioso,assim
11,pavao-misterioso,Tantos
12,pavao-misterioso,céus
13,pavao-misterioso,assim
14,pavao-misterioso,Muita
15,pavao-misterioso,história
16,pavao-misterioso,eu
17,pavao-misterioso,tinha
18,pavao-misterioso,pra
19,pavao-misterioso,contar
20,pavao-misterioso,Me
21,pavao-misterioso,guarda
22,pavao-misterioso,moleque
23,pavao-misterioso,de
24,pavao-misterioso,eterno
25,pavao-misterioso,brincar
26,pavao-misterioso,Me
27,pavao-misterioso,poupa
28,pavao-misterioso,do
29,pavao-misterioso,vexame
30,pavao-misterioso,de
31,pavao-misterioso,morrer
32,pavao-misterioso,tão
33,pavao-misterioso,moço
34,pavao-misterioso,Muita
35,pavao-misterioso,coisa
36,pavao-misterioso,ainda
37,pavao-misterioso,quero
38,pavao-misterioso,olhar
39,pavao-misterioso,Tudo
40,pavao-misterioso,é
41,pavao-misterioso,mistério
42,pavao-misterioso,nesse
43,pavao-misterioso,teu
44,pavao-misterioso,voar
45,pavao-misterioso,"Ai,"
46,pavao-misterioso,se
47,pavao-misterioso,eu
48,pavao-misterioso,corresse
49,pavao-misterioso,assim
50,pavao-misterioso,Tantos
51,pavao-misterioso,céus
52,pavao-misterioso,assim
53,pavao-misterioso,Muita
54,pavao-misterioso,história
55,pavao-misterioso,eu
56,pavao-misterioso,tinha
57,pavao-misterioso,pra
58,pavao-misterioso,contar
59,pavao-misterioso,No
60,pavao-misterioso,escuro
61,pavao-misterioso,dessa
62,pavao-misterioso,noite
63,pavao-misterioso,me
64,pavao-misterioso,ajuda
65,pavao-misterioso,a
66,pavao-misterioso,cantar
67,pavao-misterioso,Derrama
68,pavao-misterioso,essas
69,pavao-misterioso,"faíscas,"
70,pavao-misterioso,despeja
71,pavao-misterioso,esse
72,pavao-misterioso,trovão
73,pavao-misterioso,Desmancha
74,pavao-misterioso,isso
75,pavao-misterioso,tudo
76,pavao-misterioso,que
77,pavao-misterioso,não
78,pavao-misterioso,é
79,pavao-misterioso,certo
80,pavao-misterioso,não
81,pavao-misterioso,Um
82,pavao-misterioso,conde
83,pavao-misterioso,raivoso
84,pavao-misterioso,não
85,pavao-misterioso,tarda
86,pavao-misterioso,a
87,pavao-misterioso,chegar
88,pavao-misterioso,Não
89,pavao-misterioso,temas
90,pavao-misterioso,minha
91,pavao-misterioso,donzela
92,pavao-misterioso,Nossa
93,pavao-misterioso,sorte
94,pavao-misterioso,nessa
95,pavao-misterioso,guerra
96,pavao-misterioso,Eles
97,pavao-misterioso,são
98,pavao-misterioso,"muitos,"
99,pavao-misterioso,mas
100,pavao-misterioso,não
101,pavao-misterioso,podem
102,pavao-misterioso,voar
103,pavao-misterioso,None
422,terral,Onde
423,terral,eu
424,terral,queria
425,terral,ficar
426,terral,Deitando
427,terral,os
428,terral,olhos
429,terral,cansados
430,terral,Por
431,terral,onde
432,terral,a
433,terral,vida
434,terral,alcançar
435,terral,Sem
436,terral,chaminés
437,terral,ou
438,terral,fumaça
439,terral,No
440,terral,peito
441,terral,enganos
442,terral,mil
443,terral,Na
444,terral,Terra
445,terral,é
446,terral,pleno
447,terral,abril
448,terral,No
449,terral,peito
450,terral,enganos
451,terral,mil
452,terral,Na
453,terral,Terra
454,terral,é
455,terral,pleno
456,terral,abril
457,terral,Eu
458,terral,tenho
459,terral,o
460,terral,sol
461,terral,e
462,terral,areia
463,terral,Sou
464,terral,da
465,terral,"América,"
466,terral,sul
467,terral,da
468,terral,América
469,terral,South
470,terral,America
471,terral,Eu
472,terral,sou
473,terral,a
474,terral,nata
475,terral,do
476,terral,"lixo,"
477,terral,eu
478,terral,sou
479,terral,do
480,terral,luxo
481,terral,da
482,terral,aldeia
483,terral,Eu
484,terral,sou
485,terral,do
486,terral,Ceará
487,terral,Estou
488,terral,batendo
489,terral,na
490,terral,porta
491,terral,pra
492,terral,lhe
493,terral,aperriar
494,terral,Pra
495,terral,lhe
496,terral,"aperriar,"
497,terral,pra
498,terral,lhe
499,terral,aperriar
500,terral,Eu
501,terral,sou
502,terral,a
503,terral,nata
504,terral,do
505,terral,"lixo,"
506,terral,eu
507,terral,sou
508,terral,do
509,terral,luxo
510,terral,da
511,terral,aldeia
512,terral,Eu
513,terral,sou
514,terral,do
515,terral,Ceará
516,terral,Os
517,terral,olhos
518,terral,do
519,terral,mar
520,terral,São
521,terral,os
522,terral,olhos
523,terral,do
524,terral,"mar,"
525,terral,são
526,terral,os
527,terral,olhos
528,terral,do
529,terral,mar
530,terral,O
531,terral,velho
532,terral,que
533,terral,"apagado,"
534,terral,o
535,terral,novo
536,terral,que
537,terral,espantado
538,terral,O
539,terral,vento
540,terral,a
541,terral,vida
542,terral,espalhou
543,terral,Luzindo
544,terral,na
545,terral,"madrugada,"
546,terral,"braços,"
547,terral,corpos
548,terral,suados
549,terral,Na
550,terral,praia
551,terral,fazendo
552,terral,amor
553,terral,None
844,a-manga-rosa,Rosa
845,a-manga-rosa,Maira
846,a-manga-rosa,Joana
847,a-manga-rosa,Peitos
848,a-manga-rosa,"gostosos,"
849,a-manga-rosa,rosados
850,a-manga-rosa,doces
851,a-manga-rosa,mama
852,a-manga-rosa,Mama
853,a-manga-rosa,mamãe
854,a-manga-rosa,Teu
855,a-manga-rosa,sumo
856,a-manga-rosa,escorre
857,a-manga-rosa,da
858,a-manga-rosa,minha
859,a-manga-rosa,boca
860,a-manga-rosa,Entre
861,a-manga-rosa,aberta
862,a-manga-rosa,a
863,a-manga-rosa,porta
864,a-manga-rosa,por
865,a-manga-rosa,onde
866,a-manga-rosa,entra
867,a-manga-rosa,e
868,a-manga-rosa,por
869,a-manga-rosa,onde
870,a-manga-rosa,sai
871,a-manga-rosa,Por
872,a-manga-rosa,onde
873,a-manga-rosa,entra
874,a-manga-rosa,e
875,a-manga-rosa,sai
876,a-manga-rosa,o
877,a-manga-rosa,"mundo,"
878,a-manga-rosa,mundo
879,a-manga-rosa,Balança
880,a-manga-rosa,a
881,a-manga-rosa,fronde
882,a-manga-rosa,farta
883,a-manga-rosa,mangueira
884,a-manga-rosa,E
885,a-manga-rosa,mata
886,a-manga-rosa,a
887,a-manga-rosa,fome
888,a-manga-rosa,morto
889,a-manga-rosa,a
890,a-manga-rosa,fome
891,a-manga-rosa,Ou
892,a-manga-rosa,Mata
893,a-manga-rosa,imensa
894,a-manga-rosa,mata
895,a-manga-rosa,imensa
896,a-manga-rosa,massa
897,a-manga-rosa,Florados
898,a-manga-rosa,cachos
899,a-manga-rosa,De
900,a-manga-rosa,verde
901,a-manga-rosa,amarelo
902,a-manga-rosa,maduro
903,a-manga-rosa,fruto
904,a-manga-rosa,Que
905,a-manga-rosa,pro
906,a-manga-rosa,nosso
907,a-manga-rosa,gozo
908,a-manga-rosa,"vem,"
909,a-manga-rosa,amém
910,a-manga-rosa,"Mamem,"
911,a-manga-rosa,amém
912,a-manga-rosa,None
1055,cavalo-ferro,Vivi
1056,cavalo-ferro,campos
1057,cavalo-ferro,"verdes,"
1058,cavalo-ferro,me
1059,cavalo-ferro,enterro
1060,cavalo-ferro,terras
1061,cavalo-ferro,trópico-americanas
1062,cavalo-ferro,"Trópico-americanas,"
1063,cavalo-ferro,trópico-americanas
1064,cavalo-ferro,E
1065,cavalo-ferro,no
1066,cavalo-ferro,meio
1067,cavalo-ferro,de
1068,cavalo-ferro,"tudo,"
1069,cavalo-ferro,num
1070,cavalo-ferro,lugar
1071,cavalo-ferro,ainda
1072,cavalo-ferro,mudo
1073,cavalo-ferro,Concreto
1074,cavalo-ferro,"ferro,"
1075,cavalo-ferro,surdo
1076,cavalo-ferro,e
1077,cavalo-ferro,cego
1078,cavalo-ferro,Por
1079,cavalo-ferro,dentro
1080,cavalo-ferro,desse
1081,cavalo-ferro,"velho,"
1082,cavalo-ferro,desse
1083,cavalo-ferro,velho
1084,cavalo-ferro,Desse
1085,cavalo-ferro,velho
1086,cavalo-ferro,mundo
1087,cavalo-ferro,No
1088,cavalo-ferro,planalto
1089,cavalo-ferro,central
1090,cavalo-ferro,Onde
1091,cavalo-ferro,se
1092,cavalo-ferro,"divide,"
1093,cavalo-ferro,se
1094,cavalo-ferro,"divide,"
1095,cavalo-ferro,se
1096,cavalo-ferro,divide
1097,cavalo-ferro,O
1098,cavalo-ferro,bem
1099,cavalo-ferro,e
1100,cavalo-ferro,o
1101,cavalo-ferro,mal
1102,cavalo-ferro,Vou
1103,cavalo-ferro,achar
1104,cavalo-ferro,o
1105,cavalo-ferro,meu
1106,cavalo-ferro,caminho
1107,cavalo-ferro,de
1108,cavalo-ferro,volta
1109,cavalo-ferro,Pode
1110,cavalo-ferro,ser
1111,cavalo-ferro,"certo,"
1112,cavalo-ferro,pode
1113,cavalo-ferro,ser
1114,cavalo-ferro,direto
1115,cavalo-ferro,Caminho
1116,cavalo-ferro,certo
1117,cavalo-ferro,sem
1118,cavalo-ferro,"perigo,"
1119,cavalo-ferro,sem
1120,cavalo-ferro,perigo
1121,cavalo-ferro,Sem
1122,cavalo-ferro,"perigo,"
1123,cavalo-ferro,sem
1124,cavalo-ferro,perigo
1125,cavalo-ferro,fatal
1126,cavalo-ferro,None
1266,a-palo-seco,No
1267,a-palo-seco,tempo
1268,a-palo-seco,em
1269,a-palo-seco,que
1270,a-palo-seco,você
1271,a-palo-seco,sonhava.
1272,a-palo-seco,De
1273,a-palo-seco,olhos
1274,a-palo-seco,"abertos,"
1275,a-palo-seco,lhe
1276,a-palo-seco,direi:
1277,a-palo-seco,-
1278,a-palo-seco,"Amigo,"
1279,a-palo-seco,eu
1280,a-palo-seco,me
1281,a-palo-seco,desesperava.
1282,a-palo-seco,Sei
1283,a-palo-seco,"que,"
1284,a-palo-seco,assim
1285,a-palo-seco,"falando,"
1286,a-palo-seco,pensas
1287,a-palo-seco,Que
1288,a-palo-seco,esse
1289,a-palo-seco,desespero
1290,a-palo-seco,é
1291,a-palo-seco,moda
1292,a-palo-seco,em
1293,a-palo-seco,76.
1294,a-palo-seco,Mas
1295,a-palo-seco,ando
1296,a-palo-seco,mesmo
1297,a-palo-seco,descontente.
1298,a-palo-seco,Desesperadamente
1299,a-palo-seco,eu
1300,a-palo-seco,grito
1301,a-palo-seco,em
1302,a-palo-seco,português:
1303,a-palo-seco,Mas
1304,a-palo-seco,ando
1305,a-palo-seco,mesmo
1306,a-palo-seco,descontente.
1307,a-palo-seco,Desesperadamente
1308,a-palo-seco,eu
1309,a-palo-seco,grito
1310,a-palo-seco,em
1311,a-palo-seco,português:
1312,a-palo-seco,De
1313,a-palo-seco,sangue
1314,a-palo-seco,e
1315,a-palo-seco,de
1316,a-palo-seco,América
1317,a-palo-seco,do
1318,a-palo-seco,Sul.
1319,a-palo-seco,Por
1320,a-palo-seco,força
1321,a-palo-seco,deste
1322,a-palo-seco,"destino,"
1323,a-palo-seco,Um
1324,a-palo-seco,tango
1325,a-palo-seco,argentino
1326,a-palo-seco,Me
1327,a-palo-seco,vai
1328,a-palo-seco,bem
1329,a-palo-seco,melhor
1330,a-palo-seco,que
1331,a-palo-seco,um
1332,a-palo-seco,blues.
1333,a-palo-seco,Sei
1334,a-palo-seco,"que,"
1335,a-palo-seco,assim
1336,a-palo-seco,"falando,"
1337,a-palo-seco,pensas
1338,a-palo-seco,Que
1339,a-palo-seco,esse
1340,a-palo-seco,desespero
1341,a-palo-seco,é
1342,a-palo-seco,moda
1343,a-palo-seco,em
1344,a-palo-seco,76.
1345,a-palo-seco,E
1346,a-palo-seco,eu
1347,a-palo-seco,quero
1348,a-palo-seco,é
1349,a-palo-seco,que
1350,a-palo-seco,este
1351,a-palo-seco,canto
1352,a-palo-seco,"torto,"
1353,a-palo-seco,Feito
1354,a-palo-seco,"faca,"
1355,a-palo-seco,corte
1356,a-palo-seco,a
1357,a-palo-seco,carne
1358,a-palo-seco,de
1359,a-palo-seco,vocês.
1360,a-palo-seco,None
1477,artigo-26,De
1478,artigo-26,casa
1479,artigo-26,em
1480,artigo-26,casa
1481,artigo-26,entregando
1482,artigo-26,o
1483,artigo-26,pão
1484,artigo-26,Menos
1485,artigo-26,"naquela,"
1486,artigo-26,"aquela,"
1487,artigo-26,"aquela,"
1488,artigo-26,aquela
1489,artigo-26,não
1490,artigo-26,Pois
1491,artigo-26,quem
1492,artigo-26,se
1493,artigo-26,arrisca
1494,artigo-26,a
1495,artigo-26,cair
1496,artigo-26,no
1497,artigo-26,alçapão?
1498,artigo-26,Pois
1499,artigo-26,quem
1500,artigo-26,se
1501,artigo-26,arrisca
1502,artigo-26,a
1503,artigo-26,cair
1504,artigo-26,no
1505,artigo-26,alçapão?
1506,artigo-26,Nê
1507,artigo-26,pa
1508,artigo-26,dê
1509,artigo-26,"qua,"
1510,artigo-26,nê
1511,artigo-26,pa
1512,artigo-26,dê
1513,artigo-26,"qua,"
1514,artigo-26,padê
1515,artigo-26,burrê
1516,artigo-26,"Igualitê,"
1517,artigo-26,fraternitê
1518,artigo-26,e
