,Musicas,Acordes
0,como-nossos-pais,Bm7
1,como-nossos-pais,Bm7
2,como-nossos-pais,E
3,como-nossos-pais,A
4,como-nossos-pais,A/B
5,como-nossos-pais,A/C#
6,como-nossos-pais,A/B
7,como-nossos-pais,D
8,como-nossos-pais,D4
9,como-nossos-pais,Bm7
10,como-nossos-pais,E
11,como-nossos-pais,A
12,como-nossos-pais,A/C#
13,como-nossos-pais,D
14,como-nossos-pais,D/F#
15,como-nossos-pais,D/A
16,como-nossos-pais,D
17,como-nossos-pais,G
18,como-nossos-pais,A
19,como-nossos-pais,A/B
20,como-nossos-pais,A/C#
21,como-nossos-pais,A/B
22,como-nossos-pais,D
23,como-nossos-pais,D4
24,como-nossos-pais,D
25,como-nossos-pais,D/F#
26,como-nossos-pais,D
27,como-nossos-pais,D7
28,como-nossos-pais,G
29,como-nossos-pais,A
30,como-nossos-pais,A/C#
31,como-nossos-pais,D
32,como-nossos-pais,D7
33,como-nossos-pais,D/F#
34,como-nossos-pais,G
35,como-nossos-pais,C7/9
36,como-nossos-pais,B7
37,como-nossos-pais,E7
38,como-nossos-pais,A7
39,como-nossos-pais,D
40,como-nossos-pais,D/F#
41,como-nossos-pais,G
42,como-nossos-pais,C7/9
43,como-nossos-pais,D
44,como-nossos-pais,B7
45,como-nossos-pais,E7
46,como-nossos-pais,A7
47,como-nossos-pais,D
48,como-nossos-pais,D/F#
49,como-nossos-pais,G
50,como-nossos-pais,E/G#
51,como-nossos-pais,A7(11)
52,como-nossos-pais,A7
53,como-nossos-pais,D
54,como-nossos-pais,D/F#
55,como-nossos-pais,G
56,como-nossos-pais,D
57,como-nossos-pais,D/F#
58,como-nossos-pais,G
59,como-nossos-pais,D
60,como-nossos-pais,D/F#
61,como-nossos-pais,G
62,como-nossos-pais,E/G#
63,como-nossos-pais,A7(11)
64,como-nossos-pais,A7
65,como-nossos-pais,D
66,como-nossos-pais,G
67,como-nossos-pais,D
68,como-nossos-pais,G
69,como-nossos-pais,D
70,como-nossos-pais,D/F#
71,como-nossos-pais,G
