,Musicas,Palavras
0,como-nossos-pais,Meu
1,como-nossos-pais,grande
2,como-nossos-pais,amor
3,como-nossos-pais,De
4,como-nossos-pais,coisas
5,como-nossos-pais,que
6,como-nossos-pais,aprendi
7,como-nossos-pais,Nos
8,como-nossos-pais,discos
9,como-nossos-pais,Quero
10,como-nossos-pais,lhe
11,como-nossos-pais,contar
12,como-nossos-pais,como
13,como-nossos-pais,eu
14,como-nossos-pais,vivi
15,como-nossos-pais,E
16,como-nossos-pais,tudo
17,como-nossos-pais,o
18,como-nossos-pais,que
19,como-nossos-pais,aconteceu
20,como-nossos-pais,comigo
21,como-nossos-pais,E
22,como-nossos-pais,eu
23,como-nossos-pais,sei
24,como-nossos-pais,que
25,como-nossos-pais,o
26,como-nossos-pais,amor
27,como-nossos-pais,É
28,como-nossos-pais,uma
29,como-nossos-pais,coisa
30,como-nossos-pais,boa
31,como-nossos-pais,Mas
32,como-nossos-pais,também
33,como-nossos-pais,sei
34,como-nossos-pais,Que
35,como-nossos-pais,qualquer
36,como-nossos-pais,canto
37,como-nossos-pais,É
38,como-nossos-pais,menor
39,como-nossos-pais,do
40,como-nossos-pais,que
41,como-nossos-pais,a
42,como-nossos-pais,vida
43,como-nossos-pais,De
44,como-nossos-pais,qualquer
45,como-nossos-pais,pessoa
46,como-nossos-pais,Há
47,como-nossos-pais,perigo
48,como-nossos-pais,na
49,como-nossos-pais,esquina
50,como-nossos-pais,Eles
51,como-nossos-pais,venceram
52,como-nossos-pais,e
53,como-nossos-pais,o
54,como-nossos-pais,sinal
55,como-nossos-pais,Está
56,como-nossos-pais,fechado
57,como-nossos-pais,pra
58,como-nossos-pais,nós
59,como-nossos-pais,Que
60,como-nossos-pais,somos
61,como-nossos-pais,jovens
62,como-nossos-pais,E
63,como-nossos-pais,beijar
64,como-nossos-pais,sua
65,como-nossos-pais,menina
66,como-nossos-pais,na
67,como-nossos-pais,rua
68,como-nossos-pais,É
69,como-nossos-pais,que
70,como-nossos-pais,se
71,como-nossos-pais,fez
72,como-nossos-pais,o
73,como-nossos-pais,seu
74,como-nossos-pais,braço
75,como-nossos-pais,O
76,como-nossos-pais,seu
77,como-nossos-pais,lábio
78,como-nossos-pais,e
79,como-nossos-pais,a
80,como-nossos-pais,sua
81,como-nossos-pais,voz
82,como-nossos-pais,Pela
83,como-nossos-pais,minha
84,como-nossos-pais,paixão
85,como-nossos-pais,Digo
86,como-nossos-pais,que
87,como-nossos-pais,estou
88,como-nossos-pais,encantada
89,como-nossos-pais,Como
90,como-nossos-pais,uma
91,como-nossos-pais,nova
92,como-nossos-pais,invenção
93,como-nossos-pais,Eu
94,como-nossos-pais,vou
95,como-nossos-pais,ficar
96,como-nossos-pais,nesta
97,como-nossos-pais,cidade
98,como-nossos-pais,Não
99,como-nossos-pais,vou
100,como-nossos-pais,voltar
101,como-nossos-pais,pro
102,como-nossos-pais,sertão
103,como-nossos-pais,Pois
104,como-nossos-pais,vejo
105,como-nossos-pais,vir
106,como-nossos-pais,vindo
107,como-nossos-pais,no
108,como-nossos-pais,vento
109,como-nossos-pais,Cheiro
110,como-nossos-pais,de
111,como-nossos-pais,nova
112,como-nossos-pais,estação
113,como-nossos-pais,Eu
114,como-nossos-pais,sinto
115,como-nossos-pais,tudo
116,como-nossos-pais,na
117,como-nossos-pais,ferida
118,como-nossos-pais,viva
119,como-nossos-pais,Do
120,como-nossos-pais,meu
121,como-nossos-pais,coração
122,como-nossos-pais,Eu
123,como-nossos-pais,vi
124,como-nossos-pais,você
125,como-nossos-pais,na
126,como-nossos-pais,rua
127,como-nossos-pais,Cabelo
128,como-nossos-pais,ao
129,como-nossos-pais,vento
130,como-nossos-pais,Gente
131,como-nossos-pais,jovem
132,como-nossos-pais,reunida
133,como-nossos-pais,Na
134,como-nossos-pais,parede
135,como-nossos-pais,da
136,como-nossos-pais,memória
137,como-nossos-pais,Essa
138,como-nossos-pais,lembrança
139,como-nossos-pais,É
140,como-nossos-pais,o
141,como-nossos-pais,quadro
142,como-nossos-pais,que
143,como-nossos-pais,dói
144,como-nossos-pais,mais
145,como-nossos-pais,Que
146,como-nossos-pais,apesar
147,como-nossos-pais,de
148,como-nossos-pais,termos
149,como-nossos-pais,Feito
150,como-nossos-pais,tudo
151,como-nossos-pais,o
152,como-nossos-pais,que
153,como-nossos-pais,fizemos
154,como-nossos-pais,Ainda
155,como-nossos-pais,somos
156,como-nossos-pais,os
157,como-nossos-pais,mesmos
158,como-nossos-pais,E
159,como-nossos-pais,vivemos
160,como-nossos-pais,Ainda
161,como-nossos-pais,somos
162,como-nossos-pais,os
163,como-nossos-pais,mesmos
164,como-nossos-pais,E
165,como-nossos-pais,vivemos
166,como-nossos-pais,Como
167,como-nossos-pais,os
168,como-nossos-pais,nossos
169,como-nossos-pais,pais
170,como-nossos-pais,Ainda
171,como-nossos-pais,são
172,como-nossos-pais,os
173,como-nossos-pais,mesmos
174,como-nossos-pais,E
175,como-nossos-pais,as
176,como-nossos-pais,aparências
177,como-nossos-pais,Não
178,como-nossos-pais,enganam
179,como-nossos-pais,não
180,como-nossos-pais,Você
181,como-nossos-pais,diz
182,como-nossos-pais,que
183,como-nossos-pais,depois
184,como-nossos-pais,deles
185,como-nossos-pais,Não
186,como-nossos-pais,apareceu
187,como-nossos-pais,mais
188,como-nossos-pais,ninguém
189,como-nossos-pais,Que
190,como-nossos-pais,eu
191,como-nossos-pais,tô
192,como-nossos-pais,por
193,como-nossos-pais,fora
194,como-nossos-pais,Ou
195,como-nossos-pais,então
196,como-nossos-pais,Que
197,como-nossos-pais,eu
198,como-nossos-pais,tô
199,como-nossos-pais,inventando
200,como-nossos-pais,Que
201,como-nossos-pais,ama
202,como-nossos-pais,o
203,como-nossos-pais,passado
204,como-nossos-pais,E
205,como-nossos-pais,que
206,como-nossos-pais,não
207,como-nossos-pais,vê
208,como-nossos-pais,É
209,como-nossos-pais,você
210,como-nossos-pais,Que
211,como-nossos-pais,ama
212,como-nossos-pais,o
213,como-nossos-pais,passado
214,como-nossos-pais,E
215,como-nossos-pais,que
216,como-nossos-pais,não
217,como-nossos-pais,vê
218,como-nossos-pais,Que
219,como-nossos-pais,o
220,como-nossos-pais,novo
221,como-nossos-pais,sempre
222,como-nossos-pais,vem
223,como-nossos-pais,Que
224,como-nossos-pais,quem
225,como-nossos-pais,me
226,como-nossos-pais,deu
227,como-nossos-pais,a
228,como-nossos-pais,ideia
229,como-nossos-pais,De
230,como-nossos-pais,uma
231,como-nossos-pais,nova
232,como-nossos-pais,consciência
233,como-nossos-pais,E
234,como-nossos-pais,juventude
235,como-nossos-pais,Está
236,como-nossos-pais,em
237,como-nossos-pais,casa
238,como-nossos-pais,Guardado
239,como-nossos-pais,por
240,como-nossos-pais,Deus
241,como-nossos-pais,Contando
242,como-nossos-pais,o
243,como-nossos-pais,vil
244,como-nossos-pais,metal
245,como-nossos-pais,Que
246,como-nossos-pais,apesar
247,como-nossos-pais,de
248,como-nossos-pais,termos
249,como-nossos-pais,Feito
250,como-nossos-pais,"tudo,"
251,como-nossos-pais,tudo
252,como-nossos-pais,Tudo
253,como-nossos-pais,o
254,como-nossos-pais,que
255,como-nossos-pais,fizemos
256,como-nossos-pais,Nós
257,como-nossos-pais,ainda
258,como-nossos-pais,somos
259,como-nossos-pais,Os
260,como-nossos-pais,mesmos
261,como-nossos-pais,e
262,como-nossos-pais,vivemos
263,como-nossos-pais,Ainda
264,como-nossos-pais,somos
265,como-nossos-pais,Os
266,como-nossos-pais,mesmos
267,como-nossos-pais,e
268,como-nossos-pais,vivemos
269,como-nossos-pais,Ainda
270,como-nossos-pais,somos
271,como-nossos-pais,Os
272,como-nossos-pais,mesmos
273,como-nossos-pais,e
274,como-nossos-pais,vivemos
275,como-nossos-pais,Como
276,como-nossos-pais,os
277,como-nossos-pais,nossos
278,como-nossos-pais,pais
279,como-nossos-pais,None
387,o-bebado-a-equilibrista,E
388,o-bebado-a-equilibrista,um
389,o-bebado-a-equilibrista,bêbado
390,o-bebado-a-equilibrista,trajando
391,o-bebado-a-equilibrista,luto
392,o-bebado-a-equilibrista,Me
393,o-bebado-a-equilibrista,lembrou
394,o-bebado-a-equilibrista,Carlitos
395,o-bebado-a-equilibrista,A
396,o-bebado-a-equilibrista,lua
397,o-bebado-a-equilibrista,tal
398,o-bebado-a-equilibrista,qual
399,o-bebado-a-equilibrista,a
400,o-bebado-a-equilibrista,dona
401,o-bebado-a-equilibrista,do
402,o-bebado-a-equilibrista,bordel
403,o-bebado-a-equilibrista,Pedia
404,o-bebado-a-equilibrista,a
405,o-bebado-a-equilibrista,cada
406,o-bebado-a-equilibrista,estrela
407,o-bebado-a-equilibrista,fria
408,o-bebado-a-equilibrista,Um
409,o-bebado-a-equilibrista,brilho
410,o-bebado-a-equilibrista,de
411,o-bebado-a-equilibrista,aluguel
412,o-bebado-a-equilibrista,Chupavam
413,o-bebado-a-equilibrista,manchas
414,o-bebado-a-equilibrista,torturadas
415,o-bebado-a-equilibrista,Que
416,o-bebado-a-equilibrista,sufoco!
417,o-bebado-a-equilibrista,Louco!
418,o-bebado-a-equilibrista,O
419,o-bebado-a-equilibrista,bêbado
420,o-bebado-a-equilibrista,com
421,o-bebado-a-equilibrista,chapéu-coco
422,o-bebado-a-equilibrista,Fazia
423,o-bebado-a-equilibrista,irreverências
424,o-bebado-a-equilibrista,mil
425,o-bebado-a-equilibrista,Pra
426,o-bebado-a-equilibrista,noite
427,o-bebado-a-equilibrista,do
428,o-bebado-a-equilibrista,Brasil
429,o-bebado-a-equilibrista,Meu
430,o-bebado-a-equilibrista,Brasil!
431,o-bebado-a-equilibrista,Com
432,o-bebado-a-equilibrista,tanta
433,o-bebado-a-equilibrista,gente
434,o-bebado-a-equilibrista,que
435,o-bebado-a-equilibrista,partiu
436,o-bebado-a-equilibrista,Num
437,o-bebado-a-equilibrista,rabo
438,o-bebado-a-equilibrista,de
439,o-bebado-a-equilibrista,foguete
440,o-bebado-a-equilibrista,Chora
441,o-bebado-a-equilibrista,A
442,o-bebado-a-equilibrista,nossa
443,o-bebado-a-equilibrista,Pátria
444,o-bebado-a-equilibrista,mãe
445,o-bebado-a-equilibrista,gentil
446,o-bebado-a-equilibrista,Choram
447,o-bebado-a-equilibrista,Marias
448,o-bebado-a-equilibrista,e
449,o-bebado-a-equilibrista,Clarisses
450,o-bebado-a-equilibrista,No
451,o-bebado-a-equilibrista,solo
452,o-bebado-a-equilibrista,do
453,o-bebado-a-equilibrista,Brasil
454,o-bebado-a-equilibrista,Não
455,o-bebado-a-equilibrista,há
456,o-bebado-a-equilibrista,de
457,o-bebado-a-equilibrista,ser
458,o-bebado-a-equilibrista,inutilmente
459,o-bebado-a-equilibrista,A
460,o-bebado-a-equilibrista,esperança
461,o-bebado-a-equilibrista,Dança
462,o-bebado-a-equilibrista,na
463,o-bebado-a-equilibrista,corda
464,o-bebado-a-equilibrista,bamba
465,o-bebado-a-equilibrista,de
466,o-bebado-a-equilibrista,sombrinha
467,o-bebado-a-equilibrista,E
468,o-bebado-a-equilibrista,em
469,o-bebado-a-equilibrista,cada
470,o-bebado-a-equilibrista,passo
471,o-bebado-a-equilibrista,dessa
472,o-bebado-a-equilibrista,linha
473,o-bebado-a-equilibrista,Pode
474,o-bebado-a-equilibrista,se
475,o-bebado-a-equilibrista,machucar
476,o-bebado-a-equilibrista,A
477,o-bebado-a-equilibrista,esperança
478,o-bebado-a-equilibrista,equilibrista
479,o-bebado-a-equilibrista,Sabe
480,o-bebado-a-equilibrista,que
481,o-bebado-a-equilibrista,o
482,o-bebado-a-equilibrista,show
483,o-bebado-a-equilibrista,de
484,o-bebado-a-equilibrista,todo
485,o-bebado-a-equilibrista,artista
486,o-bebado-a-equilibrista,Tem
487,o-bebado-a-equilibrista,que
488,o-bebado-a-equilibrista,continuar
489,o-bebado-a-equilibrista,None
774,romaria,O
775,romaria,destino
776,romaria,de
777,romaria,um
778,romaria,só
779,romaria,Feito
780,romaria,eu
781,romaria,perdido
782,romaria,Em
783,romaria,pensamentos
784,romaria,Sobre
785,romaria,o
786,romaria,meu
787,romaria,cavalo
788,romaria,É
789,romaria,de
790,romaria,laço
791,romaria,e
792,romaria,de
793,romaria,nó
794,romaria,De
795,romaria,jibeira
796,romaria,o
797,romaria,jiló
798,romaria,Dessa
799,romaria,vida
800,romaria,Cumprida
801,romaria,a
802,romaria,sol
803,romaria,Nossa
804,romaria,Senhora
805,romaria,de
806,romaria,Aparecida
807,romaria,Ilumina
808,romaria,a
809,romaria,mina
810,romaria,escura
811,romaria,e
812,romaria,funda
813,romaria,O
814,romaria,trem
815,romaria,da
816,romaria,minha
817,romaria,vida
818,romaria,Sou
819,romaria,"caipira,"
820,romaria,Pirapora
821,romaria,Nossa
822,romaria,Senhora
823,romaria,de
824,romaria,Aparecida
825,romaria,Ilumina
826,romaria,a
827,romaria,mina
828,romaria,escura
829,romaria,e
830,romaria,funda
831,romaria,O
832,romaria,trem
833,romaria,da
834,romaria,minha
835,romaria,vida
836,romaria,Minha
837,romaria,mãe
838,romaria,solidão
839,romaria,Meus
840,romaria,irmãos
841,romaria,Perderam-se
842,romaria,na
843,romaria,vida
844,romaria,À
845,romaria,custa
846,romaria,de
847,romaria,aventuras
848,romaria,"Descasei,"
849,romaria,joguei
850,romaria,"Investi,"
851,romaria,desisti
852,romaria,Se
853,romaria,há
854,romaria,sorte
855,romaria,Eu
856,romaria,não
857,romaria,"sei,"
858,romaria,nunca
859,romaria,vi
860,romaria,Nossa
861,romaria,Senhora
862,romaria,de
863,romaria,Aparecida
864,romaria,Ilumina
865,romaria,a
866,romaria,mina
867,romaria,escura
868,romaria,e
869,romaria,funda
870,romaria,O
871,romaria,trem
872,romaria,da
873,romaria,minha
874,romaria,vida
875,romaria,Sou
876,romaria,"caipira,"
877,romaria,Pirapora
878,romaria,Nossa
879,romaria,Senhora
880,romaria,de
881,romaria,Aparecida
882,romaria,Ilumina
883,romaria,a
884,romaria,mina
885,romaria,escura
886,romaria,e
887,romaria,funda
888,romaria,O
