,Musicas,Acordes
0,arrumacao,C
1,arrumacao,F
2,arrumacao,C
3,arrumacao,G
4,arrumacao,C
5,arrumacao,F
6,arrumacao,C
7,arrumacao,G
8,arrumacao,C
9,arrumacao,F
10,arrumacao,C
11,arrumacao,G
12,arrumacao,C
13,arrumacao,G
14,arrumacao,A
15,arrumacao,C
16,arrumacao,Em
17,arrumacao,Am
18,arrumacao,Em
19,arrumacao,D/F#
20,arrumacao,G
21,arrumacao,A
22,arrumacao,Em
23,arrumacao,D/F#
24,arrumacao,G
25,arrumacao,C
26,arrumacao,Em
27,arrumacao,Am
28,arrumacao,G
29,arrumacao,D/F#
30,arrumacao,Em
31,arrumacao,A
32,arrumacao,Em
33,arrumacao,C
34,arrumacao,B7
35,arrumacao,E
36,arrumacao,Abm
37,arrumacao,C#m
38,arrumacao,E
39,arrumacao,F#
40,arrumacao,E
41,arrumacao,C#m
42,arrumacao,Am
43,arrumacao,G
44,arrumacao,D/F#
45,arrumacao,Em
46,arrumacao,Em/D
47,arrumacao,C
48,arrumacao,Em/G
49,arrumacao,Am
50,arrumacao,E7/Ab
51,arrumacao,C
52,arrumacao,Em/G
53,arrumacao,C
54,arrumacao,G/B
55,arrumacao,A
56,arrumacao,C
57,arrumacao,F
58,arrumacao,C
59,arrumacao,G
60,arrumacao,C
61,arrumacao,F
62,arrumacao,C
63,arrumacao,G
64,arrumacao,C
65,arrumacao,F
66,arrumacao,C
67,arrumacao,G
68,arrumacao,C
69,arrumacao,G
70,arrumacao,A
71,arrumacao,C
72,arrumacao,F
73,arrumacao,C
74,arrumacao,G
75,arrumacao,C
76,arrumacao,F
77,arrumacao,C
78,arrumacao,G
79,arrumacao,C
80,arrumacao,F
81,arrumacao,C
82,arrumacao,G
83,arrumacao,C
84,arrumacao,G
85,arrumacao,A
86,arrumacao,C
87,arrumacao,Em
88,arrumacao,Am
89,arrumacao,G
90,arrumacao,D/F#
91,arrumacao,Em
92,arrumacao,A
93,arrumacao,Em
94,arrumacao,D/F#
95,arrumacao,G
96,arrumacao,C
97,arrumacao,Em
98,arrumacao,Am
99,arrumacao,G
100,arrumacao,D/F#
101,arrumacao,Em
102,arrumacao,A
103,arrumacao,Em
104,arrumacao,C
105,arrumacao,B7
106,arrumacao,E
107,arrumacao,Abm
108,arrumacao,C#m
109,arrumacao,E
110,arrumacao,F#
111,arrumacao,E
112,arrumacao,C#m
113,arrumacao,Am
114,arrumacao,G
115,arrumacao,D/F#
116,arrumacao,Em
117,arrumacao,Em/D
118,arrumacao,C
119,arrumacao,Em/G
120,arrumacao,Am
121,arrumacao,E7/Ab
122,arrumacao,C
123,arrumacao,Em/G
124,arrumacao,C
125,arrumacao,G
126,arrumacao,A
127,arrumacao,C
128,arrumacao,F
129,arrumacao,C
130,arrumacao,G
131,arrumacao,C
132,arrumacao,G
133,arrumacao,F
134,arrumacao,C
135,arrumacao,G
136,arrumacao,C
137,arrumacao,F
138,arrumacao,C
139,arrumacao,G
140,arrumacao,C
141,arrumacao,G
142,arrumacao,A
143,arrumacao,C
144,arrumacao,F
145,arrumacao,C
146,arrumacao,G
147,arrumacao,C
148,arrumacao,G
149,arrumacao,F
150,arrumacao,C
151,arrumacao,G
152,arrumacao,C
153,arrumacao,F
154,arrumacao,C
155,arrumacao,G
156,arrumacao,C
157,arrumacao,G
158,arrumacao,A
159,arrumacao,C
160,arrumacao,Em
161,arrumacao,Am
162,arrumacao,G
163,arrumacao,D/F#
164,arrumacao,Em
165,arrumacao,A
166,arrumacao,Em
167,arrumacao,D/F#
168,arrumacao,G
169,arrumacao,C
170,arrumacao,Em
171,arrumacao,Am
172,arrumacao,G
173,arrumacao,D/F#
174,arrumacao,Em
175,arrumacao,A
176,arrumacao,Em
177,arrumacao,C
178,arrumacao,B7
179,arrumacao,E
180,arrumacao,Abm
181,arrumacao,C#m
182,arrumacao,E
183,arrumacao,F#
184,arrumacao,E
185,arrumacao,C#m
186,arrumacao,Am
187,arrumacao,G
188,arrumacao,D/F#
189,arrumacao,Em
190,arrumacao,Em/D
191,arrumacao,C
192,arrumacao,Em/G
193,arrumacao,Am
194,arrumacao,E7/Ab
195,arrumacao,C
196,arrumacao,G/B
197,arrumacao,C
198,arrumacao,G
199,arrumacao,A
200,arrumacao,C
201,arrumacao,F
202,arrumacao,C
203,arrumacao,G
204,arrumacao,C
205,arrumacao,G
206,arrumacao,F
207,arrumacao,C
208,arrumacao,G
209,arrumacao,C
210,arrumacao,F
211,arrumacao,C
212,arrumacao,G
213,arrumacao,C
214,arrumacao,G
215,arrumacao,A
216,arrumacao,C
217,arrumacao,Em
218,arrumacao,Am
219,arrumacao,G
220,arrumacao,D/F#
221,arrumacao,Em
222,arrumacao,A
223,arrumacao,Em
224,arrumacao,D/F#
225,arrumacao,G
226,arrumacao,C
227,arrumacao,Em
228,arrumacao,Am
229,arrumacao,G
230,arrumacao,D/F#
231,arrumacao,Em
232,arrumacao,A
233,arrumacao,Em
234,arrumacao,C
235,arrumacao,B7
236,arrumacao,E
237,arrumacao,Abm
238,arrumacao,C#m
239,arrumacao,E
240,arrumacao,F#
241,arrumacao,E
242,arrumacao,C#m
243,arrumacao,Am
244,arrumacao,G
245,arrumacao,D/F#
246,arrumacao,Em
247,arrumacao,Em/D
248,arrumacao,C
249,arrumacao,Em/G
250,arrumacao,Am
251,arrumacao,E7/Ab
252,arrumacao,C
253,arrumacao,G/B
254,arrumacao,C
255,arrumacao,G
256,arrumacao,A
257,arrumacao,C
258,arrumacao,F
259,arrumacao,C
260,arrumacao,G
261,arrumacao,C
262,arrumacao,G
263,arrumacao,F
264,arrumacao,C
265,arrumacao,G
266,arrumacao,C
267,arrumacao,F
268,arrumacao,C
269,arrumacao,G
270,arrumacao,C
271,arrumacao,G
272,arrumacao,A
273,arrumacao,C
274,arrumacao,F
275,arrumacao,C
276,arrumacao,G
277,arrumacao,C
278,arrumacao,G
279,arrumacao,F
280,arrumacao,C
281,arrumacao,G
282,arrumacao,C
283,arrumacao,F
284,arrumacao,C
285,arrumacao,G
286,arrumacao,C
287,arrumacao,G
288,arrumacao,A
305,violero,Bm
306,violero,Em
307,violero,Bm
308,violero,Em
309,violero,Bm
310,violero,Em
311,violero,Bm
312,violero,Bm
313,violero,A
314,violero,D
315,violero,A
316,violero,D
317,violero,A
318,violero,D
319,violero,G
320,violero,F#m
321,violero,G
322,violero,D
323,violero,E
324,violero,F#
325,violero,Bm
326,violero,A
327,violero,Em
328,violero,Bm
329,violero,D
330,violero,A
331,violero,Em
332,violero,Em/G
333,violero,G
334,violero,D
335,violero,E
336,violero,F#7
337,violero,Bm
338,violero,D
339,violero,E
340,violero,F#7
341,violero,Bm
342,violero,Bm
343,violero,Em
344,violero,Bm
345,violero,Em
346,violero,Bm
347,violero,Em
348,violero,Bm
349,violero,Bm
350,violero,A
351,violero,D
352,violero,A
353,violero,D
354,violero,A
355,violero,D
356,violero,G
357,violero,F#m
358,violero,G
359,violero,D
360,violero,E
361,violero,F#
362,violero,Bm
363,violero,A
364,violero,Em
365,violero,Bm
366,violero,D
367,violero,A
368,violero,Em
369,violero,Em/G
370,violero,G
371,violero,D
372,violero,E
373,violero,F#7
374,violero,Bm
375,violero,D
376,violero,E
377,violero,F#7
378,violero,Bm
379,violero,Bm
380,violero,Em
381,violero,Bm
382,violero,Em
383,violero,Bm
384,violero,Em
385,violero,Bm
386,violero,Bm
387,violero,A
388,violero,D
389,violero,A
390,violero,D
391,violero,A
392,violero,D
393,violero,G
394,violero,F#m
395,violero,G
396,violero,D
397,violero,E
398,violero,F#
399,violero,Bm
400,violero,A
401,violero,Em
402,violero,Bm
403,violero,D
404,violero,A
405,violero,Em
406,violero,Em/G
407,violero,G
408,violero,D
409,violero,E
410,violero,F#7
411,violero,Bm
412,violero,D
413,violero,E
414,violero,F#7
415,violero,Bm
416,violero,Bm
417,violero,Em
418,violero,Bm
419,violero,Em
420,violero,Bm
421,violero,Em
422,violero,Bm
423,violero,Bm
424,violero,A
425,violero,D
426,violero,A
427,violero,D
428,violero,A
429,violero,D
430,violero,G
431,violero,F#m
432,violero,G
433,violero,D
434,violero,E
435,violero,F#
436,violero,Bm
437,violero,A
438,violero,Em
439,violero,Bm
440,violero,D
441,violero,A
442,violero,Em
443,violero,Em/G
444,violero,G
445,violero,D
446,violero,E
447,violero,F#7
448,violero,Bm
449,violero,D
450,violero,E
451,violero,F#7
452,violero,Bm
453,violero,Bm
454,violero,Em
455,violero,Bm
456,violero,Em
457,violero,Bm
458,violero,Em
459,violero,Bm
460,violero,Bm
461,violero,A
462,violero,D
463,violero,A
464,violero,D
465,violero,A
466,violero,D
467,violero,G
468,violero,F#m
469,violero,G
470,violero,D
471,violero,E
472,violero,F#
473,violero,Bm
474,violero,A
475,violero,Em
476,violero,Bm
477,violero,D
478,violero,A
479,violero,Em
480,violero,Em/G
481,violero,G
482,violero,D
483,violero,E
484,violero,F#7
485,violero,Bm
486,violero,D
487,violero,E
488,violero,F#7
489,violero,Bm
610,cantiga-de-amigo,Em
611,cantiga-de-amigo,Am
612,cantiga-de-amigo,Em
613,cantiga-de-amigo,Am
614,cantiga-de-amigo,Em
615,cantiga-de-amigo,D
616,cantiga-de-amigo,G
617,cantiga-de-amigo,Em
618,cantiga-de-amigo,Am
619,cantiga-de-amigo,Em
620,cantiga-de-amigo,Am
621,cantiga-de-amigo,Em
622,cantiga-de-amigo,D
623,cantiga-de-amigo,G
624,cantiga-de-amigo,C
625,cantiga-de-amigo,C/E
626,cantiga-de-amigo,F
627,cantiga-de-amigo,E7
628,cantiga-de-amigo,Em
629,cantiga-de-amigo,D
630,cantiga-de-amigo,B7
631,cantiga-de-amigo,Em
632,cantiga-de-amigo,Am
633,cantiga-de-amigo,Em
634,cantiga-de-amigo,Am
635,cantiga-de-amigo,Em
636,cantiga-de-amigo,D
637,cantiga-de-amigo,G
638,cantiga-de-amigo,Em
639,cantiga-de-amigo,Am
640,cantiga-de-amigo,Em
641,cantiga-de-amigo,Am
642,cantiga-de-amigo,Em
643,cantiga-de-amigo,D
644,cantiga-de-amigo,G
645,cantiga-de-amigo,C
646,cantiga-de-amigo,C/E
647,cantiga-de-amigo,F
648,cantiga-de-amigo,E7
649,cantiga-de-amigo,Em
650,cantiga-de-amigo,Am
651,cantiga-de-amigo,D
652,cantiga-de-amigo,Em
653,cantiga-de-amigo,Em
654,cantiga-de-amigo,Am
655,cantiga-de-amigo,Em
656,cantiga-de-amigo,Am
657,cantiga-de-amigo,Em
658,cantiga-de-amigo,D
659,cantiga-de-amigo,G
660,cantiga-de-amigo,Em
