,Musicas,Acordes
0,passarinhos,B
1,passarinhos,E
2,passarinhos,A
3,passarinhos,B
4,passarinhos,D
5,passarinhos,E
6,passarinhos,B
7,passarinhos,E
8,passarinhos,A
9,passarinhos,B
10,passarinhos,D
11,passarinhos,E
12,passarinhos,B
13,passarinhos,E
14,passarinhos,A
15,passarinhos,B
16,passarinhos,D
17,passarinhos,E
18,passarinhos,B
19,passarinhos,E
20,passarinhos,C#m7
21,passarinhos,B
22,passarinhos,A
23,passarinhos,B
24,passarinhos,E
25,passarinhos,A
26,passarinhos,B
27,passarinhos,D
28,passarinhos,E
29,passarinhos,B
30,passarinhos,E
31,passarinhos,A
32,passarinhos,B
33,passarinhos,D
34,passarinhos,E
35,passarinhos,B
36,passarinhos,E
37,passarinhos,B
38,passarinhos,E
39,passarinhos,B
40,passarinhos,B
41,passarinhos,E/G#
42,passarinhos,A
43,passarinhos,B
44,passarinhos,E
45,passarinhos,A
46,passarinhos,B
47,passarinhos,D
48,passarinhos,E
49,passarinhos,B
50,passarinhos,E
51,passarinhos,C#m7
52,passarinhos,B
53,passarinhos,A
54,passarinhos,B
55,passarinhos,E
56,passarinhos,C#m7
57,passarinhos,B
58,passarinhos,E
59,passarinhos,C#m7
60,passarinhos,B
61,passarinhos,E
62,passarinhos,C#m7
63,passarinhos,B
64,passarinhos,A
65,passarinhos,B
66,passarinhos,E
67,passarinhos,A
68,passarinhos,B
69,passarinhos,D
70,passarinhos,E
71,passarinhos,B
72,passarinhos,E
73,passarinhos,A
74,passarinhos,B
75,passarinhos,D
76,passarinhos,E
77,passarinhos,B
78,passarinhos,E
79,passarinhos,B
80,passarinhos,E
81,passarinhos,B
82,passarinhos,E
83,passarinhos,A
84,passarinhos,B
85,passarinhos,D
86,passarinhos,E
87,passarinhos,B
88,passarinhos,E
89,passarinhos,A
90,passarinhos,B
91,passarinhos,D
92,passarinhos,E
164,hoje-cedo,Bbm
165,hoje-cedo,Ab
166,hoje-cedo,Eb7/G
167,hoje-cedo,F#
168,hoje-cedo,Bbm
169,hoje-cedo,Ab
170,hoje-cedo,Eb7/G
171,hoje-cedo,F#
172,hoje-cedo,Bbm
173,hoje-cedo,Ab
174,hoje-cedo,Eb7/G
175,hoje-cedo,F#
176,hoje-cedo,Bbm
177,hoje-cedo,Ab
178,hoje-cedo,Eb7/G
179,hoje-cedo,F#
180,hoje-cedo,Bbm
181,hoje-cedo,Ab
182,hoje-cedo,Eb7/G
183,hoje-cedo,F#
184,hoje-cedo,Bbm
185,hoje-cedo,Ab
186,hoje-cedo,Eb7/G
187,hoje-cedo,Bbm
188,hoje-cedo,Ab
189,hoje-cedo,Eb7/G
190,hoje-cedo,F#
191,hoje-cedo,Bbm
192,hoje-cedo,Ab
193,hoje-cedo,Eb7/G
