,Musicas,Palavras
0,passarinhos,Complicados
1,passarinhos,e
2,passarinhos,pensativos
3,passarinhos,Machucados
4,passarinhos,após
5,passarinhos,tantos
6,passarinhos,crivos
7,passarinhos,Blindados
8,passarinhos,com
9,passarinhos,nossos
10,passarinhos,motivos
11,passarinhos,E
12,passarinhos,dá-lhe
13,passarinhos,anti-depressivos
14,passarinhos,Acanhados
15,passarinhos,entre
16,passarinhos,discos
17,passarinhos,e
18,passarinhos,livros
19,passarinhos,Inofensivos
20,passarinhos,Eu
21,passarinhos,vou
22,passarinhos,"esperar,"
23,passarinhos,talvez
24,passarinhos,na
25,passarinhos,primavera
26,passarinhos,O
27,passarinhos,céu
28,passarinhos,clareia
29,passarinhos,e
30,passarinhos,vem
31,passarinhos,calor
32,passarinhos,vê
33,passarinhos,só
34,passarinhos,O
35,passarinhos,que
36,passarinhos,sobrou
37,passarinhos,de
38,passarinhos,nós
39,passarinhos,e
40,passarinhos,o
41,passarinhos,que
42,passarinhos,já
43,passarinhos,era
44,passarinhos,Aumenta
45,passarinhos,a
46,passarinhos,ira
47,passarinhos,de
48,passarinhos,quem
49,passarinhos,sofre
50,passarinhos,mudo
51,passarinhos,A
52,passarinhos,página
53,passarinhos,"vira,"
54,passarinhos,o
55,passarinhos,"são,"
56,passarinhos,"delira,"
57,passarinhos,então
58,passarinhos,a
59,passarinhos,gente
60,passarinhos,pira
61,passarinhos,E
62,passarinhos,no
63,passarinhos,meio
64,passarinhos,disso
65,passarinhos,tudo
66,passarinhos,tamo
67,passarinhos,tipo
68,passarinhos,Soltos
69,passarinhos,a
70,passarinhos,voar
71,passarinhos,dispostos
72,passarinhos,A
73,passarinhos,achar
74,passarinhos,um
75,passarinhos,ninho
76,passarinhos,Nem
77,passarinhos,que
78,passarinhos,seja
79,passarinhos,no
80,passarinhos,peito
81,passarinhos,um
82,passarinhos,do
83,passarinhos,outro
84,passarinhos,Passarinhos
85,passarinhos,Soltos
86,passarinhos,a
87,passarinhos,voar
88,passarinhos,dispostos
89,passarinhos,A
90,passarinhos,achar
91,passarinhos,um
92,passarinhos,ninho
93,passarinhos,Nem
94,passarinhos,que
95,passarinhos,seja
96,passarinhos,no
97,passarinhos,peito
98,passarinhos,um
99,passarinhos,do
100,passarinhos,outro
101,passarinhos,"Laia,"
102,passarinhos,"laia,"
103,passarinhos,"laia,"
104,passarinhos,laia
105,passarinhos,"Laia,"
106,passarinhos,"laia,"
107,passarinhos,"laia,"
108,passarinhos,laia
109,passarinhos,"Laia,"
110,passarinhos,"laia,"
111,passarinhos,"laia,"
112,passarinhos,laia
113,passarinhos,Meu
114,passarinhos,melhor
115,passarinhos,amigo
116,passarinhos,tem
117,passarinhos,sido
118,passarinhos,o
119,passarinhos,"som,"
120,passarinhos,ok
121,passarinhos,Tanto
122,passarinhos,carma
123,passarinhos,lembra
124,passarinhos,"Armagedon,"
125,passarinhos,orei
126,passarinhos,Busco
127,passarinhos,vida
128,passarinhos,nova
129,passarinhos,tipo
130,passarinhos,"ultrassom,"
131,passarinhos,achei
132,passarinhos,Cidades
133,passarinhos,são
134,passarinhos,aldeias
135,passarinhos,"mortas,"
136,passarinhos,desafio
137,passarinhos,nonsense
138,passarinhos,Competição
139,passarinhos,em
140,passarinhos,"vão,"
141,passarinhos,que
142,passarinhos,ninguém
143,passarinhos,vence
144,passarinhos,Pense
145,passarinhos,num
146,passarinhos,"formigueiro,"
147,passarinhos,vai
148,passarinhos,mal
149,passarinhos,Quando
150,passarinhos,pessoas
151,passarinhos,viram
152,passarinhos,"coisas,"
153,passarinhos,cabeças
154,passarinhos,viram
155,passarinhos,degraus
156,passarinhos,"Doidera,"
157,passarinhos,daqui
158,passarinhos,a
159,passarinhos,"pouco,"
160,passarinhos,resta
161,passarinhos,madeira
162,passarinhos,nem
163,passarinhos,pros
164,passarinhos,caixão
165,passarinhos,Era
166,passarinhos,"neblina,"
167,passarinhos,hoje
168,passarinhos,é
169,passarinhos,poluição
170,passarinhos,Asfalto
171,passarinhos,"quente,"
172,passarinhos,queima
173,passarinhos,os
174,passarinhos,pés
175,passarinhos,no
176,passarinhos,chão
177,passarinhos,Carros
178,passarinhos,em
179,passarinhos,"profusão,"
180,passarinhos,confusão
181,passarinhos,Água
182,passarinhos,em
183,passarinhos,"escassez,"
184,passarinhos,bem
185,passarinhos,na
186,passarinhos,nossa
187,passarinhos,vez
188,passarinhos,Assim
189,passarinhos,não
190,passarinhos,resta
191,passarinhos,nem
192,passarinhos,as
193,passarinhos,barata
194,passarinhos,Injustos
195,passarinhos,fazem
196,passarinhos,leis
197,passarinhos,e
198,passarinhos,o
199,passarinhos,que
200,passarinhos,resta
201,passarinhos,pro
202,passarinhos,cêis?
203,passarinhos,Escolher
204,passarinhos,qual
205,passarinhos,veneno
206,passarinhos,te
207,passarinhos,mata
208,passarinhos,Pois
209,passarinhos,somos
210,passarinhos,tipo
211,passarinhos,Soltos
212,passarinhos,a
213,passarinhos,voar
214,passarinhos,dispostos
215,passarinhos,A
216,passarinhos,achar
217,passarinhos,um
218,passarinhos,ninho
219,passarinhos,Nem
220,passarinhos,que
221,passarinhos,seja
222,passarinhos,no
223,passarinhos,peito
224,passarinhos,um
225,passarinhos,do
226,passarinhos,outro
227,passarinhos,Passarinhos
228,passarinhos,Soltos
229,passarinhos,a
230,passarinhos,voar
231,passarinhos,dispostos
232,passarinhos,A
233,passarinhos,achar
234,passarinhos,um
235,passarinhos,ninho
236,passarinhos,Nem
237,passarinhos,que
238,passarinhos,seja
239,passarinhos,no
240,passarinhos,peito
241,passarinhos,um
242,passarinhos,do
243,passarinhos,outro
244,passarinhos,"Laiá,"
245,passarinhos,"laiá,"
246,passarinhos,"laiá,"
247,passarinhos,laiá
248,passarinhos,"Laiá,"
249,passarinhos,"laiá,"
250,passarinhos,"laiá,"
