,Musicas,Acordes
0,xote-dos-milagres,G
1,xote-dos-milagres,D
2,xote-dos-milagres,Am
3,xote-dos-milagres,C
4,xote-dos-milagres,D
5,xote-dos-milagres,G
6,xote-dos-milagres,D
7,xote-dos-milagres,Am
8,xote-dos-milagres,C
9,xote-dos-milagres,D
10,xote-dos-milagres,G
11,xote-dos-milagres,D
12,xote-dos-milagres,Am
13,xote-dos-milagres,G
14,xote-dos-milagres,D
15,xote-dos-milagres,Am
16,xote-dos-milagres,G
17,xote-dos-milagres,D
18,xote-dos-milagres,Em
19,xote-dos-milagres,C
20,xote-dos-milagres,D
21,xote-dos-milagres,G
22,xote-dos-milagres,D
23,xote-dos-milagres,Am
24,xote-dos-milagres,G
25,xote-dos-milagres,D
26,xote-dos-milagres,Em
27,xote-dos-milagres,C
28,xote-dos-milagres,D
29,xote-dos-milagres,G
30,xote-dos-milagres,D
31,xote-dos-milagres,Am
32,xote-dos-milagres,C
33,xote-dos-milagres,D
34,xote-dos-milagres,G
35,xote-dos-milagres,D
36,xote-dos-milagres,Am
37,xote-dos-milagres,Bm
38,xote-dos-milagres,Am
39,xote-dos-milagres,Bm
40,xote-dos-milagres,Am
41,xote-dos-milagres,Bm
42,xote-dos-milagres,C
43,xote-dos-milagres,Bm
44,xote-dos-milagres,Am
45,xote-dos-milagres,D
46,xote-dos-milagres,G
47,xote-dos-milagres,D
48,xote-dos-milagres,Am
49,xote-dos-milagres,C
50,xote-dos-milagres,D
51,xote-dos-milagres,G
52,xote-dos-milagres,D
53,xote-dos-milagres,Am
54,xote-dos-milagres,C
55,xote-dos-milagres,D
56,xote-dos-milagres,G
57,xote-dos-milagres,D
58,xote-dos-milagres,Am
59,xote-dos-milagres,C
60,xote-dos-milagres,D
61,xote-dos-milagres,G
62,xote-dos-milagres,D
63,xote-dos-milagres,Am
64,xote-dos-milagres,C
65,xote-dos-milagres,D
66,xote-dos-milagres,G
67,xote-dos-milagres,G
68,xote-dos-milagres,D
69,xote-dos-milagres,Am
70,xote-dos-milagres,C
71,xote-dos-milagres,D
72,xote-dos-milagres,G
73,xote-dos-milagres,D
74,xote-dos-milagres,Am
75,xote-dos-milagres,C
76,xote-dos-milagres,D
77,xote-dos-milagres,G
78,xote-dos-milagres,D
79,xote-dos-milagres,Am
80,xote-dos-milagres,C
81,xote-dos-milagres,D
82,xote-dos-milagres,G
83,xote-dos-milagres,D
84,xote-dos-milagres,Am
85,xote-dos-milagres,G
86,xote-dos-milagres,D
87,xote-dos-milagres,Am
88,xote-dos-milagres,G
89,xote-dos-milagres,D
90,xote-dos-milagres,Em
91,xote-dos-milagres,C
92,xote-dos-milagres,D
93,xote-dos-milagres,G
94,xote-dos-milagres,D
95,xote-dos-milagres,Am
96,xote-dos-milagres,G
97,xote-dos-milagres,D
98,xote-dos-milagres,Em
99,xote-dos-milagres,C
100,xote-dos-milagres,D
101,xote-dos-milagres,G
