,Musicas,Acordes
0,madri,G5
1,madri,D4
2,madri,C9
3,madri,Em
4,madri,G5
5,madri,D4
6,madri,C9
7,madri,Em
8,madri,G5
9,madri,D4
10,madri,C9
11,madri,Em
12,madri,G5
13,madri,D4
14,madri,C9
15,madri,G5
16,madri,D5
17,madri,Em7
18,madri,C9
19,madri,G5
20,madri,D5
21,madri,Em7
22,madri,C9
23,madri,G5
24,madri,D5
25,madri,Em7
26,madri,C9
27,madri,Em7
28,madri,D/F#
29,madri,C9
30,madri,Em7
31,madri,D/F#
32,madri,C9
33,madri,Em7
34,madri,D/F#
35,madri,C9
36,madri,G5
37,madri,D5
38,madri,C9
39,madri,G5
40,madri,D5
41,madri,C9
42,madri,Em7
43,madri,D/F#
44,madri,G5
45,madri,D/F#
46,madri,C9
47,madri,G5
48,madri,D4
49,madri,C9
50,madri,Em
51,madri,G5
52,madri,D4
53,madri,C9
54,madri,Em
55,madri,G5
56,madri,D5
57,madri,Em7
58,madri,C9
59,madri,G5
60,madri,D5
61,madri,Em7
62,madri,C9
63,madri,Em7
64,madri,D/F#
65,madri,C9
66,madri,Em7
67,madri,D/F#
68,madri,C9
69,madri,G5
70,madri,D5
71,madri,C9
72,madri,G5
73,madri,D5
74,madri,C9
75,madri,Em7
76,madri,D/F#
77,madri,G5
78,madri,D/F#
79,madri,C9
80,madri,Em7
81,madri,D/F#
82,madri,C9
83,madri,Em7
84,madri,D/F#
85,madri,C9
86,madri,G
87,madri,G5
88,madri,D5
89,madri,C9
90,madri,Em7
91,madri,D/F#
92,madri,G5
93,madri,D/F#
94,madri,C9
95,madri,Em
188,gaveta,E5(9)
189,gaveta,C#m7
190,gaveta,A5(9)
191,gaveta,E5(9)
192,gaveta,E5(9)
193,gaveta,C#m7
194,gaveta,A5(9)
195,gaveta,E5(9)
196,gaveta,E5(9)
197,gaveta,C#m7
198,gaveta,A5(9)
199,gaveta,E5(9)
200,gaveta,C#m7
201,gaveta,A5(9)
202,gaveta,B4
203,gaveta,E5(9)
204,gaveta,C#m7
205,gaveta,A5(9)
206,gaveta,B4
207,gaveta,B4
208,gaveta,E5(9)
209,gaveta,C#m7
210,gaveta,A5(9)
211,gaveta,E5(9)
212,gaveta,C#m7
213,gaveta,A5(9)
214,gaveta,B4
215,gaveta,E5(9)
216,gaveta,C#m7
217,gaveta,A5(9)
218,gaveta,E5(9)
219,gaveta,C#m7
220,gaveta,A5(9)
221,gaveta,B4
222,gaveta,E5(9)
223,gaveta,C#m7
224,gaveta,A5(9)
225,gaveta,B4
226,gaveta,B4
227,gaveta,E5(9)
228,gaveta,C#m7
229,gaveta,A5(9)
230,gaveta,E5(9)
376,bala-de-prata,A
377,bala-de-prata,Bm7
378,bala-de-prata,A
379,bala-de-prata,Bm7
380,bala-de-prata,A
381,bala-de-prata,Bm7
382,bala-de-prata,D
383,bala-de-prata,A9
384,bala-de-prata,E
385,bala-de-prata,F#m
386,bala-de-prata,D
387,bala-de-prata,A9
388,bala-de-prata,E
389,bala-de-prata,D
390,bala-de-prata,A9
391,bala-de-prata,E
392,bala-de-prata,F#m
393,bala-de-prata,D
394,bala-de-prata,A9
395,bala-de-prata,E
396,bala-de-prata,D
397,bala-de-prata,A9
398,bala-de-prata,E
399,bala-de-prata,F#m7
400,bala-de-prata,D9
401,bala-de-prata,A9
402,bala-de-prata,E
403,bala-de-prata,F#m7
404,bala-de-prata,D9
405,bala-de-prata,A9
406,bala-de-prata,E
407,bala-de-prata,F#m7
408,bala-de-prata,D9
409,bala-de-prata,A9
410,bala-de-prata,E
411,bala-de-prata,F#m7
412,bala-de-prata,D9
413,bala-de-prata,A9
414,bala-de-prata,E
415,bala-de-prata,F#m7
416,bala-de-prata,D9
417,bala-de-prata,A9
418,bala-de-prata,E
419,bala-de-prata,F#m7
420,bala-de-prata,D
421,bala-de-prata,A9
422,bala-de-prata,E
423,bala-de-prata,D
424,bala-de-prata,A9
425,bala-de-prata,E
426,bala-de-prata,F#m
427,bala-de-prata,D
428,bala-de-prata,A9
429,bala-de-prata,E
430,bala-de-prata,D
431,bala-de-prata,A9
432,bala-de-prata,E
433,bala-de-prata,F#m7
434,bala-de-prata,D9
435,bala-de-prata,A9
436,bala-de-prata,E
437,bala-de-prata,F#m7
438,bala-de-prata,D9
439,bala-de-prata,A9
440,bala-de-prata,E
441,bala-de-prata,F#m7
442,bala-de-prata,D9
443,bala-de-prata,A9
444,bala-de-prata,E
445,bala-de-prata,F#m7
446,bala-de-prata,D9
447,bala-de-prata,A9
448,bala-de-prata,E
449,bala-de-prata,F#m
450,bala-de-prata,D
451,bala-de-prata,A9
452,bala-de-prata,E
453,bala-de-prata,D
454,bala-de-prata,A9
455,bala-de-prata,E
456,bala-de-prata,F#m
457,bala-de-prata,D
458,bala-de-prata,A9
459,bala-de-prata,E
460,bala-de-prata,D
461,bala-de-prata,A9
462,bala-de-prata,E
463,bala-de-prata,F#m
464,bala-de-prata,D
465,bala-de-prata,A9
466,bala-de-prata,E
467,bala-de-prata,D
468,bala-de-prata,A9
469,bala-de-prata,E
470,bala-de-prata,F#m
471,bala-de-prata,D
472,bala-de-prata,A9
473,bala-de-prata,E
474,bala-de-prata,D
475,bala-de-prata,A9
564,bom-rapaz,G5
565,bom-rapaz,Am7
566,bom-rapaz,C
567,bom-rapaz,Am7
568,bom-rapaz,C
569,bom-rapaz,G
570,bom-rapaz,D4
571,bom-rapaz,Em
572,bom-rapaz,C
573,bom-rapaz,G
574,bom-rapaz,D4
575,bom-rapaz,Em
576,bom-rapaz,C
577,bom-rapaz,D11
578,bom-rapaz,Am7
579,bom-rapaz,C
580,bom-rapaz,G5
581,bom-rapaz,Am7
582,bom-rapaz,C
583,bom-rapaz,G5
584,bom-rapaz,G
585,bom-rapaz,D11
586,bom-rapaz,Em
587,bom-rapaz,C
588,bom-rapaz,G
589,bom-rapaz,D11
590,bom-rapaz,Em
591,bom-rapaz,C
592,bom-rapaz,D11
593,bom-rapaz,Em
594,bom-rapaz,G
595,bom-rapaz,D11
596,bom-rapaz,Em
597,bom-rapaz,C
598,bom-rapaz,G
599,bom-rapaz,D11
600,bom-rapaz,G
601,bom-rapaz,C/G
602,bom-rapaz,G
603,bom-rapaz,G
604,bom-rapaz,Em7
605,bom-rapaz,C
606,bom-rapaz,G
607,bom-rapaz,D9
608,bom-rapaz,Am7
609,bom-rapaz,C
610,bom-rapaz,G
611,bom-rapaz,D11
612,bom-rapaz,Am7
613,bom-rapaz,C
614,bom-rapaz,G
615,bom-rapaz,D9
616,bom-rapaz,G
617,bom-rapaz,D11
618,bom-rapaz,Em
619,bom-rapaz,C
620,bom-rapaz,G
621,bom-rapaz,D11
622,bom-rapaz,Em
623,bom-rapaz,C
624,bom-rapaz,D11
625,bom-rapaz,Em
626,bom-rapaz,C
627,bom-rapaz,G
628,bom-rapaz,D11
629,bom-rapaz,Em
630,bom-rapaz,C
631,bom-rapaz,G
632,bom-rapaz,D9
633,bom-rapaz,Em7
634,bom-rapaz,C
635,bom-rapaz,G
636,bom-rapaz,D9
637,bom-rapaz,Em7
638,bom-rapaz,C
639,bom-rapaz,G
640,bom-rapaz,D9
641,bom-rapaz,Em7
642,bom-rapaz,C
643,bom-rapaz,G
644,bom-rapaz,D9
645,bom-rapaz,Em7
646,bom-rapaz,C
647,bom-rapaz,G
752,paga-pau,C#
753,paga-pau,D
754,paga-pau,A
755,paga-pau,Bm
756,paga-pau,G
757,paga-pau,C#
758,paga-pau,D
759,paga-pau,A
760,paga-pau,Bm
761,paga-pau,G
762,paga-pau,D
763,paga-pau,D
764,paga-pau,A
765,paga-pau,Bm
766,paga-pau,G
767,paga-pau,D
768,paga-pau,A
