,Musicas,Palavras
0,madri,Estou
1,madri,sabendo
2,madri,que
3,madri,aí
4,madri,na
5,madri,Espanha
6,madri,tudo
7,madri,é
8,madri,lindo
9,madri,Você
10,madri,me
11,madri,deixou
12,madri,E
13,madri,aqui
14,madri,dentro
15,madri,o
16,madri,meu
17,madri,coração
18,madri,ficou
19,madri,partido
20,madri,Nessa
21,madri,"cidade,"
22,madri,não
23,madri,vou
24,madri,mais
25,madri,sorrir
26,madri,Que
27,madri,bom
28,madri,seria
29,madri,Se
30,madri,São
31,madri,Paulo
32,madri,fosse
33,madri,do
34,madri,lado
35,madri,de
36,madri,Madri
37,madri,Tá
38,madri,doendo
39,madri,aqui
40,madri,na
41,madri,solidão
42,madri,No
43,madri,puedo
44,madri,más
45,madri,vivir
46,madri,sin
47,madri,ti
48,madri,Volta
49,madri,logo
50,madri,pra
51,madri,São
52,madri,Paulo
53,madri,Ou
54,madri,eu
55,madri,vou
56,madri,pra
57,madri,Madri
58,madri,Volta
59,madri,logo
60,madri,pro
61,madri,Hemisfério
62,madri,Sul
63,madri,do
64,madri,mundo
65,madri,Ficar
66,madri,sem
67,madri,você
68,madri,Me
69,madri,mostrou
70,madri,o
71,madri,quanto
72,madri,é
73,madri,bom
74,madri,estarmos
75,madri,juntos
76,madri,Sonho
77,madri,tão
78,madri,lindo
79,madri,é
80,madri,ter
81,madri,você
82,madri,aqui
83,madri,Que
84,madri,bom
85,madri,seria
86,madri,Se
87,madri,São
88,madri,Paulo
89,madri,fosse
90,madri,do
91,madri,lado
92,madri,de
93,madri,Madri
94,madri,Tá
95,madri,doendo
96,madri,aqui
97,madri,na
98,madri,solidão
99,madri,No
100,madri,puedo
101,madri,más
102,madri,vivir
103,madri,sin
104,madri,ti
105,madri,Volta
106,madri,logo
107,madri,pra
108,madri,São
109,madri,Paulo
110,madri,Ou
111,madri,eu
112,madri,vou
113,madri,pra
114,madri,Madri
115,madri,None
413,gaveta,E
414,gaveta,o
415,gaveta,mar
416,gaveta,desistir
417,gaveta,das
418,gaveta,ondas
419,gaveta,As
420,gaveta,ondas
421,gaveta,vão
422,gaveta,se
423,gaveta,acalmar
424,gaveta,E
425,gaveta,aos
426,gaveta,poucos
427,gaveta,vão
428,gaveta,deixar
429,gaveta,a
430,gaveta,prancha
431,gaveta,Nesse
432,gaveta,dia
433,gaveta,eu
434,gaveta,vou
435,gaveta,te
436,gaveta,esquecer
437,gaveta,E
438,gaveta,os
439,gaveta,pés
440,gaveta,não
441,gaveta,deixarem
442,gaveta,pegadas
443,gaveta,Pegadas
444,gaveta,não
445,gaveta,serão
446,gaveta,vestígios
447,gaveta,De
448,gaveta,alguém
449,gaveta,que
450,gaveta,cruzou
451,gaveta,nossa
452,gaveta,estrada
453,gaveta,Nesse
454,gaveta,dia
455,gaveta,eu
456,gaveta,vou
457,gaveta,te
458,gaveta,esquecer
459,gaveta,Que
460,gaveta,eu
461,gaveta,te
462,gaveta,esqueço
463,gaveta,e
464,gaveta,você
465,gaveta,cai
466,gaveta,do
