,Musicas,Acordes
0,quando-o-pai-se-vai,G
1,quando-o-pai-se-vai,G
2,quando-o-pai-se-vai,G
3,quando-o-pai-se-vai,G
4,quando-o-pai-se-vai,Em
5,quando-o-pai-se-vai,Em
6,quando-o-pai-se-vai,C
7,quando-o-pai-se-vai,C
8,quando-o-pai-se-vai,G
9,quando-o-pai-se-vai,G
10,quando-o-pai-se-vai,G
11,quando-o-pai-se-vai,G
12,quando-o-pai-se-vai,Em
13,quando-o-pai-se-vai,Em
14,quando-o-pai-se-vai,C
15,quando-o-pai-se-vai,C
16,quando-o-pai-se-vai,G
17,quando-o-pai-se-vai,G
18,quando-o-pai-se-vai,G
19,quando-o-pai-se-vai,G
20,quando-o-pai-se-vai,Em
21,quando-o-pai-se-vai,Em
22,quando-o-pai-se-vai,C
23,quando-o-pai-se-vai,C
24,quando-o-pai-se-vai,G
25,quando-o-pai-se-vai,G
26,quando-o-pai-se-vai,G
27,quando-o-pai-se-vai,G
28,quando-o-pai-se-vai,Em
29,quando-o-pai-se-vai,Em
30,quando-o-pai-se-vai,C
31,quando-o-pai-se-vai,C
32,quando-o-pai-se-vai,G
