,Musicas,Palavras
0,quando-o-pai-se-vai,Me
1,quando-o-pai-se-vai,lembro
2,quando-o-pai-se-vai,bem
3,quando-o-pai-se-vai,o
4,quando-o-pai-se-vai,"dia,"
5,quando-o-pai-se-vai,nem
6,quando-o-pai-se-vai,se
7,quando-o-pai-se-vai,"despediu,"
8,quando-o-pai-se-vai,"Brigou,"
9,quando-o-pai-se-vai,"falou,"
10,quando-o-pai-se-vai,sem
11,quando-o-pai-se-vai,pensar
12,quando-o-pai-se-vai,e
13,quando-o-pai-se-vai,"saiu,"
14,quando-o-pai-se-vai,Foi
15,quando-o-pai-se-vai,"melhor,"
16,quando-o-pai-se-vai,nunca
17,quando-o-pai-se-vai,o
18,quando-o-pai-se-vai,vi
19,quando-o-pai-se-vai,tão
20,quando-o-pai-se-vai,hostil
21,quando-o-pai-se-vai,Meu
22,quando-o-pai-se-vai,sobrinho
23,quando-o-pai-se-vai,me
24,quando-o-pai-se-vai,disse
25,quando-o-pai-se-vai,que
26,quando-o-pai-se-vai,ouviu
27,quando-o-pai-se-vai,Ele
28,quando-o-pai-se-vai,perguntar(lá
29,quando-o-pai-se-vai,no
30,quando-o-pai-se-vai,bar)
31,quando-o-pai-se-vai,-
32,quando-o-pai-se-vai,o
33,quando-o-pai-se-vai,"supletivo,"
34,quando-o-pai-se-vai,pra
35,quando-o-pai-se-vai,que
36,quando-o-pai-se-vai,serviu?
37,quando-o-pai-se-vai,5
38,quando-o-pai-se-vai,anos
39,quando-o-pai-se-vai,"desempregado,"
40,quando-o-pai-se-vai,vivendo
41,quando-o-pai-se-vai,de
42,quando-o-pai-se-vai,bico
43,quando-o-pai-se-vai,É
44,quando-o-pai-se-vai,mais
45,quando-o-pai-se-vai,triste
46,quando-o-pai-se-vai,que
47,quando-o-pai-se-vai,o
48,quando-o-pai-se-vai,penalti
49,quando-o-pai-se-vai,perdido
50,quando-o-pai-se-vai,do
51,quando-o-pai-se-vai,Zico
52,quando-o-pai-se-vai,(vix)
53,quando-o-pai-se-vai,Vou
54,quando-o-pai-se-vai,deixar
55,quando-o-pai-se-vai,essas
56,quando-o-pai-se-vai,idéias
57,quando-o-pai-se-vai,de
58,quando-o-pai-se-vai,lado
59,quando-o-pai-se-vai,Vida
60,quando-o-pai-se-vai,é
61,quando-o-pai-se-vai,vida
62,quando-o-pai-se-vai,não
63,quando-o-pai-se-vai,é
64,quando-o-pai-se-vai,campeonato
65,quando-o-pai-se-vai,Mas
66,quando-o-pai-se-vai,na
67,quando-o-pai-se-vai,"real,"
68,quando-o-pai-se-vai,vou
69,quando-o-pai-se-vai,te
70,quando-o-pai-se-vai,confessar
71,quando-o-pai-se-vai,Pensei
72,quando-o-pai-se-vai,que
73,quando-o-pai-se-vai,ia
74,quando-o-pai-se-vai,"voltar,"
