,Musicas,Acordes
0,o-que-e-que-e,A7(4/9)
1,o-que-e-que-e,C#7/G#
2,o-que-e-que-e,F#m7
3,o-que-e-que-e,F#m/E
4,o-que-e-que-e,Bm/D
5,o-que-e-que-e,E7
6,o-que-e-que-e,Bm7
7,o-que-e-que-e,E7
8,o-que-e-que-e,A7(4/9)
9,o-que-e-que-e,E7
10,o-que-e-que-e,A7(4/9)
11,o-que-e-que-e,A/G
12,o-que-e-que-e,D/F#
13,o-que-e-que-e,Dm/F
14,o-que-e-que-e,A/E
15,o-que-e-que-e,F#7
16,o-que-e-que-e,Bm7
17,o-que-e-que-e,E7
18,o-que-e-que-e,A7(4/9)
19,o-que-e-que-e,E7
20,o-que-e-que-e,Am7
21,o-que-e-que-e,A7
22,o-que-e-que-e,Dm7
23,o-que-e-que-e,Dm/C
24,o-que-e-que-e,Bm7(5-)
25,o-que-e-que-e,E7
26,o-que-e-que-e,Bm7(5-)
27,o-que-e-que-e,E7
28,o-que-e-que-e,Am7
29,o-que-e-que-e,E7
30,o-que-e-que-e,Am7
31,o-que-e-que-e,A7
32,o-que-e-que-e,Dm7
33,o-que-e-que-e,Dm/C
34,o-que-e-que-e,Bm7(5-)
35,o-que-e-que-e,E7
36,o-que-e-que-e,Bm7(5-)
37,o-que-e-que-e,E7
38,o-que-e-que-e,Am7
39,o-que-e-que-e,Ab7
40,o-que-e-que-e,G7
41,o-que-e-que-e,C
42,o-que-e-que-e,Bm7(5-)
43,o-que-e-que-e,E7
44,o-que-e-que-e,Gm/Bb
45,o-que-e-que-e,A7
46,o-que-e-que-e,Dm7
47,o-que-e-que-e,Dm/C
48,o-que-e-que-e,Bm7(5-)
49,o-que-e-que-e,E7
50,o-que-e-que-e,Am7
51,o-que-e-que-e,Am/G
52,o-que-e-que-e,F7
53,o-que-e-que-e,E7
54,o-que-e-que-e,Bm7(5-)
55,o-que-e-que-e,E7
56,o-que-e-que-e,Am7
57,o-que-e-que-e,Bm7(5-)
58,o-que-e-que-e,E7/G#
59,o-que-e-que-e,Gm/Bb
60,o-que-e-que-e,A7
61,o-que-e-que-e,Dm7
62,o-que-e-que-e,E7
63,o-que-e-que-e,Am7
64,o-que-e-que-e,Am7/G
65,o-que-e-que-e,F7
66,o-que-e-que-e,E7
67,o-que-e-que-e,Bm7(5-)
68,o-que-e-que-e,E7
69,o-que-e-que-e,Am7
70,o-que-e-que-e,Ab7
71,o-que-e-que-e,G7
72,o-que-e-que-e,C
73,o-que-e-que-e,Bm7(5-)
74,o-que-e-que-e,E7
75,o-que-e-que-e,Am7
76,o-que-e-que-e,B
77,o-que-e-que-e,B7
78,o-que-e-que-e,E7
79,o-que-e-que-e,Bm7(5-)
80,o-que-e-que-e,E7
81,o-que-e-que-e,Am7
82,o-que-e-que-e,Ab7
83,o-que-e-que-e,G7
84,o-que-e-que-e,C
85,o-que-e-que-e,Bm7(5-)
86,o-que-e-que-e,E7
87,o-que-e-que-e,Am7
88,o-que-e-que-e,Am/G
89,o-que-e-que-e,F7
90,o-que-e-que-e,E7
91,o-que-e-que-e,A7(4/9)
92,o-que-e-que-e,C#7/G#
93,o-que-e-que-e,F#m7
94,o-que-e-que-e,F#m/E
95,o-que-e-que-e,Bm/D
96,o-que-e-que-e,E7
97,o-que-e-que-e,Bm7
98,o-que-e-que-e,E7
99,o-que-e-que-e,A7(4/9)
100,o-que-e-que-e,E7
101,o-que-e-que-e,A7(4/9)
102,o-que-e-que-e,A/G
103,o-que-e-que-e,D/F#
104,o-que-e-que-e,Dm/F
105,o-que-e-que-e,A/E
106,o-que-e-que-e,F#7
107,o-que-e-que-e,Bm7
108,o-que-e-que-e,E7
109,o-que-e-que-e,A7(4/9)
110,o-que-e-que-e,E7
111,o-que-e-que-e,A7(4/9)
112,o-que-e-que-e,C#7/G#
113,o-que-e-que-e,F#m7
114,o-que-e-que-e,F#m/E
115,o-que-e-que-e,Bm/D
116,o-que-e-que-e,E7
117,o-que-e-que-e,Bm7
118,o-que-e-que-e,E7
119,o-que-e-que-e,A7(4/9)
120,o-que-e-que-e,E7
121,o-que-e-que-e,A7(4/9)
122,o-que-e-que-e,A/G
123,o-que-e-que-e,D/F#
124,o-que-e-que-e,Dm/F
125,o-que-e-que-e,A/E
126,o-que-e-que-e,F#7
127,o-que-e-que-e,Bm7
128,o-que-e-que-e,E7
129,o-que-e-que-e,A7(4/9)
130,o-que-e-que-e,E7
131,o-que-e-que-e,A7(4/9)
132,o-que-e-que-e,C#7/G#
133,o-que-e-que-e,F#m7
134,o-que-e-que-e,F#m/E
135,o-que-e-que-e,Bm/D
136,o-que-e-que-e,E7
137,o-que-e-que-e,Bm7
138,o-que-e-que-e,E7
139,o-que-e-que-e,A7(4/9)
140,o-que-e-que-e,E7
141,o-que-e-que-e,A7(4/9)
142,o-que-e-que-e,A/G
143,o-que-e-que-e,D/F#
144,o-que-e-que-e,Dm/F
145,o-que-e-que-e,A/E
146,o-que-e-que-e,F#7
147,o-que-e-que-e,Bm7
148,o-que-e-que-e,E7
149,o-que-e-que-e,A7(4/9)
150,sangrando,Bm7
151,sangrando,Bm/A
152,sangrando,Em7M
153,sangrando,E4/7
154,sangrando,G/A
155,sangrando,A7/9
156,sangrando,Eº/D
157,sangrando,D
158,sangrando,D/C
159,sangrando,D
160,sangrando,G7M
161,sangrando,G7M
162,sangrando,F#m7
163,sangrando,E4/7
164,sangrando,D9/F#
165,sangrando,E/G#
166,sangrando,G/A
167,sangrando,Bb°
168,sangrando,Bm7
