,Musicas,Palavras
0,o-que-e-que-e,Da
1,o-que-e-que-e,resposta
2,o-que-e-que-e,das
3,o-que-e-que-e,crianças
4,o-que-e-que-e,É
5,o-que-e-que-e,a
6,o-que-e-que-e,"vida,"
7,o-que-e-que-e,é
8,o-que-e-que-e,bonita
9,o-que-e-que-e,E
10,o-que-e-que-e,é
11,o-que-e-que-e,bonita
12,o-que-e-que-e,E
13,o-que-e-que-e,não
14,o-que-e-que-e,ter
15,o-que-e-que-e,a
16,o-que-e-que-e,vergonha
17,o-que-e-que-e,De
18,o-que-e-que-e,ser
19,o-que-e-que-e,feliz
20,o-que-e-que-e,Cantar
21,o-que-e-que-e,e
22,o-que-e-que-e,cantar
23,o-que-e-que-e,e
24,o-que-e-que-e,cantar
25,o-que-e-que-e,A
26,o-que-e-que-e,beleza
27,o-que-e-que-e,de
28,o-que-e-que-e,ser
29,o-que-e-que-e,Um
30,o-que-e-que-e,eterno
31,o-que-e-que-e,aprendiz
32,o-que-e-que-e,Eu
33,o-que-e-que-e,"sei,"
34,o-que-e-que-e,eu
35,o-que-e-que-e,sei
36,o-que-e-que-e,Que
37,o-que-e-que-e,a
38,o-que-e-que-e,vida
39,o-que-e-que-e,devia
40,o-que-e-que-e,ser
41,o-que-e-que-e,Bem
42,o-que-e-que-e,melhor
43,o-que-e-que-e,e
44,o-que-e-que-e,será
45,o-que-e-que-e,Mas
46,o-que-e-que-e,isso
47,o-que-e-que-e,não
48,o-que-e-que-e,impede
49,o-que-e-que-e,Que
50,o-que-e-que-e,eu
51,o-que-e-que-e,repita
52,o-que-e-que-e,É
53,o-que-e-que-e,"bonita,"
54,o-que-e-que-e,é
55,o-que-e-que-e,bonita
56,o-que-e-que-e,E
57,o-que-e-que-e,é
58,o-que-e-que-e,bonita
59,o-que-e-que-e,E
60,o-que-e-que-e,não
61,o-que-e-que-e,ter
62,o-que-e-que-e,a
63,o-que-e-que-e,vergonha
64,o-que-e-que-e,De
65,o-que-e-que-e,ser
66,o-que-e-que-e,feliz
67,o-que-e-que-e,Cantar
68,o-que-e-que-e,e
69,o-que-e-que-e,cantar
70,o-que-e-que-e,e
71,o-que-e-que-e,cantar
72,o-que-e-que-e,A
73,o-que-e-que-e,beleza
74,o-que-e-que-e,de
75,o-que-e-que-e,ser
76,o-que-e-que-e,Um
77,o-que-e-que-e,eterno
78,o-que-e-que-e,aprendiz
79,o-que-e-que-e,Eu
80,o-que-e-que-e,"sei,"
81,o-que-e-que-e,eu
82,o-que-e-que-e,sei
83,o-que-e-que-e,Que
84,o-que-e-que-e,a
85,o-que-e-que-e,vida
86,o-que-e-que-e,devia
87,o-que-e-que-e,ser
88,o-que-e-que-e,Bem
89,o-que-e-que-e,melhor
90,o-que-e-que-e,e
91,o-que-e-que-e,será
92,o-que-e-que-e,Mas
93,o-que-e-que-e,isso
94,o-que-e-que-e,não
95,o-que-e-que-e,impede
96,o-que-e-que-e,Que
97,o-que-e-que-e,eu
98,o-que-e-que-e,repita
99,o-que-e-que-e,É
100,o-que-e-que-e,"bonita,"
101,o-que-e-que-e,é
102,o-que-e-que-e,bonita
103,o-que-e-que-e,E
104,o-que-e-que-e,é
105,o-que-e-que-e,bonita
106,o-que-e-que-e,E
107,o-que-e-que-e,a
108,o-que-e-que-e,vida
109,o-que-e-que-e,o
110,o-que-e-que-e,que
111,o-que-e-que-e,é?
112,o-que-e-que-e,Diga
113,o-que-e-que-e,"lá,"
114,o-que-e-que-e,meu
115,o-que-e-que-e,irmão
116,o-que-e-que-e,Ela
117,o-que-e-que-e,é
118,o-que-e-que-e,a
119,o-que-e-que-e,batida
120,o-que-e-que-e,de
121,o-que-e-que-e,um
122,o-que-e-que-e,coração
123,o-que-e-que-e,Ela
124,o-que-e-que-e,é
125,o-que-e-que-e,uma
126,o-que-e-que-e,doce
127,o-que-e-que-e,ilusão
128,o-que-e-que-e,Êh!
129,o-que-e-que-e,Ôh!
130,o-que-e-que-e,Ela
131,o-que-e-que-e,é
132,o-que-e-que-e,maravida
133,o-que-e-que-e,ou
134,o-que-e-que-e,é
135,o-que-e-que-e,sofrimento?
136,o-que-e-que-e,Ela
137,o-que-e-que-e,é
138,o-que-e-que-e,alegria
139,o-que-e-que-e,ou
140,o-que-e-que-e,lamento?
141,o-que-e-que-e,O
142,o-que-e-que-e,que
143,o-que-e-que-e,é?
144,o-que-e-que-e,O
145,o-que-e-que-e,que
146,o-que-e-que-e,é?
147,o-que-e-que-e,Meu
148,o-que-e-que-e,irmão
149,o-que-e-que-e,Que
150,o-que-e-que-e,a
151,o-que-e-que-e,vida
152,o-que-e-que-e,da
153,o-que-e-que-e,gente
154,o-que-e-que-e,É
155,o-que-e-que-e,um
156,o-que-e-que-e,nada
157,o-que-e-que-e,no
158,o-que-e-que-e,mundo
159,o-que-e-que-e,É
160,o-que-e-que-e,uma
161,o-que-e-que-e,"gota,"
162,o-que-e-que-e,é
163,o-que-e-que-e,um
164,o-que-e-que-e,tempo
165,o-que-e-que-e,Que
166,o-que-e-que-e,nem
167,o-que-e-que-e,dá
168,o-que-e-que-e,um
169,o-que-e-que-e,segundo
170,o-que-e-que-e,Que
171,o-que-e-que-e,é
172,o-que-e-que-e,um
173,o-que-e-que-e,divino
174,o-que-e-que-e,Mistério
175,o-que-e-que-e,profundo
176,o-que-e-que-e,É
177,o-que-e-que-e,o
178,o-que-e-que-e,sopro
179,o-que-e-que-e,do
180,o-que-e-que-e,criador
181,o-que-e-que-e,Numa
182,o-que-e-que-e,atitude
183,o-que-e-que-e,repleta
184,o-que-e-que-e,de
185,o-que-e-que-e,amor
186,o-que-e-que-e,Ele
187,o-que-e-que-e,diz
188,o-que-e-que-e,que
189,o-que-e-que-e,a
190,o-que-e-que-e,vida
191,o-que-e-que-e,é
192,o-que-e-que-e,viver
193,o-que-e-que-e,Ela
194,o-que-e-que-e,diz
195,o-que-e-que-e,que
196,o-que-e-que-e,melhor
197,o-que-e-que-e,é
198,o-que-e-que-e,morrer
199,o-que-e-que-e,Pois
200,o-que-e-que-e,amada
201,o-que-e-que-e,não
202,o-que-e-que-e,é
203,o-que-e-que-e,E
204,o-que-e-que-e,o
205,o-que-e-que-e,verbo
206,o-que-e-que-e,é
207,o-que-e-que-e,sofrer
208,o-que-e-que-e,E
209,o-que-e-que-e,na
210,o-que-e-que-e,moça
211,o-que-e-que-e,eu
212,o-que-e-que-e,ponho
213,o-que-e-que-e,a
214,o-que-e-que-e,força
215,o-que-e-que-e,da
216,o-que-e-que-e,fé
217,o-que-e-que-e,Somos
218,o-que-e-que-e,nós
219,o-que-e-que-e,que
220,o-que-e-que-e,fazemos
221,o-que-e-que-e,a
222,o-que-e-que-e,vida
223,o-que-e-que-e,Como
224,o-que-e-que-e,"der,"
225,o-que-e-que-e,ou
226,o-que-e-que-e,"puder,"
227,o-que-e-que-e,ou
228,o-que-e-que-e,quiser
229,o-que-e-que-e,Por
230,o-que-e-que-e,mais
231,o-que-e-que-e,que
232,o-que-e-que-e,esteja
233,o-que-e-que-e,errada
234,o-que-e-que-e,Ninguém
235,o-que-e-que-e,quer
236,o-que-e-que-e,a
237,o-que-e-que-e,morte
238,o-que-e-que-e,Só
239,o-que-e-que-e,saúde
240,o-que-e-que-e,e
241,o-que-e-que-e,sorte
242,o-que-e-que-e,E
243,o-que-e-que-e,a
244,o-que-e-que-e,cabeça
245,o-que-e-que-e,agita
246,o-que-e-que-e,Eu
247,o-que-e-que-e,fico
248,o-que-e-que-e,com
249,o-que-e-que-e,a
250,o-que-e-que-e,pureza
251,o-que-e-que-e,Da
252,o-que-e-que-e,resposta
253,o-que-e-que-e,das
254,o-que-e-que-e,crianças
255,o-que-e-que-e,É
256,o-que-e-que-e,a
257,o-que-e-que-e,"vida,"
258,o-que-e-que-e,é
259,o-que-e-que-e,bonita
260,o-que-e-que-e,E
261,o-que-e-que-e,é
262,o-que-e-que-e,bonita
263,o-que-e-que-e,E
264,o-que-e-que-e,não
265,o-que-e-que-e,ter
266,o-que-e-que-e,a
267,o-que-e-que-e,vergonha
268,o-que-e-que-e,De
269,o-que-e-que-e,ser
270,o-que-e-que-e,feliz
271,o-que-e-que-e,Cantar
272,o-que-e-que-e,e
273,o-que-e-que-e,cantar
274,o-que-e-que-e,e
275,o-que-e-que-e,cantar
276,o-que-e-que-e,A
277,o-que-e-que-e,beleza
278,o-que-e-que-e,de
279,o-que-e-que-e,ser
280,o-que-e-que-e,Um
281,o-que-e-que-e,eterno
282,o-que-e-que-e,aprendiz
283,o-que-e-que-e,Eu
284,o-que-e-que-e,"sei,"
285,o-que-e-que-e,eu
286,o-que-e-que-e,sei
287,o-que-e-que-e,Que
288,o-que-e-que-e,a
289,o-que-e-que-e,vida
290,o-que-e-que-e,devia
291,o-que-e-que-e,ser
292,o-que-e-que-e,Bem
293,o-que-e-que-e,melhor
294,o-que-e-que-e,e
295,o-que-e-que-e,será
296,o-que-e-que-e,Mas
297,o-que-e-que-e,isso
298,o-que-e-que-e,não
299,o-que-e-que-e,impede
300,o-que-e-que-e,Que
301,o-que-e-que-e,eu
302,o-que-e-que-e,repita
303,o-que-e-que-e,É
304,o-que-e-que-e,"bonita,"
305,o-que-e-que-e,é
306,o-que-e-que-e,bonita
307,o-que-e-que-e,E
308,o-que-e-que-e,é
309,o-que-e-que-e,bonita
310,o-que-e-que-e,None
311,sangrando,Por
312,sangrando,favor
313,sangrando,entenda
314,sangrando,Que
315,sangrando,palavra
316,sangrando,por
317,sangrando,palavra
318,sangrando,Eis
319,sangrando,aqui
320,sangrando,uma
321,sangrando,pessoa
322,sangrando,se
323,sangrando,entregando
324,sangrando,Peito
325,sangrando,aberto
326,sangrando,Vou
327,sangrando,sangrando
328,sangrando,São
329,sangrando,as
330,sangrando,lutas
331,sangrando,dessa
332,sangrando,nossa
333,sangrando,vida
334,sangrando,Que
335,sangrando,eu
336,sangrando,estou
337,sangrando,cantando
338,sangrando,Essa
339,sangrando,força
340,sangrando,tanta
341,sangrando,Tudo
342,sangrando,aquilo
343,sangrando,que
344,sangrando,você
345,sangrando,ouvir
346,sangrando,Esteja
347,sangrando,certa
348,sangrando,Que
349,sangrando,estarei
350,sangrando,vivendo
351,sangrando,E
352,sangrando,o
353,sangrando,tremor
354,sangrando,nas
355,sangrando,minhas
356,sangrando,mãos
357,sangrando,E
358,sangrando,o
359,sangrando,meu
360,sangrando,corpo
361,sangrando,tão
362,sangrando,suado
363,sangrando,Transbordando
364,sangrando,toda
365,sangrando,a
366,sangrando,raça
367,sangrando,e
368,sangrando,emoção
369,sangrando,E
370,sangrando,o
371,sangrando,sal
372,sangrando,molhar
373,sangrando,o
374,sangrando,meu
375,sangrando,sorriso
376,sangrando,Não
377,sangrando,se
378,sangrando,"espante,"
379,sangrando,cante
380,sangrando,Que
381,sangrando,o
382,sangrando,teu
383,sangrando,canto
384,sangrando,é
385,sangrando,a
386,sangrando,minha
387,sangrando,força
388,sangrando,Pra
389,sangrando,cantar
390,sangrando,Por
391,sangrando,"favor,"
392,sangrando,entenda
393,sangrando,É
394,sangrando,apenas
395,sangrando,o
396,sangrando,meu
397,sangrando,jeito
398,sangrando,de
399,sangrando,viver
400,sangrando,O
401,sangrando,que
402,sangrando,é
403,sangrando,amar
404,sangrando,None
933,asa-branca,Igual
934,asa-branca,fogueira
935,asa-branca,de
936,asa-branca,São
937,asa-branca,João
938,asa-branca,Por
939,asa-branca,que
940,asa-branca,tamanha
941,asa-branca,judiação
942,asa-branca,Eu
943,asa-branca,"preguntei,"
944,asa-branca,a
945,asa-branca,Deus
946,asa-branca,do
947,asa-branca,"céu,"
948,asa-branca,ai
949,asa-branca,Por
950,asa-branca,que
951,asa-branca,tamanha
952,asa-branca,judiação
953,asa-branca,Nem
954,asa-branca,um
955,asa-branca,pé
956,asa-branca,de
957,asa-branca,prantação
958,asa-branca,Morreu
959,asa-branca,de
960,asa-branca,sede
961,asa-branca,meu
962,asa-branca,alazão
963,asa-branca,Por
964,asa-branca,farta
965,asa-branca,d'água
966,asa-branca,perdi
967,asa-branca,meu
968,asa-branca,gado
969,asa-branca,Morreu
970,asa-branca,de
971,asa-branca,sede
972,asa-branca,meu
973,asa-branca,alazão
974,asa-branca,Bateu
975,asa-branca,asas
976,asa-branca,do
977,asa-branca,sertão
978,asa-branca,Guarda
979,asa-branca,contigo
980,asa-branca,meu
981,asa-branca,coração
982,asa-branca,Entonce
983,asa-branca,eu
984,asa-branca,disse
985,asa-branca,adeus
986,asa-branca,Rosinha
987,asa-branca,Guarda
988,asa-branca,contigo
989,asa-branca,meu
990,asa-branca,coração
991,asa-branca,Numa
992,asa-branca,triste
993,asa-branca,solidão
994,asa-branca,Para
995,asa-branca,mim
996,asa-branca,vorta
997,asa-branca,pro
998,asa-branca,meu
999,asa-branca,sertão
1000,asa-branca,Espero
1001,asa-branca,a
1002,asa-branca,chuva
1003,asa-branca,cair
1004,asa-branca,de
1005,asa-branca,novo
1006,asa-branca,Para
1007,asa-branca,mim
1008,asa-branca,vorta
1009,asa-branca,pro
1010,asa-branca,meu
1011,asa-branca,sertão
1012,asa-branca,Se
1013,asa-branca,espaiar
1014,asa-branca,na
1015,asa-branca,prantação
1016,asa-branca,Que
1017,asa-branca,eu
1018,asa-branca,"vortarei,"
1019,asa-branca,viu
1020,asa-branca,Meu
1021,asa-branca,coração
1022,asa-branca,None
1244,comportamento-geral,e
1245,comportamento-geral,dizer
1246,comportamento-geral,que
1247,comportamento-geral,não
1248,comportamento-geral,está
1249,comportamento-geral,preocupado
1250,comportamento-geral,Você
1251,comportamento-geral,deve
1252,comportamento-geral,lutar
1253,comportamento-geral,pela
1254,comportamento-geral,xepa
1255,comportamento-geral,da
1256,comportamento-geral,feira
1257,comportamento-geral,e
1258,comportamento-geral,dizer
1259,comportamento-geral,que
1260,comportamento-geral,está
1261,comportamento-geral,recompensado
1262,comportamento-geral,Você
1263,comportamento-geral,deve
1264,comportamento-geral,estampar
1265,comportamento-geral,sempre
1266,comportamento-geral,um
1267,comportamento-geral,ar
1268,comportamento-geral,de
1269,comportamento-geral,alegria
1270,comportamento-geral,e
1271,comportamento-geral,dizer:
1272,comportamento-geral,tudo
1273,comportamento-geral,tem
1274,comportamento-geral,melhorado
1275,comportamento-geral,Você
1276,comportamento-geral,deve
1277,comportamento-geral,rezar
1278,comportamento-geral,pelo
1279,comportamento-geral,bem
1280,comportamento-geral,do
1281,comportamento-geral,patrão
1282,comportamento-geral,e
1283,comportamento-geral,esquecer
1284,comportamento-geral,que
1285,comportamento-geral,está
1286,comportamento-geral,desempregado
1287,comportamento-geral,Tudo
1288,comportamento-geral,vai
1289,comportamento-geral,"bem,"
1290,comportamento-geral,tudo
1291,comportamento-geral,legal
1292,comportamento-geral,"Cerveja,"
1293,comportamento-geral,"samba,"
1294,comportamento-geral,e
1295,comportamento-geral,"amanhã,"
1296,comportamento-geral,seu
1297,comportamento-geral,Zé
1298,comportamento-geral,Se
1299,comportamento-geral,acabarem
1300,comportamento-geral,com
1301,comportamento-geral,o
1302,comportamento-geral,teu
1303,comportamento-geral,Carnaval?
1304,comportamento-geral,Tudo
1305,comportamento-geral,vai
1306,comportamento-geral,"bem,"
1307,comportamento-geral,tudo
1308,comportamento-geral,legal
1309,comportamento-geral,"Cerveja,"
1310,comportamento-geral,"samba,"
1311,comportamento-geral,e
1312,comportamento-geral,"amanhã,"
1313,comportamento-geral,seu
1314,comportamento-geral,Zé
1315,comportamento-geral,Se
1316,comportamento-geral,acabarem
1317,comportamento-geral,com
1318,comportamento-geral,o
1319,comportamento-geral,teu
1320,comportamento-geral,Carnaval?
1321,comportamento-geral,E
1322,comportamento-geral,dizer
1323,comportamento-geral,sempre:
1324,comportamento-geral,"""Muito"
1325,comportamento-geral,"obrigado"""
1326,comportamento-geral,São
1327,comportamento-geral,palavras
1328,comportamento-geral,que
1329,comportamento-geral,ainda
1330,comportamento-geral,te
1331,comportamento-geral,deixam
1332,comportamento-geral,dizer
1333,comportamento-geral,Por
1334,comportamento-geral,ser
1335,comportamento-geral,homem
1336,comportamento-geral,bem
1337,comportamento-geral,disciplinado
1338,comportamento-geral,Deve
1339,comportamento-geral,pois
1340,comportamento-geral,só
1341,comportamento-geral,fazer
1342,comportamento-geral,pelo
1343,comportamento-geral,bem
1344,comportamento-geral,da
1345,comportamento-geral,Nação
1346,comportamento-geral,Tudo
1347,comportamento-geral,aquilo
1348,comportamento-geral,que
1349,comportamento-geral,for
1350,comportamento-geral,ordenado
1351,comportamento-geral,Pra
