,Musicas,Acordes
0,liberdade-provisoria,Em7
1,liberdade-provisoria,Bm7
2,liberdade-provisoria,D9
3,liberdade-provisoria,A
4,liberdade-provisoria,Em7
5,liberdade-provisoria,Bm7
6,liberdade-provisoria,D9
7,liberdade-provisoria,A
8,liberdade-provisoria,Em7
9,liberdade-provisoria,Bm7
10,liberdade-provisoria,D9
11,liberdade-provisoria,A
12,liberdade-provisoria,Em7
13,liberdade-provisoria,Bm7
14,liberdade-provisoria,D9
15,liberdade-provisoria,A
16,liberdade-provisoria,Em7
17,liberdade-provisoria,Bm7
18,liberdade-provisoria,A/C#
19,liberdade-provisoria,D9
20,liberdade-provisoria,A
21,liberdade-provisoria,Em7
22,liberdade-provisoria,Bm7
23,liberdade-provisoria,D9
24,liberdade-provisoria,A
25,liberdade-provisoria,Em7
26,liberdade-provisoria,Bm7
27,liberdade-provisoria,D9
28,liberdade-provisoria,A
29,liberdade-provisoria,Em7
30,liberdade-provisoria,Bm7
31,liberdade-provisoria,D9
32,liberdade-provisoria,A
33,liberdade-provisoria,Em
34,liberdade-provisoria,Bm7
35,liberdade-provisoria,D9
36,liberdade-provisoria,A
37,liberdade-provisoria,Em7
38,liberdade-provisoria,Bm7
39,liberdade-provisoria,D9
40,liberdade-provisoria,A
41,liberdade-provisoria,Em7
42,liberdade-provisoria,Bm7
43,liberdade-provisoria,A/C#
44,liberdade-provisoria,D9
45,liberdade-provisoria,A
46,liberdade-provisoria,Em7
47,liberdade-provisoria,Bm7
48,liberdade-provisoria,D9
49,liberdade-provisoria,A
50,liberdade-provisoria,Em7
51,liberdade-provisoria,Bm7
52,liberdade-provisoria,D9
53,liberdade-provisoria,A
54,liberdade-provisoria,Em7
55,liberdade-provisoria,Bm7
56,liberdade-provisoria,D9
57,liberdade-provisoria,A
58,liberdade-provisoria,Em7
59,liberdade-provisoria,Bm7
60,liberdade-provisoria,D9
61,liberdade-provisoria,A
62,liberdade-provisoria,Em7
63,liberdade-provisoria,Bm7
64,liberdade-provisoria,D9
65,liberdade-provisoria,A
66,liberdade-provisoria,Em7
67,liberdade-provisoria,Bm7
68,liberdade-provisoria,D9
69,liberdade-provisoria,A
70,liberdade-provisoria,Em7
71,liberdade-provisoria,Bm7
72,liberdade-provisoria,D9
73,liberdade-provisoria,A
74,liberdade-provisoria,Em7
137,flor-e-o-beija-flor,C
138,flor-e-o-beija-flor,G
