,Musicas,Palavras
0,liberdade-provisoria,Terminou
1,liberdade-provisoria,tá
2,liberdade-provisoria,terminado
3,liberdade-provisoria,Cada
4,liberdade-provisoria,um
5,liberdade-provisoria,pro
6,liberdade-provisoria,seu
7,liberdade-provisoria,lado
8,liberdade-provisoria,Não
9,liberdade-provisoria,precisa
10,liberdade-provisoria,ligar
11,liberdade-provisoria,mais
12,liberdade-provisoria,E
13,liberdade-provisoria,quem
14,liberdade-provisoria,foi
15,liberdade-provisoria,largado
16,liberdade-provisoria,não
17,liberdade-provisoria,espera
18,liberdade-provisoria,Eu
19,liberdade-provisoria,segui
20,liberdade-provisoria,minha
21,liberdade-provisoria,vida
22,liberdade-provisoria,Até
23,liberdade-provisoria,ela
24,liberdade-provisoria,começar
25,liberdade-provisoria,seguir
26,liberdade-provisoria,a
27,liberdade-provisoria,dela
28,liberdade-provisoria,Eu
29,liberdade-provisoria,só
30,liberdade-provisoria,ia
31,liberdade-provisoria,pra
32,liberdade-provisoria,onde
33,liberdade-provisoria,ela
34,liberdade-provisoria,tava
35,liberdade-provisoria,Cada
36,liberdade-provisoria,beijo
37,liberdade-provisoria,no
38,liberdade-provisoria,rosto
39,liberdade-provisoria,que
40,liberdade-provisoria,outra
41,liberdade-provisoria,boca
42,liberdade-provisoria,dava
43,liberdade-provisoria,Eu
44,liberdade-provisoria,morria
45,liberdade-provisoria,de
46,liberdade-provisoria,raiva
47,liberdade-provisoria,Cada
48,liberdade-provisoria,vez
49,liberdade-provisoria,que
50,liberdade-provisoria,eu
51,liberdade-provisoria,olhava
52,liberdade-provisoria,O
53,liberdade-provisoria,ciúme
54,liberdade-provisoria,não
55,liberdade-provisoria,tava
56,liberdade-provisoria,batendo
57,liberdade-provisoria,Tava
58,liberdade-provisoria,dando
59,liberdade-provisoria,porrada
60,liberdade-provisoria,E
61,liberdade-provisoria,ela
62,liberdade-provisoria,me
63,liberdade-provisoria,matou
64,liberdade-provisoria,na
65,liberdade-provisoria,unha
66,liberdade-provisoria,Disse
67,liberdade-provisoria,que
68,liberdade-provisoria,eu
69,liberdade-provisoria,tava
70,liberdade-provisoria,solteiro
71,liberdade-provisoria,Eu
72,liberdade-provisoria,tava
73,liberdade-provisoria,solteiro
74,liberdade-provisoria,porra
75,liberdade-provisoria,nenhuma
76,liberdade-provisoria,Não
77,liberdade-provisoria,me
78,liberdade-provisoria,manda
79,liberdade-provisoria,embora
80,liberdade-provisoria,Sou
81,liberdade-provisoria,preso
82,liberdade-provisoria,na
83,liberdade-provisoria,sua
84,liberdade-provisoria,vida
85,liberdade-provisoria,Era
86,liberdade-provisoria,só
87,liberdade-provisoria,liberdade
88,liberdade-provisoria,provisória
89,liberdade-provisoria,"Ah,"
90,liberdade-provisoria,"ah,"
91,liberdade-provisoria,"ah,"
92,liberdade-provisoria,"ah,"
93,liberdade-provisoria,"ah,"
94,liberdade-provisoria,ah
95,liberdade-provisoria,Eu
96,liberdade-provisoria,só
97,liberdade-provisoria,ia
98,liberdade-provisoria,pra
99,liberdade-provisoria,onde
100,liberdade-provisoria,ela
101,liberdade-provisoria,tava
102,liberdade-provisoria,Cada
103,liberdade-provisoria,beijo
104,liberdade-provisoria,no
105,liberdade-provisoria,rosto
106,liberdade-provisoria,que
107,liberdade-provisoria,outra
108,liberdade-provisoria,boca
109,liberdade-provisoria,dava
110,liberdade-provisoria,Eu
111,liberdade-provisoria,morria
112,liberdade-provisoria,de
113,liberdade-provisoria,raiva
114,liberdade-provisoria,Cada
115,liberdade-provisoria,vez
116,liberdade-provisoria,que
117,liberdade-provisoria,eu
118,liberdade-provisoria,olhava
119,liberdade-provisoria,O
120,liberdade-provisoria,ciúme
121,liberdade-provisoria,não
122,liberdade-provisoria,tava
123,liberdade-provisoria,batendo
124,liberdade-provisoria,Tava
125,liberdade-provisoria,dando
126,liberdade-provisoria,porrada
127,liberdade-provisoria,E
128,liberdade-provisoria,ela
129,liberdade-provisoria,me
130,liberdade-provisoria,matou
131,liberdade-provisoria,na
132,liberdade-provisoria,unha
133,liberdade-provisoria,Disse
134,liberdade-provisoria,que
135,liberdade-provisoria,eu
136,liberdade-provisoria,tava
137,liberdade-provisoria,solteiro
138,liberdade-provisoria,Eu
139,liberdade-provisoria,tava
140,liberdade-provisoria,solteiro
141,liberdade-provisoria,porra
142,liberdade-provisoria,nenhuma
143,liberdade-provisoria,Não
144,liberdade-provisoria,me
145,liberdade-provisoria,manda
146,liberdade-provisoria,embora
147,liberdade-provisoria,Sou
148,liberdade-provisoria,preso
149,liberdade-provisoria,na
150,liberdade-provisoria,sua
151,liberdade-provisoria,vida
152,liberdade-provisoria,Era
153,liberdade-provisoria,só
154,liberdade-provisoria,liberdade
155,liberdade-provisoria,provisória
156,liberdade-provisoria,"Ah,"
157,liberdade-provisoria,"ah,"
158,liberdade-provisoria,"ah,"
159,liberdade-provisoria,"ah,"
160,liberdade-provisoria,"ah,"
161,liberdade-provisoria,ah
162,liberdade-provisoria,E
163,liberdade-provisoria,ela
164,liberdade-provisoria,me
165,liberdade-provisoria,matou
166,liberdade-provisoria,na
167,liberdade-provisoria,unha
168,liberdade-provisoria,Disse
169,liberdade-provisoria,que
170,liberdade-provisoria,eu
171,liberdade-provisoria,tava
172,liberdade-provisoria,solteiro
173,liberdade-provisoria,Eu
174,liberdade-provisoria,tava
175,liberdade-provisoria,solteiro
176,liberdade-provisoria,porra
177,liberdade-provisoria,nenhuma
178,liberdade-provisoria,Não
179,liberdade-provisoria,me
180,liberdade-provisoria,manda
181,liberdade-provisoria,embora
182,liberdade-provisoria,Sou
183,liberdade-provisoria,preso
184,liberdade-provisoria,na
185,liberdade-provisoria,sua
186,liberdade-provisoria,vida
187,liberdade-provisoria,Era
188,liberdade-provisoria,só
189,liberdade-provisoria,liberdade
190,liberdade-provisoria,provisória
191,liberdade-provisoria,"Ah,"
192,liberdade-provisoria,"ah,"
193,liberdade-provisoria,"ah,"
194,liberdade-provisoria,"ah,"
195,liberdade-provisoria,"ah,"
196,liberdade-provisoria,ah
197,liberdade-provisoria,Vai
198,liberdade-provisoria,ter
199,liberdade-provisoria,que
200,liberdade-provisoria,me
201,liberdade-provisoria,aceitar
202,liberdade-provisoria,de
203,liberdade-provisoria,volta
204,liberdade-provisoria,"Ah,"
205,liberdade-provisoria,"ah,"
206,liberdade-provisoria,"ah,"
207,liberdade-provisoria,"ah,"
208,liberdade-provisoria,"ah,"
209,liberdade-provisoria,ah
210,liberdade-provisoria,None
323,flor-e-o-beija-flor,De
324,flor-e-o-beija-flor,uma
325,flor-e-o-beija-flor,flor
326,flor-e-o-beija-flor,e
327,flor-e-o-beija-flor,um
328,flor-e-o-beija-flor,beija-flor
329,flor-e-o-beija-flor,Que
330,flor-e-o-beija-flor,conheceram
331,flor-e-o-beija-flor,o
332,flor-e-o-beija-flor,amor
333,flor-e-o-beija-flor,Numa
334,flor-e-o-beija-flor,noite
335,flor-e-o-beija-flor,fria
336,flor-e-o-beija-flor,de
337,flor-e-o-beija-flor,outono
338,flor-e-o-beija-flor,E
339,flor-e-o-beija-flor,as
340,flor-e-o-beija-flor,folhas
341,flor-e-o-beija-flor,caídas
342,flor-e-o-beija-flor,no
343,flor-e-o-beija-flor,chão
344,flor-e-o-beija-flor,Da
345,flor-e-o-beija-flor,estação
346,flor-e-o-beija-flor,que
347,flor-e-o-beija-flor,não
348,flor-e-o-beija-flor,tem
349,flor-e-o-beija-flor,cor
350,flor-e-o-beija-flor,E
351,flor-e-o-beija-flor,ele
352,flor-e-o-beija-flor,lhe
353,flor-e-o-beija-flor,apresenta
354,flor-e-o-beija-flor,o
355,flor-e-o-beija-flor,amor
356,flor-e-o-beija-flor,E
357,flor-e-o-beija-flor,diz
358,flor-e-o-beija-flor,que
359,flor-e-o-beija-flor,o
360,flor-e-o-beija-flor,frio
361,flor-e-o-beija-flor,é
362,flor-e-o-beija-flor,uma
363,flor-e-o-beija-flor,fase
364,flor-e-o-beija-flor,ruim
365,flor-e-o-beija-flor,Que
366,flor-e-o-beija-flor,ela
367,flor-e-o-beija-flor,era
368,flor-e-o-beija-flor,a
369,flor-e-o-beija-flor,flor
370,flor-e-o-beija-flor,mais
371,flor-e-o-beija-flor,linda
372,flor-e-o-beija-flor,do
373,flor-e-o-beija-flor,jardim
374,flor-e-o-beija-flor,E
375,flor-e-o-beija-flor,a
376,flor-e-o-beija-flor,única
377,flor-e-o-beija-flor,que
378,flor-e-o-beija-flor,suportou
379,flor-e-o-beija-flor,Merece
380,flor-e-o-beija-flor,conhecer
381,flor-e-o-beija-flor,o
382,flor-e-o-beija-flor,amor
383,flor-e-o-beija-flor,e
384,flor-e-o-beija-flor,todo
385,flor-e-o-beija-flor,seu
386,flor-e-o-beija-flor,calor
387,flor-e-o-beija-flor,Que
388,flor-e-o-beija-flor,me
389,flor-e-o-beija-flor,"beijou,"
390,flor-e-o-beija-flor,depois
391,flor-e-o-beija-flor,voou
392,flor-e-o-beija-flor,Pra
393,flor-e-o-beija-flor,longe
394,flor-e-o-beija-flor,demais
395,flor-e-o-beija-flor,Pra
396,flor-e-o-beija-flor,longe
397,flor-e-o-beija-flor,de
398,flor-e-o-beija-flor,nós
399,flor-e-o-beija-flor,Lembranças
400,flor-e-o-beija-flor,de
